#漢字	音標	解釋
㪗	tʰɐu3	展開
艄	ʃau1	
艇	tʰɛŋ4	
艇	tʰeŋ4	
艦	lam8	
艮	hɐn6	
艱	kan1	
艾	ai8	
芃	fan6	
芋	wu8	
芍	tʃʰɔk7b	
芒	mɔŋ6	
芙	fu6	
芝	tʃi1	
芥	kai5	
芬	fɐn1	
芭	pa1	
芮	jui8	
花	fa1	
芳	fɔŋ1	
芹	kʰɐn6	
芽	a6	
芾	fɐi5	
苟	kɐu3	
若	jɔk8	
苦	fu3	
苧	tʃʰy4	
英	jeŋ1	
茂	mɐu8	
范	fan8	
茄	ka1	
茄	kʰɛ6	
茫	mɔŋ6	
茬	tʃʰa6	麥茬,麥收割後留在地的根
兹	tʃi1	
茴	wui6	
茶	tʃʰa6	
茸	joŋ6	
荀	ʃɵn1	
草	tʃʰou3	
荆	keŋ1	
荒	fɔŋ1	
荔	lɐi8	
荳	tɐu8	
荷	hɔ6	
莊	tʃɔŋ1	
莎	ʃa1	
莎	ʃɔ1	
莖	keŋ5	
莠	jɐu4	
莧	jin8	
莫	mɔk8	
莽	mɔŋ4	
莽	tʃɔŋ5	
菊	kok7a	
菌	kwʰɐn3	
菖	tʃʰɔŋ1	
菜	tʃʰɔi5	
菠	pɔ1	
菢	pou8	菢雞仔
菩	pʰou6	
華	wa6	中華
華	wa6	華夏
華	wa8	華山、姓氏
菱	leŋ6	
萄	tʰou6	
萌	mɐŋ6	
萍	pʰeŋ6	
萎	wɐi3	
萬	man8	
萼	ɔk8	
落	lɔk8	
葉	jit8	
著	tʃy5	
著	tʃɔk7b	著衣
著	tʃɔk8	附著
葚	ʃɐm8	
葛	kɔt7b	
董	toŋ3	
葦	wɐi4	
葭	ka1	
葱	tʃʰoŋ1	洋蔥
葵	kwʰɐi6	
葷	fɐn1	
蒂	tɐi5	
蒐	ʃɐu1	
蒙	moŋ6	
蒜	ʃyn5	
蒯	kai3	姓
蒯	kwai3	姓
蒲	pʰou6	
蒸	tʃeŋ1	
蒼	tʃʰɔŋ1	
蒿	hou1	
蓄	tʃʰok7a	
蓉	joŋ6	
蓋	kɔi5	
蓑	ʃɔ1	
蓬	pʰoŋ6	
蓮	lin6	
蔓	man8	
蔡	tʃʰɔi5	
蔣	tʃɔŋ3	
蔬	ʃɔ1	
蔭	jɐm5	
蔽	pɐi5	
蕉	tʃiu1	
蕊	jui4	
蕎	kʰiu6	
蕩	tɔŋ8	
蕭	ʃiu1	
薄	pɔk8	
薅	hou1	薅鋤
薑	kɔŋ1	
薛	jit8	
薛	ʃit7b	
薦	tʃin5	
薩	ʃat7b	
薪	ʃɐn1	
薯	ʃy6	
薰	fɐn1	
薺	tʃɐi6	
藍	lam6	
藏	tʃɔŋ8	西藏
藏	tʃʰɔŋ6	隱藏
藐	miu4	
藕	ɐu4	
藜	lɐi6	
藝	ɐi8	
藤	tʰɐŋ6	
藩	fan6	藩鎮之亂
藹	ɔi3	
藿	fɔk7b	藿香
蘆	lou6	
蘇	ʃou1	
蘭	lan6	
蘸	tʃam5	
蘿	lɔ6	
虐	jɔk8	
虔	kʰin6	
處	tʃʰy3	
處	tʃʰy5	處所
虚	hui1	
虜	lou4	
虞	jy6	
號	hou6	呼號
號	hou8	號數
虢	kek7a	
虧	kwʰɐi1	
虹	hoŋ6	
虻	mɔŋ1	
蚊	mɐn1	
蚌	pʰɔŋ4	
蚣	koŋ1	
蚤	tʃou3	
蚪	tɐu3	
蚶	hɐm1	
蛆	tʃui1	
蛇	ʃɛ6	
蛋	tan3	蛋花湯
蛙	wa1	
蛛	tʃy1	
蛟	kau1	蛟龍
蛤	kɐp7b	
蜕	tʰui5	
蛾	ɔ6	
蜀	ʃok8	
蜂	foŋ1	
蜇	tʃit8	
蜈	m̩6	
蜓	tʰeŋ6	
蜘	tʃi1	
蜚	fɐi8	
蜜	mɐt8	
蜜	mɐk8	
蜢	maŋ4	
蜻	tʃʰeŋ1	
蝕	ʃek8	
蝗	wɔŋ6	
蝙	pin1	
蝟	wɐi8	
蝠	fok7a	
蝥	mɐu6	
蝦	ha1	蝦蟆
蝦	ha1	魚蝦
蝶	tit8	
蝸	wɔ1	
螃	pʰɔŋ6	
融	joŋ6	
螳	tʰɔŋ6	
蟀	ʃɵt7a	
蟆	mou1	蝦蟆
蟊	mɐu6	
蟒	mɔŋ4	
蟢	hei3	
蟬	ʃin6	
蟲	tʃʰoŋ6	
蟶	tʃʰeŋ1	
蟹	hai4	
蟻	ɐi4	
蟾	ʃin6	
蠅	jeŋ6	
蠍	hit7b	
蠓	moŋ4	
蠡	lɐi4	
蠢	tʃʰɵn3	
蠶	tʃʰam6	
蠻	man6	
血	hyt7b	
行	haŋ6	
行	hɐŋ8	品行
行	hɐŋ6	行為
行	hɔŋ6	行列
術	ʃɵt8	
街	kai1	
衙	a6	
衛	wɐi8	
衝	tʃʰoŋ1	
衡	hɐŋ6	
衣	ji1	
表	piu3	
衩	tʃʰa5	衩衣,開衩
衫	ʃam1	
衰	ʃui1	
袁	jyn6	
袈	ka1	
袋	tɔi8	
袍	pʰou6	
袖	tʃɐu8	
袤	mɐu8	
被	pʰei4	
被	pei8	
裁	tʃʰɔi6	
裂	lit8	
裕	jy8	
裙	kwʰɐn6	
補	pou3	
裝	tʃɔŋ1	
裡	lei4	
裳	ʃɔŋ6	
裴	pʰui6	
裸	lɔ3	
裹	kwɔ3	
製	tʃɐi5	
複	fok7a	
褒	pou1	
褚	tʃʰy4	姓
褥	jok8	
褪	tʰɐn5	
褲	fu5	
褶	tʃit8	
褸	lɐu1	
襄	ʃɔŋ1	
襇	kan3	
襖	ou3	
襟	kʰɐm1	
襪	mɐt8	
襪	mɐk8	
襯	tʃʰɐn5	
襲	tʃap8	
襻	pʰan5	紐襻
西	ʃɐi1	
要	jiu5	
要	jiu1	要求
覆	fok7a	反覆
見	kin5	
規	kwʰɐi1	
覓	mek8	
視	ʃi8	
親	tʃʰɐn5	家
親	tʃʰɐn1	親人
覺	kau5	睡覺
覺	kɔk7b	知覺
覽	lam4	
觀	kun1	參觀
觀	kun5	寺觀
角	kɔk7b	
解	hai8	姓氏
解	kai3	曉
解	kai3	解開
觸	tʃok7a	
言	jin6	
訂	tɛŋ8	
訂	teŋ8=	
訃	fu8	
計	kɐi5	
訊	ʃɵn5	
討	tʰou3	
訓	fɐn5	
訖	ɐt8	
託	tʰɔk7b	
記	kei5	
訛	ɔ6	
訟	tʃoŋ8	
訣	kʰyt7b	
訪	fɔŋ3	
設	tʃʰit7b	
許	hui3	
訴	ʃou5	
診	tʃʰɐn3	
註	tʃy5	
詐	tʃa5	
詔	tʃiu5	詔書
評	pʰeŋ6	
詞	tʃʰi6	
詠	weŋ8	
試	ʃi5	
詩	ʃi1	
詭	kwɐi3	
話	wa8	說話
該	kɔi1	
詳	tʃʰɔŋ6	
誅	tʃy1	
誇	kʰa1	
誇	kwʰa1	
誌	tʃi5	雜誌
認	jeŋ8	
誓	ʃɐi8	
誕	tan5	
誘	jɐu4	
語	jy4	
誠	ʃeŋ6	
誣	mou6	
誤	m̩8	
誦	tʃoŋ8	
説	ʃyt7b	
誰	ʃui6	
課	fɔ5	
調	tʰiu6	調和
調	tiu8	調查
談	tʰam6	
請	tʃʰɛŋ3-	
請	tʃʰeŋ3	
諒	lɔŋ8	
論	lɵn8	
諜	tit8	
諦	tɐi5	
諧	hai6	
諫	kan5	
諱	wɐi4	
諷	foŋ5	
諸	tʃy1	
諺	jin8	
諾	lɔk8	
謀	mɐu6	
謂	wɐi8	
謄	tʰɐŋ6	
謊	fɔŋ3	
謎	mɐi6	
謗	pʰɔŋ5	
謙	hin1	
講	kɔŋ3	
謡	jiu6	
謬	mɐu8	
謹	kɐn3	
證	tʃeŋ5	
識	ʃek7a	
譚	tʰam6	
譜	pʰou3	
警	keŋ3	
譬	pʰei5	
譯	jek8	
議	ji4	
護	wu8	
譽	jy8	
讀	tok8	
讀	tɐu8	句讀
變	pin5	
讒	tʃʰam6	
讓	jɔŋ8	
谷	kok7a	山谷
谿	kwʰɐi1	
豁	kʰut7b	
豆	tɐu8	
豇	kɔŋ1	豇豆
豉	ʃi8	
豌	wun3	
豎	ʃy8	
豐	foŋ1	
豔	jin8	
豕	tʃʰi3	
豚	tʰyn6	
象	tʃɔŋ8	
豪	hou6	
豬	tʃy1	
豹	pʰau5	
豺	tʃʰai6	
貂	tiu1	
貌	mau8	
貝	pui5	
貞	tʃeŋ1	
負	fu8	
財	tʃʰɔi6	
貢	koŋ5	
貧	pʰɐn6	
貨	fɔ5	
販	fan5	
貪	tʰam1	
貫	kun5	
責	tʃak7b	
貴	kwɐi5	
貶	pin3	
買	mai4	
貸	tʰai5	
費	fɐi5	
貼	tʰit7b	
貿	mɐu8	
賀	hɔ8	
賂	lou8	
賃	jɐm8	
賄	kʰui3	
資	tʃi1	
賈	ka3	姓
賊	tʃʰak8	
賒	ʃɛ1	
賓	pɐn1	
賜	tʃʰi5	
賞	ʃɔŋ3	
賠	pʰui6	
賢	jin6	
賣	mai8	
賤	tʃin8	
賦	fu5	
賬	tʃɔŋ5	
賭	tou3	
賴	lai8	
賺	tʃan8	
購	kʰɐu5	
賽	tʃʰɔi5	
贅	tʃui8	
贊	tʃan5	
贏	jeŋ6	
贓	tʃɔŋ1	
贖	ʃok8	
赤	tʃʰɛk7b-	
赦	ʃɛ5	
赫	hak7b	
走	tʃɐu3	
赴	fu8	
起	hei3	
趁	tʃʰɐn5	
超	tʃʰiu1	
越	jyt8	
趕	kɔn3	
趙	tʃiu8	
趟	tʰɔŋ5	
趣	tʃʰui5	
趨	tʃʰui1	
足	tʃok7a	
趴	pʰa1	
趼	kan3	手過度磨擦生厚皮
趾	tʃi3	
跌	tit7b	
跏	ka1	
跑	pʰau3	
跛	pɐi1	
距	kui4	
跟	kɐn1	
跡	tʃek7a	
跨	kʰa1	
跨	kwʰa1	
跪	kwɐi8	
路	lou8	
跳	tʰiu5	
踏	tap8	
踐	tʃʰin4	
踢	tʰɛk7b	
踩	tʃʰai3	踩高蹺
踱	tɔk8	
踹	jai3	
踹	tʃʰai3	踹踏
蹄	tʰɐi6	
蹊	kʰɐi1	
蹊	hɐi6	
蹓	lɐu6	
蹓	lɐu8	
蹤	tʃoŋ1	
蹲	tɵn1	
蹶	kwɐi5	
躁	tʃʰou5	
躂	tʰat7b	
躍	jɔk8	
躡	lit8	
身	ʃɐn1	
躬	koŋ1	
躱	tɔ3	
躺	tʰɔŋ3	
車	tʃʰɛ1	
車	kui1	車馬砲
軋	tʃat7b	
軌	kwɐi3	
軒	hin1	
軟	jyn4	
軸	tʃok8	
較	kau5	
載	tʃɔi3	
載	tʃɔi5	
輔	fu8	
輕	hɛŋ1-	
輕	heŋ1=	輕重
輛	lɔŋ8	
輜	tʃi1	
輝	fɐi1	
輞	mɔŋ4	
輦	lin4	
輩	pui5	
輸	ʃy1	
轄	hɐt8	
轅	jyn6	
轉	tʃyn3	
轉	tʃyn5	轉螺絲
轍	tʃʰit7b	
轎	kiu3	
轟	kwɐŋ1	
轡	pei5	
辛	ʃɐn1	
辦	pan8	
辨	pin8	
辭	tʃʰi6	
辮	pin1	
辯	pin8	
辰	ʃɐn6	
辱	jok8	
農	loŋ6	
迂	jy1	
迅	ʃɵn5	
迎	jeŋ6	
近	kɐn8	接近
返	fan3	
迦	ka1	
迫	pek7a	
述	ʃɵt8	
迷	mɐi6	
迸	peŋ5	
追	tʃui1	
退	tʰui5	
送	ʃoŋ5	
逃	tʰou6	
逆	ak8	
逆	jek8	
透	tʰɐu5	
逐	tʃok8	
途	tʰou6	
逗	tɐu8	
通	tʰoŋ1	
逛	kwʰaŋ5	
逝	ʃɐi8	
逞	tʃʰeŋ3	
速	tʃʰok7a	
造	tʃou8	
逢	foŋ6	
連	lin6	
逮	tɐi8	
進	tʃɵn5	
逵	kwʰɐi6	
逸	jɐt8	
逼	pek7a	
遁	tɵn8	
遂	ʃui8	
遇	jy8	
運	wɐn8	
遍	pin5	
過	kwɔ5	
遐	ha6	名聞遐邇
道	tou8	
達	tat8	
違	wɐi6	
遛	lɐu8	
遜	ʃɵn5	
遞	tɐi8	
遠	jyn4	
遣	hin3	
適	ʃek7a	
遭	tʃou1	
遮	tʃɛ1	
遲	tʃʰi6	
遷	tʃʰin1	
選	ʃyn3	
遺	wɐi6	
遼	liu6	
避	pei8	
邀	jiu1	
邁	mai8	
邂	hai8	
還	wan6	
邊	pin1	
那	la4	
邦	pɔŋ1	
邪	tʃʰɛ6	
邵	ʃiu8	
邸	tɐi3	
郁	jok7a	
郊	kau1	
郝	kʰɔk7b	
郡	kwɐn8	
部	pou8	
郭	kwɔk7b	
郵	jɐu6	
都	tou1	
鄂	ɔk8	
鄉	hɔŋ1	
鄒	tʃɐu1	
鄙	pʰei3	
鄧	tɐŋ8	
鄭	tʃɛŋ8	
鄰	lɵn6	
鄲	tan1	邯鄲
酉	jɐu4	
酌	tʃɔk7b	
配	pʰui5	
酒	tʃɐu3	
酣	hɐm6	
酥	ʃou1	
酪	lɔk8	
酬	tʃʰɐu6	
酵	hau1	
酵	hau5	
酵	hau1	酵母
酷	hok8	
酸	ʃyn1	
酹	lai8	酹酒
醃	jin1	
醇	ʃɵn6	
醉	tʃui5	
醋	tʃʰou5	
醒	ʃɛŋ3	
醒	ʃeŋ3=	醒目
醜	tʃʰɐu3	醜陋
醫	ji1	
醬	tʃɔŋ5	
醮	tʃiu5	
醴	lɐi4	
釀	jɔŋ8	
釉	jɐu8	
釋	ʃek7a	
里	lei4	
重	tʃʰoŋ4	輕重
重	tʃʰoŋ6	重複
野	jɛ4	
量	lɔŋ8	
釐	lei6	
釘	tɛŋ1	
釘	teŋ1=	
釘	teŋ5=	
釜	fu3	
釣	tiu5	
釵	tʃʰai1	
鈀	pʰa6	
鈦	tʰai5	鈦合金
鈴	leŋ6	
鈸	pɐt8	
鈸	pɐk8	
鉗	kʰin6	
鉚	mau4	鉚釘
鉛	jyn6	
鉤	ɐu1	
銀	hɐn6	
銅	tʰoŋ6	
銘	meŋ6	
銜	ham6	
銲	hɔn8	
鋭	jui8	
銷	ʃiu1	
銻	tʰɐi1	
銼	tʃʰɔ5	
鋒	foŋ1	
鋤	tʃʰɔ6	
鋪	pʰou5	店舗
鋪	pʰou1	鋪設
鋼	kɔŋ5	
錄	lok8	
錐	tʃui1	
錘	tʃʰui6	
錠	teŋ8	
錢	tʃʰin6	
錦	kɐm3	
錨	mau6	
錫	ʃek7b	用於人名
錮	ku5	
錯	tʃʰɔ5	
錯	tʃʰɔk7b	
錳	maŋ4	
錶	piu1	
鍊	lin8	
鍋	wɔ1	
鍍	tou8	
鍘	tʃap8	
鍘	tʃat8	
鍚	ʃɛk7b-	
鍛	tyn5	
鍵	kin8	
鍾	tʃoŋ1	
鎏	lɐu6	
鎔	joŋ6	
鎖	ʃɔ3	
鎮	tʃɐn5	
鎵	ka1	
鏇	ʃyn6	
鏟	tʃʰan3	
鏡	kɛŋ5	
鏤	lɐu8	
鏨	tʃam8	
鏵	wa6	犁鏵
鏽	ʃɐu5	
鐃	lau6	
鐘	tʃoŋ1	
鐧	kan5	車鐧
鐮	tin6	
鐲	tʃok8	
鐵	tʰit7b	
鐸	tɔk8	
鑄	tʃy5	
鑊	wɔk8	
鑑	kam5	
鑰	jɔk8	
鑲	ʃɔŋ1	
鑷	lit8	
鑼	lɔ6	
鑽	tʃyn5	鑽子
鑿	tʃɔk8	
長	tʃɔŋ3	生長
長	tʃʰɔŋ6	長短
門	mun6	
閂	ʃan1	
閃	ʃin3	
閉	pɐi5	
開	hɔi1	
閒	han6	
間	kan1	中間
間	kan5	間斷
閘	tʃap8	
閣	kɔk7b	
閨	kwɐi1	
閩	mɐn4	
閲	jyt8	
閹	jin1	
閻	jin6	
闆	pan3	
闊	fut7b	
闖	tʃʰɔŋ3	
關	kwan1	
闢	pʰek7a	
阜	fɐu8	
阪	pan3	日本地名
阮	jyn3	
阱	tʃɛŋ3-	
阱	tʃɛŋ8-	
防	fɔŋ6	
阻	tʃɔ3	
阿	ɔ1	阿膠
附	fu8	
陋	lɐu8	
降	kɔŋ5	
降	hɔŋ6	投降
限	han8	
陛	pɐi8	
陝	ʃin3	
陡	tɐu3	
院	jyn8	
除	tʃʰui6	
陪	pʰui6	
陰	jɐn1	
陳	tʃʰɐn6	
陵	leŋ6	
陶	tʰou6	
陷	ham8	陷阱
陸	lok8	
陽	jɔŋ6	
隆	loŋ6	
隊	tui8	
階	kai1	
階	kai5	
隔	kak7b	
隘	ɐi5	
隘	ai5	氣量狹隘
際	tʃɐi5	
障	tʃɔŋ5	
隧	ʃui8	
隨	tʃʰui6	
險	hin3	
隱	jɐn3	
隴	loŋ4	
隸	tɐi8	
隻	tʃɛk7b	
雀	tʃɔk7b	
雁	an8	
雄	hoŋ6	
雅	a4	
集	tʃap8	
雇	ku5	
雉	tʃi8	
雌	tʃʰi1	
雍	joŋ1	
雕	tiu1	
雖	ʃui1	
雙	ʃɔŋ1	
雛	tʃʰɔ1	
雜	tʃap8	
雞	kɐi1	
離	lei6	
難	lan8	患難
難	lan6	難易
雨	jy4	
雪	ʃyt7b	
雲	wɐn6	
零	leŋ6=	
雷	lei6	
雷	lui6	
電	tin8	
需	ʃui1	
霄	ʃiu1	
震	tʃɐn5	
霍	fɔk7b	
霜	ʃɔŋ1	
霞	ha6	
霧	mou8	
露	lou8	
霸	pa5	
霾	mɐi6	
霾	pʰai6	陰霾
靈	lɛŋ6-	
靈	leŋ6=	
青	tʃʰɛŋ1-	
青	tʃʰeŋ1=	
靖	tʃeŋ8	
靚	lɛŋ5	
靜	tʃeŋ8	
非	fei1	
靠	kʰau5	
靡	mei4	
面	min8	面子
革	kak7b	
靪	teŋ1	
靴	tʃʰɐu1	
靴	hœ1	
鞋	hai6	
鞍	ɔn1	
鞏	koŋ3	
鞘	ʃau1	
鞘	tʃʰiu5	
鞭	pin1	
韃	tʰat7b	
韆	kɔŋ1	
韌	jɐn8	
韓	hɔn6	
韭	kɐu3	
音	jɐm1	
韶	ʃiu6	
響	hɔŋ3	
頁	jit8	
頂	tɛŋ3-	
頂	teŋ3=	
頃	kʰeŋ3	
項	hɔŋ8	
順	ʃɵn8	
須	ʃui1	
頌	tʃoŋ8	
預	jy8	
頑	wan6	
頒	pan1	
頒	pʰan1	異
頓	tɵn8	
頗	pʰɔ3	
領	lɛŋ4-	
領	leŋ4=	
頭	tʰɐu6	
頸	kɛŋ3-	
頻	pʰɐn6	
頻	pʰɐŋ6	
顆	kwʰɔ3	
題	tʰɐi6	
額	ak8	
顎	ɔk8	
顔	an6	
願	jyn8	
顛	tin1	
類	lui8	
顧	ku5	
顫	tʃin5	
顯	hin3	
顴	kʰyn6	
風	foŋ1	
颼	ʃɐu1	
飄	pʰiu1	
飛	fei1	
食	ʃek8	
飢	kei1	
飩	tʰɐn1	
飯	fan8	
飴	ji6	
飼	tʃi8	
飾	ʃek7a	
餃	kau3	餃子
餅	pɛŋ3	
餈	tʃʰi6	
餉	hɔŋ3	
養	jɔŋ4	
餌	lei8	
餐	tʃʰan1	
餓	ɔ8	
餘	jy6	
餛	wɐn6	
餜	kwɔ3	
餞	tʃin5	
餡	ham3	
餧	wai5	同「餵」字
館	kun3	
餵	wai5	
餽	kwɐi8	
餾	lɐu6	
餾	lɐu8	
饃	mɔ6	
饅	man8	
饋	kwɐi5	
饋	kwɐi8	
饑	kei1	
饒	jiu6	
饞	tʃʰam6	
首	ʃɐu3	
馗	kwʰɐi6	
香	hɔŋ1	
馨	heŋ1	
馬	ma4	
馮	foŋ6	
馱	tʰɔ8	牲畜背上所背的貨物
馱	tʰɔ6	馱起來
馳	tʃʰi6	
駁	pɔk7b	
駐	tʃy5	
駕	ka5	
駛	ʃɐi3	
駝	tʰɔ6	
駭	hai4	
駭	hɔi8	
駱	lɔk8	
騎	kʰei6	輕騎
騙	pʰin5	
騮	lɐu1	
騰	tʰɐŋ6	
騷	ʃou1	
騾	lɔ6	
驅	kui1	
驕	kiu1	
驗	jin8	
驚	kɛŋ1-	
驚	keŋ1	
驟	tʃau8	
驟	tʃɐu8	
驢	lei6	
骯	ɔŋ1	
骸	hai6	
骼	kak7b	
髒	tʃɔŋ1	
髓	ʃui4	
體	tʰɐi3	
高	kou1	
髮	fat7b	
髻	kɐi5	
髽	tʃa1	髽髻:抓髻
鬃	tʃoŋ1	
鬆	ʃoŋ1	
鬍	wu6	
鬚	ʃou1	
鬢	pɐn5	
鬥	tɐu5	門爭
鬧	lau8	
鬨	hoŋ5	
鬮	kɐu1	
鬲	kak7b	
鬼	kwɐi3	
魁	fui1	
魂	wɐn6	
魄	pʰak7b	
魏	ɐi8	
魔	mɔ1	
魚	jy6	
魯	lou4	
鮎	tin6	
鮑	pau1	姓
鮑	pau1	連讀音,實際音值爲22,鮑魚
鮫	kau1	
鮭	kwɐi1	
鮮	ʃin1	新鮮
鮮	ʃin3	鮮少
鯉	lei4	
鯊	ʃa1	
鯗	ʃɔŋ3	鯗魚:曬乾和醃過的魚
鯨	kʰeŋ6	
鯪	lɛŋ6	
鯽	tʃek7a	
鰓	ʃɔi1	
鰣	ʃi6	
鰥	kwan1	鰥寡
鰭	kʰei6	
鰾	pʰiu4	
鱉	pit7b	
鱖	kɐi5	
鱖	kwɐi5	
鱗	lɵn6	
鱷	ɔk8	
鳥	liu4	
鳩	kɐu1	
鳳	foŋ8	
鳴	meŋ6	
鴉	a1	
鴨	ap7b	
鴻	hoŋ6	
鴿	kɐp7b	
鵝	ɔ6	
鵡	mou4	
鵬	pʰaŋ6	
鵲	tʃɔk7b	
鶚	ɔk8	
鶯	jeŋ1	
鶴	hɔk8	
鷂	jiu8	
鷹	jeŋ1	
鷺	lou8	
鸚	jeŋ1	
鸞	lyn6	
鹹	ham6	
鹻	kan3	
鹽	jin6	
鹿	lok8	
麗	lɐi8	
麝	ʃɛ8	
麩	fu1	
麴	kok7a	酒麴
麵	min8	粉麵
麻	ma6	
麾	fɐi1	
黃	wɔŋ6	
黍	ʃi3	
黍	ʃy3	
黎	lɐi6	
黏	tin6	
點	tin3	
黨	tɔŋ3	
鼎	teŋ3	
鼓	ku3	
鼠	ʃy3	
鼬	jɐu8	
鼻	pei8	
鼾	hɔn6	
齊	tʃɐi6	
齋	tʃai1	
齒	tʃʰi3	
齣	tʃʰɵt7a	
齦	hɐn3	
齦	hɐn6	
龍	loŋ6	
龐	pʰɔŋ6	
龕	hɐm1	
龜	kwɐi1	
