#漢字	音標	解釋
#簡稱	/	冷水江鐸山
#全稱	/	冷水江鐸山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-02-05
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（鐸山）方言音系》
#說明	/	
翠	tsʰi15	
翡	fi3	
翰	xã5	
翻	fã1	
翼	e5	
耀	iø5	
老	lɑ1	～皮:锅巴
老	lɑ3	
考	kʰɑ3	
而	ε2	
耍	xε1	
耍	sɔ3	
耐	lε1-	～烦心：耐心
耐	lε5=	不～烦
耐	la5=	～火
耕	kɪ̃1	
耖	tsʰɑ15	
耗	xɑ5	
耙	bɔ2	～田
耙	bɔ15	～子:一种比锄头宽的农具，可用来挖松软的地方
耳	n5-	挖～
耳	e3=	～朵
恥	tsʰɿ3	
耽	tã1	
耿	kɪ̃3	
聾	lən1	
職	tɕi2	
聯	lɪ̃2	～系;～衣服:缝衣服
聘	pʰin15	
聚	siəu15	
聰	tsʰən1	
肅	səu15	
肆	sɿ5	
肉	iəu1	
肋	le15	
肌	tɕi1	
肏	iɔ5	交合
肚	təu3	猪～子
肚	dəu4	～子痛
肝	kã1	
腸	ʃõ15	～子
股	ku3	
肢	tsɿ1	
肤	fu1	
肥	fi2	
肩	kã1	
肪	xõ2	
肯	kʰɪ̃3	
育	iəu5	教～
育	iəu15	教～
肴	ʃø4	
肺	fi5	
腫	tɕin3	
脹	tʃõ5	
脅	xe15	
胃	ui5	
膽	tã3	
背	bε4	～书
背	pε5	后～
背	pε15	
背	bε6	～时
胎	tʰε1	～记
胖	pʰõ15	
胚	pʰε1	
勝	ɕin5	～败
胞	pɑ1	
胡	fu2	姓
胡	u15	～子
膠	tʃø1	
胸	ɕin1	
能	lɪ̃2	
脂	tsɿ3	
脆	tsʰi15	
脉	mε15	
脊	tsia1	背～骨
脊	tsi15	
脏	sõ15	
臍	si2	
腦	lɑ3	
膿	lən2	
腳	tʃʊ1-	一只～
腳	tʃʊ15=	～气
脫	tʰε1	
腡	lʊ2	
臉	lɪ̃3	
脾	fi2	
腈	tsiã1	～肉:瘦肉
臘	la1	
腌	õ5	～菜:坛子里腌的菜
腐	fu3=	～败
腑	fu3	
腔	tʃʰõ1	
腕	uã3	
腥	siã5	
腮	sε1	
腰	iø1	
腿	tʰε3	
膏	kɑ1	
膏	kɑ5	～油
膜	mʊ2	
膝	tsʰi1	
膨	bən2	
臂	pʰi15	
臊	lɑ1	～气:尿骚味
臣	ɕin2	
自	sɿ4-	～己
自	sɿ6-	～己
自	sɿ15=	～然
臭	tɕʰiəu15	
至	tsɿ5	
致	tsɿ5	
舀	iø3	
舅	ɕiəu4	
舅	ɕiəu6	
舌	xe5	
舍	ʃɔ3	～不得
舍	xe5	宿～
舒	fy1	
舔	tʰɪ̃3	
舜	fin15	
舞	fu4	
舟	tɕiəu1	
航	xõ2	
般	põ1	
船	fɪ̃2	
艇	tʰin3	
良	liã15	
艱	kã1	
色	se15	
艳	ɪ̃5	
藝	i5	
艾	a1-	～蒿
節	tse1	过～
節	tse15=	一～课
芋	y1	～子
芋	y5	洋～：马铃薯
芒	mõ2	
芙	fu2	
芝	tsɿ1	
芥	ka5	
蘆	ləu2	
芬	fin1	
芭	pɔ1	
花	fa1	叫～子:乞丐
花	xɔ1	
芳	xõ1	
芹	ɕin2	
芽	ɔ15	
葦	ui3	
莧	xã6	～菜
蒼	tsʰõ1	
苧	fy4	～麻
苏	səu1	
苔	tʰε1	舌～
苗	mø2	
若	iʊ15	
苦	kʰu3	
英	in1	
茂	mø5	
范	fã5	模～;姓～
茄	ʃɔ2	
茅	mɑ2	
莖	tɕin1	
繭	kɪ̃3	
茫	mõ2	
茭	kɑ1	
茶	sɔ2	
茸	in1	鹿～
荆	tɕin1	
草	tsʰɑ3	
薦	tsɪ̃5	
荒	xõ1	
荔	li5	
蕎	ʃø15	～麦子:荞麦
荡	tʰõ3	洗涤，用力晃动水
荡	dõ15	
榮	min2	
藥	iʊ5	
荷	xʊ2	～花;薄～
莓	pʰɑ1	
莫	mʊ15	
蓮	lɪ̃2	
获	xʊ15	
菊	tɕiəu15	
菖	tʃʰõ1	
菜	tsʰε15	
菠	pʊ1	
菢	bɑ4	～小鸡:孵小鸡
菩	fu2	
萄	dɑ2	
萌	min2	
萍	fin2	
萎	ui3	
蘿	lʊ2	
螢	iã2	
營	min2	
蕭	sø1	
薩	sa5	拉～
萫	ʃõ5	～料:佐料
落	lʊ5	
葛	kʊ15	
董	tən3	
葫	fu2	
葱	tsʰən1	
蒂	ti5	～坨:锅盖上的把手
蔣	tsiã3	
蒙	mən2	
蒜	sõ5	
蒲	fu2	
蒸	tɕin1	
蒿	xɑ1	
蓄	ɕiəu15	储～
蓉	in2	
蓑	sʊ1	～衣
蓑	sʊ5	～衣
蓖	pi15	
藍	lã2	
蓧	dø15	出～:过了婴儿肥阶段
蓬	bən2	
蔗	tʃɔ5	～秆:甘蔗
蔗	tʃõ5	～秆:甘蔗
蔡	tsʰε15	
蔬	səu1	
蔸	tø1	
藹	ε3	
蔽	pʰi15	
蕉	tsø1	
蕨	kue1	
薄	pʰʊ15	厚～
薅	xɑ1	
薛	se15	
薪	sin1	
薯	fy2	
藏	sõ2	
藏	sõ15	西～
藕	iø3	～煤:蜂窝煤
藜	li1	植物上的刺
藤	dɪ̃15	
藨	pʰɑ1	
藩	fã1	
藿	xʊ15	
蘸	tsã5	
虎	fu3	
虜	ləu3	
虐	iʊ15	
虑	lε5	
虔	xɪ̃2	
虛	fy1	
虞	y2	
蟲	ɕin2	
虱	se1	
虹	kõ5	
雖	siəu1	
蝦	xɔ1	
螞	mɔ3	
蚊	min1	
蠶	sã2	
蚣	kən1	
蛀	tɕiəu5	
蛆	tsʰiəu1	
蛇	ʃɔ2	
蛋	dã4	
蛙	ɔ1	
蛛	tɕiəu1	
蠻	mã2	
蟄	tɕi2	
蛾	ɔ5	飞～
蜀	tɕiəu15	
蜂	xən1	
蜈	u2	
蜓	din2	
蜘	tɕi2	～蛛
蜜	mi5	
蠟	la1	
蝙	pɪ̃3	
蝶	tʰe15	
螂	lõ2	
螃	bõ2	
融	in2	
螺	lʊ2	～丝
蟆	mɔ15	～牯：青蛙
蟒	mõ3	
蟢	ɕi3	
蟹	ka5	
蠚	xʊ1	
蠢	kʰuen3	
血	fe1-	出～
血	fe15=	～糖
行	xõ2	
行	xõ2	走;银～
行	ɕin2	～为
銜	xã2	
街	ka1	
衙	iɔ2	
衡	xɪ̃2	
衣	i1	
補	pu3	
表	pø3	～格;钟～;～姐
衫	sã1	
襯	tsʰin15	
衰	sε1	
袁	uɪ̃2	
襖	ɑ3	
袋	dε4	
袍	bɑ2	
袖	siəu5	
袜	fa15	～子
袜	ua15	～子
被	fi4	絮～:被子
被	bi15	～打
裁	sε2	
裂	le15	
裝	tsõ1	
裌	ka1	～衣:棉衣
裕	y5	
裙	fin2	
褲	kʰu15	
裳	sã1	
裸	lʊ3	
裹	kʊ3	
褙	pε5	～贴
褪	tʰin3	～裤子:脱裤子
襄	siã1	
襟	tɕin1	
襻	pʰã15	～扣
西	si1	～方
西	si5	东～
要	iø1	～求
要	iø5	想～
覆	pʰu1	碗口朝下放置
覆	fu1	翻～:正反
見	kɪ̃5	
觀	kuã1	参～
規	kui1	
視	sɿ5	
覽	lã3	
覺	tʃʊ15	知～
覺	kɑ5	困～:睡觉
角	kʊ1-	～落
角	tʃʊ15	一～钱
角	kʊ15=	三～板
解	ka3	～开
解	ka5	～木头:锯木头
解	kε3=	～释
觸	tɕiəu15	
言	ɪ̃2	
誇	kʰɔ1	
譽	y5	
誌	tsɿ5	
誓	sɿ5	
謰	lõ3	扯～谈:瞎扯
警	tɕin3	
計	tɕi5	
訂	din15	
訃	pʰu15	
認	ɕin4	～得
認	ɕin6	～得
譏	tɕi1	
討	tʰɑ3	
讓	iõ5	
訓	fin5	
議	i5	
訊	sin5	
記	tɕi5	
講	kõ3	
諱	fε5	
許	fu3	
許	fy3	
論	lin5	议～
訟	sən5	
諷	xən5	
設	xe15	
訪	xõ3	
訣	kue15	
证	tɕin5	
評	fin2	
識	tɕi2	
詐	tsɔ5	
訴	səu15	
診	tʃõ3	～病:治病
診	tɕin3	
詞	sɿ2	
詔	tʃø1	
譯	i5	
試	sɿ5	
詩	sɿ1	
誠	ɕin2	
誅	tɕiəu1	
話	ɔ1-	讲～
話	xɔ15=	～筒
誕	dã4	
詭	kui3	
該	kε1	～你的:欠你的
詳	siã2	
誣	u1	
語	y3	
誤	u5	错～
說	xe1-	～魂话:说鬼话
說	fe15=	～明书
誦	sən5	
請	tsʰiã3	
諸	tɕiəu1	
諾	iʊ15	
讀	tʰəu15	
課	kʰʊ15	
誰	si2	
調	dø2	～解
調	dø15	～羹
諒	liã5	
談	dã2	
誼	i5	
謀	mø2	
諜	tʰe15	
謊	xõ3	
謂	ui5	
讒	sã2	
諺	ɪ̃5	
謎	mi15	
謝	sia6-	姓
謝	se15=	～～
謠	iø2	
謙	kʰɪ̃1	
謹	tɕin3	
譚	dã2	
譜	pʰu3	
谷	ku1-	担～
谷	ku15=	～雨
豆	dø4	～崽:豆子
豆	dø6	～腐
豉	sɿ4	
豌	uã1	
象	siã5	大～
豪	xɑ2	
豫	y5	
豹	pɑ5	
豺	sa2	
貂	tø1	
貌	mɑ5	
貝	pε5	
貞	tɕin1	
負	fu5	
貢	kən5	
財	sε2	
責	tse15	
賢	xɪ̃2	
敗	fa15	～家子
賬	tʃõ5	
貨	dε15	
貨	xʊ5	
質	tɕi2	
販	fã5	
貪	tʰã1	
貧	fin2	
貶	pɪ̃3	
購	ke5	
貫	kõ5	
賤	sɪ̃6	
貼	tʰe1-	～被:铺在下面的被子
貴	kui5	
貿	mø5	
費	fi5	
賀	xʊ15=	～喜
賊	tsʰe15	
賈	tʃɔ3	姓
賄	fε3	
賂	ləu5	贿～
資	tsɿ1	
賒	ʃɔ1	
賦	fu5	
賭	təu3	
贖	ɕiəu5	
賞	ʃõ3	
賜	tsʰɿ15	
賠	fε2	
賴	la5	
賺	sã6	
賽	sε5	
赞	tsã5	
贈	tsʰɪ̃5	
贏	iõ2	
贏	iã2	
赤	tʃʰɔ1-	～脚
赤	tɕʰi15=	～道
赫	xε15	
走	tsø3	跑
赴	pʰu15	
趙	ʃø15	
趕	kã3	
起	tɕʰi3	～屋:盖房子
趁	tɕʰin15	
超	tʃʰø1	
越	ue1-	～来～
越	ue15=	～南
趨	tsʰiəu1	
趟	tʰõ15	
趣	tsʰi15	
足	tsʰəu15	
躍	iø5	
跌	te15	～价
跍	kʰu15	蹲
跑	pʰɑ3	
距	tɕiəu5	
跟	kε1	～他去
跟	kuε1	～他去
跟	kɪ̃1	
跤	kɑ1	
跨	kʰɔ1	
跪	kʰui3	
路	ləu1	道路;事情
跳	tʰø15	
踐	sɪ̃5	
踏	tʰa15	
踢	tʰia1	
踮	ti15	～起脚尖
踱	dəu15	
蹄	di2	
蹡	tsʰiã15	走路不稳
蹬	tʰən3	楼～:楼梯
躁	tsʰɑ15	生气
身	ɕin1	
躬	kən1	
躲	tʊ3	
躺	tʰiã3	
軃	dʊ15	倒:低着头
車	kʰe1=	汽～
軋	sa4	
軋	iɔ15	
軌	kui3	
軒	fɪ̃1	
轉	kuɪ̃3	～眼
轉	kuɪ̃5	～圆圈
輪	lin2	
軟	fɪ̃4	
轟	xən1	
軸	tɕʰiəu15	
輕	tʃʰõ1	
載	tsε5	～重;年～
轎	ʃø4	～子
轎	ʃø6	～子
輔	fu3	
輛	liã5	
輩	pε5	
輝	fε1	
輯	tsʰi15	
輸	fy1	～赢;运～
轄	xε15	直～市
辛	sin1	
辭	sɿ2	
辣	la5	
辨	bɪ̃15	
辯	bɪ̃15	
辮	pɪ̃1	
辰	ɕin2	
辱	ɕiəu15	
邊	pɪ̃1	
达	ta15	
迁	tsʰɪ̃1	
迅	sin5	
過	ku5-	～来
過	ku1	燃～了:燃尽了
過	kʊ1	从一个容器倒入另外一个容器
過	kʊ5=	～去:以前
邁	mε5	
迎	in2	
運	min5	
近	ɕin4	
還	a2	～有
還	fã2	～钱
進	tsin5	
遠	uɪ̃3	
違	ui2	
連	lɪ̃2	
遲	sɿ2	
迫	pʰε15	
述	fy5	
迷	mi2	
迹	tsi15	
追	tsi1	
退	tʰε15	
送	sən5	
適	ɕi15	
適	kʊ15	人名用字中的读音
逃	dɑ2	
逆	i15	
選	sɪ̃3	
遜	sin5	
透	tʰø15	
逐	tɕʰiəu15	
遞	di15	
途	dəu15	
逗	tø1	
通	tʰən1	
逝	sɿ5	
速	səu15	
造	sɑ6-	～孽:可怜
造	sɑ15=	～纸
逢	xən2	
逼	pi15	
逾	y2	
遇	y5	
遍	pɪ̃5	
遐	ʃɔ2	
道	lɑ3	一～符
道	dɑ6	～理
遺	i2	
遣	kʰɪ̃3	
遭	tsɑ1	
遮	tʃɔ1	
遵	tsin1	精～
避	pʰi15	～开
避	pʰe15	～开
邀	tsʰø1	～伴:邀人做伴
邀	iø1	
邀	tʃø3	～伙:合伙
邓	dɪ̃15	
邦	põ1	
邪	sia2	
郵	iəu2	
邵	ʃø5	～阳
邹	tsø1	
鄰	lin2	
郊	tʃø1	
郎	lõ2	
鄭	ɕin15	
郡	kuen1	
部	fu4-	一～车
部	fu15=	～队
郭	kʊ15	
都	təu1	首～
鄙	pʰi3	
酉	iəu3	
配	pʰε15	
酒	tsiəu3	
酥	səu1	
酬	ɕiəu2	
醬	tsiã5	
酵	ʃø5	～母粉
酷	kʰu15	
酸	sõ1	
釃	sia3	～茶:倒茶
釀	iõ5	
醉	tsiəu5	
醋	tsʰəu15	
醒	siã3	
醮	tsø5	打～
釉	iəu5	
釋	ɕi5	告～:告诉
里	li3	屋～;～子
里	lε3	
重	ɕin2	～复
重	ɕin4	轻～
野	iɔ3	
量	liã15	～长短
量	liã5	数～
金	tɕin1	
鏾	sɪ̃5	～鸡:阉鸡
鑢	ləu3	～炉铛:补锅
针	tɕin1	
釘	tiã1	～子
釘	tiã5	～钉子
釣	tø5	
釵	tsʰa1	
鈔	tsʰɑ1	
钟	tɕin1	
鋼	kõ1	
鑰	iʊ15	
欽	tɕʰin1	
鈞	kuen1	
鉤	tʃø1	
錢	sɪ̃2	
鉗	xɪ̃2	
鉢	pʊ15	
鈸	pʰʊ15	
鐵	tʰe1-	～锅
鐵	tʰe15=	～路
鈴	lin2	
鉛	mɪ̃2-	～笔
鉛	tsʰɪ̃1=	～笔
鉋	bɑ4	
鐸	tʰʊ15	
鉺	e3	
鐺	tsʰõ1-	一～饭:一锅饭
銅	dən2	
鍘	tsʰa15	
銘	min2	
鉸	tʃø3	
铲	tsʰã3	
銃	tɕʰin15	
銀	in2	
鑄	tɕiəu5	
鋪	pʰu1	～开
鋪	pʰu15	～子
銷	sø1	
鎖	sʊ3	
鋤	səu2	
鍋	kʊ1	
鋒	xən1	
錯	tsʰʊ15	～误
錫	sia1	
鑼	lʊ2	
錘	fy2	一～:一拳
錘	fy15	～公:锤子
錦	tɕin3	
鋸	tɕi5	
鍛	dõ15	
鍍	dəu15	
鎮	tɕin5	
鎔	in2	
鏡	tɕin5	
鑊	ʊ5	～子:菜锅
镰	lɪ̃2	
鑲	siã1	
長	ʃõ2	～短
長	tʃõ3	～大
門	min2	
閂	sõ1	
閉	pi5	
問	fin6	
闖	tsʰõ3	
閏	fin6	
闲	xã2	
間	kã1	一～屋
間	kã5	～断
閘	tsɔ5	
鬧	lɑ5	
閨	kui1	
聞	fin2	
閣	kʊ15	
鬮	tʃø1	捡～:抓阄
鬮	tɕiəu1	
閱	ue15	
閻	ɪ̃2	
闊	kʰε1-	蛮～:很宽
闊	kʰʊ15=	～气
隊	dε6-	一～：一起
隊	dε15=	～长
防	xõ2	
陽	iõ2	
陰	in1	
陣	ɕin15	
階	ka1	
阻	tsəu3	
阿	ɔ1-	～舅:妻子的兄弟
阿	ʊ1=	～胶
附	fu5	
際	tsi5	
陸	ləu5	
隴	lən3	
陳	ɕin2	
降	ʃõ2	投～
降	tʃõ5	下～
限	xã15	
陝	xɪ̃3	
陛	pi5	
陡	tø3	
院	uɪ̃5	
除	fy2	
險	xɪ̃3	
陪	fε2	
陵	lin2	
陶	dɑ2	
隆	lən2	
隨	si2	
隱	in3	
隔	ke15	
障	tʃõ5	
隶	tʰi15	
難	lã2	
難	lã5	困～
雀	tsʰø15	
雁	a5	～鹅:大雁
雄	ɕin2	
雅	iɔ3	
集	tsʰi15	～体
雇	ku5	
雌	tsʰɿ1	
雍	in1	
雕	tø1	
雨	y3	
雪	se1	落～
雪	se15=	～花
零	liã15-	
零	lin2=	～分
雷	lε2	
雹	pʰɑ1	
霧	fu6	～露:雾水
需	siəu1	
霄	sø1	
震	tɕin5	
霉	mε15	起～:发霉
霍	xʊ15	
霜	sõ1	
霞	ʃɔ2	
露	ləu5	～水
霸	pɔ5	
青	tsʰiã1	
靜	sin15	
靛	dɪ̃6	褪～:褪色
非	fi1	
靠	kʰɑ15	
面	mɪ̃1	脸;～灰:面粉
革	ke15	
靴	ʃɔ1	
鞋	xa2	
鞍	ã1	
鞭	pɪ̃1	
韓	xã2	
韭	tɕiəu3	
音	in1	
韶	ʃø2	
頁	e5	
頂	tin3	
頃	kʰuen3	
項	ʃõ5	～目
項	xõ15	～目
順	fin6	
须	siəu1	胡～;必～
頑	uã2	～皮
顧	ku5	
頓	tin5	
頒	pã1	
頌	sən5	
預	y5	
領	liã3	衣～
頗	pʰʊ1	
頸	tʃõ3	
頻	fin2	
穎	in3	
顆	kʰʊ1	
題	di2	
顏	ã2	
額	ɔ5	
顛	tɪ̃1	
顫	kɪ̃5	
風	xən1	
飄	pʰø1	
飛	fi1	
食	ɕi15	
餐	tsʰã1	
餘	y2	
饥	tɕi1	～饿;～荒
飯	fã6	
飲	in3	
飾	ɕi15	
飽	pɑ2	
飼	sɿ15	
飴	i2	
餉	ʃõ3	
餅	piã3	
餓	ʊ1	
館	kõ3	
餿	sø1	
饞	sã2	
饅	mõ2	
首	ɕiəu3	
香	ʃõ1	
騲	tsʰɑ3	
馬	mɔ3	
馱	dʊ2	～起来
馳	sɿ2	
驅	tɕʰiəu1	
駁	pʊ1	～嘴巴:吵架
駁	pʊ15	～钱:借钱～～货:进货
驢	ləu2	
駛	sɿ3	
駒	tɕiəu1	
駐	tɕiəu5	
駝	dʊ2	～子
駕	tʃɔ5	
罵	mɔ5	
驕	tʃø1	
駱	lʊ5	
驗	ɪ̃5	
騎	ɕi2	
騙	pʰɪ̃15	
騷	sɑ1	
驟	siəu15	
骨	kuε1	～头
骨	kui1	
髓	si2	
高	kɑ1	
髻	tɕin5	毛～:辫子
鬃	tsən1	
鬼	tɕiəu5-	短命～
鬼	kui3=	小气～
魁	kʰui1	
魂	fin2	
魄	pʰε15	
魏	ui5	
魔	mʊ2	
魚	y2	
魯	ləu3	
鮮	sɪ̃1	
鮮	sɪ̃3	朝～
鯉	li3	
鯽	tsi1-	～鱼
鯽	tsi15=	～鱼
鯨	tɕin1	
鰓	sε1	
鰭	ɕi2	
鰾	pʰɑ15	鱼鳔
鱗	lin2	
鳥	tø15	
雞	tɕi1	
鳴	min2	
鴉	iɔ1	
鸕	ləu2	
鴨	a1-	～婆:母鸭
鴨	iɔ15=	～子
鴰	ua5	老～子:乌鸦
鴿	kʊ15	
鴻	xən2	
鵝	u2	崖～子:老鹰
鵝	ʊ2	
鵡	u3	
鷂	iø5	
鸚	in1	
鷹	in1	
鹿	ləu1	
麝	ʃɔ4	
麥	mɔ5	
麩	fu1	
麩	fu1	～子肉:粉蒸肉
麻	mɔ2	
黃	õ2	～色;～眼狗:忘恩负义的人
黃	õ15	蛋～
黎	li2	
黏	iã2	粘贴
黑	xε1-	～色
黑	xε15=	～板
默	mε15	
鼎	tin3	
鼓	ku3	
鼓	ku15	瞪眼
鼠	fy5	老～子
鼬	iəu5	
鼻	bi4	～头
鼻	fi4	～头
鼾	xã1	
齊	si2	
齒	tsʰɿ3	
龍	lən2	
龜	kui1	
𨃅	pa1	
