#漢字	音標	解釋
㐄	kʰᴀ2	跨
毬	tɕʰiɘu2	男阴
毯	tʰɐ̃3	
毴	pʰi1	
毽	tɕiɛ̃4	
氈	tsɐ̃1	
氏	tsɿᵊ1	大月~
氏	sɿᵊ4	
氙	ɕiɛ̃1	
水	suɘi3	
氾	fɐ̃4	
求	tɕʰiɘu2	
汐	ɕi2	
汗	xɐ̃2	
汗	xɐ̃4	
汝	zu3	
池	tsʰɿᵊ2	
污	vu1	
汨	mᵇi2	
決	tɕiɛ2	
沂	ʑi2	
沃	ɣɔ2	
沐	mᵇu2	
沒	mᵇu2	
沒	mᵇᴀ2	辱~
沒	mᵇɛ3	“没得”合音
沒	mᵇɘi1	~得
沒	mᵇɘi3	~有
沓	tʰᴀ2	
沕	mᵇi4	~头;~子
沙	sᴀ1	
沛	pʰɘi4	
沫	mᵇɔ2	
沫	mᵇɘi4	郭~若
沬	mᵇɘi4	
沮	tɕi1	
河	xɔ2	
沸	fu2	
油	ʑu2	老~子
油	ʑɘu2	
治	tsɿᵊ4	
沼	tsᴀɔ4	
沾	tsɐ̃1	
沿	ʑɛ̃2	
泅	tɕʰiɘu2	
泉	tɕʰiɛ̃2	
泊	pɛ2	
泊	pʰɛ2	停~
泌	mᵇi2	
泌	pɘi4	人名
法	fᴀ2	
泖	mᵇᴀɔ3	
泛	fɐ̃4	
泝	su4	
泡	pʰᴀ1	即“脬”
泡	pʰᴀɔ1	
泡	pʰᴀɔ4	浸~;水~
波	pɔ1	
泣	ɕi2	
泥	nᵈi2	
注	tsu4	
泰	tʰɐɛ4	
泹	tɐ̃3	
洑	fu2	
洗	ɕi3	
洛	lɔ2	
洩	ɕiɛ2	~气
洩	ɕiɛ4	
洫	ɕi2	
洲	tsɘu1	
活	xɔ2	
洽	tɕʰiᴀ2	
派	pʰɐɛ4	
流	nᵈiɘu2	
浙	tsɛ2	
浦	pʰu3	
浩	xᴀɔ4	
浮	fu2	~屠
浮	fɘu2	
浴	ʑu2	
海	xɐɛ3	
浼	mᵇɘi3	
浽	ɕi1	
浽	luɘi3	
消	ɕiᴀɔ1	
涉	sɛ2	
涎	ɕiɛ̃2	
涓	tɕiɛ̃1	
涕	ti4	
涪	pʰu2	
涯	ʑᴀ2	
涯	ŋᶢɐɛ2	天~海角
涰	tsʰɔ2	
液	ʑi2	
淆	ɕiᴀɔ2	
淇	tɕʰi2	
淈	ku3	涮
淑	su2	
淒	tɕʰi1	
淘	tʰᴀɔ2	
淚	luɘi4	
淡	tɐ̃4	
淤	ʑi1	
淬	tsʰuɘi4	
淮	xuɐɛ2	
淵	ʑɛ̃1	
淶	lɐɛ2	
淹	ŋᶢɐ̃1	白读
淹	ʑɛ̃1	文读
淺	tɕʰiɛ̃3	
添	tʰiɛ̃1	
澀	sɛ2	
減	tɕiɛ̃3	
渝	ʑi2	
渠	tɕʰi2	
渠	tɕʰi̹u2	水~
渡	tu4	
渣	tsᴀ1	
渤	pʰu2	
測	tsʰɛ2	
渲	ɕiɛ̃1	
渴	kʰɔ2	
渺	mᵇiᴀɔ3	
湄	mᵇɘi2	
湊	tɘu4	白读，即“斗”
湊	tsʰɘu4	文读
湑	ɕi3	
湖	fu2	
溉	kʰɐɛ4	
源	ʑɛ̃2	
溜	nᵈiɘu1	
溜	nᵈiɘu4	灵活、敏捷
溝	kiɘu1	
溢	ʑi2	
溪	tɕʰi1	
溯	su4	
溯	sɔ2	追本~源
溸	su4	
溺	nᵈi2	
溺	nᵈi4	~巴子，指唾沫星子;屙~，指小便
滁	tsʰu2	
滅	mᵇiɛ2	
滇	tiɛ̃1	
滋	tsɿᵊ1	
滌	ti2	
滑	xuᴀ2	
滓	tsɿᵊ3	
滔	tʰᴀɔ1	
滬	fu4	
滮	piᴀɔ1	
滯	tsʰɿᵊ4	
滴	ti1	~~，拟声词
滴	ti2	
滴	ti4	娇~~
滷	lu3	
滸	fu3	
滿	mᵇɐ̃2	文读
漁	ʑi2	
漂	pʰiᴀɔ1	
漂	pʰiᴀɔ4	
漆	tɕʰi2	
漏	lɘu4	
演	ʑɛ̃3	
漚	ŋᶢiɘu4	文读
漢	xɐ̃4	
漤	lɐ̃3	
漫	mᵇɐ̃4	
漱	su4	
漸	tɕiɛ̃4	
潑	pɔ2	活~
潑	pʰɔ2	
潘	pʰɐ̃1	
潛	tɕʰiɛ̃2	~水;~泳;~艇;~江
潛	tɕʰiɛ̃3	
潦	nᵈiᴀɔ2	
潭	tʰɐ̃2	
潮	tsʰᴀɔ2	
潰	kʰuɘi4	
潲	sᴀɔ4	
潷	pi2	
潽	pʰu2	
澀	sɛ2	
澁	sɛ2	
澆	tɕiᴀɔ1	
澇	lᴀɔ2	
澈	tsʰɛ2	
澡	tsᴀɔ3	
澤	tsʰɛ2	
澱	tiɛ̃4	
澹	tɐ̃4	
激	tɕi2	
激	kᴀ2	~动
濁	tsu2	
濁	tsʰɔ2	霉~，即倒霉;瞎~~
濇	tɕiᴀ2	~抠、~核桃，即小气
濇	sɛ2	
濕	sɿᵊ2	
濞	pi4	
濟	tɕi4	
濤	tʰᴀɔ2	
濫	lɐ̃4	
濮	pʰu2	
濯	tsɔ2	
濺	tsɐ̃4	
濾	luɘi4	
瀆	tu2	
瀉	ɕiɛ4	
瀑	pʰu2	
瀒	sɛ2	
瀘	lu2	
瀚	xɐ̃4	
瀝	nᵈi2	
瀣	ɕiɐɛ4	
瀦	tsu1	
瀨	lɐɛ4	
瀰	mᵇi2	
灋	fᴀ2	
灑	sᴀ2	~饭
灑	sᴀ3	
灑	suᴀ3	潇~
灕	nᵈi2	
灘	tʰɐ̃1	
火	xɔ3	
灰	xuɘi1	
灶	tsᴀɔ4	
灸	tɕiɘu1	
災	tsɐɛ1	
炅	kuɘi4	姓氏
炊	tsʰuɘi1	
炎	ʑɛ̃1	
炒	tsʰᴀɔ3	
炔	kʰuɐɛ3	
炔	kuɘi4	姓氏
炙	tsɿᵊ2	
炟	tᴀ2	
炫	ɕiɛ̃2	
炭	tʰɐ̃4	
炮	pʰᴀɔ2	~制
炮	pʰᴀɔ4	
炸	tsᴀ2	
炸	tsᴀ4	
爲	wɘi4	
烈	nᵈiɛ2	
烏	vu1	
烙	lᴀ2	油烧~
烙	lɔ2	
烟	ʑɛ̃1	
烤	kʰᴀɔ3	
焉	ʑɛ̃1	
焐	vu4	
焙	pɘi4	
焙	pʰɘi2	烘~
無	vu2	
無	mᵇɔ2	南~，佛教用语
焦	tɕiᴀɔ1	
焰	ʑɛ̃4	
焱	ʑɛ̃4	
然	lɐ̃2	~后
然	zɐ̃2	
煉	nᵈiɛ̃4	
煍	tɕʰiɘu1	烟熏
煎	tɕiɛ̃1	
煒	wɘi3	
煜	ʑi2	
煞	sᴀ2	
煤	mᵇɘi2	
照	tsᴀɔ4	
煨	wɘi1	
煩	fɐ̃2	
煪	tɕʰiɘu1	
煮	tsu3	
煲	pᴀɔ3	
煲	pɘu1	~汤
煳	fu2	~辣角
煸	piɛ̃3	
煼	tsʰᴀɔ3	
煽	sɐ̃4	
熁	ɕiɛ2	
熄	ɕi2	
煕	ɕi1	
熛	pʰiᴀɔ3	
熟	su2	
熬	ŋᶢᴀɔ1	白读，即“爊”
熬	ŋᶢᴀɔ2	文读
熱	zɛ2	
熹	ɕi1	
熾	tsɿᵊ2	
燀	tɐ̃3	用盐水煮
燁	ʑɛ2	
燃	zɐ̃2	
燎	nᵈiᴀɔ2	
燒	sᴀɔ1	
燕	ʑɛ̃4	
燥	tsʰᴀɔ4	
燥	sᴀɔ4	空~，指头脑清爽
燦	tsʰɐ̃4	
燧	suɘi4	
燬	kuɐɛ3	完蛋
燭	tsu2	
燮	ɕiɛ2	
燲	ɕiɛ2	
爆	pᴀɔ4	
爊	ŋᶢᴀɔ1	
爐	lu2	
爕	ɕiɛ2	
爛	lɐ̃4	
爝	tɕiᴀɔ4	
爪	tsuᴀ3	文读
爪	tsᴀɔ3	白读
爬	pᴀ1	白读
爬	pʰᴀ2	文读
爲	wɘi2	
爵	tɕiɔ2	
父	fu4	
爸	pᴀ2	
爹	tiɛ1	
爺	ʑᴀ2	老~车
爺	ʑɛ2	
爻	ɕiᴀɔ2	
爾	ɛ˞3	
牁	kɔ1	
片	pʰi4	鸦~烟;鸦~花
片	pʰiɛ̃1	电影
片	pʰiɛ̃3	白读
片	pʰiɛ̃4	文读
版	pɐ̃3	
牌	pʰɐɛ1	“跳板”游戏中的石子
牌	pʰɐɛ2	
牒	tiɛ2	
牘	tu2	
牙	ʑᴀ2	
牛	nᵈiɘu2	
牝	pʰi1	
牟	mᵇu2	文读
牟	mᵇɔ2	释迦~尼
牠	tʰᴀ1	文读
牠	lᴀ1	白读
牡	mᵇɘu3	
牢	lᴀɔ2	
牦	mᵇᴀɔ2	
牧	mᵇu2	
物	vu2	
牯	ku1	~子，指不懂事的小孩
牯	ku3	公牛;犟脾气
牱	kɔ1	
牸	tsɿᵊ4	
特	tʰɛ2	
特	tʰiɛ2	~别
牽	tɕʰiɛ̃1	
犀	ɕi1	
犁	nᵈi2	
犢	tu2	
犧	ɕi1	
犬	tɕʰiɛ̃3	
犯	fɐ̃4	
犵	kɛ2	花~狫，即花溪
狄	ti2	
狐	fu2	
狒	fu2	
狗	kiɘu3	
狙	tɕi1	
狡	tɕiᴀɔ2	~精，精明狡黠
狡	tɕiᴀɔ3	
狤	tɕi2	
狫	lᴀɔ3	花犵~，即花溪
狸	nᵈi2	
狹	ɕiᴀ2	
猇	ɕiᴀɔ1	
猋	piᴀɔ1	
猜	tsʰɐɛ1	
猝	tsu2	
猝	tɕʰi̹u2	仓~
猥	wɘi3	
貓	mᵇᴀɔ1	
蝟	wɘi3	
猴	xiɘu2	
猶	ʑɘu2	
猾	xuᴀ2	
獃	tɐɛ1	
獃	ŋᶢɐɛ2	~板
獄	ʑu2	
獅	sɿᵊ1	
獠	nᵈiᴀɔ2	
獨	tu2	
獬	sɐɛ4	
獲	xuɛ2	
獵	nᵈiɛ2	
獸	sɘu4	
獺	tʰᴀ2	
獻	ɕiɛ̃4	
玄	ɕiɛ̃2	
率	nᵈi2	
率	sɔ2	
玉	ʑi2	文读
玉	ʑi4	白读
玍	kɛ2	生~玍;麻~玍;老~玍
玍	kɛ4	生玍~，指生疏;麻玍~;老玍~;~古，指脾气古怪
玖	tɕiɘu3	
玠	kɐɛ4	
玡	ʑɛ2	
玫	mᵇɘi2	
玻	pɔ1	
珀	pɛ2	
珏	tɕiɔ2	
珠	tsu1	
班	pɐ̃1	
現	ɕiɛ̃4	
球	tɕʰiɘu2	
理	nᵈi3	
琉	nᵈiɘu2	
琊	ʑɛ2	
琢	tsɔ2	
琵	pʰi2	
琶	pʰᴀ1	
瑋	wɘi3	
瑕	ɕiᴀ1	
瑞	suɘi4	
瑟	sɛ2	
瑣	sɔ3	
瑪	mᵇᴀ3	
瑰	kuɘi4	
璃	nᵈi2	
璞	pʰu2	
璧	pi2	
璽	ɕi3	
瓜	kuᴀ1	
瓠	fu4	
瓢	pʰiᴀɔ2	
瓣	pɐ̃4	
瓦	wᴀ3	
瓷	tsʰɿᵊ2	
甘	kɐ̃1	
甜	tʰiɛ̃2	
產	tsʰɐ̃3	
甩	suɐɛ3	
甫	pʰu3	
田	tʰiɛ̃2	
由	ʑɘu2	
甲	tɕiᴀ1	指~壳
甲	tɕiᴀ2	
男	lɐ̃2	
甾	tsɐɛ1	
界	kᴀ4	搭~，指谈话内容切中主题
界	kɐɛ4	
畏	wɘi3	~缩
畏	wɘi4	
畔	pʰɐ̃4	
留	nᵈiɘu2	
畜	tsʰu2	牲口;粗语
畜	ɕi̹u2	
畢	pi2	
略	nᵈiɔ2	
番	pʰɐ̃1	白读
番	fɐ̃1	文读
畫	xuᴀ4	
畲	sɛ1	
畸	tɕi1	
疊	tiɛ2	
疏	su1	
疏	su4	稀~;注~
疑	nᵈi2	
疙	kɛ2	
疚	tɕiɘu4	
疣	ʑɘu2	
疤	pᴀ1	
疥	kɐɛ4	
疨	xᴀ1	嗓子~，即喉咙沙哑
疫	ʑi2	鼠~
疫	ʑu2	
疲	pʰi2	
疵	tsʰɿᵊ2	
疺	fᴀ1	~气，指土气，不时髦
疾	tɕi2	
疿	fɘi4	
痊	tɕʰiɛ̃2	
痔	tsɿᵊ4	
痘	tɘu4	
痞	pʰi3	
痢	nᵈi4	
痣	tsɿᵊ4	
痰	tʰɐ̃2	
痹	pʰi2	
痺	pʰi2	
瘁	tsʰuɘi4	
瘊	ɕiɘu1	
瘊	xiɘu2	
瘕	xᴀ1	~病，喉病
瘙	sᴀɔ1	
瘤	nᵈiɘu1	
瘦	sɘu4	
瘧	nᵈiɔ2	
瘩	tᴀ2	
瘸	tɕʰiɛ2	文读
瘸	kuɐɛ2	白读
療	nᵈiᴀɔ2	
癆	lᴀɔ1	干~病
癆	lᴀɔ2	
癆	lᴀɔ4	~药;~死
癌	ŋᶢɐɛ2	
癖	pʰi2	
癟	piᴀ3	白读
癟	piɛ3	文读
癡	tsʰɿᵊ1	
癩	lɐɛ4	
癬	ɕiɛ̃3	
癲	tiɛ̃1	
癸	kuɘi4	
發	fᴀ2	
白	pʰiᴀ3	~淡
白	pɛ2	
百	pɛ2	
百	pɐɛ3	老~夷，即傣族
皂	tsᴀɔ4	
的	ti1	文读
的	ti2	目~;~确
的	l̃ɘi1	白读
皆	kɐɛ1	
皈	kuɘi1	
皚	ŋᶢɐɛ3	
皮	pʰi2	
皺	tsɘu4	文读
盂	ʑi2	
盃	pɘi1	
益	ʑi2	
盒	xɔ2	
盔	kʰuɘi1	
盜	tᴀɔ4	
盞	tsɐ̃3	
監	tɕiɛ̃1	
監	tɕiɛ̃4	
盤	pʰɐ̃2	
盧	lu2	
盬	ku3	
目	mᵇu2	
直	tsɿᵊ2	
盼	pʰɐ̃4	
眉	mᵇi2	~毛;脑~心，指双眉之间;憨~憨眼;装疯眉翘
眉	mᵇɘi2	
看	kʰɐ̃1	白读
看	kʰɐ̃4	文读
眠	mᵇiɛ̃2	
眥	tsɐɛ4	
眨	tsᴀ2	挤眉~眼
眨	tsᴀ3	
眩	ɕiɛ̃2	
眷	tɕiɛ̃4	
眸	mᵇu2	文读
眼	ʑɛ̃3	
着	tᴀɔ3	白读
睉	tsuɐɛ1	
睚	ŋᶢɐɛ2	
睞	lɐɛ4	
睡	suɘi4	
睢	suɘi1	
睢	xuɘi1	
督	tu2	
睦	mᵇu2	
睩	lu2	
睫	tsᴀ2	眼~毛
睫	tɕiɛ2	
睬	tsʰɐɛ3	
睺	ɕiɘu2	
睿	zuɘi4	
瞄	mᵇiᴀɔ1	白读
瞄	mᵇiᴀɔ2	文读
瞅	tsʰɘu3	
瞇	mᵇi1	
瞌	kʰɔ2	
瞎	ɕiᴀ2	
瞖	ʑi4	
瞘	kʰiɘu1	
瞞	mᵇɐ̃2	
瞟	pʰiᴀɔ3	
瞥	pʰiɛ2	
瞧	tɕʰiᴀɔ2	
瞭	nᵈiᴀɔ2	
瞭	nᵈiᴀɔ3	
瞰	kʰɐ̃1	
瞻	tsɐ̃1	
瞿	tɕʰi2	
矁	tɕʰiɔ1	~一眼
矍	tɕiɔ2	
矗	tsʰu3	
矛	mᵇᴀɔ2	
矢	sɿᵊ3	
矣	ʑi3	
知	tsɿᵊ1	
矩	tɕi3	
矬	tɔ2	矮~~，蔑称，指矮子
矬	tsʰɔ4	
短	tuɐ̃3	
矮	ŋᶢɐɛ3	
矯	tɕiᴀɔ1	~枉过正
矯	tɕiᴀɔ3	
石	sɿᵊ1	霉~烂冚
石	sɿᵊ2	
砂	sᴀ1	
砌	tɕʰi4	
砍	kʰɐ̃3	
砑	ŋᶢᴀ4	白读
砑	ʑᴀ4	文读
砒	pʰi1	
硏	nᵈiɛ̃1	
砣	tʰɔ2	
破	pʰɔ4	
砸	tsᴀ2	文读
砸	tsuᴀ2	~药罐;~丢
硃	tsu1	
硌	kɔ2	
硒	ɕi1	
磑	ŋᶢɛ2	~墨
硝	ɕiᴀɔ1	
硤	ɕiᴀ2	
硫	nᵈiɘu2	
硯	nᵈiɛ̃4	
硯	ʑɛ̃4	~台
碎	tsʰuɘi4	~花
碎	suɘi4	
碑	pɘi1	
碓	tuɘi4	
碗	wᴀ3	~儿糕
碘	tiɛ̃3	
碚	pɘi4	
碟	tiɛ2	
碧	pi2	
碩	sɔ2	
碳	tʰɐ̃4	
碴	tsᴀ1	
確	kʰɔ2	~得定，表示能完成;~不定，表示不能完成
確	tɕʰiɔ2	
碼	mᵇᴀ3	
碾	nᵈiɛ̃3	
磁	tsʰɿᵊ2	
磇	pʰi1	
磐	pʰɐ̃2	
磑	ŋᶢɐɛ2	
磕	kʰɔ2	
磨	mᵇɔ1	~时间
磨	mᵇɔ2	
磨	mᵇɔ4	推~杠
磲	tɕʰi2	
礙	ŋᶢɐɛ4	
礫	nᵈi2	
示	sɿᵊ4	
社	sɛ4	
祀	sɿᵊ4	
祁	tɕʰi2	
祂	tʰᴀ1	文读
祂	lᴀ1	白读
祈	tɕʰi2	
祉	tsɿᵊ3	
祐	ʑɘu4	
祕	pɘi4	
祖	tsu3	
祝	tsu2	
祟	suɘi4	
祠	tsʰɿᵊ2	
祠	sɿᵊ4	阳明~
祧	tʰᴀɔ2	~屋，即堂屋
票	pʰiᴀɔ4	
祭	tɕi4	
祿	lu2	
禍	xɔ4	
福	fu2	
禕	ʑi1	
禦	ʑi4	
禧	ɕi1	
禪	sɐ̃2	
禮	nᵈi3	
禱	tᴀɔ3	
禹	ʑi3	
禺	ʑi2	
禾	xɔ2	
禿	tʰu2	
秀	ɕiɘu4	
私	sɿᵊ1	
秋	tɕʰiɘu1	
科	kʰɔ1	
秒	mᵇiᴀɔ3	
秕	pʰiɛ4	
秘	mᵇi2	神~
秘	pɘi4	
租	tsu1	
秩	tsʰɿᵊ2	
秩	tsʰɿᵊ4	~序
秸	tɕiɛ2	
移	ʑi2	
稀	ɕi1	
稅	suɘi4	
稆	luɘi3	
稍	sᴀɔ1	
稗	pɐɛ4	
稚	tsɿᵊ4	
稠	tsʰɘu2	
稭	kɐɛ1	
稷	tɕi2	
稻	tᴀɔ4	
稼	tɕiᴀ1	
稽	tɕi1	
稿	kᴀɔ3	
穀	ku2	
穗	xuɘi4	
穆	mᵇu2	
積	tɕi2	
穗	xuɘi4	
穟	xuɘi4	
穢	xuɘi4	
穫	xuɛ2	
穴	ɕiɛ2	
究	tɕiɘu4	
突	tʰu2	
窄	tsɛ2	
窈	ʑᴀɔ3	
窒	tsɿᵊ2	
窒	tsɿᵊ4	
窕	tʰiᴀɔ3	
窖	kᴀɔ4	
窟	kʰu2	
窠	kʰɔ1	
窣	sɔ1	
窩	ɣɔ1	
窪	wᴀ1	山~~，即山谷
窪	wᴀ4	
窯	ʑᴀɔ2	
窸	ɕi1	
窺	kʰuɘi3	
立	nᵈi2	
站	tsɐ̃4	
竭	tɕiɛ2	
端	tuɐ̃1	
竹	tsu2	
竿	kɐ̃1	
笆	pᴀ1	
笊	tsᴀɔ4	
笑	ɕiᴀɔ4	
笛	ti2	
笡	tsʰɛ4	
符	fu2	
第	ti4	
笸	pɔ3	
筆	pi2	
筏	pʰᴀ2	
筑	tsu2	贵阳城别称
答	tᴀ2	
策	tsʰɛ2	
筯	tsu4	
筱	ɕiᴀɔ3	
筲	sᴀɔ1	
筵	ʑɛ̃4	
筷	kʰuɐɛ4	
箄	pi4	
箇	kɔ2	~人;~旧
箇	kɔ4	
箇	kɛ1	~老子
箋	tɕʰiɛ̃1	
箍	ku2	金~棒
箍	kʰu1	
箬	zɔ2	
箭	tɕiɛ̃4	
箸	tsu4	一~面，筷子
箻	nᵈi2	
節	tɕiɛ2	
篇	pʰiɛ̃1	
築	tsu2	
築	tsɘu4	装填
篙	kᴀɔ1	
篛	zɔ2	
篤	tu2	
篩	sɐɛ1	
篳	pi2	
簇	tɕʰi̹u2	
簍	lɘu3	
簑	sɔ1	
簡	tɕiɛ̃3	
簪	tsɐ̃1	
簷	ʑɛ̃2	
簸	pɔ3	
簽	tɕʰiɛ̃1	
簾	nᵈiɛ̃2	
簿	pu4	
籃	lɐ̃2	
籌	tsʰɘu2	
籍	tɕi2	
籖	tɕʰiɛ̃1	
籟	lɐɛ4	
籤	tɕʰiɛ̃1	
籬	nᵈi2	
籮	lɔ2	
籲	ʑi4	
米	mᵇi3	
粑	pᴀ1	
粒	nᵈi2	
粕	pɛ2	
粗	tsʰu1	
粘	tsɐ̃1	
粟	ɕi̹u2	
粢	tsʰɿᵊ2	
粥	tɕi̹u2	
粵	ʑɛ2	
粹	tsʰuɘi4	
糅	zɘu2	
糊	fu2	
糍	tsʰɿᵊ2	
糕	kᴀɔ1	
糗	ɕiɘu3	
糙	tsʰᴀɔ4	
糜	mᵇi2	
糜	mᵇɘi2	~烂;扎~子，表示合伙骗人
糟	tsᴀɔ1	
糯	lɔ4	
糰	tʰuɐ̃2	
系	tɕi4	~裤带
系	ɕi4	
糾	tɕiɘu1	文读
糾	tɕiɘu2	白读，指从中抓到
紀	tɕi2	年~
紀	tɕi3	
紀	tɕi4	~念
紂	tsɘu4	
約	ʑɔ2	
約	ʑᴀɔ2	牵郎郎，~弟弟
納	lᴀ2	
紐	nᵈiɘu3	
紕	pʰi4	
紗	sᴀ1	
紙	tsɿᵊ3	
級	tɕi2	
素	su4	
索	sɔ2	
紫	tsɿᵊ3	
累	luɘi3	~计;积~
累	luɘi4	
細	ɕi4	
紹	sᴀɔ4	
絀	tsu2	
組	tsu3	
絆	pʰɐ̃4	
結	kɛ2	~~涩涩，说话吞吞吐吐或读文章生疏
結	tɕiɛ2	
絕	tɕiɛ2	
絞	tɕiᴀɔ3	
絡	lɔ2	
絡	lᴀɔ4	~腮胡
給	tɕi2	文读
給	kɛ1	白读
給	kɛ3	~予
絮	ɕi4	
絮	suɘi4	棉~
絲	sɿᵊ1	
絹	tɕiɛ̃1	
綏	ɕi1	
綠	lu2	
綢	tsʰɘu2	
維	wɘi2	
綴	tsuɛ2	
綺	tɕʰi3	
綻	tsɐ̃4	
綽	tsʰɔ2	
綽	tsʰᴀɔ1	宽~
綿	mᵇiɛ̃2	
緋	fɘi1	
緌	zuɘi2	
緖	ɕi4	
線	ɕiɛ̃4	
緝	tɕi2	
緞	tuɐ̃4	
緣	ʑɛ̃2	
編	piɛ̃1	
緬	mᵇiɛ̃3	
緯	wɘi4	
緲	mᵇiᴀɔ3	
練	nᵈiɛ̃4	
縐	tsɘu4	
縛	pɔ2	
縣	ɕiɛ̃4	
縮	sɔ2	
縷	lɘu3	
縹	pʰiᴀɔ1	
績	tɕi2	
績	tɕʰi2	~麻
繁	fɐ̃2	
繆	mᵇu2	未雨绸~
繆	mᵇiᴀɔ4	姓氏
繆	nᵈiᴀɔ2	山川相~
繆	mᵇiɘu4	
織	tsɿᵊ2	
繚	nᵈiᴀɔ2	
繞	zᴀɔ3	
繞	zᴀɔ4	~路
繡	ɕiɘu4	
繪	xuɘi4	
繭	tɕiɛ̃3	
繰	tɕʰiᴀɔ1	
繳	tɕiᴀɔ3	
繼	tɕi4	
纈	ɕiɛ2	
續	su2	手~
續	ɕi̹u2	
纏	tsʰɐ̃2	
纖	tɕʰiɛ̃1	
絝	kʰuᴀ4	
缶	fɘu3	
缺	tɕʰiɛ2	
罕	xɐ̃3	
罩	tsᴀɔ4	
罪	tsuɘi4	
置	tsɿᵊ2	位~
置	tsɿᵊ4	
罯	ɣɔ2	密封不透气
罰	fᴀ2	
罱	lɐ̃3	
署	su3	
罵	mᵇᴀ4	
罷	pᴀ4	
羅	lɔ2	
羈	tɕi1	
美	mᵇɘi3	
羔	kᴀɔ1	
羞	ɕiɘu1	
羨	ɕiɛ̃4	
義	nᵈi4	~气
義	ʑi4	
羯	tɕiɛ2	
羲	ɕi1	
羶	sɐ̃1	
羼	tsʰɐ̃4	
羽	ʑi3	
羿	ʑi4	
翅	tsɿᵊ4	~拐
翅	tsʰɿᵊ4	~膀
翊	ʑi2	
翌	ʑi2	
習	ɕi2	
翟	tsʰɛ2	姓氏
翟	tiɛ2	
翠	tsʰuɘi4	
翡	fɘi3	
翩	pʰiɛ̃1	
翰	xɐ̃4	
翹	tɕʰiᴀɔ1	~脚;死~~
翹	tɕʰiᴀɔ2	~的，形容笨手笨脚的样子;~起，形容扭曲不平
翹	tɕʰiᴀɔ4	
翻	fɐ̃1	
翼	ʑi2	羽~
翼	ʑi4	
耀	ʑᴀɔ4	
老	lᴀɔ3	
考	kʰᴀɔ3	
耄	mᵇᴀɔ4	
者	tsɛ3	
耋	tiɛ2	
而	ɛ2	白读
而	ɛ˞2	文读
耍	suᴀ3	
耐	lɐɛ4	
耒	luɘi4	
耖	tsʰᴀɔ4	乱翻物品
耗	xᴀɔ4	
耙	pᴀ4	
耦	ŋᶢiɘu3	
耳	ɛ4	折~根
耳	ɛ˞3	
耶	ʑɛ1	
耷	tᴀ2	
耷	tʰᴀ3	~起眼皮，指闭眼不管事
耽	tɐ̃1	
聊	nᵈiᴀɔ2	
聚	tɕi4	
聯	nᵈiɛ̃2	
聵	kʰuɘi4	
聶	nᵈiɛ2	
職	tsɿᵊ2	
聿	nᵈi2	
肄	ʑi4	
肆	sɿᵊ4	
肇	sᴀɔ4	
肉	zu2	
肌	tɕi1	
肏	zɿᵊ2	性交，粗语
肐	kɛ2	
肖	ɕiᴀɔ1	
肖	ɕiᴀɔ4	
肘	tsɘu3	
肘	tsɘu4	硬~
肚	tu3	动物的胃
肚	tu4	
肝	kɐ̃1	
肟	ɣɔ2	
股	ku3	
肢	tsɿᵊ1	
肢	tsʰɿᵊ1	夹~孔
肥	fɘi2	
肩	tɕiɛ̃1	
肬	ʑɘu2	
育	ʑu2	
肺	fɘi4	
脅	xɛ2	威~
胄	tsɘu4	
背	pɘi1	
背	pɘi4	
胎	tɐɛ4	
胚	pʰɘi1	
胞	pᴀɔ1	
胡	fu2	
胥	ɕi1	
胥	ɕi3	姓氏
胩	kʰᴀ3	
胯	kʰᴀ4	白读
胯	kʰuᴀ4	文读
胳	kᴀ2	~肢窝
胳	kɛ2	
脂	tsɿᵊ1	
脅	ɕiɛ2	
脆	tsʰuɘi4	
脈	mᵇɛ2	
脊	tɕi2	
脖	pʰu2	~颈
脖	pɔ2	
脞	tsʰɔ4	
脫	tʰɔ2	
脫	tʰɔ3	~肛
脬	pʰᴀ1	一~尿;一~屎
脬	pʰᴀɔ1	
脬	fɘu2	~肿
脯	pʰu3	
脲	nᵈiᴀɔ4	
脾	pʰi2	
腋	ʑi2	
腌	wɐɛ1	~臜
腐	fu3	
腑	fu3	
腡	lɔ2	
腦	lᴀɔ3	
腭	ɣɔ2	
腮	sɐɛ1	
腰	ʑᴀɔ1	
腱	tɕiɛ̃4	
腳	kɔ2	吊~楼
腳	tɕiɔ2	
腹	fu2	
腿	tʰɘi3	撒胯撒~，指穿着凌乱不注意形象
腿	tʰuɘi3	
膂	nᵈi3	
膈	kɛ1	~应
膈	kɛ2	
膊	pɔ2	
膏	kᴀɔ1	
膘	piᴀɔ1	
膚	fu1	
膜	mᵇɔ2	
膝	tɕi1	乞~脑壳
膝	tɕʰi2	
膝	ɕi1	乞~头
膠	tɕiᴀɔ1	
膢	lu2	
膩	nᵈi4	
膫	nᵈiᴀɔ2	
膳	sɐ̃4	
膻	sɐ̃1	
膼	tsuᴀ2	用脚踢
膽	tɐ̃3	
臂	pɘi4	
臉	nᵈiɛ̃3	
臊	sᴀɔ1	尿~气
臊	sᴀɔ4	~子;~皮
臍	tɕi1	肚~眼
臍	tɕʰi2	
臕	piᴀɔ1	
臘	lᴀ2	
臢	tsuɐɛ1	腌~
臥	ɣɔ4	
自	tsɿᵊ4	
臭	tsʰɘu4	
至	tsɿᵊ4	
