#漢字	音標	解釋#('wuu_th_yj_ds', '岱山話', '岱山', '#0000FF', None, None, '版本：2021-12-25<br>來源：<a href=https://github.com/ionkaon/dictionary>甬江話字詞表</a><br>說明：岱山城區字表整理自岱山縣誌編纂委員會：《岱山縣誌·方言》，浙江人民出版社，2006', '53 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,433 3 2 上 ꜂,,44 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,12 8 4b 陽入 ꜇')
紉	ȵiŋ6	缝〜
紋	vəŋ2	
紐	ŋœø2	
紐	ȵiʏ2	
純	zoŋ2	
紗	sa1	文
紗	so1	
紙	tsɿ3	
級	tɕiəʔ7	
紛	fəŋ1	
素	su5	文
素	ɕy5	
紡	fɔ̃3	
索	soʔ7	
紫	tsɿ3	
累	lai6	
細	ɕi5	
紹	ʑiɔ2	〜兴
紹	ɦiɔ2	
終	tsoŋ1	
組	tsu3	
組	tɕy3	
絆	bø6	
絆	buø6	
結	tɕiəʔ7	
絞	kɔ3	
絞	tɕiɔ3	文
絡	loʔ8	
給	tɕiəʔ7	
絨	ȵyoŋ2	
絮	sʮ5	文
絮	ɕi5	
統	tʰoŋ5	
絲	sɿ1	
絹	tɕye5	
綁	pã3	
綁	pɔ̃3	
綏	sai1	
經	tɕiŋ1	
經	tɕiŋ5	
綠	loʔ8	
維	vi2	
綱	kɔ̃1	
綴	tsai5	
綻	dzɛ6	
綽	tsʰœəʔ7	
綿	mi2	
緊	tɕiŋ3	
緖	dzʮ2	
緖	zʮ2	
線	ɕi5	
緝	tɕʰiəʔ7	
緞	dø6	
緣	ɦye2	
編	pi1	
緩	ɦuø2	
緬	mi2	
縊	i5	
縛	bau6	
縛	boʔ8	
縣	ɦye6	
縫	vəŋ2	
縫	vəŋ6	一条〜
縫	voŋ2	〜衣
縫	voŋ6	一条～
縮	soʔ7	
縱	tsoŋ1	〜横
縱	tsoŋ5	放〜
縷	lai6	
縻	mi2	
總	tsoŋ3	
績	tɕiəʔ7	
繁	vɛ2	
織	tɕiəʔ7	
繞	ȵiɔ2	
繡	ɕiʏ5	
繩	ɦiŋ2	
繪	ɦuai6	
繭	tɕi3	
繮	tɕiã1	
繰	tɕʰiɔ1	〜边
繳	tɕiɔ1	
繳	tɕiɔ3	
繼	tɕi5	
纂	tsʰø1	
續	dzoʔ8	
纏	dzø2	
纏	dʑi2	
纓	iŋ1	
纜	lɛ6	
缸	kɔ̃1	
缺	tɕʰyəʔ7	
罐	kuø5	
罕	hai3	
罩	tsɔ5	
罪	zai2	
罰	vaʔ8	
罵	ma6	文
罵	muo6	
罷	ba2	文
罷	buo2	
羅	lau2	
羌	tɕʰiã1	
美	mai2	
羔	kɔ1	
羞	ɕiʏ1	
羞	ɕiʏ5	
羣	dzoŋ2	
羣	dʑyoŋ2	
羣	dzoŋ2	
羣	dʑyoŋ2	
羨	zø6	
義	ȵi6	
羹	kã1	
羹	kəŋ1	文
羽	ɦy2	
翁	oŋ1	
翅	tsʰɿ5	
翎	liŋ2	
翠	tsʰai5	
翡	fi5	
翰	ɦai6	
翳	i5	
翻	fɛ1	
翼	ɦiəʔ8	
耀	ɦiɔ6	
老	lɔ2	
考	kʰɔ3	
者	tse1	
而	əl2	
耍	sa3	
耐	ne6	
耕	kã1	
耕	kəŋ1	文
耖	tsʰɔ5	
耗	hɔ5	
耘	ɦyoŋ2	〜田
耙	ba6	文
耙	buo2	
耙	buo6	
耬	lœø2	
耳	ȵi2	
耳	əl2	
耶	ɦia2	
耶	ɦie2	文
耽	tɛ1	
耿	kəŋ1	
聊	liɔ2	
聖	tsɔ3	
聖	ɕiŋ5	
聘	pʰiŋ5	
聚	zʮ2	
聞	vəŋ2	
聞	miŋ2	
聯	li2	
聰	tsʰoŋ1	
聲	ɕiŋ1	
聶	dʑiəʔ8	
職	tɕiəʔ7	
聽	tʰiŋ5	
聾	loŋ2	
肄	ɦi6	〜业
肅	soʔ7	
肆	sɿ5	
肉	zœəʔ8	文
肉	ȵyəʔ8	
肋	laʔ8	
肌	tɕi1	
肚	du2	
肝	ki1	
股	ku3	
肢	tsɿ1	
肢	tsɿ3	
肥	bi2	
肥	vi2	
肩	tɕi1	
肪	fɔ̃1	
肫	tsoŋ1	〜肝
肯	kʰəŋ3	
育	ɕyəʔ7	
育	ɦyəʔ8	
肺	fi5	
胃	ɦuai6	
背	pai5	
背	bai6	〜诵
胎	tʰe1	
胖	pʰɔ̃5	
胚	pʰai1	
胛	kʰaʔ7	肩〜
胞	pɔ1	
胡	ɦu2	
胳	koʔ7	
胸	ɕyoŋ1	
能	nəŋ2	
脂	tsɿ1	
脆	tsʰai1	
脆	tsʰai5	
脈	pʰaʔ7	
脊	tɕiəʔ7	
腳	tɕiəʔ7	
脣	zoŋ2	
脫	tʰaʔ7	
脯	fu3	
脯	bu2	胸〜
脾	bi2	
腋	ɦiəʔ8	
腎	zoŋ2	
腐	ɦu2	
腑	fu3	
腔	tɕʰiã1	
腕	uø1	
腕	uø3	
腡	lau2	
腥	ɕiŋ1	
腦	nɔ2	
腫	tsoŋ3	
腫	tɕyoŋ3	
腮	se1	
腰	iɔ1	
腱	dʑi6	
腳	tɕiəʔ7	
腿	tʰai3	
膏	kɔ1	
膚	fu1	
膜	mau2	
膝	ɕiəʔ7	
膠	kɔ1	
膠	tɕiɔ1	
膨	bã2	
膩	ȵi6	
膳	zø6	
膽	tɛ3	
膿	noŋ2	
臀	dəŋ2	
臉	li2	
臊	sɔ1	〜气
臍	dʑi2	
臘	laʔ8	
臟	dzɔ̃6	
臣	dʑiŋ2	
臥	ŋau6	
臨	liŋ2	
自	zɿ6	
臭	tɕʰiʏ5	香～
至	tsɿ5	
臺	tʰe1	天〜
臺	de2	
臻	tsəŋ1	
臼	dʑiʏ2	
舀	iɔ3	～水
舅	dʑiʏ2	
與	ɦy2	
興	ɕiŋ1	〜旺
興	ɕiŋ5	高〜
舉	tɕy3	
舊	dʑiʏ6	
舌	ɦiəʔ8	
舍	so3	
舍	so5	
舒	sʮ1	
舜	soŋ5	
舟	tɕiʏ1	
航	ɦɔ̃2	
般	bø2	
般	buø2	
舵	dau2	
船	zø2	
艇	tʰiŋ3	
艦	kʰɛ1	
良	liã2	
艱	tɕi1	
色	saʔ7	
艾	ŋe6	
芋	ɦy6	
芍	zœəʔ8	〜药
芍	ɦiəʔ8	〜药花
芒	mɔ̃2	
芙	ɦu2	
芝	tsɿ1	
芥	ka5	
芥	tɕie5	文
芬	fəŋ1	
芭	pa1	文
芭	puo1	
芮	zai6	
花	huo1	
芳	fɔ̃1	
芹	dʑiŋ2	
芽	ŋo2	
芽	ɦia2	文
苔	tʰe1	舌〜
苔	de2	
苗	miɔ2	
苟	kœø3	
若	zœəʔ8	
苦	kʰu3	
英	iŋ1	
茂	mœø6	
茄	ɡa2	番〜
茄	dʑia2	
茄	dʑie2	
茅	mɔ2	
茫	mɔ̃2	
茲	dzɿ2	
茴	ɦuai2	
茶	dza2	文
茶	dzo2	
荀	soŋ1	
草	tsʰɔ3	
荊	tɕiŋ1	
荒	huɔ̃1	
荔	li6	
荷	hau5	薄〜
荷	ɦau2	〜花
荸	bu2	
莊	tsɔ̃1	
莎	so1	
莖	tɕiŋ1	
莧	he5	〜菜
莫	moʔ8	
莽	mɔ̃2	
菊	tɕyəʔ7	
菌	tɕʰyoŋ5	
菖	tsʰɔ̃1	
菜	tsʰe5	
菠	pau1	〜菜
菠	puo1	〜菜
菩	bu2	
華	ɦuo2	中〜
華	ɦuo6	
菱	ləŋ2	〜角
菱	liŋ2	
菸	i1	
萄	dɔ2	
萌	məŋ2	文
萌	miŋ2	
萍	biŋ2	
萎	uai1	气〜
萬	mɛ6	
萬	vɛ6	
落	loʔ8	
葉	ɦiəʔ8	
著	tsʮ5	显〜
葚	ɦiŋ2	
葛	kaʔ7	
董	toŋ3	
葦	ɦuai2	
葬	tsɔ̃5	
葵	ɡuai2	
葷	huəŋ1	
蒂	ti5	
蒜	sø5	
蒯	kʰuɛ5	
蒲	bu2	
蒸	tɕiŋ1	
蒼	tsʰɔ̃1	
蒿	hɔ1	
蓄	ɕyəʔ7	储〜
蓉	ɦyoŋ2	
蓋	ke5	
蓑	so1	
蓖	pi1	〜麻
蓬	boŋ2	
蓮	li2	
蓴	zoŋ2	
蔑	miəʔ8	竹〜
蔓	mɛ6	
蔘	səŋ1	人〜
蔡	tsʰa5	
蔣	tɕiã3	
蔥	tsʰoŋ1	
蔫	i1	不鲜
蔬	ɕy1	
蔭	iŋ5	
蔽	pi5	
蕉	tɕiɔ1	
蕊	zai2	
蕎	dʑiɔ2	
蕩	dɔ̃2	放〜
蕭	ɕiɔ1	
蕻	hoŋ5	雪里〜
薄	bau6	〜荷
薄	boʔ8	
薛	ɕiəʔ7	
薦	tɕi5	
薩	saʔ7	
薪	ɕiŋ1	
薰	ɕyoŋ1	
薹	de2	
薺	dʑi2	
藉	ɦiəʔ8	狼〜
藍	lɛ2	
藏	dzɔ̃2	隐〜
藏	dzɔ̃6	西〜
藐	miɔ2	
藕	ŋœø2	
藝	ȵi6	
藥	ɦiəʔ8	
藩	fɛ1	
藩	vɛ2	
藿	hoʔ7	
蘆	lu2	
蘇	su1	文
蘇	ɕy1	
蘭	lɛ2	
蘸	tsɛ5	
虎	fu3	
虐	dʑiəʔ8	
虔	dʑi2	
處	tsʰʮ3	相〜
處	tsʰʮ5	〜所
虛	ɕy1	
虜	lu2	
虞	ȵy2	
號	ɦɔ2	呼〜
號	ɦɔ6	〜数
虢	kuaʔ7	
虧	kʰuai1	
虹	hœø5	
虹	ɦoŋ2	
虻	mɔ̃2	牛〜
蚊	məŋ2	
蚊	vəŋ2	文
蚌	bã2	
蚣	koŋ1	
蚶	hai1	〜子
蛀	tsʮ5	
蛆	tɕʰi1	〜虫
蛆	tɕy1	〜虫
蛇	dzo2	
蛋	dɛ6	
蛙	ua1	
蛙	uo1	
蛛	tsʮ1	
蛤	kaʔ7	
蛻	tʰai5	蝉〜
蛾	ŋau6	
蜀	dzoʔ8	
蜂	fəŋ1	
蜂	foŋ1	
蜇	tsœəʔ7	
蜈	ɦu2	
蜎	ɦuai6	
蜓	diŋ2	
蜜	miəʔ8	
蜻	tɕʰiŋ1	
蝕	ʑiəʔ8	
蝕	ɦiəʔ8	
蝗	ɦuɔ̃2	
蝙	pi1	
蝠	foʔ7	
蝦	huo3	
蝦	huø3	
蝴	tsʮ1	
蝶	diəʔ8	
螃	bɔ̃2	
融	ɦyoŋ2	
螞	muo2	
螢	ɦiŋ2	
螳	dɔ̃2	
螺	lø6	海〜
螺	lau2	
蟀	saʔ7	
蟆	ma2	文
蟆	muo2	
蟑	tsɔ̃1	
蟒	mɔ̃2	
蟢	ɕi3	
蟬	zø2	
蟲	dzoŋ2	
蟲	dʑyoŋ2	
蟶	tɕʰiŋ1	
蟻	ȵi2	
蟾	dzø2	〜酥
蟾	zø2	
蠅	iŋ1	
蠅	ɦiŋ2	
蠓	moŋ2	～虫
蠟	laʔ8	
蠢	tsʰoŋ3	
蠣	li2	
蠣	li6	
蠶	zai2	
蠻	mɛ2	
血	ɕyəʔ7	
衆	tsoŋ5	
行	ɦã2	〜为
行	ɦɔ̃2	〜列
行	ɦiŋ2	〜为
街	ka1	
街	tɕie1	文
衙	ŋo2	
衙	ɦia2	文（新）
衛	ɦuai6	
衝	tɕʰyoŋ1	
衣	i1	
表	piɔ3	
衫	sɛ1	
衰	se1	
袁	ɦye2	
袋	de6	
袍	bɔ2	
被	bi2	〜子
袴	kʰuo5	
裁	ze2	
裂	liəʔ8	
裏	li2	
裕	ɦy6	
裙	dzoŋ2	
裙	dʑyoŋ2	
補	pu3	
裝	tsɔ̃1	
裳	zɔ̃2	衣～
裴	bai2	
裸	lau2	
製	tsʮ5	
複	foʔ7	
褚	tsʮ5	姓
褥	zœəʔ8	
褪	tʰəŋ5	
褲	kʰu5	
褶	tɕiəʔ7	
襄	ɕiã1	
襉	tɕi3	
襖	ɔ3	
襟	tɕiŋ1	
襪	maʔ8	
襯	tsʰəŋ5	
襻	pʰɛ5	
西	ɕi1	
要	iɔ1	～求
覆	foʔ7	反〜
見	tɕi5	
規	kuai1	
覓	miəʔ8	
視	zɿ6	
親	tɕʰiŋ1	
親	tɕʰiŋ5	
覷	tɕʰi5	近〜
覺	kɔ5	睏〜
覺	tɕiɔ5	睡〜
覺	tɕyəʔ7	
覽	lɛ2	
觀	kuø1	参〜
觀	kuø5	〜察
角	koʔ7	
解	ka3	
解	tɕie3	文
觥	kuã5	
觸	tsʰoʔ7	
言	ɦi2	
訂	tiŋ5	
訃	fu5	
計	tɕi5	
訊	ɕiŋ5	
討	tʰɔ3	
訓	ɕyoŋ5	
訖	tɕʰiəʔ7	
託	tʰoʔ7	
記	tɕi5	
訟	dzoŋ6	
訣	tɕyəʔ7	
訪	fɔ̃5	
設	sœəʔ7	
許	ɕy3	
訴	su5	文
訴	ɕy5	
診	tsoŋ3	
註	tsʮ5	
詐	tsa5	文
詐	tso5	
詔	tɕiɔ5	
評	biŋ2	
詠	yoŋ3	歌～
詠	ɦyoŋ6	
試	sɿ5	
詩	sɿ1	
詭	kuai3	
詭	ɦuai2	
話	ɦua6	文
話	ɦuo6	
該	ke1	
誅	tsʮ1	
誅	tsʮ5	
誌	tsɿ5	
認	zoŋ6	文
認	ȵiŋ6	
誓	zɿ6	
誘	ɦiʏ2	
語	ȵy2	
誠	dʑiŋ2	
誣	ɦu2	
誤	nu6	
誤	ɦu6	
誤	ɡuɛ6	柄
誦	dzoŋ6	
說	sœəʔ7	
誰	zai2	
課	kʰau5	
誼	ȵi6	
調	diɔ2	〜和
調	diɔ6	
談	dɛ2	
諉	y5	
請	tɕʰiŋ3	
諒	liã6	
論	ləŋ2	
諜	diəʔ8	
諦	ti5	
諮	tsɿ1	
諱	huai5	
諱	ɦuai6	
諷	fəŋ5	
諸	tsʮ1	
諸	tsʮ5	
諺	ȵi6	
諾	noʔ8	
謀	mœø2	
謂	ɦuai6	
謊	huɔ̃1	
謎	mai2	
謎	mi2	
謗	pɔ̃5	
謙	tɕʰi1	
講	kɔ̃3	
講	tɕiã3	文
謝	ɦia6	
謠	ɦiɔ2	
謬	miɔ6	
謹	tɕiŋ1	
證	tɕiŋ5	
譏	tɕi1	
識	ɕiəʔ7	
譚	dɛ2	
譜	pu3	
警	tɕiŋ3	
譬	pʰi5	
譯	ɦiəʔ8	
議	ȵi6	
譽	ɦy6	
讀	doʔ8	
變	pi5	
讒	dzɛ2	
谷	koʔ7	
豁	huaʔ7	
豆	dœø6	
豇	kɔ̃1	
豈	tɕʰi3	
豉	zɿ6	豆〜
豌	uø1	
豎	zʮ2	
豐	fəŋ1	
豐	foŋ1	
豕	sɿ3	
象	ɦiã2	
豪	ɦɔ2	
豫	ɦy6	
豬	tsʮ1	雄〜
豬	tsʮ3	
豹	pɔ5	
豺	dze2	
貂	tiɔ1	
貌	mɔ6	
貓	mɔ2	
貓	mɛ2	
貝	pai5	
貞	tɕiŋ1	
負	vœø2	
財	dze2	
貧	biŋ2	
貨	hau5	
販	fɛ5	
貪	tʰai1	
貫	kuø5	
責	tsaʔ7	
貳	ȵi6	
貳	əl6	
貴	kuai5	文
貴	tɕy5	
貶	pi3	
買	ma2	
買	mɛ2	文
貸	de6	
費	fi5	
費	vi6	姓
貼	tʰiəʔ7	
貿	mœø6	
賀	ɦau6	
賂	lu6	
賄	huai3	
資	tsɿ1	
賈	tɕia3	姓
賈	tɕyo3	姓
賊	zaʔ8	
賒	so1	
賓	piŋ1	
賜	sɿ5	
賠	bai2	
賢	ɦi2	
賣	ma6	
賣	mɛ6	
賤	ʑi6	
賤	ɦi6	
賦	fu5	
質	tsœəʔ7	
賴	la6	
賺	dzɛ6	
購	kœø5	
賽	se5	
賽	ɦiʏ2	
贅	tsai5	
贈	dzəŋ6	
贈	zəŋ6	
贊	tsɛ5	
贏	ɦiŋ2	
贖	dzoʔ8	
赦	so5	
赫	haʔ7	
走	tsœø3	
赴	fu5	
起	tɕʰi3	
趁	tsʰoŋ5	
趁	tɕʰiŋ5	
超	tɕʰiɔ1	
越	ɦyəʔ8	
趕	ki3	
趟	tʰɔ̃5	
趣	tsʰʮ5	
趨	tsʰʮ1	
足	tsoʔ7	
趾	tsɿ3	
跌	tiəʔ7	
跍	ɡu2	蹲下
跑	bɔ2	
跔	ɡœø2	〜拢
跗	fu1	
距	dʑy2	
跟	kəŋ1	
跨	kʰuo5	
跪	ɡuai2	
路	lu6	
跳	tʰiɔ5	
踏	daʔ8	
踐	dʑi2	
踢	tʰiəʔ7	
踩	tsʰe3	
踱	doʔ8	
蹄	di2	
蹲	təŋ1	
蹲	tsəŋ1	
躁	tsɔ5	
躡	dʑiəʔ8	
躬	koŋ1	
躭	ɦoŋ6	
躲	tuo1	
躺	tʰɔ̃3	
車	tsʰo1	马〜
車	tɕy1	〜马
軋	ɡaʔ8	
軌	kuai3	
軍	tsoŋ1	
軍	tɕyoŋ1	文
軒	ɕi1	
軛	aʔ7	
軟	ȵye2	
軸	dʑyəʔ8	
較	tɕiɔ5	
載	tse1	满〜
載	tse5	
輔	fu1	
輕	tɕʰiŋ1	年〜
輛	liã6	
輜	tsɿ1	〜重
輝	huai1	
輞	mɔ̃2	
輩	pai5	
輪	ləŋ2	
輯	tɕʰiəʔ7	
輸	sʮ1	
輸	sʮ5	运〜
轂	koʔ7	
轄	ɦaʔ8	管〜
轅	ɦye2	
轉	tsø3	一〜眼
轉	tsø5	〜圈
轍	tsʰœəʔ7	
轎	dʑiɔ6	
轟	hoŋ1	
轡	pʰai5	
辛	ɕiŋ1	
辣	laʔ8	
辨	bi2	
辭	dzɿ2	
辮	bi2	
辯	bi2	
辰	zoŋ2	
辱	zœəʔ8	
農	noŋ2	
迂	y1	
迅	ɕiŋ5	
迎	ȵiŋ2	
近	dʑiŋ2	
迥	tɕyoŋ1	〜然不同
迫	paʔ7	
述	zœəʔ8	
迷	mi2	
迸	pã5	〜裂
迸	piŋ5	〜裂
追	tsai1	
退	tʰai5	
送	soŋ5	
逃	dɔ2	
逆	dʑiəʔ8	
透	tʰœø5	
逐	dzoʔ8	
途	du2	
逗	dœø6	
這	kiəʔ7	〜个
通	tʰoŋ1	
逛	ɡuɔ̃2	
逝	zɿ6	
逞	dʑiŋ2	
造	zɔ2	
逢	vəŋ2	
逢	voŋ2	
連	li2	
進	tɕiŋ5	
逵	ɡuai2	
逸	ɦiəʔ8	
逼	piəʔ7	
逾	ɦy2	
遁	dəŋ6	
遂	zai6	
遇	ȵy6	
遊	ɦiʏ2	
運	ɦyoŋ6	
遍	pi5	
遐	ia1	文
遐	yo1	
道	dɔ2	
達	daʔ8	
違	ɦuai2	
遘	bɛ2	
遜	səŋ5	
遞	di6	
遠	ɦye2	
遢	tʰaʔ7	
遣	tɕʰi3	
適	ɕiəʔ7	
遭	tsɔ1	
遮	tso1	
遲	dzʮ2	文
遲	dʑi2	
遵	tsəŋ1	
遷	tɕʰi1	
選	sø3	
選	sø5	
遺	ɦi2	
避	bi6	
邀	iɔ1	
邁	ma6	
邁	mɛ6	
還	ɦuɛ2	
邊	pi1	
邋	laʔ8	
邦	pɔ̃1	
邪	ɦia2	
邵	ʑiɔ2	文
邵	ɦiɔ2	
郁	yəʔ7	
郊	tɕiɔ1	
郎	lɔ̃2	
郝	hoʔ7	姓
郡	dʑyoŋ6	
部	bu2	
郭	koʔ7	
郵	ɦiʏ2	
都	tu1	
鄂	ŋoʔ8	
鄉	ɕiã1	
鄙	pi3	
鄧	dəŋ6	
鄭	dʑiŋ6	
酉	ɦiʏ2	
酌	tɕiəʔ7	
配	pʰai5	
酒	tɕiʏ3	
酣	hai1	
酥	su1	文
酥	ɕy1	
酪	loʔ8	
酵	kɔ5	
酷	kʰoʔ7	
酸	sø1	
醇	zoŋ2	
醉	tsai5	
醋	tɕʰy5	
醒	ɕiŋ3	
醜	tɕʰiʏ3	
醜	tɕʰiʏ5	
醫	i1	
醬	tɕiã5	
醭	pʰoʔ7	
醮	tɕiɔ5	
釀	dʑiã6	
釁	ɕiŋ5	
釉	ɦiʏ6	
釋	ɕiəʔ7	
重	dzoŋ2	
野	ɦia2	
野	ɦie2	文
量	liã2	
量	liã6	较〜
金	tɕiŋ1	
釘	tiŋ1	
釘	tiŋ5	
釜	fu1	
針	tɕiŋ1	
釣	tiɔ5	
釵	tsʰa1	文
釵	tsʰo1	
鈀	ba2	文
鈀	buo2	
鈉	naʔ8	
鈍	dəŋ2	
鈍	dəŋ6	
鈔	tsʰɔ1	
鈞	tɕyoŋ1	
鈴	liŋ2	
鈸	baʔ8	
鉢	paʔ7	
鉤	kœø1	
鉸	kɔ3	
鉸	tɕiɔ3	文
銀	ȵiŋ2	
銃	tsʰoŋ5	放〜
銅	doŋ2	
銘	miŋ2	
銜	ŋɛ2	
銜	ɦai2	文
銳	zai6	
銷	ɕiɔ1	
銼	tsʰau5	
鋒	fəŋ1	
鋒	foŋ1	
鋤	zɿ2	〜头
鋤	dzu2	文
鋤	dʑy2	
鋥	dzã6	〜亮
鋪	pʰu1	
鋸	ɡa6	〜木头
鋸	tɕy5	
鋼	kɔ̃1	
錐	tsai1	
錘	dzʮ2	
錛	pəŋ1	
錠	diŋ2	
錢	dʑi2	
錦	tɕiŋ3	
錨	mɔ2	
錫	ɕiəʔ7	
錮	ku5	
錯	tsʰau5	
鍍	du6	
鍘	zaʔ8	
鍛	tø5	
鍬	tɕʰiɔ1	
鍵	dʑi2	
鍾	tsoŋ1	
鍾	tɕyoŋ1	
鎊	pɔ̃1	
鎔	ɦyoŋ2	
鎖	sau3	
鎮	tsoŋ5	
鏊	ŋɔ6	
鏡	tɕiŋ5	
鏨	dzɛ6	〜花
鏵	ɦuo2	
鏽	ɕiʏ5	
鐗	tɕi5	车〜
鐘	tsoŋ1	
鐘	tɕyoŋ1	
鐙	təŋ5	
鐫	dzɛ2	
鐲	dzoʔ8	
鐲	dʑyəʔ8	
鐵	tʰiəʔ7	
鐸	doʔ8	
鐺	tʰã1	〜锣
鐾	bi6	〜刀
鑄	tsʮ5	
鑄	piɔ3	
鑊	ɦoʔ8	锅〜
鑰	ɦiəʔ8	
鑱	zɛ2	犁〜
鑲	ɕiã1	
鑷	dʑiəʔ8	
鑼	lau2	
鑿	zœəʔ8	
長	tɕiã3	生〜
門	məŋ2	
閂	sø1	
閂	ɕye1	
閃	sø3	
閃	ɕi3	
閉	pi5	
閏	ɦyoŋ6	
閑	ɦɛ2	
閒	ɦɛ2	
間	kɛ1	房〜
間	kɛ5	
間	tɕi1	空〜
間	tɕi5	〜断
閘	zaʔ8	
閣	koʔ7	
閨	kuai1	
閩	miŋ2	
閱	ɦyəʔ8	
閹	i1	
閻	ȵi2	
闊	kʰuaʔ7	
闖	tsʰɔ̃1	
闖	tsʰɔ̃3	
關	kuɛ1	
阜	vœø2	
防	bɔ̃2	
阻	tɕy3	
阿	a1	〜姆
阿	au1	〜胶
阿	aʔ7	
附	ɦu6	
陋	lœø6	
陌	maʔ8	
降	kɔ̃5	下〜
降	ɦɔ̃2	投〜
降	tɕiã5	下〜
降	ɦiã2	
限	ɦɛ2	
陘	ɦiŋ2	
陝	sø3	〜西
陝	ɕi3	〜西
陡	tœø3	
院	ɦye6	
陣	dʑiŋ6	
除	dzʮ2	
陪	bai2	
陰	iŋ1	
陳	dʑiŋ2	
陵	liŋ2	
陶	dɔ2	
陷	ɦɛ6	
陸	loʔ8	
陽	ɦiã2	
隊	dai6	
階	ka1	
階	tɕie1	文
隑	ɡe6	〜牢
隔	kaʔ7	
際	tɕi5	
障	tsɔ̃5	
隧	zai6	
隨	zai2	
險	ɕi3	
隱	iŋ3	
隴	loŋ2	
隸	di6	
隸	li6	
雀	tɕʰiəʔ7	
雁	ŋa6	〜鹅
雁	ɦi6	
雄	ɦyoŋ2	
雅	ia1	文
雅	yo1	
雉	dzʮ2	文
雉	di2	
雌	tsʰɿ1	
雍	yoŋ1	
雕	tiɔ1	
雖	sai1	
雙	sɔ̃1	
雛	dʑy2	
雜	dzaʔ8	
雜	zaʔ8	
雞	tɕi3	
離	li2	
難	nɛ2	〜易
難	nɛ6	患〜
雨	ɦy2	
雪	sœəʔ7	文
雱	i3	
雲	ɦyoŋ2	
零	liŋ2	
雷	lai2	
雹	bɔ2	
電	di6	
需	sʮ1	
霄	ɕiɔ1	
震	tsoŋ5	
霍	hoʔ7	
霜	sɔ̃1	
霞	ia1	文
霞	yo1	
霧	ɦu6	
露	lu6	
霸	pa5	文
霸	puo5	
靈	liŋ2	
青	tɕʰiŋ1	
靖	ɦiŋ2	
靜	ɦiŋ2	
非	fi1	
靠	kʰɔ5	
靡	mi2	
面	mi6	
革	kaʔ7	
靴	ɕy1	
鞋	ɦa2	
鞍	ai1	
鞏	koŋ3	～固
鞘	ɕiɔ1	
鞘	ɕiɔ5	
鞭	pi1	
韓	ɦai2	
韭	tɕiʏ3	
音	iŋ1	
韶	ʑiɔ2	〜关
韶	ɦiɔ2	
韻	ɦyoŋ6	
頁	ɦiəʔ8	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɦɔ̃2	
順	zoŋ6	
須	sʮ1	
須	ɕy1	
頌	dzoŋ6	
預	ɦy6	
頑	ɦuɛ2	〜皮
頒	pɛ1	
頓	təŋ5	
頗	pʰau1	
領	liŋ2	
頭	dœø2	
頸	tɕiŋ3	
頻	biŋ2	
顆	kʰau3	
題	di2	
額	ŋaʔ8	
顏	ŋɛ2	
願	ȵye6	
顛	ti1	
類	lai6	
顧	ku5	
顫	tsø5	
顯	ɕi3	
顴	dʑye2	
風	fəŋ1	
風	foŋ1	
颼	sœø1	
飄	pʰiɔ1	
飛	fi1	
食	ʑiəʔ8	
食	ɦiəʔ8	
飢	tɕi1	
飯	vɛ6	
飲	iŋ3	
飲	iŋ5	
飴	ɦi2	
飼	dzɿ6	
飽	pɔ3	
飾	ɕiəʔ7	
餃	tɕiɔ3	
餅	piŋ3	
餈	zɿ2	麻〜
餉	ɕiã3	
養	iã3	
養	ɦiã2	
餌	ȵy6	
餐	tsʰɛ1	
餑	baʔ8	
餒	uai5	
餓	ŋau6	
餗	kã1	〜来〜去
餗	kã5	出来
餘	ɦy2	
餚	ɦiɔ2	
餛	ɦuəŋ2	
餞	dʑi6	～行
餡	ɦɛ6	
館	kuø3	
餾	liʏ6	
餿	sœø1	
饃	mau2	
饅	mɛ2	文,〜头
饅	mø2	〜头
饅	muø2	〜头
饑	tɕi1	
饒	iɔ1	
饒	ȵiɔ2	
首	ɕiʏ3	
香	ɕiã1	
馨	ɕiŋ1	
馬	ma2	文
馬	muo2	
馮	vəŋ2	
馮	voŋ2	文
馱	dau2	
馳	dzʮ2	
駁	poʔ7	
駐	tsʮ5	
駒	tɕy1	
駕	ko5	
駕	tɕia5	文
駛	sɿ3	
駝	dau2	
駭	he3	惊〜
駱	loʔ8	
騎	dʑi2	
騙	pʰi5	
騰	dəŋ2	
騲	tsʰɔ3	
騷	sɔ1	
騾	lau2	
驅	tɕʰy1	
驕	tɕiɔ1	
驗	ȵi6	
驗	ȵie6	
驟	dzœø6	
驟	zœø6	
驢	lu2	
骨	kuaʔ7	
骯	ɔ̃1	
髒	tsɔ̃1	
髓	ɕi3	
體	tʰi3	
高	kɔ1	
髮	faʔ7	
髻	tɕi5	
鬃	tsoŋ1	
鬆	soŋ1	
鬥	tœø5	
鬧	nɔ6	
鬱	yəʔ7	
鬼	kuai3	文
鬼	tɕy3	
魁	kʰuai1	
魂	ɦuəŋ2	
魄	pʰaʔ7	
魔	mau2	
魚	ɦy2	文
魚	ŋ̍2	
魯	lu2	
鮎	ȵi2	〜鱼
鮑	bɔ2	
