#漢字	音標	解釋
#簡稱	/	岳陽榮家灣
#全稱	/	岳陽榮家灣話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,42 3 2 上 ꜂,,45 5a 3a 全陰去 ꜄,21 6 3c 陽去 ꜅,5 7 4a 陰入 ꜆,22 8 4b 陽入 ꜇,,,,,,,24 5b 3b 次陰去 ꜂
#版本	/	2022-02-13
#錄入人	/	跳跳老鼠
#參考資料	/	《岳陽縣方言語音研究》
#說明	/	
粗	dzʱəu1	
粘	tsø̃1	
粟	ɕiəu7	
粥	tsəu7	
粱	liɔŋ2	
粳	ken3	
粵	yø7	
粹	dʑʱi15	純～
糉	tsəŋ5	
精	tɕiaŋ1-	
精	tɕin1=	
糊	fu2	
糍	tsɿ2	～粑
糕	kɔo1	
糖	tɔŋ2	
糙	dzʱɔo15	粗～；～米
糜	mi2	
糞	fən5	
糟	tsɔo1	
糠	ɡʱɔŋ1	
糧	liɔŋ2	
糯	lo6	
糰	dʱø̃2	
糾	tɕiəu1	～纏；～正
紀	tɕi3	～律；世～；年～
紂	tsəu6	
約	io7	
紅	xəŋ2	
紉	vən6	縫～
紋	vən2	
納	la7	
紐	ȵiau3	
純	fən2	
紗	sa1	
紙	tsɿ3	
級	tɕi7	
紛	fən1	
素	səu5	
紡	fuɔ̃3	
索	so7	繩～
紫	tsɿ3	
紮	tsɛ7	
累	li3-	連～
累	le6=	
細	ɕi5	
紹	sau6	
終	tsəŋ1	
組	tsəu3	
絆	bʱã15	
結	tɕi7	
絕	dʑʱi8	
絞	tɕiau3	
絡	lo8	
絨	iəŋ2	
絮	ɕi5	
統	dʱəŋ3	
絲	sɿ1	
絹	kuø̃1	
綁	pɔŋ3	
經	tɕin1	
綜	tsəŋ1	
綠	ləu8	
綢	tsəu2	
維	uei2	
綱	kɔŋ1	
網	uɔ̃3	
綴	kuei5	
綻	tsã5	～放
綽	tso7	闊～
綾	lin2	
綿	miẽ2	
緊	tɕin3	
緖	ɕi6	
線	ɕiẽ5	
緞	tø̃6	
緣	uø̃2	
編	piẽ1	
緩	fuø̃3	
緬	miẽ3	
緯	uei3	
練	liẽ6	
縊	i5	
縐	tsau2	
縛	pʊ7	
縣	ɕiẽ6	
縫	xəŋ2	～衣服
縫	xəŋ6	一條～
縮	səu7	
縱	tsəŋ5	
縷	li3-	
縷	lei3	
總	tsəŋ3	
績	tɕi7	
繁	fã2	
繃	pəŋ1	
織	tsɿ7	
繞	iau3	
繞	iau3	～線
繡	ɕiəu5	
繩	sən2	
繪	fei6	
繫	tɕi5	～鞋帶
繫	ɕi6	連
繭	tɕiẽ3	
繰	tɕiau3	
繳	tɕiau3	
繼	tɕi5	
纂	tsø̃5	編～
續	səu8	
纍	li3	～積
纏	tsø̃2	
纓	in1	
纖	dʑʱiẽ1	
纜	lɛ̃3	
缸	kɔŋ1	
缺	ɡʱuø7	
缽	pø7	
罈	tɛ̃2	
罐	kuø̃5	
罕	xø̃3	
罩	tsɔo5	
罪	tɕi6	
置	tsɿ5	
罰	fa8	
署	ɕy5	專～
罵	ma6	
罷	pa6	
羅	lo2	
羊	iɔŋ2	
羌	tɕiɔŋ1	
美	mi3	
羔	kɔo1	
羞	ɕiəu1	
羣	kuen2	
羨	ɕiẽ5	
義	ȵi6	
羶	sø̃5	
羹	ken1	
羽	y3	
翁	vəŋ1	
翅	tsɿ5	
翎	lin2	
習	ɕi8	
翠	dʑʱi15	
翠	dzʱei15	
翡	fei1	～翠
翰	xø̃6	
翹	dʑʱiau15	
翻	fã1	
翼	i7	
耀	iau6	
老	lɔo3	
考	ɡʱɔo3	
者	tsø3	
而	ø2	
耍	sa3	
耐	lai6	
耕	tɕien1-	
耕	ken1=	
耗	xɔo5	
耘	uen2	
耙	pa6	犁～
耬	lau3	
耳	ø3	
耽	tã1	
耿	ken3	
聊	liau2	
聖	sən5	
聘	bʱin15	
聚	ɕi6	
聞	vən2	
聯	liẽ2	
聰	dzʱəŋ1	
聲	saŋ1-	
聲	sən1=	
聳	səŋ3	
聶	ȵi7	
職	tsɿ7	
聽	dʱiaŋ15-	
聽	dʱin15=	
聾	ləŋ2	
肅	səu7	
肆	sɿ5	
肆	i6	～業
肇	tsau5	
肉	ȵiəu8	
肋	lø8	
肌	tɕi1	
肘	tsəu3	
肚	təu3	魚～
肚	təu6	腹～
肛	kɔŋ1	
肝	kø̃1	
股	ku3	
肥	fei2	
肩	tɕiẽ1	
肪	fuɔ̃1	脂～
肫	tən1	
肫	kuen6	雞～：雞胃
肯	dʑʱien3-	
肯	ɡʱen3=	
育	iəu7	
肺	fei5	
胃	uei6	
胄	tsəu5	
背	pi5-	
背	bʱi15-	～誦
背	pe6-	
背	pe5=	
胎	dʱɛ1	
胖	bʱɔŋ15	
胚	bʱe1	～胎
胛	tɕia7	肩～
胞	pɔo1	
胡	fu2	
胭	iẽ1	
胯	ɡʱua15	
胱	kuɔ̃1	
胳	ka7	～膊
胸	ɕiəŋ1	
能	lən2	
脅	ɕi8	
脆	dʑʱi15	
脈	mø8	
脊	tɕi7	
脫	dʱø7	
脯	bʱo1	胸～
脹	tsɔŋ5	
脾	pi2	
腆	tiẽ3	～肚
腋	i7	
腎	sən6	
腐	fu3	
腑	fu3	
腔	ɡʱɔŋ1-	
腔	dʑʱiɔŋ1=	
腕	uø̃5	
腡	lo2	
腥	ɕiaŋ5-	
腥	ɕin5=	
腦	lɔo3	
腫	tsəŋ3	
腭	ŋo7	
腮	sɛ1	
腰	iau1	
腱	tɕiẽ5	
腳	tso7	
腸	tsɔŋ2	
腹	fu7	
腿	dʱe3	
膀	pɔŋ3	
膏	kɔo1	
膘	piau1	
膚	fu1	
膜	mo2	
膝	dʑʱi7	
膠	tɕiau1=	
膨	pən2	～脹
膩	ȵi5	
膳	sã6	
膽	tã3	
膿	ləŋ2	
臀	tən2	
臂	pi5	
臃	iəŋ1	
臉	liẽ3	
臊	sɔo1	～氣
臍	tɕi2	
臘	lɛ8	
臟	tsɔŋ6	動物的內臟
臣	tsən2	
臥	ŋo6	
臨	lin2	
自	tsɿ6	
臭	dzʱəu15	香～
至	tsɿ5	
致	tsɿ5	
臺	te2	
臺	tei2	
臻	tsən1	
臼	tɕiəu6	
舀	iau3	～水
舂	dzʱəŋ1	
舅	tɕiəu6	
與	y3	給～
興	ɕin1	～旺
興	ɕin5	高～
舉	ky3	
舊	tɕiəu6	
舌	sø7	
舒	ɕy1	
舔	dʱiẽ3	以舌取物
舖	bʱo15	店～
舜	fən5	
舞	vu3	
舟	tsəu1	
航	xɔŋ2	
般	pø̃1	
舵	to6	
舷	ɕiẽ2	
船	kuø̃2	
艇	dʱin3	
艙	dzʱɔŋ1	
艦	kã5	
良	liɔŋ2	
艱	kã1-	
艱	tɕiẽ1=	
色	se7	
艷	iẽ6	
艾	ŋai6	
芋	y6	
芍	tso7	
芒	mɔŋ1	
芙	fu2	～蓉
芥	kai5	
芬	fən1	
芭	pa1	
花	fua1	
芳	fuɔ̃1	
芹	tɕin2	
芽	ŋa2-	發～
芽	ia2=	
苔	te2	青～；舌～
苗	miau2	
苛	ɡʱo1	
苞	pɔo1	
苟	kəu3	
若	io8	
苦	ɡʱu3	
苧	ky5	～麻
英	in1	
茂	miau6	
范	fã6	
茄	tɕia2-	～子
茄	tɕie2=	
茅	mɔo2	
茨	dzʱɿ2	～米：荸薺
茫	mɔŋ1	
茬	tsa1	
茴	fei2	～香
茶	tsa2	
茸	iəŋ2	
荀	ɕin2	
荊	tɕin1	
荒	fɔ̃1	
荔	li6	
荷	xo2	～花；薄～
荷	xo2	
莊	tsɔŋ1	
莓	mi2	
莖	tɕin5	
莠	iəu5	
莧	xã6	～菜
莫	mo8	
莽	mɔŋ3	
菊	tɕiəu7	
菌	kuen1	
菖	dzʱɔŋ1	～蒲
菜	dzʱai15	
菠	pʊ1	
菢	po6	～小雞
菢	pɔo6	
菩	po2	～薩
華	fua2	中～；～山
菱	lin2	
萄	tɔo2	
萌	məŋ2	
萍	pin2	
萎	uei3	
萬	vã6	
落	lo8	
葉	i8	
著	ky5	顯～
葛	kø7	
葡	po2	
董	təŋ3	
葦	uei3	蘆～
葫	fu2	
葬	tsɔŋ5	
葵	kuei2	
葷	fən1	
蒐	sau1	
蒙	məŋ2	
蒜	sø̃5	
蒲	po2	
蒸	tsən1	
蒼	dzʱɔŋ1	
蒿	kɔo1	
蓄	ɕiəu7	
蓉	iəŋ2	
蓋	kai5	
蓑	so1	
蓖	bʱi15	
蓖	pi6	～麻
蓬	pəŋ2	
蓮	liẽ2	
蔓	mã6	
蔗	tsa5	
蔗	tsa7	
蔡	dzʱai15	
蔣	tɕiɔŋ3	
蔥	dzʱəŋ1	
蔬	səu1	
蔭	in5	
蔽	pi5	
蕉	tɕiau1	香～
蕊	ȵi7	
蕎	tɕiau2	
蕨	kuø7	
蕩	dʱɔŋ15	放～
蕭	ɕiau1	
薄	bʱʊ8	
薅	xɔo1	
薑	tɕiɔŋ1	
薛	ɕi7	
薩	sa8	
薪	ɕin1	
薯	ɕy5	白～
薰	fən1	
藉	dʑʱi15	
藍	lɛ̃2	
藏	tsɔŋ2	隱～
藏	tsɔŋ6	西～
藐	miau3	
藕	ȵiau3	
藝	ȵi6-	
藝	i6=	
藤	tən2	
藥	io8	
藩	fã2	
藹	ŋai6	
藻	tsɔo3	
藿	xo7	～香
蘆	ləu2	～葦
蘇	səu1	
蘋	pin2	
蘭	lɛ̃2	
蘸	tsã5	～醬油
蘿	lo2	
虎	fu3	
虐	ȵio7	
虔	tɕiẽ2	
處	ɡʱy3	相～
處	ɡʱy15	～所
虛	ɕy1	
虜	ləu3	
號	xɔo6	呼～；～數
虧	ɡʱuei1	
虹	kɔŋ5	
虻	mɔŋ1	
蚊	mən1-	
蚊	vən2=	
蚌	pɔŋ6	
蚓	in3	
蚣	kəŋ1	
蚤	tsɔo3	
蚯	dʑʱiəu1	
蚶	xø̃1	
蛀	ky5	
蛆	dʑʱi1	生～
蛇	sa2-	
蛇	sø2=	
蛋	tã6	
蛙	va1	
蛙	ua1	
蛛	ky1	
蛤	ka2	～蟆
蛻	dʱi15-	
蛾	ŋo2	
蜀	ɕy3	
蜂	xəŋ1	
蜇	tsø7	
蜓	tin2	
蜜	mi8	
蜻	dʑʱin1	
蝌	ɡʱo1	
蝕	sɿ7	
蝗	fɔ̃2	
蝙	piẽ3	
蝠	fu5	
蝦	xa1-	～哩：蝦子；(存疑)螃～：螃蟹
蝦	ɕia1=	魚～
蝨	se7	～婆：長在頭髮中的小蟲，黑色，令頭髮很癢
蝴	fu2	
蝶	dʱi7	
蝸	o1	
螂	lɔŋ2	
螃	pɔŋ2	～蟹
螄	sɿ1	
融	iəŋ2	
螢	iaŋ2	
螳	tɔŋ2	～螂
螺	lo2	
蟀	so7	
蟄	tsɿ7	驚～
蟆	ma1	蛤～
蟋	ɕi7	
蟒	mɔŋ3	
蟥	fɔ̃2	
蟬	tsø̃2	
蟲	tsəŋ2	
蟹	xɛ3	(存疑)螃～
蟹	xai3	
蟻	ȵi3	
蟾	tsø̃2	～蜍
蠅	in2	
蠍	ɕi7	
蠟	lɛ8	
蠢	ɡʱuen3	
蠶	tsø̃2	
蠻	mã2	
血	ɕi7	
行	ɕin2	～爲；品～
行	xɔŋ2	～列；銀～
衍	iẽ3	
術	ɕy7	～語
街	kai1-	
街	tɕie1=	
衙	ia2	
衛	vei6	
衝	dzʱəŋ1	
衡	xen2	
衣	i1	
表	piau3	
衫	sɛ̃1	
衰	sɛ1	
衷	tsəŋ1	
袁	uø̃2	
袋	te6	
袍	pɔo2	
袖	tɕiəu6-	
袖	iəu6	
袖	ɕiəu6=	
被	pi6-	～子；～打
裁	tse2	
裂	li8	
裌	kɛ7	～衣
裕	y6	
裙	kuen2	
補	po3	
裝	tsɔŋ1	
裳	sɔŋ2	衣～
裴	pi2	
裸	lo3	
裹	li3	
裹	ko3	
製	tsɿ5	
複	fu7	
褒	pɔo1	
褚	ky3	姓氏
褥	iəu8	
褯	ɕi1	
褲	ɡʱu15	
褶	tsø7	
襖	ŋɔo3	
襟	tɕin1	
襠	tɔŋ1	
襪	va8	
襯	dzʱən15	
襲	ɕi7	
襻	bʱã1	紐～
西	ɕi1	
要	iau1	～求
要	iau5	想～；重～
覆	fu7	
見	tɕiẽ5	
規	kuei1	
覓	mi7	
視	sɿ6	
親	dʑʱin1	
親	dʑʱin15	～家
覺	kau5	
覺	tɕio7	知～
覽	lɛ̃3	
觀	kuø̃1	
觀	kuø̃1	參～；寺～
角	ko7	
解	kɛ3-	
解	tɕie3=	
觸	tsəu7	
言	iẽ2	
訂	tin5	
訃	bʱo15	
計	tɕi5	
訊	ɕin5	
討	dʱɔo3	
訓	fən6	
託	dʱo7	
訛	mo2	
訟	tsəŋ6	
訟	səŋ6	
訣	kuø7	
訪	fuɔ̃3	
設	sø7	
許	ɕy3	
訴	səu5	
診	tsən3	
註	ky5	
詐	tsa5	
評	pin2	
詞	tsɿ2	
詠	vən5	
試	sɿ5	
詩	sɿ1	
詭	kuei3	
話	fa6	
話	va6	
該	ke1	
詳	tɕiɔŋ2	
誅	ky1	
誇	ɡʱua1	
誌	tsɿ5	
認	ȵin6-	
認	vən6=	
誓	sɿ6	
誕	dʱɛ̃6	
誘	iəu5	
語	y3	
誠	tsən2	
誣	vu1	
誤	u6	
誦	səŋ3	
說	fø7	～話
誰	ɕy2-	
誰	fei2=	
課	ɡʱo15	
誼	ȵi3	
調	tiau2	～和
調	tiau5	～動；音～
談	tã2	
請	dʑʱiaŋ3-	
請	dʑʱin3=	
諒	liɔŋ2	
論	lən2	～語
論	lən6	議～
諜	dʱi7	
諫	tɕiẽ5	
諱	fei3	
諷	xəŋ5	
諸	ky1	
諺	ȵiẽ6	
諾	lo6	
謀	miau2	
謂	uei6	
謄	tən2	
謊	fɔ̃3	
謎	mi6	
謗	pɔŋ3	
謙	dʑʱiẽ1	
講	tɕiaŋ3-	
講	kɔŋ3-	
謝	tɕia6-	姓氏
謝	ɕie6=	多～
謠	iau2	
謬	miau6	
謹	tɕin3	
證	tsən5	
譏	tɕi1	
識	sɿ7	
譚	tã2	
譜	bʱo6	
警	tɕin3	
譬	pi6	
譯	i7	
議	ȵi3	
護	fu6	
譽	y3	榮～
讀	dʱəu7	
變	piẽ5	
讒	tsã2	
讓	iaŋ6	
谷	ku7	
豁	xo7	
豆	tau6	
豇	kɔŋ1	～豆
豈	dʑʱi3	
豉	sɿ3	豆～
豉	si6	
豌	uã1	～豆
豎	ɕy6	
豐	xəŋ1	
象	tɕiɔŋ6	
豪	xɔo2	
豫	y6	
豬	ky1	
豶	fən2	
豹	pɔo5	
豺	tsai2	
貂	tiau1	
貌	mɔo6	
貓	mɔo1	
貝	pi5	
貞	tsən1	
負	fu6	
財	tse2	
貢	kəŋ5	
貧	pin2	
貨	xo5	
販	fã5	
貪	dʱø̃1	
貫	kuø̃5	
責	tse7	
貳	ø6	
貴	kuei5	
貶	piẽ3	
買	mai3	
貸	te6	
費	fei5	～用
貼	dʱi7	
貿	miau6	
賀	xo6	
賂	ləu6	
賃	lin3	
賄	fei3	
賈	tɕia3	
賊	dzʱe8	
賒	sa1-	
賒	sø1=	
賓	pin1	
賜	dzʱɿ15	
賞	ɕiɔŋ3	
賠	pi2	
賢	ɕiẽ2	
賣	mai6	
賤	tɕiẽ6	
賦	fu5	
質	tsɿ5	
質	tsɿ7	
賬	tsɔŋ5	
賭	təu3	
賴	lai6	
賺	tsã6	
購	ko5	
賽	sai5	
贅	kuei5	
贈	tsən6	
贊	tsã5	
贏	iaŋ2-	
贏	in2=	
贓	tsɔŋ1	
贖	səu8	
赤	dzʱɿ7	
赦	sø6	
走	tsau3	
赴	bʱo15	
起	dʑʱi3	
趁	dzʱən15	
超	dzʱau1	
越	yø7	
趕	kø̃3	
趙	tsau6	
趟	dʱɔŋ15	一～
趣	dʑʱi15	
趨	dʑʱi1	
足	tsəu7	
趼	tɕiẽ3	
趾	tsɿ3	
跌	dʱi7	
跍	ɡʱu2	蹲
跑	bʱɔo3	
跛	pai1-	俗作⿰足拜
跛	pʊ3=	～足
距	ky6	
跟	tɕien1-	
跟	ken1=	
跡	tɕi7	
跨	ka2	(存疑)～過門檻
跨	ɡʱua15	
跪	ɡʱuei3	
路	ləu6	
跳	dʱiau15	
踏	dʱɛ7	
踐	tɕiẽ3	
踒	o1	
踢	dʱia7-	
踢	dʱi7=	
蹤	tsəŋ1	
踱	təu6	
踴	iəŋ3	
蹄	ti2	
蹩	bʱie3	走路時腳板不正
蹭	tsən1	
蹲	tsən1	
躁	dzʱɔo15	
躍	ȵio8	
躡	ȵi7	～腳走
身	sən1	
躬	kəŋ1	
躲	to3	
躺	dʱɔŋ3	
車	dzʱa1-	
車	ky1	
車	dzʱø1=	
軋	tsɛ7-	～棉花
軋	ia7=	
軌	kuei3	
軍	kuen1	
軒	ɕiẽ1	
軟	uø̃3	
軸	dzʱəu8	
較	tɕiau5	
載	tsɛ3	年～
載	tsɛ5	～重
輔	fu3	
輕	dʑʱiaŋ1-	
輕	dʑʱin1=	
輛	liɔŋ3	
輝	fei1	
輞	uɔ̃3	車～
輦	ȵiẽ3	
輩	pe5	
輪	lən2	
輯	tɕi7	編～
輸	ɕy1	
輻	fu5	
轄	xa7	管～
轅	uø̃2	
轉	kuø̃3	～眼
轉	kuø̃5	～圈
轍	dzʱø7	
轎	tɕiau6	
轟	xəŋ3	
轡	bʱi15	
辛	ɕin1	
辜	ku1	
辟	bʱi7	
辣	la8	
辦	pã6	
辨	piẽ6	
辭	tsɿ2	
辮	piẽ6	
辯	piẽ6	
辰	sən2	
辱	iəu8	
農	ləŋ2	
迂	y1	
迅	ɕin5	
迎	in2	
近	tɕin6	
返	fã3	
迥	tsəŋ2	
迫	bʱø7	
述	ɕy7	
迷	mi2	
迸	pəŋ5	
追	kuei1	
退	dʱi15	
送	səŋ5	
逃	tɔo2	
逆	ȵi6	
逍	ɕiau1	
透	dʱau15	
逐	dzʱəu8	
途	təu2	
逗	tau1	
通	dʱəŋ1	
逛	kuɔ̃5	
逝	sɿ6	
逞	dzʱən3	
速	səu7	
造	tsɔo6	建～
逢	xəŋ2	
連	liẽ2	
逮	tɛ3	
逮	te6	
進	tɕin5	
逵	kuei2	
逸	i7	
逼	pi7	
遁	tən6	
遂	sei15	
遇	y6	
遊	iəu2	
運	uen6	
遍	bʱiẽ15	一～；～地
過	ko5	
遐	ɕia2	
道	tɔo6	
達	dʱa7	
違	uei2	
遥	iau2	
遜	sən5	
遞	ti6	
遠	uø̃3	
遣	dʑʱiẽ3	
適	sɿ7	
遭	tsɔo1	
遮	tsa1	
遮	tsø1=	
遲	tsɿ2	
遵	tsən1	
遷	dʑʱiẽ1	
選	ɕiẽ2	
遺	i2	
遼	liau2	
避	pi6	
邀	iau1	
邁	man15	
還	fã2	～原
還	xɛ̃2	
邊	piẽ1	
邋	la3	(存疑)～糊：不講衛生
邋	lɛ8	
那	la5	
邦	pɔŋ1	
邪	tɕia2-	
邪	ɕie2=	
邵	sau5	
郊	tɕiau1	
郎	lɔŋ2	
郝	xo7	
郡	kuen6	
部	po6	
郭	ko7	
郵	iəu2	
都	təu1	～城；～是
鄂	ŋo7	
鄉	ɕiɔŋ1	
鄒	tsau1	
鄙	bʱi3	
鄧	tən6	
鄭	tsən6	
鄰	lin2	
酉	iəu3	
酌	tso7	
配	bʱi15	
酒	tɕiəu3	
酣	xø̃1	
酥	səu1	
酪	lo8	
酬	tsəu2	
酵	ɕiau5	
酷	ɡʱu15	
酸	sø̃1	
醃	iẽ1	
醇	fən2	
醉	tɕi5-	
醉	tsei3	
醋	dzʱəu15	
醒	ɕiaŋ3-	
醒	ɕin3=	
醜	dzʱəu3	
醫	i1	
醬	tɕiɔŋ5	
醭	bʱʊ7	
釀	iɔŋ5	
釁	ɕin5	挑～
釅	ȵiẽ6	～茶
采	dzʱai3	
釉	iəu6	
釋	sɿ7	
里	li3	
重	tsəŋ2	～複
重	tsəŋ6	輕～
野	ia3-	
量	liɔŋ2	～長短
量	liɔŋ6	數～
釐	li2	
金	tɕin1	
釘	tiaŋ1-	鐵～
釘	tiaŋ5-	～住；扔，丟
釘	tin1=	鐵～
釘	tin5=	～住
釜	fu3	
針	tsən1	
釣	tiau5	
釵	dzʱɛ1	
鈍	tən6	
鈔	dzʱɔo1	
鈞	kuen1	
鈴	lin2	
鉋	pɔo6	
鉗	tɕiẽ2	
鉛	uø̃2	
鉤	tɕiau1	
鉸	tɕiau3	
銀	ȵin2	
銃	dzʱəŋ15	
銅	təŋ2	
銘	min2	
銜	xã2	
銳	uei5	
銷	ɕiau1	
銼	dzʱo15	
鋒	xəŋ1	
鋤	tsəu2	
鋪	bʱo1	～設
鋸	ki5	
鋼	kɔŋ1	
錄	ləu8	
錐	kuei1	
錘	kuei2	
錢	tɕiẽ2	
錦	tɕin3	
錨	mɔo2	
錫	ɕi7	
錮	ku5	
錯	dzʱo15	～誤
錯	dzʱo7	
錶	piau3	
鍊	liẽ6	
鍋	ko1	
鍍	təu6	
鍘	tsa7	
鍛	tø̃6	
鍬	tɕiau1	
鍵	tɕiẽ5	
鍾	tsəŋ1	
鎖	so3	
鎮	tsən5	
鏊	ŋɔo6	
鏟	dzʱã3	
鏡	tɕin5	
鏨	tsã5	～花
鏵	fua2	
鏽	ɕiəu5	鐵～
鏾	ɕiẽ5	～雞：閹雞
鐃	iau2	
鐐	liau6	
鐘	tsəŋ1	
鐧	tɕiẽ6	車～
鐮	liẽ2	
鐲	tso7	
鐲	tsəu7	
鐵	dʱi7	
鐸	dʱo7	
鐺	tɔŋ1	
鐾	bʱi6	
鑄	ky5	
鑊	xo7	
鑑	kã5	
鑞	lɛ8	錫～
鑰	io8	～匙
鑲	ɕiɔŋ1	
鑷	ȵi7	～子
鑼	lo2	
鑽	tsã5	
鑽	tsø̃5	木工用具
長	tsɔŋ2	～短
長	tsɔŋ3	生～
門	mən2	
閂	sã1	
閃	sø̃3	
閉	pi5	
開	ɡʱɛ1	
閏	vən6	
閑	xã2-	
閑	ɕiẽ2=	
間	kã1-	中～；空～
間	kã5	～斷
閘	tsa7	
閣	ko7	
閥	fa8	
閨	kuei1	
閩	min3	
閱	yø7	
閹	tɕiəu1	
閹	iẽ1	
閻	ȵiẽ2	
闊	ɡʱø7	
闖	dzʱɔŋ3	
關	kuã1	
闢	bʱi7	
阮	uø̃3	
防	fuɔ̃2	
阻	tsəu3	
阿	ŋa1	～公：外公；～婆：外婆
阿	o1	～哥；～膠
附	fu6	
陋	lau6	
陌	pø7-	
陌	mø7=	
降	ɕiɔŋ2	
降	tɕiɔŋ5	下～
限	xã6-	
限	ɕiẽ6=	
陛	bʱi6	～下
陝	sø̃3	～西
陡	tau3	
院	uø̃6	
陣	tsən6	
除	ky2	
陪	pi2	
陰	in1	
陳	tsən2	
陵	lin2	
陶	tɔo2	
陷	xã6	
陸	ləu8	
陽	iɔŋ2	
隆	ləŋ2	
隊	ti5	
隍	fɔ̃2	
階	kai1-	
階	tɕie1=	
隔	ke5	
隘	ŋɛ5	
際	tɕi7	
障	tsɔŋ5	保～
隧	sei15	
隨	sei15	
險	ɕiẽ3	
隱	in3	
隴	ləŋ3	
隸	li5	
隻	tsɿ7=	
雀	dʑʱio7	
雁	ŋã6-	
雁	iẽ6=	
雄	ɕiəŋ2	
雅	ia3	
集	dʑʱi7	
雌	dzʱɿ1	
雍	in1-	
雍	iəŋ1=	
雕	tiau1	
雖	ɕi1	
雖	sei1	
雙	sɔŋ1	
雛	tsəu2	
雜	dzʱa8	
雞	tɕi1	
離	li2	～別；～開半寸
難	lã2	～易；患～
難	lɛ̃2	
雨	y3	
雪	ɕi7	
雲	uen2	
零	lin2	
雷	le2	
雹	bʱɔo15	
電	tiẽ6	
需	ɕi1	
霄	ɕiau1	
震	tsən5	
霉	mi2	
霍	xo7	
霎	sa5	
霓	ȵi2	
霜	sɔŋ1	
霞	ɕia2	
霧	vu6	
露	ləu6	
霸	pa5	
靈	lin2	
青	dʑʱiaŋ1-	
青	dʑʱin1=	
靖	tɕin6	
靜	tɕin6	
非	fei1	
靠	ɡʱɔo15	
面	miẽ6	
靨	iẽ5	
革	ke5	
靴	fia1-	
靴	ɕya1=	
鞋	xai2	
鞍	ŋø̃1	
鞏	kəŋ3	
鞘	dʑʱiau15	
鞠	tɕiəu7	
鞦	dʑʱiəu1	～韆
鞭	piẽ1	
韁	tɕiɔŋ1	～繩
韌	vən3	
韓	xø̃2	
韭	tɕiəu3	
音	in1	
韶	sau2	～關
韻	uen5	
響	ɕiɔŋ3	
頁	i8	
頂	tin3	
頃	dʑʱin3	
項	xɔŋ6-	
項	ɕiaŋ6=	
順	fən6	
須	ɕi1	
頌	səŋ6	
預	y6	
頑	uã2	～固；～皮
頒	pã1	
頓	tən5	
頗	bʱʊ3	
領	lin3	
頭	tau2	
頸	tɕiaŋ3-	
頻	pin2	～繁
顆	ɡʱo6	一～珠
題	ti2	
額	ŋa8-	
額	ŋe7=	
顏	ŋã2-	
顏	iẽ2=	
願	uø̃6	
顛	tiẽ1	
類	li6-	
類	le6	
顧	ku5	
顫	tsã5	
顯	ɕiẽ3	
顴	kuø̃5	～骨
風	xəŋ1	
颼	sau1	
飄	bʱiau1	
飛	fei1	
食	sɿ7	
飢	tɕi1	～餓
飩	tən5	
飯	fã6	
飲	in3	～酒
飲	in6	～馬
飼	dzʱɿ2	
飽	pɔo3	
飾	sɿ7	
餃	tɕio7-	
餃	tɕiau3=	
餅	piaŋ3-	
餅	pin3=	
餉	ɕiɔŋ3	
養	iɔŋ3	
餌	ø3	
餐	dzʱã1	
餓	ŋo6	
餚	ɕiau2	
餛	fən2	～飩
餜	ko3	
餞	tɕiẽ6	～行
餡	ɕiẽ6	
館	kuø̃3	
餵	y5-	
餵	uei5=	
餾	liəu2	
餿	sau1	
饃	mʊ2	
饅	mã2	～頭
饑	tɕi1	～荒
饒	iau2	
饞	tsã2	
首	səu3	
香	ɕiɔŋ1	
馨	ɕin1	
馬	ma3	
馮	xəŋ2	
馱	to2	
馳	tsɿ2	
駁	pʊ7	
駐	ky1	
駒	ky1	
駕	tɕia5=	
駙	fu6	
駛	sɿ3	
駝	to2	
駱	lo8	
駿	tsən5	
騎	tɕi2	
騙	bʱiẽ15	欺～
騰	tən2	
騷	sɔo1	
騾	lo2	
驅	dʑʱy1	
驕	tɕiau1	
驗	ȵiẽ6	
驚	tɕin1	
驟	tsau6	
驢	ləu2	
骨	kuø7	
髒	tsɔŋ1	不乾淨
髓	ɕi3-	
體	dʱi6	
高	kɔo1	
髮	fa7	
髻	tɕi7	
鬃	tsəŋ1	
鬆	səŋ1	
鬍	fu2	～鬚
鬚	ɕi1	鬍～
鬢	pin5	
鬥	tau5	
鬧	lɔo6	
鬱	iəu7	
鬼	kuei3	
魁	kuei1	
魂	fən2	
魄	bʱø7	
魏	uei6	
魔	mʊ2	
魘	iẽ3	
魯	ləu3	
鮎	ȵiẽ2	
鮑	pɔo6	
鮮	ɕiẽ1	～少；新～
鯉	li3	
鯨	tɕin1	
鯨	tɕin1=	
鯽	tɕi7	
鰍	dʑʱiəu1	
鰓	sɛ1	
鰣	sɿ2	
鰥	kuã1	～寡
鰭	tɕi2	
鰱	liẽ2	
鰾	bʱo1	
鱉	pi7	
鱔	sø̃6	
鱖	kuei5	
鱗	lin2	
鳥	tiau3-	
鳥	ȵiau3=	
鳩	tɕiəu1	
鳳	xəŋ6	
鳴	min2	
鴉	ia1	
鴛	uø̃1	
鴨	ŋɛ7	
鴨	ia7=	
鴻	xəŋ2	
鴿	ko7	
鵝	ŋo2	
鵡	vu3	鸚～
鵬	pəŋ2	
