#漢字	音標	解釋
怪	kuai5	
怯	tɕʰiɛ5	畏怯
恁	ŋən3	
恃	sɿ5	
恐	kʰuŋ3	
恆	xəŋ2	
恕	su5	
恢	xuei1	
恤	ɕy5	
耻	tsʰɿ3	
恨	xən5	
恩	ən1	
息	ɕi2	
息	ɕi2	休息
恰	tɕʰia5	
悄	tɕʰiau1	靜悄悄
悉	ɕi1	
悔	xuei3	
悠	iou1	悠悠
患	xuan5	
悲	pei1	
悶	mən5	悶得慌
情	tɕʰiŋ2	
惑	xuɤ5	
惟	uei2	
惠	xuei5	
惡	ɤ5	善惡
惰	tuɤ5	
惱	nau3	
想	ɕiaŋ3	
惹	ʐɤ3	
愁	tsʰou2	
愈	y5	愈好,病癒
愉	y2	
意	i5	
愚	y2	
愛	ai5	
感	kan3	
慈	tsʰɿ2	
態	tʰai5	
慌	xuaŋ1	
慎	sən5	
慕	mu5	
慘	tsʰan3	
慚	tsʰan2	
慢	man5	
慣	kuan5	
慧	xuei5	
慨	kʰai3	慷慨,感激
慪	ou5	慪氣
慫	suŋ3	慫恿
慮	ly5	
慰	uei5	
慶	tɕʰiŋ5	
慷	kʰaŋ1	慷慨
慾	y5	
憂	iou1	
憋	piɛ1	
憋	piɛ3	
憎	tsəŋ1	
憐	lian2	
憑	pʰiŋ2	
憤	fən5	
憨	xan1	癡
憫	min5	
憲	ɕian5	
憶	i5	
憾	xan5	
懂	tuŋ3	
懇	kʰən3	
懈	ɕiɛ5	
應	iŋ1	應當,應用
應	iŋ5	應對,回應
懊	au5	懊惱
懊	au5	懊悔
懲	tsʰəŋ2	
懵	məŋ3	懵懂
懶	lan3	
懷	xuai2	
懸	ɕyan2	
懼	tɕy5	
戀	lian5	
戈	kɤ1	
戌	ɕy1	
戍	su5	
戎	ʐuŋ2	
戎	yŋ2	
成	tsʰəŋ2	
我	uɤ3	
戒	tɕiɛ5	
或	xuɤ5	
戚	tɕʰi1	
截	tɕiɛ2	
戰	tsan5	
戲	ɕi5	
戳	tsʰuɤ2	
戴	tai5	
户	xu5	
戽	xu5	戽鬥
房	faŋ2	
所	suɤ3	
扁	pian3	
扇	san5	
扇	san1	動詞
手	sou3	
才	tsʰai2	
才	tsʰai2	剛才,僅僅
打	ta3	
扔	ləŋ1	
托	tʰuɤ1	手承物
托	tʰuɤ1	託管
扛	kʰaŋ2	
扣	kʰou5	扣住
扭	ȵiou3	
扮	pan5	
扯	tsʰɤ3	
扳	pan1	扳倒
扳	pan1	扳手跤
扶	fu2	
批	pʰi1	
扼	ɤ2	扼殺
扽	təŋ5	
找	tsau3	
承	tsʰəŋ2	
技	tɕi5	
抄	tsʰau1	略取,抄寫
把	pa3	把握把守一把
把	pa3	柄
抑	i5	
抓	tsua1	
投	tʰou2	
抖	tou3	
抗	kʰaŋ5	
折	sɤ2	弄折了
折	tsɤ2	折疊
折	tsɤ2	折斷
披	pʰei1	
抬	tʰai2	
抱	pau5	
抵	ti3	
抹	mɤ3	
抹	ma1	抹桌子
押	ia1	
抽	tsʰou1	
抿	min5	
拄	tsu3	拄拐杖
拆	tsʰai1	
拇	mu3	
拉	la1	
抛	pʰau1	
拌	pan5	
拍	pʰai1	拍打
拎	lin1	
拐	kuai3	
拒	tɕy5	
拓	tʰa5	拓本
拔	pa2	
拘	tɕy1	
拙	tsuɤ1	
招	tsau1	
拜	pai5	
括	kʰuɤ5	包括
拯	tsəŋ3	拯救
拱	kuŋ3	拱手
拳	tɕʰyan2	
拴	suan1	
拼	pʰin1	
拼	pʰin1	拚命
拽	tsuai5	拉
拽	tsuai5	拖
拾	sɿ2	拾起來
拿	na2	
持	tsʰɿ2	
指	tsɿ3	
按	an5	
挑	tʰiau1	
挖	ua1	
挨	ai1	挨近,挨住
挪	nuɤ2	
振	tsən5	
挺	tʰiŋ3	
挽	uan3	
挾	tɕia2	挾菜
捅	tʰuŋ3	捅破了
捆	kʰuən3	
捉	tsuɤ1	
捋	ly3	
捎	sau1	捎帶
捏	ȵiɛ1	
捐	tɕyan1	
捕	pʰu3	
捧	pʰəŋ3	
捱	ai2	捱打,捱罵
捷	tɕiɛ2	
捺	na5	撇捺
掃	sau3	掃地
掃	sau5	掃帚
掇	tuɤ1	拾掇
掇	tuei5	掂掇
授	sou5	
掉	tiau5	
掌	tsaŋ3	
掏	tʰau1	掏出來
掐	tɕʰia1	
排	pʰai2	
掘	tɕyɛ2	
掛	kua5	
掠	lyɛ3	
探	tʰan5	
接	tɕiɛ1	
控	kʰuŋ5	
推	tʰuei1	
措	tsʰuɤ5	措置
掫	tsou1	往上掫
掬	tɕy3	一掬,一捧
掮	tɕʰian2	
揀	tɕian3	
揈	xuŋ1	揈出去
揉	ʐou2	
描	miau2	
提	tʰi2	
插	tsʰa3	
揖	i3	
揚	iaŋ2	
換	xuan5	
揞	an3	揞住
揢	tɕʰia1	捕,捉,拿住
揩	kʰai1	揩油
揫	tɕiou1	一把揪住
揭	tɕiɛ1	
揮	xuei1	
援	yan2	援救
搊	tsʰou1	搊起來
損	suən3	
搓	tsʰuɤ1	
摇	iau2	
搜	sou1	
搞	tɕiau3	
搡	saŋ3	
搬	pan1	般
搭	ta1	
搶	tɕʰiaŋ3	
搶	tsʰuaŋ3	
摔	suai1	
摘	tsai3	
摞	luɤ5	摞起來
摟	lou1	摟取
摟	lou3	摟抱
摧	tsʰuei1	
摩	mɤ2	
摳	kʰou1	
摸	mɤ1	
摹	mɤ2	摹仿
撇	pʰiɛ3	撇捺,撇開
撈	lau1	
撑	tsʰəŋ1	
撑	tsʰəŋ5	椅子撐兒
撒	sa3	撒手,撒種
撓	nau2	
撕	sɿ1	
撙	tsuən1	
撚	ȵian3	以指撚碎
撞	tsuaŋ5	
撣	tʰan3	雞毛撣子
撤	tsʰɤ5	
撥	pɤ2	
撩	liau2	撩起來
撫	fu3	
撮	tsʰuɤ1	一撮米
撰	tsuan5	
撲	pʰu1	
撳	tɕʰin5	按
撼	xan5	
擀	kan3	擀面
擁	yŋ1	
擊	tɕi1	
擋	taŋ3	阻擋
操	tsʰau1	操作,操演
擎	tɕiŋ5	
擒	tɕʰin2	
擔	tan5	挑擔
擔	tan1	擔任
擘	pɤ5	用手擘開
據	tɕy3	
擠	tɕi3	
擦	tsʰa1	
擩	ʐy5	擩進去
擬	ȵi3	
擱	kau3	
擴	kʰuɤ5	擴充
擺	pai3	
擾	iau3	
攀	pʰan1	
攆	ȵian3	
攋	lai3	把攋
攏	luŋ3	
攔	lan2	
攙	tsʰan2	
攝	sɤ5	
攢	tsan3	積攢
攤	tʰan1	
攪	tɕiau3	
攬	lan3	
攮	naŋ3	用刀子攮
支	tsɿ1	
收	sou1	
改	kai3	
攻	kuŋ1	攻擊
放	faŋ5	
政	tsəŋ5	
故	ku5	
效	ɕiau5	
敏	min5	
救	tɕiou5	
敗	pai5	
敘	ɕy5	
教	tɕiau1	教書
教	tɕiau5	教育,教他去
敝	pi5	
敢	kan3	
散	san5	分散
散	san3	鞋帶散了
敦	tuən1	敦厚
敬	tɕiŋ5	
敲	tɕʰiau1	
整	tsəŋ3	
敵	ti2	
敷	fu1	
