#漢字	音標	解釋
#簡稱	/	利辛
#全稱	/	利辛話
#聲母	/	
#韻母	/	
#聲調	/	213 1 1a 陰平 ꜀,55 2 1b 陽平 ꜁,24 3 2 上 ꜂,,53 5 3 去 ꜄
#版本	/	2022-03-29
#錄入人	/	鶩高赭紗匕
#參考資料	/	《皖北方言利辛話語音研究》
#說明	/	
聒	kuə1	
聯	liã2	
聘	pʰiẽ5	
聚	tɕy5	
聰	tɕʰiuŋ1	
肅	su1	
肆	sɿ5	
肇	tʂɔ5	
肉	ʐəu5	
肋	lei5	
肖	ɕiɔ5	
肚	tu3	牛～
肚	tu5	～子
肛	kɑ̃1	
肝	kã1	
腸	tʂʰɑ̃2	
股	ku3	
肢	tʂʅ1	
肥	fei2	
肪	fɑ̃3	
骯	ɣɑ̃1	
肯	kʰẽ3	
育	y5	
肴	iɔ2	
肺	fei5	
肽	tʰɛ5	
腎	ʂẽ5	
腫	tʂuŋ3	
脹	tʂɑ̃5	
胃	uei5	
膽	tã3	
背	pei1	
背	pei5	
胎	tʰɛ1	
胖	pʰɑ̃5	
胛	tɕia2	
勝	ʂəŋ5	
胞	pɔ1	
胞	pʰɔ1	
胡	xu2	
朧	luŋ2	
胭	iã1	
胱	kuɑ̃1	膀～
胳	kə1	
胸	ɕiuŋ1	
能	nəŋ2	
脂	tʂʅ1	
脂	tʂʅ3	
脆	tsʰuei5	
脉	mei1	
膾	kʰuɛ5	
脏	tsɑ̃1	
腦	nɔ3	
膿	nuŋ2	
脖	pə2	
腳	tɕyo1	
脯	pʰu3	
脫	tʰuə1	
臉	liã3	
臘	la1	
腌	ɣa1	
腐	fu3	
腑	fu3	
腔	tɕʰiɑ̃1	
腕	uã5	
腚	tiŋ5	
腥	ɕiŋ1	
腭	ɣə2	
腮	sɛ1	
腰	iɔ1	
靦	miã3	
騰	tʰəŋ2	
腿	tʰei3	
膀	pɑ̃3	
膊	pə	胳～
膏	kɔ3	
膛	tʰɑ̃2	
膛	tʰɑ̃	胸～
膜	mə2	
膨	pʰəŋ2	
膳	ʂ膻衫煽搧杉删山ã5	
膺	iŋ1	
臀	tʰuẽ2	
臂	pi5	
臊	sɔ5	
臢	tsa3	～臜
臣	tʂʰẽ2	
自	tsɿ5	
臭	tʂʰəu5	
至	tʂʅ5	
致	tʂʅ5	
臼	tɕiəu5	
舀	iɔ3	
舅	tɕiəu5	
舌	ʂə2	
舍	ʂə3	
舒	tʂʰu1	
舔	tʰiã3	
舛	tʂʰuã3	
航	xɑ̃2	
般	pã1	
艙	tsʰɑ̃1	
舵	tuə5	
船	tʂʰuã2	
艇	tʰiŋ1	
艘	səu1	
良	liɑ̃2	
色	ʂei1	
艳	iã5	
藝	i5	
艾	ɣɛ5	
節	tɕie1	
芒	mɑ̃2	
芙	fu2	
芝	tʂʅ1	
芬	fẽ1	
芭	pa1	
芯	ɕiẽ1	
花	xua1	
芳	fɑ̃3	
芸	yẽ3	
芽	ia2	
葦	uei3	
蒼	tsʰɑ̃1	
苏	su1	
苑	yã5	
苒	ʐã3	
苓	liŋ2	
苔	tʰɛ1	舌～
苔	tʰɛ2	青～
苛	kʰə1	
苞	pɔ5	
若	ʐuə1	
苦	kʰu3	
苯	pẽ3	
英	iŋ1	
茁	tʂuə2	
茂	mɔ5	
范	fã5	
茅	mɔ2	
莖	tɕiŋ5	
茜	tɕʰiã5	
茨	tsʰɿ2	～淮河
茫	mɑ̃2	
茬	tʂa2	
茵	iẽ1	
茶	tʂa2	
茸	ʐuŋ2	
茸	iuŋ2	
茹	ʐu2	
茼	tʰuŋ2	～蒿
草	tsʰɔ3	
荒	xuɑ̃1	
莢	tɕia2	
蕎	tɕʰiɔ2	
荡	tɑ̃5	
榮	vəŋ2	
榮	ʐuŋ2	
榮	iuŋ2	
葷	xuẽ1	
荫	iẽ1	
藥	yo1	
荷	xə2	
莊	tʂuɑ̃1	
莘	ɕiẽ1	
莞	kuã3	
莫	mə1	
萊	lɛ2	
蓮	liã2	
萵	uə1	
瑩	iŋ2	
莽	mɑ̃3	
菁	tɕiŋ1	
菇	ku1	
菊	tɕy1	
菌	tɕyẽ1	
菜	tsʰɛ5	
菠	pə1	
菩	pʰu2	
菱	liŋ2	
菲	fei1	
萌	məŋ2	
萍	pʰiŋ2	
蘿	luə2	
營	iŋ2	
蕭	ɕiɔ1	
薩	sa5	拉～
薩	sa	披～
落	luə1	
落	luə5	
葆	pɔ3	
葚	ʂẽ5	桑～子
葛	kə1	
葡	pʰu2	
董	tuŋ3	
葩	pʰa1	
葫	xu2	
葬	tsɑ̃5	
葱	tsʰuŋ1	
葱	tɕʰiuŋ1	
葵	kʰuei2	
蒙	məŋ2	
蒜	ɕyã5	
蒲	pʰu3	
蓄	ɕy1	
蓉	ʐuŋ2	
蓊	uoŋ1	
藍	lã2	
蓬	pʰəŋ2	
蔑	mie1	
蔓	mã5	
蔟	tʂʰu3	～不叽：一种可食植物,呈毛毛虫形状
蔟	tɕʰiʊ3	～不叽：一种可食植物，状似毛毛虫
蔡	tsʰɛ5	
蔫	niã1	～巴
薔	tɕʰiɑ̃2	
藺	liŋ5	
藹	ɣɛ1	
蘊	yẽ5	
蕾	lei3	
薄	pə2	
薄	pə5	～荷
薅	xɔ1	
薛	ɕyo1	
薹	tʰɛ2	莴笋
藏	tsʰɑ̃2	
藏	tsɑ̃5	
藕	ɣəu3	
藤	tʰəŋ2	
藿	xuə1	
蘅	xəŋ2	
蘑	mə2	
蘸	tʂã5	
虎	xu3	
虐	yo1	
虔	tɕʰiã3	
虛	ɕy1	
虱	ʂʅ1	～子：跳骚
虸	tsɿ3	
虹	xuŋ2	
雖	suei1	
蝦	ɕia1	
蝕	ʂʅ2	月亮～
螞	ma1	～蚱
螞	ma2	～蚁
蚊	uẽ2	
蚌	pɑ̃3	河～
蚌	pəŋ5	～埠
蚣	kuŋ1	
蚱	tʂa	蚂～
蛀	tʂu5	
蛇	ʂə2	
蛋	tã5	
蟶	tʂʰəŋ2	
蛔	xuei2	
蛙	ua1	
蛤	xa2	
蛤	kə2	～蜊
蛤	xə2	
蠻	mã1	
蟄	tʂə1	
蟄	tʂʅ5	
蟄	tʂʅ5	惊～
蛹	ʐuŋ1	
蛹	iuŋ1	
蛾	ɣə2	
蜃	ʂẽ5	
蜈	u2	
蜓	tʰiŋ2	
蛻	tʰei5	
蝸	uə1	
蜘	tʂʅ1	
蜜	mi1	
蠟	la1	
蜻	tɕʰiŋ1	
蠅	iŋ2	
蟬	tʂʰã2	
蝌	kʰuə1	
蝗	xuɑ̃2	
蝙	piã3	
蝶	tie2	
蝽	tʂʰuẽ1	
螂	lɑ̃2	
螃	pʰɑ̃2	
融	ʐuŋ2	
融	iuŋ2	
蟎	mã3	
螳	tʰɑ̃2	
蟀	fɛ5	
蟆	xa2	
蟑	tʂɑ̃1	
蟒	mɑ̃3	
蟠	pʰã1	
蟹	ɕie5	
蠓	məŋ3	～虫
蠢	tʂʰuẽ3	
血	ɕie1	
行	xɑ̃2	
行	ɕiŋ2	
衙	ia2	
衡	xəŋ2	
衣	i1	
衣	tɕiẽ1	
補	pu3	
表	piɔ3	
襯	tʂʰẽ5	
衰	fɛ1	
衷	tʂuŋ1	
袁	yã2	
襖	ɣɔ3	
袋	tɛ5	
袍	pʰɔ2	
袖	ɕiəu5	
袜	ua1	
袢	pʰã5	～带
袤	mɔ5	
被	pei5	
裁	tsʰɛ2	
裁	tsʰɛ3	
裂	lie1	
裝	tʂuɑ̃1	
襠	tɑ̃1	
裕	y5	
裘	tɕʰiəu1	
裙	tɕʰyẽ2	
裟	ʂa1	
褲	kʰu5	
裳	ʂɑ̃	衣～
裸	luə3	
裹	kuə3	
褂	kua5	
褒	pɔ2	
西	ɕi1	
要	iɔ1	
要	iɔ5	
見	tɕiã5	
觀	kuã1	
規	kuei1	
覓	mi1	～人：给别人工资代替自己做事
視	ʂʅ5	
覽	lã3	
覺	tɕyo1	自～
覷	tɕʰy1	
角	kə2	～子
觸	tʂu2	
言	iã2	
訾	tsɿ1	
詹	tʂã1	
謄	tʰəŋ2	
誓	ʂʅ5	
警	tɕiŋ3	
譬	pi5	
讓	ʐɑ̃1	～一下
計	tɕi5	
訂	tiŋ5	
認	ʐẽ5	
訌	xuŋ5	
討	tʰɔ3	
讓	ʐɑ̃5	
訓	ɕyẽ5	
記	tɕi5	
講	tɕiɑ̃3	
諱	xuei5	
許	ɕy3	
訛	ɣə2	
論	luẽ2	～语
論	luẽ5	
訟	ɕiuŋ5	
設	ʂə1	
訪	fɑ̃3	
評	pʰiŋ2	
識	ʂʅ	认～
詐	tʂa5	
診	tʂẽ1	
診	tʂẽ3	
詞	tsʰɿ2	
詔	tʂɔ5	
誆	kʰuɑ̃1	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰəŋ2	
誅	tʂu1	
話	xua5	
誕	tã5	
詭	kuei3	
詢	ɕyẽ2	
詳	ɕiɑ̃2	
語	y3	
誤	u5	
誥	kɔ5	～壳子
誘	iəu5	
誦	ɕiuŋ5	
請	tɕʰiŋ3	
諸	tʂu1	
讀	tu2	
誹	fei1	
課	kʰuə5	
誰	ʂei2	
調	tʰiɔ2	～教
調	tiɔ5	曲～
諂	tʂʰã2	
諒	liɑ̃5	
諄	tʂuẽ1	
談	tʰã2	
謊	xuɑ̃3	
諳	ɣã1	
諺	iã5	
謎	mi2	～语
謎	mi5	破～：猜出谜语
諞	pʰiã1	
謝	ɕie5	
謠	iɔ2	
謗	pɑ̃3	
謙	tɕʰiã5	
謹	tɕiẽ3	
謾	mã5	
譚	tʰã2	
譙	tɕʰiɔ2	
譜	pʰu3	
豁	xuə1	
豆	təu5	
豇	tɕiɑ̃1	
豉	tʂʰʅ3	豆～
豌	uã1	
豚	tʰuẽ2	
豪	xɔ2	
豹	pɔ5	
貂	tiɔ1	
貌	mɔ5	
貔	pʰi2	
貞	tʂẽ1	
負	fu5	
財	tsʰɛ2	
賢	ɕiã2	
敗	pɛ5	
賬	tʂɑ̃5	
質	tʂʅ1	
貪	tʰã1	
貧	pʰiẽ2	
貶	piã3	～低
購	kəu5	
貫	kuã5	
貳	ɣɚ5	
賤	tɕiã5	
貼	tʰie1	
貴	kuei5	
貸	tɛ5	
貿	mɔ5	
費	fei5	
賀	xə5	
賊	tsei2	
賈	ku3	商～
賈	tɕia3	
賃	liẽ5	
贓	tsɑ̃1	
資	tsɿ1	
賑	tʂẽ5	
賒	ʂə1	
賦	fu5	
賭	tu3	
賞	ʂɑ̃2	
賜	tsʰɿ5	
賠	pʰei2	
賴	lɛ5	
贅	tʂuei5	
賺	tʂuã5	
賽	sɛ5	
贛	kã5	
赤	tʂʰʅ1	～脚丫：光着脚
赦	ʂə3	
趙	tʂɔ5	
趕	kã3	
趁	tʂʰẽ5	
超	tʂʰɔ1	
趨	tɕʰy1	
趟	tʰɑ̃5	
趴	pʰa1	
趾	tʂʅ1	
趿	tʰa1	～拉
跆	tʰɛ2	
跋	pa2	
跐	tsʰɿ3	～凳子：踩在凳子上面
跑	pʰɔ3	
距	tɕy5	
跟	kẽ1	
跨	kʰua5	
跩	tʂuɛ3	你真～
跪	kuei5	
路	lu5	
跳	tʰiɔ5	
踊	ʐuŋ3	
踒	uə1	
踝	xuɛ2	
踩	tsʰɛ3	
蹤	tsuŋ1	
踱	tuə2	
踵	tʂuŋ3	
踹	tʂʰuɛ5	
蹄	tʰi2	
蹅	tʂa3	～泥
蹈	tɔ3	
蹋	tʰa1	
蹚	tʰɑ̃1	
蹦	pəŋ5	
蹩	pie1	
蹬	təŋ1	
蹬	tiŋ1	
蹲	tuẽ1	
躁	tsɔ5	
身	ʂẽ1	
躬	kuŋ1	
軀	tɕʰy3	
躲	tuə3	
躺	tʰɑ̃3	
車	tʂʰə1	
軌	kuei3	
軒	ɕyã1	
轉	tʂuã3	～身
轉	tʂuã5	～动
輪	luẽ2	
軟	ʐuã3	
轟	xuŋ1	
軻	kʰə1	
軸	tʂu2	车～
輕	tɕʰiŋ1	
載	tsɛ3	
輔	fu3	
輛	liɑ̃5	
輩	pei5	
輝	xuei1	
輟	tʂʰuə5	
輻	fu3	
輯	tɕi2	
輸	vu1	
轅	yã2	
輾	tʂã3	
轆	lu	轱～
辜	ku1	
辭	tsʰɿ2	
辟	pi5	
辣	la1	
辯	piã5	
辮	piã5	
辰	tʂʰẽ2	
辰	tʂʰẽ	时～
辱	ʐu	侮～
邊	piã1	
达	ta2	
迁	tɕʰiã1	
迅	suẽ5	
迅	ɕyẽ5	
過	kuə1	
過	kuə5	
邁	mɛ5	
迎	iŋ2	
運	yẽ5	
近	tɕiẽ5	
返	fã3	
還	xɛ2	
還	xuã2	
這	tʂə5	
進	tɕiẽ5	
遠	yã3	
違	uei3	
連	liã2	
遲	tʂʰʅ2	
迥	tɕiuŋ3	
迷	mi2	
追	tsuei1	
退	tʰei5	
送	ɕiuŋ5	
適	ʂʅ1	
逃	tʰɔ2	
逆	i5	
逍	ɕiɔ1	
透	tʰəu5	
途	tʰu2	
通	tʰuŋ1	
逛	kuɑ̃5	
逞	tʂʰəŋ3	
速	su1	
造	tsɔ5	
逢	fəŋ2	
逮	tɛ3	
逼	pi2	
遇	y5	
遍	piã5	
道	tɔ5	
遛	liəu5	
遢	tʰa	邋～
遨	ɣɔ2	
遭	tsɔ1	
遮	tʂə1	
遵	tsuẽ1	
避	pi5	
邀	iɔ1	
邋	la1	
邓	təŋ5	
那	na5	
邦	pɑ̃1	
邪	ɕie2	
郵	iəu2	
邯	xã2	
邰	tʰɛ2	
邱	tɕʰiəu1	
邵	ʂɔ5	
郁	y5	
郎	lɑ̃2	
郡	tɕyẽ5	
郢	iŋ2	
部	pu5	
郭	kuə1	
鄲	tã1	
都	təu2	
鄙	pi3	
鄱	pʰə1	
酋	tɕʰiəu2	
酌	tʂuə2	
配	pʰei5	
酒	tɕiəu3	
酣	xã1	
酥	su1	
酮	tʰuŋ2	
醬	tɕiɑ̃5	
酶	mei2	
酷	kʰu5	
酸	ɕyã1	
釀	niɑ̃2	
醇	tʂʰuẽ2	
醉	tsuei5	
醋	tsʰu5	
醋	tɕʰiʊ5	
醒	ɕiŋ3	～来；～面
醛	tɕʰyã2	
采	tsʰɛ3	
釋	ʂʅ1	
重	tʂʰuŋ3	～复
重	tʂuŋ5	～量
量	liɑ̃2	
金	tɕiẽ1	
釵	tʂʰɛ1	
銲	xã5	
鑫	ɕiẽ1	
针	tʂẽ1	
釘	tiŋ1	
釘	tiŋ5	
釗	tʂɔ1	
釧	tʂʰuã5	
鈔	tʂʰɔ1	
钟	tʂuŋ1	
鈉	na1	
鋼	kɑ̃1	
鑰	yo1	～匙
欽	tɕʰiẽ1	
鈞	tɕyẽ1	
鈺	y5	
錢	tɕʰiã2	
鉗	tɕʰiã2	
鑽	tɕyã1	
鑽	tɕyã5	
鐵	tʰie1	
鉑	pə2	
鈴	liŋ2	
鈴	tɑ̃	
鉛	tɕʰiã1	
鐸	tuə2	
鋮	tʂʰəŋ2	
鐺	tɑ̃5	
鐺	tɑ̃	
銅	tʰuŋ2	
鋁	ly3	
鎧	kʰɛ3	
鍘	tʂa2	
鉻	kə2	～脚
铲	tʂʰã3	
銀	iẽ2	
鋪	pʰu1	～开：展开
鋪	pʰu5	商～
链	liã5	
銷	ɕiɔ1	
鍋	kuə1	
鋒	fəŋ2	
鋅	ɕiẽ1	
鑼	luə2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕiẽ1	
錳	məŋ3	
鍛	tuã5	
鍍	tu5	
鐫	tɕyã5	
鏡	tɕiŋ5	
鐳	lei2	
鐲	tʂuə2	
镰	liã2	
鑲	ɕiɑ̃1	
長	tʂʰɑ̃2	～短
長	tʂɑ̃3	成～
門	mẽ2	
閃	ʂ膻衫煽搧杉删山ã3	
閆	iã2	
閉	pi5	
問	uẽ5	
闖	tʂʰuɑ̃3	
闲	ɕiã2	
間	tɕiã1	
閔	miẽ3	
悶	mẽ1	～的慌
悶	mẽ5	解～
閘	tʂa2	
鬧	nɔ5	
閨	kuẽ1	
聞	uẽ2	
閩	miẽ3	
閭	ly3	
閥	fa2	
閣	kə1	
鬮	tɕiəu1	
閱	yo1	
閻	iã2	
闡	tʂʰã3	
闔	xə2	
闞	kʰã5	
阜	fu3	
隊	tei5	
阮	ʐuã3	
防	fɑ̃2	
陽	iɑ̃2	～光
陽	iɑ̃	太～
陰	iẽ1	
陣	tʂẽ5	
阻	tsu2	
阿	ɣa2	
陀	tʰuə2	普～
陀	tʰuə3	阿弥～佛
陂	pʰə3	陡～
附	fu2	
陸	lu1	
陳	tʂʰẽ2	
陋	ləu5	
降	ɕiɑ̃2	
限	ɕiã5	
陝	ʂ膻衫煽搧杉删山ã3	
陛	pi5	
院	yã5	
除	tʂʰu2	
隕	yẽ3	
險	ɕiã3	
陪	pʰei2	
陵	liŋ2	
陶	tʰɔ2	
陷	ɕiã5	
隆	luŋ2	
隋	suei2	
隍	xuɑ̃2	
隨	suei2	
隔	kei1	
隘	ɣɛ1	
障	tʂɑ̃5	
隧	suei5	
隽	tɕyã5	
難	nã2	
難	nã5	
雁	iã5	
雄	ɕiuŋ2	
集	tɕi2	
雇	ku5	
雌	tsʰɿ2	
雍	ʐuŋ1	
雕	tiɔ1	
雨	y3	
雪	ɕyo1	
雯	uẽ2	
雲	yẽ3	
零	liŋ2	
雹	pɔ2	
霧	u5	
需	ɕy1	
霆	tʰiŋ2	
震	tʂẽ5	
霉	mei2	
霍	xuə1	
霖	liẽ2	
霜	ʂuɑ̃1	
霞	ɕia1	
靄	ɣɛ3	
露	lu5	
露	ləu5	
霸	pa5	
霹	pʰi1	
霾	mɛ2	
青	tɕʰiŋ1	
靚	liɑ̃5	
靖	tɕiŋ5	
非	fei1	
靡	mi2	
面	miã5	
革	kə1	
靳	tɕiẽ5	
靴	ɕyo1	
靶	pa3	
鞋	ɕie2	
鞍	ɣã1	
鞘	tɕʰiɔ5	
鞠	tɕy1	
鞭	piã1	
韌	ʐẽ5	
韓	xã2	
韜	tʰɔ1	
韭	tɕiəu3	
音	iẽ1	
韵	yẽ1	
韵	yẽ5	
頁	ie1	
頂	tiŋ3	
须	ɕy1	
頑	uã2	
頓	tuẽ5	
頒	pã1	
頌	ɕiuŋ5	
預	y5	
領	liŋ3	
頗	pʰə1	
頰	tɕia2	
潁	iŋ3	
頻	pʰiŋ2	
顆	kʰuə1	
顎	ɣə1	
顏	iã2	
額	ɣə1	
額	ɣə2	仰
顛	tiã1	
顫	tʂã5	打～
顫	tʂʰã	打呵～
飃	pʰiɔ2	
風	fəŋ1	
颼	səu1	
飛	fei1	
食	ʂʅ2	
饥	tɕi1	
飭	tʂʰʅ	捯～
飯	fã5	
飲	iẽ3	～料
飲	iẽ5	动词
飾	ʂʅ1	
飽	pɔ3	
飼	sɿ5	
餌	ɣɚ3	
饒	ʐɔ2	
餉	ɕiɑ̃3	
餄	xə2	
餅	piŋ3	
餑	pə2	香～～
餓	ɣə5	
餡	ɕiã5	
館	kuã3	
餿	səu1	
饞	tʂʰã2	
饃	mə2	
饅	mã1	
饌	tʂuã5	
首	ʂəu3	
香	ɕiɑ̃1	
馨	ɕiẽ1	
騲	tsʰɔ2	
馬	ma3	～会
馱	tʰuə2	
馴	ɕyẽ5	
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	pə1	
驢	ly2	
駛	ʂʅ3	
駙	fu5	
駒	tɕy1	
駐	tʂu5	
罵	ma5	
驊	xua2	
駱	luə1	
駿	tsuẽ5-	
駿	tɕyẽ5=	
騎	tɕʰi2	
騙	pʰiã5	
騷	sɔ1	
騾	luə2	
骨	ku1	
骷	kʰu1	
骸	xɛ3	
髏	ləu5	
髖	kʰuã3	
髓	suei2	
高	kɔ1	
髦	mɔ2	
髻	tɕi1	
鬢	piẽ5	
鬼	kuei3	
魁	kʰuei2	
魂	xuẽ2	
魏	uei5	
魔	mə2	
魚	y2	
魷	iəu2	
魯	lu1	
鮁	pa5	
鱸	lu2	
鮑	pɔ5	
鮮	ɕiã1	
鯊	ʂa1	
鯽	tɕi1	
鯧	tʂʰɑ̃1	
鯨	tɕiŋ1	
鯿	piã3	
鱈	ɕyo1	
鱉	pie1	
鰻	mã5	
鱔	ʂ膻衫煽搧杉删山ã5	
鱗	liẽ2	
鳩	tɕiəu3	
雞	tɕi1	
鷗	ɣəu1	
鴨	ia1	
鴦	iɑ̃3	
鴛	yã1	
鴕	tʰuə2	
鴿	kə1	
鸞	l孪銮挛峦uã3	
鵑	tɕyã1	
鵡	u	鹦～
鵪	ɣã1	
鵬	pʰəŋ2	
鶩	u5	
鶴	xə5	
鸚	iŋ1	
鷺	lu1	
鹿	lu1	
麓	lu1	
麟	liẽ2	
麥	mei1	
麻	ma2	
黃	xuɑ̃2	
黎	li2	
黏	niã2	
黑	xei1	
黛	tɛ5	
黯	ɣã5	
鼎	tiŋ3	
鼓	ku3	
鼠	tʂʰu3	
鼻	pi2	
鼾	xã1	
齁	xəu1	～咸
齉	nɑ̃1	～鼻子
齊	tɕʰi2	
齒	tʂʰʅ3	
齡	liŋ2	
齜	tsɿ1	
齪	tʂʰuə5	
齷	uə1	
龍	luŋ2	
龔	kuŋ3	
龕	kʰã3	
龜	kuei1	
