#漢字	音標	解釋
□	ha1b	虾腰
畫	ua5	油画
異	i4	异同
當	tœŋ1b	当时;应当
當	tœŋ5	当铺;当作
疆	kiøŋ1b	新疆
疊	tet8	折叠
疏	ʃɔ1b	疏远
疏	ʃɔ1b	注疏
疑	i2	怀疑
疔	tiə̯ŋ1a	疔疮
疝	ʃan5	疝气
疤	pa1a	伤疤
疥	kai5	疥疮
疫	iek8	疫苗
疲	pʰɐi2	疲劳
疸	tam3	黄疸
疹	tʃʰɐn5	麻疹
疼	tʰɐŋ2	疼痛
疾	tʃɐt8	疾病
痂	ka1a	结痂
病	piə̯ŋ6	生病
症	tʃeŋ5	病症
痔	tʃi6	痔疮
痕	hɐn2	痕迹
痘	tɐu3	水痘
痛	tʰoŋ5	痛苦
痢	lɐi6	痢疾
痣	tʃi5	与胎记不同
痧	ʃa1a	刮痧;斑痧
痰	tʰam2	吐痰
痱	fɐi1b	痱子，热痱
痲	ma2	麻疹
痹	pɐi5	麻痹
瘋	foŋ1b	发疯
瘍	iøŋ2	溃疡
瘟	uɐn1b	鸡瘟
瘡	tʃʰœŋ1a	痔疮
瘦	ʃɐu5	瘦小
瘴	tʃiøŋ5	瘴气
瘸	pɐi1b	瘸
療	liu2	治疗
癐	kui6	癐[累]
癖	pʰek7a	癖好，怪癖
癡	tʃʰi1b	痴呆
癢	iøŋ4	皮肤痒
癩	lat8	癞头
癬	ʃin3	脚癣
癮	iɐn4	烟瘾
癰	ioŋ3	恶性脓疮
癱	tʰan3	瘫痪
癲	ten1b	癫狗
癸	kʰuɐi2	天干第十
登	tɐŋ1b	登山
發	fat7b	发财
白	pɛk8	白色;白吃白喝
百	pɛk7b	百姓
的	tek7a	目的
皆	kai1b	皆大欢喜
皇	uoŋ2	皇帝
皖	un3	皖南事变
皮	pʰɐi2	果皮
皺	tʃau5	皱纹
皿	meŋ4	器皿
盅	tʃoŋ1a	酒盅
盆	pʰon2	脸盆
盈	ieŋ2	盈利
益	iek7a	利益
盒	hɐp8	盒子
盔	kʰuɐi1a	头盔
盜	tou6	强盗
盛	ʃeŋ6	兴盛;姓
盞	tʃan3	灯盏
盟	mɐŋ2	同盟
盡	tʃɐn6	尽力;尽头
監	kam1b	监视，监牢
監	kam5	国子监;太监
盤	pʰon2	算盘
盧	lou2	姓卢
目	mok8	目的
盲	mɛŋ2	盲人，文盲
直	tʃek8	直接
相	ʃiøŋ1b	互相
相	ʃiøŋ5	相貌，看相
盼	pʰan5	盼望
盾	tʰɐn4	矛盾
省	ʃɛŋ3	省长
省	ʃɛŋ3	节省
省	ʃɛŋ3	反省
眉	mɐi2	眉毛
看	hon1b	看守，看牛
看	hon5	看见
真	tʃɐn1b	真假
眠	min2	安眠
眨	ʃap7b	眨眼
眩	in2	眩目，晕眩
眶	hœŋ1b	眼眶
眷	kyn5	眷属
眼	ŋen4	眼镜
着	tʃiøk8	着衣，着装
着	tʃiøk7b	睡着;着火
睜	tʃʰɛŋ5	睁眼
睇	tʰai3	睇[看]
睏	kʰuɐn5	睏觉(睡觉)，犯睏
睛	tʃeŋ1b	眼睛
睡	ʃoi6	午睡
督	tok7a	监督
睩	lok7a	睩[瞪]
睬	tʃʰoi3	理睬
睺	hɐu1b	睺(注意;希冀)
瞞	mon2	隐瞒
瞧	tʃʰiu1b	瞧一瞧
瞪	tɐŋ1b	瞪眼
瞭	lɛu2	瞭望
瞳	tʰoŋ2	瞳孔
矛	mau2	矛盾
矢	tʃi5	有的放矢
知	tʃi1b	知道
矩	kɔy3	规矩
短	tyn3	长短
矮	ɐi3	高矮
矯	kʰiu2	矫正
石	ʃiə̯k8	石头
砂	ʃa1a	朱砂;砂纸
砌	tʃʰɐi5	砌墙
砍	kʰam3	砍柴
研	in2	研究
砧	tʃɐm1b	砧板
破	pʰɔ5	破坏
硃	tʃy1b	朱砂
硝	ʃiu1b	硝酸
硫	lɐu2	硫磺
硬	ŋɛŋ6	软硬
硯	in2	砚台
碎	ʃoi5	破碎
碑	pɐi1b	石碑
碗	un3	饭碗
碟	tet8	碟子
碧	pek7a	碧玉
碰	pʰoŋ5	碰到
確	kʰœk7b	的确
碼	ma4	码头
碾	tʃin3	碾米
磁	tʃʰi2	磁铁
磚	tʃyn1b	砖头
磨	mɔ4	磨刀(动)
磨	mɔ6	石磨(名)
磷	lɐn2	磷肥
礎	tʃʰɔ3	基础
礙	ŋoi6	妨碍
礦	kʰœŋ5	煤矿
礫	lek7a	瓦砾
礬	fan2	明矾
示	ʃi6	启示
社	ʃɛ4	公社
祈	kʰi2	祈祷
祖	tʃɐu3	祖国
祝	tʃok7a	庆祝
神	ʃɐn2	精神
祠	tʃi6	祠堂
祥	tʃʰiøŋ2	慈祥
票	pʰiu5	车票
祭	tʃɐi5	祭祀
稟	pɐn3	禀报
禁	kɐm5	禁不住
禁	kɐm5	禁止
祿	lok8	福禄寿
禍	uɔ6	祸害
福	fok7a	福气
禦	y6	驾御，防御
禪	in2	禅让
禪	ʃin2	禅宗
禮	lɐi4	礼貌
禱	tʰou3	祈祷
禹	y4	大禹
禽	kʰɐm2	家禽
禾	uɔ2	禾苗
秀	ʃɐu5	清秀
私	ʃi1b	自私
秃	tʰyt7a	秃顶
秉	pɐn3	秉公办事
秋	tʃʰɐu1b	秋千
秋	tʃʰɐu1b	秋天
科	fɔ1b	文科
秒	miu4	一分一秒
秘	pɐi5	秘密
租	tʃɐu1b	房租
秤	tʃʰeŋ5	一杆秤
秦	tʃʰɐn2	秦国;姓
秧	iøŋ1b	插秧
秩	tet8	秩序
移	i2	移动
稀	hi1b	稀有
稈	kon3	禾秆
程	tʃʰeŋ2	程度;姓
稍	ʃau3	稍等
税	ʃoi5	税收
稗	pai3	稗子
稚	tʃʰi1b	幼稚
稠	tʃʰɐu2	稠密
種	tʃoŋ3	种类(名、量)
種	tʃoŋ5	种树(动)
稱	tʃʰeŋ1b	称呼;称重量
稱	tʃʰeŋ5	相称，称心
稻	tou6	水稻
稽	kʰɐi1a	稽查
稿	kou3	草稿
穀	kok7a	稻谷
穆	mok8	姓
積	tʃek7a	积极
穎	ueŋ4	新颖
穗	ʃoi6	谷穗
穢	ioi6	污秽
穩	uɐn3	稳定
穴	yt8	穴位
究	kɐu5	研究
空	hoŋ1b	空虚
空	hoŋ1b	亏空
穿	tʃʰyn1b	穿着
突	tɐt8	突然
窄	tʃɛk7b	狭窄
窯	iu2	官窑
窖	kɛu5	地窖
窗	tʃiøŋ1a	窗户
窟	fɐt7a	窟窿，屎窟
窩	uɔ1b	鸟窝
窪	ua1b	低洼
窮	kʰoŋ2	穷人
窺	kʰuɐi1b	偷窥
竄	tʃʰyn5	东窜西窜
竅	kʰiu3	窍门
竇	tɐu5	窦[鸟窝]
竈	tʃou5	灶神
立	lap8	立正
站	tʃam6	站立
站	tʃam6	车站
竟	keŋ3	竟然
章	tʃiøŋ1b	文章
童	tʰoŋ2	儿童
竭	hit7b	竭尽全力
端	tyn1b	端午
競	keŋ5	竞争
竹	tʃok7a	竹子
竿	kon1a	竹竿
笊	liə̯k8	笊籬(捞馄饨用)
笑	ʃiu5	笑话
笙	ʃɛŋ1a	乐器
笛	tiə̯k8	笛子
笠	lɐp7a	斗笠
笡	mɛ3	笡[歪斜，迁谢切](嘴~、眼~)
符	fu2	符合
笨	pɐn4	笨蛋
笪	tat7b	笪(竹~)
第	tɐi2	第一
筆	pɐt7a	毛笔
等	tɐŋ3	高等
筋	kɐn1b	筋骨
筍	ʃɐn3	竹笋
筏	fat8	竹筏
筐	hœŋ1b	箩筐
筒	tʰoŋ3	电筒
答	tap8	回答
策	tʃʰɛk7b	策略
箏	tʃɐŋ1a	风筝
筧	ken3	笕(水~)
筵	in2	筵席
筷	kʰuai5	筷子
箄	pʰai2	竹排
箋	tʃʰin1a	信笺
箍	kʰu1b	紧箍咒
箕	ki1b	粪箕
算	ʃyn5	计算
管	kun3	管理
箭	tʃin5	射箭
箱	ʃiøŋ1a	箱子
節	tʃit7b	节约
範	fan6	规范
篇	pʰin1b	一篇
築	tʃok7a	建筑
篙	kou1b	竹篙
篡	ʃan1b	篡位
篤	tok7a	笃信
篦	pɐi6	篦子(可抓虱子的很密的梳子)
篩	ʃɐi1a	米筛
篩	ʃɐi1a	筛子
篷	pʰoŋ2	帐篷
篾	met8	竹篾
簍	lɔ1a	竹篓
簕	lɐk8	杜鹃)
簡	kan3	简单
簧	uoŋ3	弹簧
簪	tʃam1a	发簪
簫	ʃiu1a	吹箫
簸	uɔ1b	簸箕
簽	tʃʰin1b	签名
簾	lin2	窗帘
簿	pu6	帐簿
籃	lam3	篮子
籌	tʃʰɐu2	筹备
籍	tʃek8	籍贯
籠	loŋ2	牢笼
籤	tʃʰin1a	牙签
籬	lɐi2	篱笆
籮	lɔ2	箩筐
米	mɐi4	大米
粉	fɐn3	面粉
粒	lɐp7a	颗粒
粗	tʃʰɐu1b	粗心
粘	nin1b	粘贴
粟	ʃok7a	高粱粟;玉米
粥	tʃok7a	煮粥
粱	liøŋ2	高粱
粤	yt8	粤菜
粹	ʃoi5	纯粹
糉	tʃoŋ5	粽子
精	tʃeŋ1b	精灵
精	tʃeŋ1a	精灵
糊	u3	糊涂
糍	tʃʰɐi2	糍粑;糯米糍
糕	kou1a	蛋糕
糖	tʰœŋ2	糖果
糙	tʃʰou5	粗糙，糙米
糜	mɐi2	糜烂;粥
糞	pɐn5	猪粪
糟	tʃou1b	糟糕
糠	hœŋ1b	谷糠，米糠
糧	liøŋ2	粮食
糯	lɔ6	糯米
糰	tʰyn2	糕团
糴	tiə̯k8	籴米(买米)
糶	tʰɛu5	粜米(卖米)
系	hɐi6	系统;中文系
糾	tɐu3	纠缠
糾	tɐu3	纠正
紀	ki3	纪律
紀	ki5	纪念
約	iøk7b	约定
紅	hoŋ2	红色
紋	mɐn2	花纹
納	lap7b	出纳
紐	lɐu4	纽扣
純	ʃɐn2	单纯
紗	ʃa1a	纱布
紙	tʃi3	白纸
級	kʰɐp7a	年级
紛	fɐn1b	纠纷
素	ʃɐu5	吃素;朴素
紡	foŋ3	纺织
索	ʃœk7b	绳索
紫	tʃʰi3	紫色
紮	tʃat7b	驻扎
累	loi6	极困;劳累
累	loi4	累积
累	loi4	连累
細	ʃɛ5	粗细;大细
紹	ʃiu6	介绍
終	tʃoŋ1b	终于
組	tʃɐu3	组长
絆	pun6	绊倒
結	kit7b	结果
絡	lœk7b	联络
給	kʰɐp7a	供给，给予
絨	ioŋ3	绒毛
絮	ʃy4	棉絮
統	tʰoŋ3	统一
絲	ʃi1a	丝绸
絶	tʃyt8	绝对
絹	kyn1a	手绢
綁	pœŋ3	松绑
綑	kʰuɐn3	捆住
經	keŋ1b	经济
經	keŋ1b	经纬
綜	tʃoŋ1b	织布机上的综
綢	tʃʰɐu2	丝绸
綫	ʃin5	线索
維	uɐi2	维持
綱	kœŋ5	大纲
網	mœŋ4	鱼网
綻	tʃan6	绽(破~、~线、~放)
綽	tʃʰiøk7b	绰号;绰绰有余
綿	min2	海绵
緊	kɐn3	紧张
綠	lok8	碧绿
緖	ʃy3	情绪;光绪
緝	tʃʰɐp7a	缉(通~)
緞	tyn6	绸缎
緣	yn2	缘分
編	pʰin1b	编辑
緩	un6	迟缓
緬	min4	缅甸
緯	uɐi4	经纬
練	lin6	练习
縣	yn3	行政单位
縫	foŋ2	缝衣服
縮	ʃok7a	缩小
縱	tʃoŋ5	纵横
縱	tʃoŋ5	放纵
縷	lɐu3	縷
總	tʃoŋ3	总计
績	tʃek7a	成绩
繁	fan2	繁华
繃	pɐŋ1b	绷带
織	tʃek7a	织布
繞	iu3	绕线团
繞	iu3	围绕
繡	ʃɐu5	绣花
繩	ʃeŋ2	麻绳
繪	kʰoi5	绘画
繫	hɐi6	联系
繫	hai6	系鞋带
繭	kan3	蚕茧
繮	kiøŋ1b	缰绳
繳	kiu3	上缴
繼	kɐi5	继续
續	tʃok8	继续
續	tʃok8	连续
纏	tʃʰin2	纠缠
纓	ieŋ1a	红缨枪
纔	tʃʰɔy2	刚才
纜	lan6	缆绳，缆车
缸	kœŋ1b	水缸
缺	kʰyt7b	缺钱，缺口
缽	pot7b	衣钵
罌	ɛŋ1a	罂[宽口陶瓷瓶]
罐	kun5	罐头
罕	hon4	罕见
罩	tʃau5	灯罩
罪	tʃoi6	犯罪
置	tʃi5	布置
罰	fɐt8	罚款
署	tʃy5	署名;专署
罵	lau6	骂人
罷	pa6	罢工
羅	lɔ2	姓
羊	iøŋ2	绵羊
美	mɐi4	美化
羔	kou1a	羊羔
羞	tʃʰɐu3	害羞
群	kʰuɐn2	群众
羨	ʃin6	羡慕
義	i6	情义
羹	kɛŋ1a	调羹
羽	y4	羽毛
翁	ioŋ1a	老翁;姓
翅	tʃʰi5	鱼翅
翎	leŋ2	翎毛
習	tʃap8	学习
翠	tʃʰoi5	翡翠
翡	fɐi3	翡翠
翰	hon6	翰林;人名用字
翻	fan3	翻转
翼	iek8	机翼
耀	iu6	照耀
老	lou4	老实
考	hau3	考试
者	tʃɛ3	记者
而	i2	而且
耍	ʃa5	玩耍
耐	loi6	耐心
耕	kɛŋ1b	耕田
耗	hou5	消耗
耘	uɐn2	耕耘
耙	pʰa2	犁耙
耳	i4	耳朵
耶	iɛ2	耶酥
耻	tʃʰi3	耻辱
耽	tam1b	耽误
耿	kɐŋ3	耿耿于怀
聊	lɛu2	聊天
聖	ʃeŋ5	神圣
聘	pʰeŋ5	聘请
聚	tʃoi6	聚会
聞	mɐn4	新闻
聯	lyn2	联系;对联
聰	tʃʰoŋ1b	聪明
聲	ʃɛŋ1b	声音
聶	nit7b	姓
職	tʃek7a	职务
聽	tʰiə̯ŋ1b	听见，听话
聽	tʰiə̯ŋ1b	听任
聾	loŋ2	耳聋
肅	ʃok7a	严肃
肆	ʃɐi5	放肆
肉	iok8	肉体
肋	lɐk8	肋骨
肌	ki1b	肌肉
肖	tʃʰiu5	生肖
肘	tʃɐu4	手肘，肘子
肚	tʰɐu4	猪肚(胃)，鱼肚
肚	tʰɐu4	肚子，肚脐
肛	kœŋ1b	肛门
肝	kon1b	猪肝
股	ku3	股票
肢	tʃi1b	四肢
肥	fɐi2	肥料
肩	kin1b	肩膀
肪	foŋ1a	脂肪
肯	hɐŋ3	肯定
育	iok7a	教育
肴	ŋau2	佳肴
肺	fɐi5	猪肺
胃	uɐi6	肠胃
背	pui6	背书
背	pui5	后背
胎	tʰoi1b	双胞胎
胖	pon6	肥胖
胚	pʰɐi5	胚胎
胛	kap7b	肩胛
胞	pau1a	同胞
胡	u2	二胡;姓
胳	kap7b	胳(~膊、~肢窝)
胸	hoŋ1b	心胸
能	lɐŋ2	才能
脂	tʃi1b	脂肪
脅	hit7b	威胁
脆	tʃʰoi5	干脆
脉	mɐk8	把脉
脊	tʃiə̯k7b	背脊
脚	kiøk7b	赤脚
脢	mui2	脢[背脊肉]
脣	ʃɐn2	嘴唇
脯	pʰu3	胸脯
脯	pʰu3	杏脯
脱	tʰyt7b	摆脱
脹	tʃiøŋ5	肿胀
脾	pʰɐi2	脾气
腋	iek8	腋下
腌	in1b	腌制
腍	lɐm2	腍[黏而软]
腎	ʃɐn6	肾脏，肾虚
腐	fu6	豆腐
腑	fu3	五脏六腑
腔	hœŋ1b	口腔
腕	un3	手腕
腡	lɔ2	手指纹
腥	ʃiə̯ŋ1b	腥臭
腦	lou4	大脑
腩	lam4	腩(腹肉:肚~)
腫	tʃoŋ3	臃肿
腭	ŋœk8	上腭
腮	ʃoi1b	腮红
腰	iu1b	腰疼
腸	tʃʰiøŋ2	肠胃
腹	fok7a	心腹
腿	tʰui3	腿部
膏	kou1a	牙膏;膏药
膘	piu1b	肥膘
膚	fu1b	皮肤
膜	mœk8	薄膜
膝	tʃʰɐt7a	膝盖
膠	kɛu1b	胶水
膨	pʰɛŋ2	膨胀
膩	lɐi5	肥腻
膳	ʃin6	膳食
膽	tam3	胆小
膿	loŋ3	化脓
臂	pɐi5	手臂
臉	min6	脸色
臊	ʃou1b	羊臊气
臍	tʃʰi2	肚脐
臘	lap8	腊肉
臟	tʃœŋ6	内脏
臣	ʃɐn2	大臣
臥	ŋɔ4	卧室
臨	lɐm2	临时
自	tʃi6	自己
臭	tʃʰɐu5	香臭
至	tʃi5	至少
致	tʃi5	导致
臺	tʰoi2	台湾
臻	tʃɐn1b	聂荣臻
臼	kɛu5	脱臼
舀	iu4	舀水
舂	tʃoŋ1b	舂米
舅	kʰɐu4	舅舅，舅父
與	y4	给与;参与
興	heŋ1b	兴旺
興	heŋ5	高兴
舉	kɔy3	举报
舊	kɐu6	新旧
舌	ʃit8	舌头
舍	ʃɛ5	宿舍
舐	pan5	舔
舒	ʃy1b	舒服
舔	pan5	以舌取物
舜	ʃɐn6	尧舜
舞	mu3	跳舞
舟	tʃɐu1b	舟山
舦	tʰai1a	舦[舵]
航	hœŋ2	航行
般	pun1b	一般
舵	tʰɔ2	舵手
船	ʃyn2	轮船
艇	tʰiə̯ŋ4	潜艇
艙	tʃʰœŋ1b	船舱
艦	lam4	军舰
良	liøŋ2	良好
艱	kan1b	艰苦
色	ʃek7a	色彩
艷	in6	鲜艳
艾	ŋɐi6	艾草
芋	u6	芋头
芍	ʃiøk8	芍药花;白芍
芒	mœŋ2	芒种
芒	mœŋ2	麦芒，锋芒毕露
芒	mœŋ1b	芒果
芙	fu2	芙蓉
芝	tʃi1b	灵芝
芥	kai5	芥菜
芬	fɐn1a	芬芳
芭	pa1b	芭蕉
花	fa1a	开花
芳	foŋ1a	芳香
芹	kʰɐn2	芹菜
芽	ŋa2	豆芽
苔	tʰoi2	青苔
苗	miu2	火苗
苟	kɐu3	苟且偷生
若	iøk8	若无其事
苦	fu3	吃苦
苧	tʃy5	苎麻
英	ieŋ1b	英雄
茂	mɐu6	茂盛
范	fan6	姓
茄	kʰɛ3	茄子
茅	mɛu2	茅草
茫	mœŋ2	茫然
茴	ui2	茴香
茶	tʃʰa2	茶叶
茸	ioŋ2	参茸
荆	keŋ1b	荆州
草	tʃʰou3	青草
荒	foŋ1b	荒地
荔	lɐi6	荔枝
荷	hɔ2	薄荷
荷	hɔ2	荷花
莉	lɐi6	茉莉
莊	tʃœŋ1b	村庄
莓	pui2	草莓
莖	kɛŋ5	花茎
莧	hen6	苋菜
莫	mœk8	莫非;姓
莽	mœŋ4	鲁莽
菊	kok7a	菊花
菌	kʰuɐn4	细菌
菖	tʃʰiøŋ1b	菖蒲
菜	tʃʰoi5	青菜
菠	pɔ5	菠菜
菢	pu6	菢小鸡
菩	pʰu2	菩萨
華	ua2	华山
華	ua2	中华
菱	leŋ2	菱角
萄	tʰou2	葡萄
萌	mɐŋ2	萌芽
萍	pʰeŋ2	萍水相逢;萍乡
萎	uɐi3	枯萎
萬	man6	一万
落	lœk8	下落
葉	it7b	树叶
著	tʃy5	著名
葛	kot7b	诸葛亮
葡	pʰu2	葡萄
董	toŋ3	姓
葦	uɐi4	芦苇
葫	u2	葫芦
葬	tʃœŋ5	埋葬
葱	tʃʰoŋ1a	香葱
葵	kʰuɐi2	向日葵
蒂	tɐi5	瓜蒂，并蒂莲
蒐	ʃau5	搜集
蒙	moŋ2	蒙古
蒜	ʃyn5	蒜头
蒲	pʰu2	蒲团
蒸	tʃeŋ1b	蒸发
蒼	tʃʰœŋ1b	苍白
蓄	tʃʰok7a	储蓄
蓆	tʃiə̯k8	草席
蓉	ioŋ2	芙蓉
蓋	koi5	盖子
蓖	pɐi1b	蓖麻
蓬	pʰoŋ2	蓬勃;蓬蒿;蓬莱
蓮	lin2	莲花
蔓	man6	瓜蔓
蔗	tʃɛ5	甘蔗
蔡	tʃʰoi5	姓
蔣	tʃiøŋ3	蒋介石
蔬	ʃɔ1b	蔬菜
蔭	iɐm1b	屋子很荫
蔽	pɐi5	隐蔽
蕉	tʃiu1a	香蕉
蕊	ioi4	花蕊
蕎	kʰiu2	荞麦
蕩	tœŋ6	放荡
蕭	ʃiu1b	姓
薄	pœk8	薄荷
薄	pœk8	薄弱
薅	hou1b	薅田(除田草)
薑	kiøŋ1b	生姜
薛	ʃit7b	姓
薦	tʃyn5	推荐
薩	ʃat7b	菩萨
薪	ʃɐn1b	薪水
薯	ʃy3	番薯
薰	fɐn1b	薰衣草
藉	tʃek8	藉故，藉口
藉	tʃek8	狼藉
藍	lam2	蓝色
藏	tʃʰœŋ2	隐藏
藏	tʃœŋ6	西藏
藐	miu4	藐视
藕	ŋɐu4	莲藕
藝	ŋɐi6	艺术
藤	tʰɐŋ2	藤椅
藥	iøk8	吃药
藩	fan1b	曾国藩
藹	ŋoi4	和蔼
藿	kʰœk7b	藿香
蘆	lou2	芦苇
蘇	ʃou1b	苏州
蘋	pʰeŋ2	苹果
蘭	lan2	兰花
蘸	tʃin5	蘸酱油
蘿	lɔ2	萝卜
虎	fu3	老虎
虐	iøk7b	虐待
虔	kʰin2	虔诚
處	tʃʰy5	处理
處	tʃʰy5	处所
虚	hɔy1b	虚心
虜	lou3	俘虏
號	hou6	号叫，呼号(动)
號	hou6	号码(名)
虧	kʰuɐi1b	吃亏
虹	hoŋ2	彩虹
虹	hoŋ2	天上的虹
虻	mœŋ1b	牛虻
蚊	mɐn1a	蚊香
蚌	pʰœŋ4	蚌壳
蚜	ŋa2	蚜虫(生在豆类、棉花、稻等幼苗上)
蚣	koŋ1a	蜈蚣
蛀	tʃy5	虫蛀
蛆	tʃy5	蛆虫
蛇	ʃɛ2	毒蛇
蛋	tan3	鸡蛋
蛙	ua1a	青蛙
蛛	tʃy1b	蜘蛛
蛤	kɐp7a	蛤蜊，花蛤
蛾	ŋɔ2	飞蛾
蜀	tʃok7a	蜀国
蜂	foŋ1a	蜜蜂
蜇	tʃit7b	蝎子蜇人;海蜇
蜈	m̩2	蜈蚣
蜓	tʰeŋ2	蜻蜓
蜕	tʰɐn5	蜕变
蜘	tʃi1b	蜘蛛
蜜	mɐt8	蜂蜜
蜻	tʃʰeŋ1b	蜻蜓
蠍	hit7b	蝎子
蝕	ʃek8	月蚀，腐蚀
蝗	uoŋ2	蝗虫
蝙	pin3	蝙蝠
蝠	fok7a	蝙蝠
蝦	ha1a	虾蟆(蛤蟆)
蝦	ha1a	鱼虾
虱	ʃɐt7a	虱子
蝴	u2	蝴蝶
蝶	tet8	蝴蝶
蝸	uɔ1b	蜗牛
螂	lœŋ2	
螃	pʰœŋ2	螃蟹
融	ioŋ2	融化
螢	ieŋ2	萤火虫
螳	tʰœŋ2	螳螂
螺	lɔ3	田螺
蟀	tʃɐt7a	蟋蟀
蟄	tʃek7b	惊蛰
蟆	mœk7b	蛤蟆
蟒	mœŋ4	蟒蛇
蟬	ʃin2	蝉蜕，知了
蟲	tʃʰoŋ2	虫子
蟹	hai4	螃蟹
蟻	ŋɐi1a	蚂蚁
蟾	ʃin2	蟾蜍，蟾酥
蠅	ieŋ2	苍蝇
蠔	hou2	耗(生~、~油)
蠟	lap8	蜡烛
蠢	tʃʰɐn3	愚蠢
蠱	ku3	蛊惑;整蛊
蠶	tʃʰam2	蚕丝
蠻	man2	野蛮
血	hyt7b	流血
衆	tʃoŋ5	群众
行	hœŋ6	银行
行	hɛŋ2	行走;行为
行	haŋ2	品行
術	ʃɐt8	技术
街	kai5	大街
衙	ŋa2	衙门
衛	uɐi6	卫生
衝	tʃʰoŋ1b	冲锋
衡	hɐŋ2	平衡
衣	i1b	衣服
表	piu3	表示
衫	ʃam5	衬衫
衰	ʃoi1b	衰老
衷	tʃʰoŋ1b	衷心，初衷
袁	yn2	姓
袋	toi6	口袋
袍	pʰou2	长袍
袖	tʃɐu4	领袖
被	pɐi4	被动
被	pɐi4	棉被
袱	pok8	包袱
裁	tʃʰoi2	裁缝
裂	lit7b	分裂
裏	lɐi4	里面
裕	y6	富裕
裙	kʰuɐn2	连衣裙，裙子
補	pu3	补衣服
裝	tʃœŋ1a	假装
裱	piu3	裱(~画)
裳	ʃiøŋ2	衣裳
裴	pʰui2	姓
裹	kuɔ3	包裹
製	tʃɐi5	制造
複	fok7a	重复，复印
褒	pou1b	褒奖
褪	tʰoi5	褪色;褪戒指
褲	fu5	裤子
褸	lɐu1a	褛(大~;蒙盖:~住)
襄	ʃiøŋ1b	襄阳
襟	kʰɐm1a	连襟
襪	mɐt8	袜子
襯	tʃʰɐn5	衬衫
襲	tʃap8	袭击
西	ʃɐi1b	东西南北
要	iu1b	要求
要	iu5	重要
覆	fok7a	反覆
見	ken5	见识
規	kʰuɐi1b	规矩
覓	mek8	寻觅
視	ʃi6	近视
親	tʃʰɐn1b	亲戚
親	tʃʰɐn5	亲家
覺	kœk8	睡觉
覺	kœk7b	知觉
覽	lam3	阅览
觀	kun1b	参观
觀	kun5	道观
角	kœk7b	角色
解	kai3	讲解
解	kai3	理解(知道，懂了)
觸	tʃʰok7a	接触
言	yn2	语言
訂	teŋ6	订合同，预订
計	kɐi5	会计
訊	ʃɐn5	通讯
討	tʰou3	讨好
訓	fɐn5	教训
託	tʰœk7b	推托，寄托
記	ki5	记号
訟	tʃoŋ6	诉讼
訣	kʰyt7b	口诀
訪	foŋ3	访问
設	ʃit7b	设计
許	hy3	许多
訴	ʃou5	告诉
診	tʃʰɐn5	急诊
註	tʃy5	注释
詐	tʃa5	诈骗
評	pʰeŋ2	批评
詞	tʃʰi2	歌词
詢	tʃʰɐn6	询问
試	ʃi4	考试
詩	ʃi1a	诗人
詭	kuɐi3	诡计
話	ua6	说话
該	koi1b	应该
詳	tʃʰiøŋ2	详细
誅	tʃy1b	天诛地灭
誇	kʰua1b	夸奖;夸张
誌	tʃi5	标志
認	ieŋ6	认得
誓	ʃɐi6	发誓
誕	tan5	诞生
誘	iɐu5	引诱
語	y4	语文
誠	ʃeŋ2	诚心
誣	mou2	诬告
誤	m̩4	错误
誦	tʃoŋ6	朗诵
説	ʃyt7b	小说
誰	ʃɔy2	谁人
課	fɔ5	上课
誼	i2	友谊
調	tʰɛu2	调和
調	tɛu6	调动
調	tɛu6	音调，高调
談	tʰam2	谈话
請	tʃʰiə̯ŋ3	请人，邀请
諒	liøŋ6	原谅
論	lɐn6	论语
論	lɐn6	讨论，论文
諗	lɐm3	谂[思考]
諜	tet8	间谍
諧	hai2	和谐
諱	uɐi4	忌讳
諷	foŋ5	讽刺
諸	tʃy1b	诸葛亮
諺	in6	谚语
諾	lœk7b	承诺
謀	mau2	阴谋
謂	uɐi6	所谓
謊	foŋ1b	说谎
謎	mɐi2	谜语
謗	pœŋ6	诽谤
謙	hin1b	谦虚
講	kœŋ3	讲话
謝	tʃɛ6	谢谢;姓
謡	iu2	民谣
謬	mau4	谬论
謹	kɐn3	谨慎
證	tʃeŋ5	证明
譏	ki1b	讥笑
識	ʃek7a	认识
譚	tʰam2	姓
譜	pʰu3	族谱
警	keŋ3	警察
譬	pɐi3	譬如;譬喻
譯	iek8	翻译
議	i6	会议
護	u6	保护
譽	y6	荣誉
讀	tok8	读书
變	pin5	改变
讒	tʃʰan2	谗言
讓	iøŋ4	让座
谷	kok7a	山谷
豁	kʰut7b	豁然，豁嘴
豆	tɐu6	豆芽
豈	hɐi3	岂有此理
豉	ʃi6	豆豉
豌	un3	豌豆
豎	ʃy6	横竖
豐	foŋ1b	丰衣足食
豚	tʰyn2	海豚
象	tʃiøŋ6	大象
豪	hou2	豪华
豫	y6	犹豫
豬	tʃy1a	猪肉
豹	pau5	一种动物
豺	tʃʰai2	豺狼
貂	tiu1b	貂皮
貌	mau6	礼貌
猫	mɛu1a	花猫
猫	mɛu1a	猫咪
貝	pui5	宝贝
貞	tʃeŋ1b	贞节
負	fu6	负担
財	tʃʰoi2	发财
貢	koŋ5	贡献
貧	pʰɐn2	贫农
貨	fɔ5	货物
販	fan5	贩卖
貪	tʰam1b	贪心
貫	kun5	贯彻
