#漢字	音標	解釋
㞎	pɔ3	屎～～
舟	tsɘ˞1	
航	xã2	
般	pã1	
艦	tɕɨɛ4	
舵	tʰo2	
船	tʃʰuɐ̃2	
艇	tʰɨ̃3	
良	lɨã2	
艱	tɕɨɛ1	
色	ɕɨ2-	
色	sɘɨ2	
艳	ʑɨɛ4	
藝	ʑɨ4	
艾	ɣᴀ4	
節	tɕɨ2	
芋	ʑɨ4	
芍	so2	
芒	mã2	
芥	kᴀ4	
蘆	lɯ2	
芬	fɐ̃1	
芭	pɔ1	
花	xuɔ1	
芳	fã1	
芹	tsʰɨ̃2	
芽	ʑɨɔ2	
葦	uɘɨ3	
蒼	tsʰã1	
苏	sɯ1	
苔	tʰᴀ1	
苗	miɑ2	
苟	kɘ˞3	
若	zo2	
苦	kʰɯ3	
英	zɨ̃1	
蘋	pʰɨ̃2	
茂	mɯ4	
范	fã4	
茄	tɕʰɨ2	
茅	mɑ2	
茫	mã2	
茯	fɯ2	
茴	xuɘɨ2	
茶	tsʰɔ2	
茸	zõ2	
荀	sɨ̃2	
草	tsʰɑ3	
荒	xuã1	
荔	lɨ4	
薺	tɕʰɨ4	
榮	ʑɨõ2	
葷	xõ1	
蕁	ɕɨ2	～麻
荫	zɨ̃1	
藥	ʑɨo2	
荷	xo2	
荸	pɨ2	～荠
莉	lɨ4	
蓮	lɨɛ2	
莽	mã3	
菊	tsɯ2	
菌	tsɨ̃4	
菖	tsʰã1	
菜	tsʰᴀ4	
菢	pɑ4	鸡打～
菩	pʰɯ2	
菱	lɨ̃2	
萄	tʰɑ1	葡～
萍	pʰɨ̃2	
萎	uɘɨ1	
螢	zɨ̃2	
營	zɨ̃2	
蕭	ɕiɑ1	
薩	sɔ1	菩～
落	lo2	～下
落	lɑ4	莲花
葛	ko2	
董	tõ3	
葫	xɯ2	
葬	tsã4	
葱	tsʰõ1	
葵	kʰuɘɨ2	
蔣	tɕɨã3	
蒙	mõ1	～一层纸
蒙	mõ2	
蒜	ʃuɐ̃4	
蒯	kʰuᴀ3	
蒲	pʰɯ3	
蒸	tsɐ̃1	
蒿	xɑ1	
蓉	ʑɨõ2	
蓑	so1	
蓖	pɨ4	
藍	lã2	
蓬	pʰõ2	
蔡	tsʰᴀ4	
蔬	sɯ1	
藹	ɣᴀ3	
蔽	pɨ4	
蕃	fã1	
蕉	tɕiɑ1	
蕊	ʒuɘɨ3	
蕨	tɕɨ2	～菜
薄	po2	厚～
薄	po4	～荷
薅	xɑ1	
薛	ɕɨ2	
薪	sɨ̃1	
藏	tsʰã2	收～
藏	tsã4	西～
藕	ɣɘ˞3	
藤	tʰɐ̃2	
藿	xo2	
蘸	tsã4	
虎	xɯ3	
虜	lɯ3	
虐	nɨo2	
虑	lɨ4	
虛	ɕɨ1	
蟲	tsʰõ2	
虹	kã4	
雖	ʃuɘɨ1	
蟻	ʑɨ4	
蚊	vɐ̃2	
蚌	põ4	
蠶	tsʰã2	
蚣	kõ1	
蚤	tsɑ3	
蛀	tsɯ4	
蛆	tɕʰɨ1	
蛇	sɘɨ2	
蛋	tã4	
蛙	uɔ1	
蛛	tsɯ1	
蛤	xɔ2	獭～蟆
蠻	mã2	
蛾	ɣo2	
蜀	tsɯ2	
蜂	fõ1	
蜈	vɯ2	
蜒	tʰɨ̃2	
蛻	tʰõ4	蛇～皮
蜜	mɨ2	
蠟	lɔ2	
蜢	mõ3	
蜻	tsʰɨ̃1	
蠅	zɨ̃1	
蝗	xuã2	
蝠	fɯ2	
蝦	ɕɨɔ1	
蝶	tɨ2	
螃	pʰã2	
螳	tʰã2	
螺	lo2	
蟆	mɔ1	癞蛤～
蟒	mã3	
蟥	xuã2	
蟹	xᴀ3	
蠢	tsʰõ3	
血	ɕɨ2	
衅	sɨ̃4	
行	sɨ̃2	～为
行	xã2	商～
街	kᴀ1	
衙	ʑɨɔ2	
衡	xɐ̃2	
衣	ʑɨ1	
補	pɯ3	
表	piɑ3	
衫	sã1	
衰	ʃuᴀ1	
衷	tsõ1	
袁	ʑɨɛ2	
袋	tᴀ4	
袍	pʰɑ2	
袖	ɕɨɘ4	
袜	vɔ2	
被	pɨ4	
襲	ɕɨ2	
裁	tsʰᴀ2	
裂	lɨ2	
裝	tʃuã1	
裌	tɕɨɔ2	
裕	ʑɨ4	
裙	tsʰɨ̃2	
褲	kʰɯ4	
裳	sã1	
裸	lo3	
裹	ko3	
褂	kuɔ4	
褒	pɘ˞1	
褥	zɯ2	
褪	tʰuɘɨ4	
褪	tʰõ4	
襖	ɣɑ3	
襟	tsɨ̃1	
西	ɕɨ1	
要	ʑiɑ1	～求
要	ʑiɑ4	重～
見	tɕɨɛ4	
觀	kuɐ̃1	
規	kuɘɨ1	
視	sɿᵊ4	
覽	lã3	
覺	tɕɨo2	～得
覺	tɕiɑ4	睡
角	ko2	
角	tɕɨo2	两～钱
觘	tsʰɑ4	狗～的，～人
解	kᴀ3	～开
解	xᴀ4	姓
觸	tsɯ2	
言	ʑɨɛ2	
詠	zɨ̃4	
譽	ʑɨ4	
謄	tʰɐ̃2	
警	tsɨ̃3	
譬	pʰɨ2	～如
計	tɕɨ4	
訂	tɨ̃4	
認	pʰɯ2	
認	zɐ̃4	
討	tʰɑ3	
讓	zã4	
訖	tɕʰɨ2	
訓	sɨ̃4	
議	ʑɨ4	
記	tɕɨ4	
講	tɕɨã3	
諱	xuɘɨ4	
許	ɕɨ3	
論	lõ4	
訟	sõ4	
諷	fõ3	
訪	fã3	
評	pʰɨ̃2	
詐	tsɔ4	
訴	sɯ4	
診	tsɐ̃1	～所
診	tsɐ̃3	～断
詞	tsʰɿᵊ2	
詔	tsɑ4	
誆	kʰuã1	
試	sɿᵊ4	
詩	sɿᵊ1	
誠	tsʰɐ̃2	
話	xuɔ4	
詭	kuɘɨ3	
該	kᴀ1	
詳	tɕʰɨã2	
語	ʑɨ3	
誤	vɯ4	
誘	ʑɨɘ4	
說	so2	
誦	sõ4	
請	tsʰɨ̃3	
諾	no2	
讀	tɯ2	
課	kʰo4	
誰	ʃuɘɨ2	
調	tʰiɑ2	～和
調	tʰiɑ3	～头
調	tiɑ4	～动
諒	lɨã4	
談	tʰã2	
誼	nɨ2	
謀	mɘ˞2	
謊	xuã3	
謂	uɘɨ4	
諺	ʑɨɛ4	
謎	mɨ4	
謝	ɕɨ4	
謠	ʑiɑ2	
謗	pã4	
謙	tɕʰɨɛ1	
謹	tsɨ̃3	
謬	mɨɘ4	
譚	tʰã2	
譜	pʰɯ3	
谷	kɯ2	
豁	xo2	
豆	tɘ˞4	～号
豉	sɿᵊ4	豆～
豌	uɐ̃1	
象	ɕɨã4	
豪	xɑ2	
豹	pɑ4	
豺	tsʰᴀ2	
貂	tiɑ1	
貌	mɑ4	
貞	tsɐ̃1	
負	fɯ4	
貢	kõ4	
財	tsʰᴀ2	
責	tsɘɨ2	
賢	ɕɨɛ2	
敗	pᴀ4	
貨	xo4	
販	fã4	
貪	tʰã1	
貧	pʰɨ̃2	
貶	pɨɛ3	
購	kɘ˞4	
貫	kuɐ̃4	
賤	tɕɨɛ4	
貼	tʰɨ2	
貴	kuɘɨ4	
貸	tᴀ4	
貿	mɯ4	
費	fɘɨ4	
賀	xo4	
賊	tsɘɨ2	
賈	tɕɨɔ3	
賄	xuɘɨ4	
賃	lɨ̃4	
贓	tsã1	
賑	tsɐ̃4	
賒	sɘɨ1	
賦	fɯ4	
賭	tɯ3	
贖	sɯ2	
賞	sã3	
賜	tsʰɿᵊ4	
賠	pʰɘɨ2	
賴	lᴀ4	
贅	tʃuɘɨ4	
賽	sᴀ4	
赞	tsã4	
贈	tsɐ̃4	
贏	zɨ̃2	
赦	sɘɨ4	
赫	xɘɨ2	
走	tsɘ˞3	
赴	fɯ4	
趙	tsɑ4	
趕	kã3	
起	tɕʰɨ3	
趁	tsʰɐ̃4	
超	tsʰɑ1	
越	ʑɨ2	
趨	tɕʰɨ1	
趟	tʰã4	
趣	tɕʰɨ4	
足	tsɯ2	
趴	pʰɔ1	
躉	tõ3	～来卖
躍	ʑiɑ4	
跑	pʰɑ2	
距	tɕɨ4	
跡	tɕɨ2	
跨	tɕʰɨɔ4-	
跨	kʰuɔ4=	
跩	tʃuᴀ4	
跪	kuɘɨ4	
路	lɯ4	
跳	tʰiɑ4	
蹺	tɕʰiɑ1	
踏	tʰɔ2	
蹄	tʰɨ2	
蹦	põ4	
蹲	tõ1	
躁	tsʰɑ4	
身	sɐ̃1	
躬	kõ1	
躲	to3	
躺	tʰã3	
車	tɕɨ1	
車	tsʰɘɨ1	
軋	tsɔ2	
軌	kuɘɨ3	
軒	ɕɨɛ1	
轉	tʃuɐ̃3	～动
轉	tʃuɐ̃4	～圈
軛	ɣɘɨ2	
輪	lõ2	
軟	ʒuɐ̃3	
轟	xõ1	
軸	tsɯ2	
輕	tsʰɨ̃1	
載	tᴀ4	～重量
轎	tɕiɑ4	
輔	fɯ3	
輦	nɨɛ3	
輩	pɘɨ4	
輝	xuɘɨ1	
輯	tɕɨ2	
輸	sɯ1	
辛	sɨ̃1	
辭	tsʰɿᵊ2	
辟	pʰɨ2	
辟	pɨ4	
辣	lɔ2	
辨	pɨɛ4	
辯	pɨɛ4	
辮	pɨɛ4	
辱	zɯ2	
邊	pɨɛ1	
达	tɔ2	
迁	tɕʰɨɛ1	
迂	ʑɨ1	人很～
迅	sɨ̃4	
過	ko4	
迎	zɨ̃2	
運	zɨ̃4	
近	tsɨ̃4	
還	xᴀ2	～有
還	xuɐ̃2	归～
這	tɕɨ1-	
這	tsɘɨ4=	
進	tsɨ̃4	
遠	ʑɨɛ3	
違	uɘɨ2	
連	lɨɛ2	
遲	tsʰɿᵊ2	
迫	pʰɘɨ2	
述	sɯ2	
迷	mɨ2	
追	tʃuɘɨ1	
退	tʰuɘɨ4	
送	sõ4	
適	sɿᵊ2	
適	sɿᵊ4	合～
逃	tʰɑ2	
選	ɕɨɛ3	
透	tʰɘ˞4	
逐	tsɯ2	
遞	tʰɨ4	
途	tʰɯ2	
逗	tɘ˞1	挑～
逗	tɘ˞4	
通	tʰõ1	
逛	kuã4	
速	sɯ2	
造	tsʰɑ4	
逢	fõ2	
逮	tᴀ3	
逵	kʰuɘɨ2	
逸	ʑɨ2	
遇	ʑɨ4	
遍	pʰɨɛ4	
道	tɑ4	
遺	ʑɨ2	
遺	tɕʰɨɛ3	
遭	tsɑ1	
遮	tsɘɨ1	
遵	tsõ1	
邀	ʑiɑ1	
那	ɔ1-	
邦	pã1	
邪	ɕɨ2	
郵	ʑɨɘ2	
邵	sɑ4	
邹	tsɘ˞1	
鄰	lɨ̃2	
郁	zɯ2	
郊	tɕiɑ1	
郎	lã2	
鄭	tsɐ̃4	
郝	xo2	
郡	tsɨ̃4	
部	pɯ4	
郭	ko2	
都	tɘɨ1-	
都	tɯ1	～市
鄙	pʰɨ3	
酉	ʑɨɘ4	
配	pʰɘɨ4	
酒	tɕɨɘ3	
酬	tsʰɘ˞2	
醬	tɕɨã4	
酵	ɕiɑ4	
酷	kʰɯ2	
酸	ʃuɐ̃1	
釅	ʑɨɛ4	
釀	zã3	～酒
釀	nɨã4	
醃	ʑɨɛ1	
醉	tʃuɘɨ4	
醋	tsʰɯ4	
醒	sɨ̃3	
采	tsʰᴀ3	
釉	ʑɨɘ4	
里	lɨ3	
里	ʑɨ3	～头
重	tsʰõ2	
重	tsõ4	
野	ʑɨ3	
量	lɨã2	丈～
量	lɨã4	数～
金	tsɨ̃1	
鉴	tɕɨɛ4	
鐳	luɘɨ1	
针	tsɐ̃1	
釘	tɨ̃1	
釘	tʰɨ̃1	～钯儿
釘	tɨ̃4	
釣	tiɑ4	
釵	tsʰᴀ1	
鈔	tsʰɑ1	
钟	tsõ1	
鋼	kã1	
鑰	ʑɨo2	
欽	tsʰɨ̃1	
鉤	kɘ˞1	
鈀	pʰɔ1	
錢	tɕʰɨɛ2	
鉗	tɕʰɨɛ2	
鑽	tʃuɐ̃1	
鑽	tʃuɐ̃4	～子
鐵	tʰɨ2	
鈴	lɨ̃2	
鉛	tɕʰɨɛ1	
鉚	mɑ3	
鉋	pɑ4	
銅	tʰõ2	
鍘	tsɔ2	
鏵	xuɔ2	
銘	mɨ̃2	
铲	tsʰã3	
銀	zɨ̃2	
鑄	tsɯ4	
鋪	pʰɯ1	～设
鋪	pʰɯ4	
銷	ɕiɑ1	
鎖	so3	
鋤	tsʰɯ2	
鍋	kɯ1	～巴
鍋	ko1	
鏽	ɕɨɘ4	
銼	tsʰo4	
鋒	fõ1	
銳	ʒuɘɨ4	
錯	tsʰo4	
錨	mɑ2	
錛	pɐ̃1	
錫	ɕɨ2	
錘	tʃʰuɘɨ2	
錐	tʃuɘɨ1	
錦	tsɨ̃3	
錠	tɨ̃4	
鋸	kɘɨ4-	
鋸	tɕɨ4	
鍛	tuɐ̃4	
鍍	tɯ4	
鎮	tsɐ̃4	
鑷	nɨ2	
鎬	kɑ3	
鏡	tsɨ̃4	
鐙	tɐ̃4	
鐲	tso2	
镰	lɨɛ2	
鑲	ɕɨã1	
長	tsʰã2	～短
長	tsã3	～大
門	mɐ̃2	
閂	ʃuɐ̃1	
閃	sã3	
閉	pɨ4	
問	vɐ̃4	
闖	tʃʰuã3	
閏	zõ4	
闲	ɕɨɛ2	
間	tɕɨɛ1	空～
間	tɕʰɨɛ1	中～
間	tɕɨɛ4	～断
悶	mɐ̃1	闭嘴，～啰嘴
悶	mɐ̃4	胸～
閘	tsɔ2	
鬧	nɑ4	
閨	kuɘɨ1	
聞	vɐ̃2	
閩	mɨ̃3	
閣	ko2	
閻	ʑɨɛ2	
闊	kʰo2	
隊	tuɘɨ4	
阮	ʒuɐ̃3	
防	fã2	
陽	ʑɨã2	
陰	zɨ̃1	
陣	tsɐ̃4	
階	kᴀ1	
阻	tsɯ3	
阿	ɣo1	～胶
附	fɯ4	
際	tɕɨ4	
隴	lõ3	
陳	tsʰɐ̃2	
陌	mɘɨ2	
降	ɕɨã2	投～
降	tɕɨã4	下～
限	ɕɨɛ4	
陝	sã3	
陡	tɘ˞3	
院	ʑɨɛ4	
院	uɐ̃4	医～
除	tsʰɯ2	
險	ɕɨɛ3	
陪	pʰɘɨ2	
陶	tʰɑ2	
陷	ɕɨɛ4	攻～
陷	xã4	～进田头
隆	lõ2	
隨	ʃuɘɨ2	
隱	zɨ̃3	
隔	kɘɨ2	
隘	ɣᴀ4	
障	tsã4	
隧	ʃuɘɨ4	
隶	lɨ4	
難	nã2	～处
難	nã4	灾～
雀	tɕʰɨo2	
雁	ʑɨɛ4	
雄	ɕɨõ2	
雅	ʑɨɔ3	
集	tɕɨ2	
雇	kɯ4	
雌	tsʰɿᵊ1	
雍	ʑɨõ1	
雕	tiɑ1	
雨	ʑɨ3	
雪	ɕɨ2	
雷	luɘɨ2	
雹	pɑ4	冰～
霧	vɯ4	
需	ɕɨ1	
霄	ɕiɑ1	
震	tsɐ̃4	
霍	xo2	
霜	ʃuã1	
霞	ɕɨɔ2	
露	lɯ4	
霸	pɔ4	
青	tsʰɨ̃1	
靜	tsɨ̃4	
非	fɘɨ1	
靠	kʰɑ4	
面	mɨɛ4	对面
面	mɐ̃4	～前
面	mã4	一～走一～说
革	kɘɨ2	
靴	ɕɨ1	
鞋	xᴀ2	
鞍	ɣã1	
鞭	pɨɛ1	
韌	zɐ̃3	
韓	xã2	
韭	tɕɨɘ3	
音	zɨ̃1	
韵	zɨ̃4	
韶	sɑ2	
頁	ʑɨ2	
頂	tɨ̃3	
頃	tsʰɨ̃3	
項	xã4	
順	ɕɨ1	
順	sõ4	
顧	kɯ4	
頓	tõ4	
頒	pã1	
頌	sõ4	
領	lɨ̃3	
頗	pʰo3	
頸	tsɨ̃3	
頻	pʰɨ̃2	
頹	tʰuɘɨ2	
穎	zɨ̃3	
顆	kʰo1	
題	tʰɨ2	
顏	ʑɨɛ2	
額	ɣɘɨ2	
顛	tɨɛ1	
顫	tsã4	
風	fõ1	
颼	sɘ˞1	
飄	pʰiɑ1	
飛	fɘɨ1	
餐	tsʰã1	
餐	tsʰɿᵊ2	
饥	tɕɨ1	
飯	fã4	
飲	zɨ̃3	
餞	tɕɨɛ4	
飽	pɑ3	
飼	sɿᵊ4	
飴	ʑɨ2	
饒	zɑ2	
餃	tɕiɑ3	
餅	pɨ̃3	
餓	ɣo4	
館	kuɐ̃3	
餿	sɘ˞1	
饞	tsʰã2	
饅	mã2	
首	sɘ˞3	
香	ɕɨã1	
馨	sɨ̃1	
騲	tsʰɑ3	～马
馬	mɔ3	
馱	tʰo2	
馱	to4	马～子
馳	tsʰɿᵊ2	
驅	tɕʰɨ1	
駁	po2	
驢	lɨ2	
駛	sɿᵊ3	
駒	tɕɨ1	
駐	tsɯ4	
駝	tʰo2	
駑	nɯ2	
駕	tɕɨɔ4	
罵	mɔ4	
驕	tɕiɑ1	
驗	ʑɨɛ4	
駿	tɕʰɨ1	黑～
騎	tɕʰɨ2	
騙	pʰɨɛ4	
騷	sɑ1	
騾	lo2	
驟	tsʰɘ˞4	
骨	kɯ2	
髓	sõ3	骨～
高	kɑ1	
鬥	tɘ˞4	遇
鬼	kuɘɨ3	
魁	kʰuɘɨ1	
魂	xõ2	
魄	pʰɘɨ2	
魘	ʑɨɛ3	
魏	uɘɨ4	
魔	mo2	
魚	ʑɨ2	
魯	lɯ3	
鮓	tsɔ3	～肉
鮮	ɕɨɛ1	
鯁	kɐ̃3	
鯉	lɨ3	
鯽	tɕɨ2	
鰓	sᴀ1	
鰥	kuɐ̃1	
鰾	pʰiɑ1	
鱉	pɨ2	
鱗	lɨ̃2	
鳥	niɑ3	
鳩	tɕɨɘ1	
雞	tɕɨ1	
鴉	ʑɨɔ1	
鸕	lɯ2	
鴨	ʑɨɔ2	
鴰	uɔ4	
鴿	ko2	
鸞	luɐ̃2	
鴻	xõ2	
鵝	ɣo2	
鵡	vɯ3	
鵲	tɕʰɨo2	
鵬	pʰõ2	
鵮	kʰã1	鸡～米
鶴	xo2	
鸚	zɨ̃1	
鷺	lɯ4	
鷹	zɨ̃1	
鹿	lɯ2	
麝	sɘɨ4	
麥	mɘɨ2	
麯	tɕʰɨ2	
麩	fɯ1	
麻	mɔ2	
黃	xuã2	
黎	lɨ2	
黏	nɨɛ2	
黑	xɘɨ2	
默	mɘɨ2	
鼎	tɨ̃3	
鼓	kɯ3	
鼠	tsʰɯ3	
鼻	pɨ2	
鼾	xã1	
齁	xɘ˞1	
齊	tɕʰɨ2	
齒	tsʰɿᵊ3	
龍	lõ2	
龕	kʰã1	
龜	kuɘɨ1	
