#漢字	音標	解釋
#簡稱	/	綏寧河口
#全稱	/	綏寧河口話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-03
#錄入人	/	DaiDzao
#參考資料	/	《湖南綏寧河口湘語方言音系》
#說明	/	
萎	ˀuei3	
螢	ˀiaŋ2	～火虫
營	ˀyn2	
營	ˀioŋ2=	
蕭	siau1	
薩	sa1	菩～
薩	sa5	拉～
落	lo3	
落	lo5=	降～
著	ky5	
葛	ko3	
董	toŋ3	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tsiaŋ3	
蒙	moŋ2	
蒜	suan5	
蒲	pu1	
蒸	tʃin1	
蒿	xau1	
蓄	fy5	
蓉	ˀioŋ2	
蓑	so1	
蓖	pi6	
藍	lan2	
蓬	pʰən1	灰尘
蓬	poŋ2	
蔓	pʰan5	
蔗	tʃie5	
蔡	tsʰai5	
蔬	sou1	
蔽	pi5	
蕉	tsiau1	
薄	pʰau5	
薄	po6	～荷
薅	xau1	(除田草)
薛	sie3	
薪	sin1	
薰	fyn1	
藉	tsi3	
藏	tsaŋ2	隐～
藏	tsaŋ5	西～
藐	miau3	
藕	ˀæu3	
藤	tən2	
藩	fan1	
藿	xo5	
虎	fu3	
虜	lou3	
虐	ȵio3	
虑	li5	
虔	tʃʰian3	
虛	fy1	
虞	ˀy2	
蟲	tʃoŋ2	
虱	sie3	
虹	kaŋ5-	
虹	xoŋ2	
虻	mən1	牛～
雖	sei1	
蝦	xa1	
蝕	ʃʅ5	
蟻	ȵi5	
蚊	mən1-	
蚊	ˀuən2=	
蚌	paŋ6	
蠶	tsan2	
蚣	koŋ1	
蚤	tsau3	
蛀	ky5	
蛇	ʃa2	
蛋	tan6	
蛙	ˀua1	
蛛	ky1	
蛤	xa2	
蠻	pʰan2	
蟄	tʃie3	
蟄	ʃʅ5	
蛾	ŋo2	
蜀	ʃou3	
蜂	xoŋ1	
蜈	ˀu3	
蜓	tʰin3	
蛻	tʰei5	
蝸	ˀo1	
蜘	tʃʅ1	
蜜	mi5	
蠟	la3	
蜻	tsʰin1	
蠅	ˀin2	
蝗	faŋ2	
蝠	fu3	
蝶	tie3	
螃	paŋ2	
融	ˀioŋ2	
螳	taŋ2	
螺	lo2	
蟆	ma5	
蟒	maŋ3	
蟹	kʰa1	
蠓	moŋ3	
蠚	xo3	
蠜	fan2	
蠢	kʰyn3	
血	fye3	
行	xən2	走:～路
行	ʃin2	～为
行	xaŋ2	～列
銜	xan2	
街	kai1	
衙	ˀia2	
衡	xən2	
衣	ˀi1	
補	pu3	
表	piau3	
衫	sa1	
衰	sai1	
袁	ˀyan2	
襖	ˀau3	
袋	tai6	
袍	pau2	
袖	siou5	
袜	ˀua3	
被	pi6	
襲	si3	
裁	tsai2	
裂	lie3	
裝	tsoŋ1-	～装
裝	tsai5	
裝	tsaŋ1=	
裕	ˀy5	
裙	kyn2	
褲	kʰu5	
裳	tʃʰaŋ2	
裴	pei2	
裸	lo3	
裹	ko3	
褒	pau3	
褥	ˀiou5	
褪	tʰei5	～色
褶	tʃie3	
襄	siaŋ1	
襟	tʃin1	
襻	pʰan5	
西	si1	
要	ˀiau1	～求
要	ˀiau5	想～
覆	pʰu3	
見	tʃian5	
觀	kuan1	参～
觀	kuan5	寺～
規	kuei1	
覓	mi5	
視	ʃʅ5	
覽	lan3	
覺	tʃʰo3	
覺	kau5	睡一～
覷	tsʰi5	
角	ko3-	～落
角	tʃo3=	一～钱
解	kai3	
解	kai5	用大锯子将木头锯成木板:～板子
觸	tʃʰou3	
言	ˀian2	
註	ky5	
譽	ˀy5	
謄	tən2	
誓	ʃʅ5	
警	tʃin3	
譬	pʰi3	
討	tʰau3	
讓	ˀiaŋ6	
訖	tʃʰi3	
託	tʰo3	
訓	fyn5	
議	ȵi5	
訊	sin5	
記	tʃi5	
講	kaŋ3	
諱	fei5	
許	fy3	
論	lən2	～语
論	lən5	议～
訟	soŋ5	
諷	xoŋ3	
設	ʃie3	
訪	faŋ3	
訣	kye3	
证	tʃin5	
評	pin2	
識	ʃʅ3	
詐	tsa5	
訴	sou5	
診	tʃin3	
詞	tsʰɿ2	
詔	tʃau1	
譯	ˀi5	
試	ʃʅ5	
詩	ʃʅ1	
誠	tʃʰin2	
誅	ky1	
話	ˀua6	
誕	tan5	
詭	kuei3	
該	kai1	
詳	tsiaŋ2	
誣	ˀu1	
語	ˀy3	
誤	ˀu5	
誘	ˀiou5	
說	fye3	
誦	soŋ5	
請	tsʰin3	
諸	ky3	
諾	no5	
讀	tʰo5	
課	kʰo5	
誰	ʃei2	
調	tiau2	～和
調	tiau5	
諒	liaŋ5	
談	tan2	
誼	ȵi1	
謀	miau2	
諜	tie3	
謊	faŋ3	
諧	ʃie2	
謂	ˀuei5	
讒	tsan2	
諺	ˀian5	
謎	mi5	
謝	tsia6	凋谢:花～了
謝	sie5=	感～
謠	ˀiau2	
謗	paŋ5	
謙	tʃʰian1	
謹	tʃin3	
謬	miau5	
谷	ku3	
豁	xo5	
豆	tiau6	
豇	kaŋ1	
豉	ʃʅ5	
豌	ˀuan1	～豆
豕	ʃʅ3	
豚	tʰən2	
象	siaŋ5	
豪	xau2	
豫	ˀy5	
豶	fən2	～猪
豹	pau5	
豺	tsai2	
貂	tiau1	
貌	mau5	
貞	tʃin1	
貢	koŋ5	
財	tsai2	
責	tsie3	
賢	ʃian2	
敗	pai6	
賬	tʃaŋ5	
貨	xo5	
質	tʃʅ5	
販	fan5	
貪	tʰan1	
貧	pin2	
貶	pian3	
購	kiau5	
貫	kuan5	
貳	ˀɤ6	
賤	tsian5	
貼	tʰie3	
貴	kuei5	
貸	tai5	
貿	mau5	
費	fei5	
賀	xo6	恭～
賀	xo5=	(姓氏)
賊	tsʰie5	
賈	tʃa3	
賄	fei3	
賃	lin5	
賂	lo5	
賂	lou6	
贓	tsaŋ1	
資	tsɿ1	
賒	ʃa6	
賭	tou3	
贖	ʃou5	
賞	ʃaŋ3	
賜	tsʰɿ5	
賠	pei2	
賴	lai5	
贅	tsei5	
賺	kyan5	
賽	sai5	
赞	tsan5	
贈	tsən5	
贏	ˀin2	
赤	tʃʰʅ5	
赫	xie3	
走	tsiau3	
趙	tʃau6	
趕	kan3	
起	tʃʰi3	
趁	tʃʰin5	
超	tʃʰau1	
越	ˀye3	
趨	kʰy1	
趟	tʰaŋ5	
趣	tsʰi5	
足	tsou3	
趼	tʃian3	
趾	tʃʅ5	
躍	ˀiau5	
跌	tie3	
跍	ku2	(蹲)
跑	pʰau3	
跛	po3	
距	ky5	
跟	kən1	
跡	tsi3	
跨	kʰua5	
跪	kʰuei5	
路	lou6	
跳	tʰiau5	
踐	tsian5	
踏	tʰa5	
蹤	tsoŋ1	
踱	to3	
蹄	ti2	
蹑	ȵie5	
蹬	tən5	(用力踩踏)
蹭	tsʰən5	
蹲	tən1	
躁	tsau5	
身	ʃən1	
躬	koŋ1	
躲	to3	
躺	tʰaŋ3	
車	tʃʰa1-	用于地名，水～
車	ky1	～马炮
車	tʃʰie1=	
軋	ˀia3	
軌	kuei3	
軒	fyan1	
轉	kyan3	～送
轉	kyan5	～圆圈
軛	ˀa1	
輪	lən2	
轟	xoŋ1	
軸	tʃʰou1	
輕	tʃʰin1	～重
載	tsai3	
載	tsai5	
轎	tʃau6	
較	tʃau5	
輔	fu3	
輛	liaŋ6	
輦	ȵian3	
輩	pei5	
輝	fei1	
輞	ˀuaŋ3	
輜	tsɿ1	
輯	tʃi5	
輸	fy1	～赢
輸	fy3	
轅	ˀyan2	
轄	ʃa3	
轍	tʃie3	
辭	tsʰɿ2	
辣	la3	
辨	pian5	
辯	pian5	
辮	pian5	
辰	ʃən2	
辱	ˀiou5	
邊	pian1	
遼	liau2	
达	ta3	
迂	ˀy1	
過	ka3-	表完成的助词，完～
過	ko5	
迎	ˀin2	
運	fy3	
運	ˀyn6	
近	tʃin6	
還	ˀuan2-	～钱
還	xai2	～有
還	fan2=	～原
進	tsin5	
遠	ˀyan3	
違	ˀuei2	
連	lian2	
遲	tʃʅ2	
迥	tʃoŋ3	
述	fy5	
迷	mi2	
迸	poŋ5	
追	tʃei1	
退	tʰei5	
送	soŋ5	
適	ʃʅ5	
逆	ȵi5	
選	sian3	
遜	fyn6	(差，不好)
透	tʰiau5	
逐	tʃou3	
遞	ti6	
途	tou2	
逗	tiau1	
通	tʰoŋ1	
通	tʃian3	
逛	kuaŋ5	
逝	ʃʅ5	
逞	tʃʰin3	
速	sou5	
造	tsʰau5	建～
逢	xoŋ2	
逵	kʰuei2	
逸	ˀi5	
逼	pie3	
遁	tən5	
遇	ˀy6	
遍	pʰian5	
道	tau6	
遺	ˀi2	
遭	tsau1	
遮	tʃa1	
遵	tsən1	
避	pi5	
邀	ˀiau1	
邓	tən5	
邦	paŋ1	
邪	tsia1	
郵	ˀiou2	
邵	ʃau5	
鄰	lin2	
郁	ˀy5	
郊	tʃau1	
郎	laŋ2	
鄭	tʃin6-	
鄭	tʃin5=	
郡	kyn5	
部	pu6	
郭	ko1	
都	tou1	
鄂	ŋo5	
鄙	pi3	
酉	ˀiou3	
酌	tso1	
酒	tsiou3	
酣	xan1	
酥	sou1	
酪	lo5	
酬	tʃʰou2	
醬	tsiaŋ5	
酵	ʃau5	
酷	kʰu5	
酸	suan1	
釅	ˀian5	
釀	ȵiaŋ5	
醇	fyn2	
醉	tsi5	
醋	tsʰou5	
醒	sin3	
醮	tsiau5	
采	tsʰai3	
釉	ˀiou5	
釋	ʃʅ5	
里	li3	
重	tʃʰoŋ2	～复
重	tʃoŋ6	轻～
野	ˀia3	
量	liaŋ2	～长短
量	liaŋ5	数～
金	tʃin1	
鈀	pa2	
鉴	kan5	
錶	piau3	
针	tʃin1	
釘	tin1	铁～
釘	tin5	～钉子
釣	tiau5	
鈍	tən5	
鈍	tən6	一头比另一头重:～头
鈔	tsʰau1	
钟	tʃoŋ1	
鋼	kaŋ1	
鑰	ˀio3	～匙
欽	tʃʰin1	
鈞	kyn1	
鉤	kiau1	
錢	tsian2	
鉗	tsian3	
鉢	po3	
鈸	po3	
鑽	tsuan5	①动词②木工用具
鐵	tʰie3	
鈴	lin2	
鉛	tsʰian1	
鉋	pau6	
鐸	to3	
銅	toŋ2	
鍘	tsʰie3	
銘	min2	
鉸	tʃau3	
铲	tsʰan3	
銃	tʃʰoŋ5	
銀	ȵin2	
鑄	ky5	
鋪	pʰu1	
鋪	pʰu5	作地名，长～子
链	lian6	
銷	siau1	
鎖	so3	
鋤	tsou2	
鍋	ko1	
鏽	siou5	
銼	tsʰo5	
鋒	xoŋ1	
銳	lei5	
錯	tsʰo5	
錨	mau2	
錛	pən1	
錫	si3	
錮	ku5	
鑼	lo2	
錘	ky2	
錦	tʃin3	
錠	tin5	
鍵	tʃian5	
鋸	kɯ5-	
鍬	tsʰiau1	
鍛	tuan5	～炼
鍍	tou6	
鎮	tʃin5	
鑷	ȵie5	
鎔	ˀioŋ2	
鏡	tʃin5	
鐙	tən5	
鐲	tso1	
镰	lian2	
鑲	siaŋ1	
長	tʃaŋ2	
長	tʃaŋ3	生～
門	mən2	
閂	suan1	
閃	ʃian3	
閉	pi5	
問	ˀuən6-	
問	ˀuən5=	～题
闖	tsʰaŋ3	
閏	ˀyn6	
闲	xan2	
間	kan1	中～
間	kan5	～断
悶	mən5	
閘	tsa3	
鬧	nau6	
閨	kuei1	
聞	ˀuən2	
聞	ʃoŋ5	
閩	min3	
閣	ko3	
鬮	tʃou1	
閱	ˀye5	
閹	ˀian1	
閻	ȵian2	
闊	kʰo3	
阜	fu5	
隊	tei5	
阮	ŋuan2	(我们)
阮	ˀyan2	
防	faŋ2	
陽	ˀiaŋ2	
陣	tʃin6	
階	kai1	
阻	tsou3	
阿	ˀa1	
際	tsi5	
陸	lou5=	
隴	loŋ3	
陳	tʃin2	
陋	liau5	
陌	mo5	
降	kaŋ5-	霜～
降	ʃaŋ3	投～
降	tʃaŋ5=	下～
限	xan6	
陝	ʃian3	
陛	pi5	
陡	tiau3	
院	ˀyan6	
除	ky2-	
除	kʰy2=	
險	ʃian3	
陪	pei2	
陵	lin2	
陶	tau2	
陷	xan5	
隆	loŋ2	
隨	sei2	
隱	ˀin3	
隔	kie3	
隘	ŋai5	
障	tʃaŋ5	
隶	li5	
難	nan2	～易
難	lo3	
難	nan6	落～
雀	tsʰio3	
雄	ʃoŋ2	
雅	ˀia3	
集	tsi3	
雇	ku5	
雌	tsʰɿ2	
雍	ˀioŋ1	
雍	ˀioŋ2	
雛	tsʰou3	
雕	tiau1	
雨	ˀy3	
雪	sie3	
零	lin2	
雷	lei1	
雹	pʰau5	
需	si1	
霄	siau1	
震	tʃin5	
霉	mei2	
霍	xo5	
霜	saŋ1	
露	lou6-	～水
露	lou5=	花～水
霸	pa5	
青	tsʰin1	
靖	tsin6	
靜	tsin6	
非	fei1	
靠	kʰau5	
靡	mi2	
面	mian6	～容，～粉
革	kie3	
靪	tin1	
靭	ˀin5	
靴	fya1	
鞋	xai2	
鞍	ŋan1	
鞘	tʃʰau5	
鞭	pian1	
韓	xan2	
韭	tʃou3	
韵	ˀyn5	
韶	ʃau2	～关
頁	ˀie5	
頂	tin3	
頃	tʃʰin3	
項	xaŋ5	
順	fyn6-	
順	fyn5=	
须	si1	
须	fu2	
頑	ˀuan2	～固
顧	ku5	
頒	pan1	
頌	soŋ5	
預	ˀy5	
領	lin3	
頗	pʰo1	
頗	pʰo3	
頸	tʃaŋ3-	～骨:脖子
頸	tʃin3=	～椎
頻	pʰin2	
穎	ˀin3	
顆	kʰo3	
題	tʰi2	
顏	ŋan2-	
顏	ˀian2	
額	ŋie3	
顛	tian1	
顫	tsian5	
顴	kʰyan2	
風	xoŋ1	
飄	pʰiau1	
飛	fei1	
食	ʃʅ5	
餐	tsʰan1	
饥	tʃi1	
飩	tən5	
飯	siau1	～嘎
飯	fan6	
飲	ˀin3	
餞	tsian5	
飾	ʃʅ5	
飽	pau3	
飼	tsʰɿ2	
飴	ˀi2	
餌	ˀɤ3	
餌	ˀɯ3	(又读)
饒	ˀiau2	
餉	ʃaŋ3	
餅	pin3	
餓	ŋo6	
餘	ˀy2	
餛	fən2	
餡	ʃian5	
館	kuan3	
餿	siau1	
饞	tsan2	
饃	mo2	
餾	liou2	
饅	pʰan5	
首	ʃou3	
香	ʃaŋ1	
馨	ʃin1	
騲	tsʰau3	
馬	ma3	
馳	tsʰɿ2	
驅	kʰy1	
駁	po3	
駒	ky5	
駐	ky5	
駝	to2-	～背
駝	tʰo2	骆～
駕	tʃa5	
罵	ma6	
驕	tʃau1	
駱	lo5	
驗	ȵian5	
騎	tʃi2-	
騙	pʰian5	欺～
騷	sau1	
騾	lo2	
骨	ku3	
髈	pʰaŋ3	(猪大腿)
髓	sei2	
高	kau1	
鬃	tsoŋ1	
鬏	tsiou1	
鬢	pin5	
鬚	si1	
鬼	kuei3	
魁	kʰuei1	
魂	fən2	
魄	pʰie3	
魅	mei5	
魘	ˀian3	
魏	ˀuei5	
魔	mo2	
魚	ˀy2	
魯	lou3	
鮎	ȵian3	
鮑	pau5	
鮮	sian3	新～
鯉	li3	
鯽	tsi3	
鯨	tʃin1	
鰓	sai1	
鰍	tsʰiau1	
鰭	tʃʰi3	
鰥	kuan1	～寡
鱉	pie1	
鱖	kuei5	
鱗	lin2	
鳥	tiau3-	
鳥	ȵau3=	
鳩	tʃou3	
雞	tʃi1	
鳴	min2	
鴉	ˀia1	
鸕	lou2	
鴨	ˀa3	
鴿	ko1	
鸞	luan3	
鴻	xoŋ2	
鵝	ŋo2	
鵲	tsʰio3	
鷂	ˀiau2	～鹰
鶴	xo5	
鸚	ˀin1	
鸚	ˀu3	
鷺	lou6	～鸶
鷹	ˀin1	
鹿	lou3	
麝	ʃie5	
麥	mie3	
麩	fu1	
麻	ma2	
麾	fei1	
黃	faŋ2	
黎	li2	
黏	ȵa1	
黑	xie3	
默	mie3	
黢	kʰy5	～黑
鼎	tin3	
鼓	ku3	
鼠	fy3	
鼬	ˀiou5	
鼻	ʃoŋ5	
鼻	pi6	
鼾	xan1	
齊	tsi2	
龍	loŋ2	
龕	kʰan3	
龜	kuei1	
