#漢字	音標	解釋
𧾷	tsʊʔ7	çȯ̆
狃	niəu5	niéu
狄	tɪʔ7	tiė̆
狊	kɪʔ7	kiė̆
狊	kʏʔ7	kiụ̆
狎	xiaʔ7	hiă
狐	xu2	hû
狒	fi5	fí
狖	iəu5	iéu
狗	kəu3	kèu
狘	yɛʔ7	iuĕ
狙	tsy1	çiụ̄
狙	tsʰy5	ʻçiụ́
狚	taʔ7	tă
狚	tan3	tàn
狚	tan5	tán
狡	kiau3	kiào
狢	mɛʔ7	mĕ
狨	ɻuŋ2	jûm
狩	ʂəu5	xéu
狩	ʂəu5	xiéu
狶	xi3	hì
狷	kyɛn3	kiuèn
狷	kyɛn5	kiuén
狺	in2	în
狻	tsʰyn5	ʻçiún
狻	suɔn1	suōn
狼	laŋ2	lâm
狼	laŋ5	lám
狽	puəi5	poéi
狾	ki5	kí
狿	iɛn5	ién
猋	piau1	piāo
猎	tsʰiɔʔ7	ʻçiŏ
猒	iɛʔ7	iĕ
猒	iɛn1	iēn
猖	tʂʰaŋ1	ʻchām
猗	i1	ī
猘	ki5	kí
猜	tsʰai1	ʻçāi
猝	tsʰʊʔ7	ʻçȯ̆
猣	tsuŋ1	çūm
猥	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
猥	uəi3	uèi
猩	səŋ1	sēm
猫	miau2	miâo
猰	iaʔ7	iă
猱	nau2	nâo
猲	xɔʔ7	hŏ
猲	xiɛʔ7	hiĕ
猴	xəu2	hêu
猵	pʰiɛn1	ʻpiēn
猶	iəu2	iêu
猶	iəu5	iéu
猷	iəu2	iêu
猻	sun1	sūn
猼	pʰɔʔ7	ʻpŏ
猾	xuaʔ7	hoă
猿	yɛn2	iuên
獀	səu1	sēu
獀	səu3	sèu
獄	iʊʔ7	iȯ̆
獅	ʂɨ1	xī
獅	sɯ1	su̇̄
獍	kiŋ5	kím
獐	tʂaŋ1	chām
獒	ŋau2	gâo
獝	kʏʔ7	kiụ̆
獠	lau3	lào
獠	liau2	leâo
獠	liau5	leáo
獢	xiau1	hiāo
獥	xɪʔ7	hiė̆
獧	xyɛn1	hiuēn
獨	tʊʔ7	tȯ̆
獩	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
獩	uəi5	uéi
獪	kuai5	kuái
獪	kuəi5	kuéi
獫	liɛn2	liên
獫	liɛn5	lién
獬	tʂai3	chài
獬	xiai3	hiài
獮	siɛn3	sièn
獯	xyn1	hiūn
獰	nəŋ2	nêm
獲	xua5	hoá
獲	xuɛʔ7	hoĕ
獲	xuɔʔ7	huŏ
獳	nəu2	nêu
獵	liɛʔ7	liĕ
獷	kuŋ3	kùm
獷	kuəŋ3	kuèm
獸	ʂəu5	xéu
獸	ʂəu5	xiéu
獹	lu2	lû
獺	tʰaʔ7	ʻtă
獻	xi1	hī
獻	sɔ1	sō
獻	niɛn3	nièn
獻	xiɛn5	hién
玁	xiɛn3	hièn
玃	kɪʔ7	kiė̆
玃	kiɔʔ7	kiŏ
玄	xyɛn2	hiuên
玄	xyɛn5	hiuén
率	sʊʔ7	sȯ̆
率	suʔ7	su̇̆ 校註：su̇ 拼寫疑誤，當作 su
率	lʏʔ7	liụ̆
率	lyɛʔ7	liuĕ
玈	lu2	lû
玉	iʊʔ7	iȯ̆
王	ʋaŋ2	vâm
王	ʋaŋ5	vám
王	uaŋ2	uâm
王	uaŋ5	uám
玎	tsəŋ1	çēm
玎	tʂəŋ1	chēm
玎	tiŋ1	tīm
玏	lɛʔ7	lĕ
玒	kuŋ1	kūm
玒	kiaŋ1	kiām
玕	kan1	kān
玖	kiəu3	kièu
玗	y2	iụ̂
玘	kʰi3	ʻkì
玞	fu1	fū
玠	kiai5	kiái
玢	pin1	pīn
玤	`paŋ3`	pàm
玤	pʰuŋ3	ʻpùm
玦	kyɛʔ7	kiuĕ
玨	kiɔʔ7	kiŏ
玩	uan5	uán
玩	uɔn5	uón
玫	muəi2	mûi
玫	muəi2	moêi
玲	liŋ2	lîm
玷	tiɛn3	tièn
玷	tiɛn5	tién
玹	xyɛn5	hiuén
玻	pʰɔ1	ʻpō
玼	tsʰi3	ʻçì
玼	tsʰɯ1	ʻçu̇̄
玼	tsʰɯ3	ʻçu̇̀
玽	kəu3	kèu
珀	pʰɛʔ7	ʻpĕ
珂	kʰɔ1	ʻkō
珇	tsu3	çù
珈	kia1	kiā
珉	min2	mîn
珊	san1	sān
珊	ʂan1	xān
珌	pɪʔ7	piė̆
珍	tʂɨn1	chīn
珕	li5	lí
珖	kuaŋ1	kuām
珙	kuŋ3	kùm
珝	xy3	hiụ̀
珞	lɔʔ7	lŏ
珠	tʂʉ1	chụ̄
珢	kən5	kén
珢	in2	în
珣	syn1	siūn
珥	ɯ˞3	ùl
珥	ɯ˞5	úl
珦	ʂaŋ5	xám
珦	xiaŋ5	hiám
珧	iau2	iâo
珩	xəŋ2	hêm
珪	kuəi1	kuēi
珫	tʂʰuŋ1	ʻchūm
珬	sʏʔ7	sụ̆ 校註：sụ 轄字同 siụ，音標按 siụ 轉寫
珬	sʏʔ7	siụ̆
班	pan1	pān
珵	tʂʰɨŋ2	ʻchîm
珶	ti5	tí
珽	tʰiŋ3	ʻtìm
琀	xan5	hán
球	kʰiəu2	ʻkiêu
琄	`xyɛn3`	hiuèn
琅	laŋ2	lâm
理	li3	lì
琇	iəu3	ièu
琇	siəu5	siéu
琖	tʂan3	chàn
琖	tʂɛn3	chèn
琖	tʂɛn3	chièn
琚	ky1	kiụ̄
琛	tsʰən1	ʻçēn
琛	tʂʰɨn1	ʻchīn
琠	tʰiɛn3	ʻtièn
琡	ʂʊʔ7	xȯ̆
琢	tʂɔʔ7	chŏ
琤	tsʰəŋ1	ʻçēm
琤	tʂʰəŋ1	ʻchēm
琥	xu3	hù
琨	kuən1	kuēn
琨	kʰuən1	ʻkuēn
琪	kʰi2	ʻkî
琬	uɔn3	uòn
琬	yɛn3	iuèn
琭	lʊʔ7	lȯ̆
琮	tsʰuŋ2	ʻçûm
琰	iɛn3	ièn
琱	tiau1	tiāo
琲	`puəi3`	poèi
琲	puəi5	poéi
琳	lin2	lîn
琴	kʰin2	ʻkîn
琵	pʰi2	ʻpî
琶	pʰa2	ʻpâ
瑀	y3	iụ̀
瑁	mau5	máo
瑁	muəi5	múi
瑁	muəi5	moéi
瑄	syɛn1	siuēn
瑅	tʰi2	ʻtî
瑇	tai5	tái
瑈	ɻəu2	jêu
瑊	tʂɨn1	chīn
瑊	kiɛn1	kiēn
瑋	uəi3	uèi
瑑	tʂuɛn3	chuèn
瑑	tʂuɛn5	chuén
瑒	tʂʰaŋ5	ʻchám
瑒	iaŋ2	iâm
瑕	xia2	hiâ
瑗	yɛn5	iuén
瑙	nau3	nào
瑚	xu2	hû
瑛	iŋ1	īm
瑜	y2	iụ̂
瑝	xuŋ2	hûm
瑝	xuaŋ2	hoâm
瑞	ʂui5	xúi
瑟	sɛʔ7	sĕ
瑠	liəu2	liêu
瑢	iuŋ2	iûm
瑣	sɔ3	sò
瑤	iau2	iâo
瑥	uən1	uēn
瑦	u3	ù
瑨	tsin5	çín
瑩	iŋ2	îm
瑩	iŋ3	ìm
瑩	iŋ5	ím
瑩	iuŋ2	iûm
瑩	iuŋ3	iùm
瑪	ma3	mà
瑭	tʰaŋ2	ʻtâm
瑰	xuai2	hoâi
瑰	kuəi1	kuēi
瑱	tʂɨn1	chīn
瑱	tʂɨn5	chín
瑱	tiɛn5	tién
瑱	tʰiɛn5	ʻtién
瑳	tsʰɔ1	ʻçō
瑳	tsʰɔ3	ʻçò
瑹	ʂʉ1	xụ̄
瑾	kin5	kín
璀	tsʰui3	ʻçùi
璀	muəi3	mùi
璀	muəi3	moèi
璃	li2	lî
璅	tsau3	çào
璈	ŋau2	gâo
璉	liɛn3	lièn
璊	muən2	muên
璋	tʂaŋ1	chām
璏	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
璏	uəi5	uéi
璐	lu5	lú
璑	ʋu2	vû
璗	`taŋ3`	tàm
璘	lin2	lîn
璘	lin3	lìn
璙	liau2	leâo
璙	liau5	leáo
璜	xuŋ2	hûm
璜	xuaŋ2	hoâm
璞	pʰɔʔ7	ʻpŏ
璟	kiuŋ3	kiùm
璠	fan1	fān
璡	tsin1	çīn
璡	tsin5	çín
璣	ki1	kī
璧	pɪʔ7	piė̆
璨	tsʰan5	ʻçán
璩	kʰy2	ʻkiụ̂
璪	tsau3	çào
璫	taŋ1	tām
璬	kiau3	kiào
璯	kuəi5	kuéi
環	xuan2	hoân
環	xuan5	hoán
璱	sɛʔ7	sĕ
璵	y2	iụ̂
璹	ʂʊʔ7	xȯ̆
璺	ʋuən5	vén 校註：ven 拼寫疑誤，當作 vuen
璽	si3	sì
璿	syɛn2	siuên
瓀	ɻuɛn2	juên
瓃	lui2	lûi
瓄	tʊʔ7	tȯ̆
瓅	lɪʔ7	liė̆
瓆	tʂəʔ7	chė̆
瓈	li2	lî
瓊	kʰiuŋ2	ʻkiûm
瓏	luŋ2	lûm
瓐	lu2	lû
瓓	lan5	lán
瓔	iŋ1	īm
瓖	siaŋ1	siām
瓗	kʰiuŋ2	ʻkiûm
瓘	kuɔn5	kuón
瓚	tsan5	çán
瓚	`tsuɔn3`	çuòn
瓛	iɛn3	ièn
瓛	niɛn3	nièn
瓛	xuɔn2	huôn
瓜	kua1	kuā
瓝	pɔʔ7	pŏ
瓞	tiɛʔ7	tiĕ
瓠	xu2	hû
瓠	xu5	hú
瓢	pʰiau2	ʻpiâo
瓣	pan5	pán
瓤	ɻaŋ2	jâm
瓦	ua3	uà
瓨	kaŋ1	kām
瓨	xiaŋ2	hiâm
瓬	faŋ3	fàm
瓴	liŋ2	lîm
瓵	i2	î
瓷	tsʰɯ2	ʻçu̇̂
瓻	tʂʰɨ1	ʻchī
瓽	taŋ5	tám
瓿	pʰu2	ʻpû
瓿	fu2	fû
瓿	pʰəu3	ʻpèu
甀	tʂʰui2	ʻchûi
甀	tʂui5	chúi
甃	tsəu5	çéu
甄	tʂɨn1	chīn
甄	tʂɨn5	chín
甄	kiɛn1	kiēn
甈	i5	í
甈	kʰi5	ʻkí
甈	ni5	ní
甊	ləu3	lèu
甋	tɪʔ7	tiė̆
甌	ŋəu1	gēu
甍	məŋ2	mêm
甎	tʂuɛn1	chuēn
甐	lin2	lîn
甐	lin5	lín
甑	tsəŋ5	çém
甒	ʋu3	vù
甓	pɪʔ7	piė̆
甔	tan1	tān
甔	tan5	tán
甕	uŋ5	úm
甕	iuŋ1	iūm
甗	iɛn2	iên
甗	niɛn2	niên
甗	iɛn3	ièn
甗	niɛn3	nièn
甗	iɛn5	ién
甗	niɛn5	nién
甘	kan1	kān
甚	`ʂɨn3`	xìn
甚	ʂɨn5	xín
甜	tʰiɛn2	ʻtiên
甝	xan2	hân
生	səŋ1	sēm
生	səŋ5	sém
甡	sin1	sīn
產	tsʰan3	ʻçàn
產	tʂʰan3	ʻchàn
甤	ɻui2	jûi
甤	ɻui3	jùi
甥	səŋ1	sēm
用	iuŋ5	iúm
甪	lɔʔ7	lŏ
甫	fu3	fù
甬	iuŋ3	iùm
田	tʰiɛn2	ʻtiên
由	iəu2	iêu
甲	kiaʔ7	kiă
申	ʂɨn1	xīn
男	nan2	nân
甸	tiɛn5	tién
甹	pʰəŋ1	ʻpēm
甹	iəu2	iêu
町	xi2	hî
町	tʰiŋ3	ʻtìm
畀	pi5	pí
畇	yn2	iûn
畈	fan5	fán
畋	tʰiɛn2	ʻtiên
界	kiai5	kiái
畎	kyɛn3	kiuèn
畏	uəi1	goēi 校註：goei 轄字同 uei，音標按 uei 轉寫
畏	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
畏	uəi1	uēi
畏	uəi5	uéi
畒	mu3	mù
畒	məu3	mèu
畔	pʰuɔn5	ʻpuón
畗	xiaŋ1	hiām
畚	puən3	puèn
畛	tʂɨn1	chīn
畛	tʂɨn3	chìn
畜	tʂʰəu5	ʻchéu
畜	xiʊʔ7	hiȯ̆
畜	xiəu5	hiéu
畟	tsʰɛʔ7	ʻçĕ
畢	pɪʔ7	piė̆
畤	tʂɨ3	chì
略	liɔʔ7	liŏ
畦	xi2	hî
畦	xuəi2	hoêi
番	pɔ1	pō
番	fan1	fān
番	fan5	fán
畫	xua5	hoá
畫	xuɛʔ7	hoĕ
畬	ʂɛ1	xē
畬	y2	iụ̂
畯	tsʰyn5	ʻçiún
異	i5	í
畱	liəu2	liêu
畱	liəu5	liéu
當	taŋ1	tām
當	taŋ5	tám
畷	tʂui5	chúi
畸	ki1	kī
畹	uɔn3	uòn
畹	yɛn3	iuèn
畹	yɛn5	iuén
畼	ʂaŋ1	xām
畽	tʰun3	ʻtùn
畿	kʰi2	ʻkî
疁	liəu2	liêu
疃	tʰun3	ʻtùn
疄	lin2	lîn
疆	kiaŋ1	kiām
疆	kʰiaŋ3	ʻkiàm
疇	tʂʰəu2	ʻchêu
疋	su1	sū
疋	ia3	ià
疐	tʂɨ5	chí
疐	ti5	tí
疑	i2	î
疑	ni2	nî
疑	nɪʔ7	niė̆
疕	pi3	pì
疙	nɪʔ7	niė̆
疚	kiəu5	kiéu
疝	ʂan5	xán
疢	tʂʰɨn3	ʻchìn
疢	tʂʰɨn5	ʻchín
疥	kiai5	kiái
疫	ʏʔ7	iụ̆
疲	pʰi2	ʻpî
疵	tsʰɯ1	ʻçu̇̄
疵	tsʰɯ2	ʻçu̇̂
疵	tsʰɯ5	ʻçu̇́
疷	kʰi2	ʻkî
疷	ti3	tì
疹	tʂɨn3	chìn
疹	tʂʰɨn5	ʻchín
疺	faʔ7	fă
疻	tʂɨ3	chì
疼	tʰəŋ2	ʻtêm
疽	tsy1	çiụ̄
疽	tsy3	çiụ̀
疾	tsɪʔ7	çiė̆
痀	xəu1	hēu
痀	ky1	kiụ̄
痁	ʂɛn1	xēn
痁	ʂɛn5	xén
痁	ʂɛn1	xiēn
痁	ʂɛn5	xién
痂	kia1	kiā
病	piŋ5	pím
痊	tsʰyɛn1	ʻçiuēn
痍	i2	î
痎	kiai1	kiāi
痏	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
痏	uəi3	uèi
痒	iaŋ2	iâm
痒	iaŋ3	iàm
痔	`tʂɨ3`	chì
痕	xən2	hên
痗	muəi3	mùi
痗	muəi5	múi
痗	muəi3	moèi
痗	muəi5	moéi
痛	tʰuŋ5	ʻtúm
痞	pʰi3	ʻpì
痟	siau1	siāo
痡	pʰu1	ʻpū
痣	tʂɨ5	chí
痤	tsʰɔ2	ʻçô
痮	tʂaŋ5	chám
痯	kuɔn3	kuòn
痯	kuɔn5	kuón
痰	tʰan2	ʻtân
痱	fi2	fî
痱	fi5	fí
痱	`puəi3`	poèi
痷	iɛʔ7	iĕ
痻	xuən1	hoēn
痼	ku5	kú
痾	ɔ1	ō
痿	uəi1	goēi 校註：goei 轄字同 uei，音標按 uei 轉寫
痿	uəi1	uēi
瘀	y5	iụ́
瘁	tsʰui5	ʻçúi
瘃	tʂʊʔ7	chȯ̆
瘇	ʂuŋ3	xùm
瘈	ki5	kí
瘉	y2	iụ̂
瘉	y3	iụ̀
瘉	y5	iụ́
瘏	tʰu2	ʻtû
瘐	y3	iụ̀
瘖	in1	īn
瘙	sau5	sáo
瘚	kyɛʔ7	kiuĕ
瘞	i5	í
瘠	tsɪʔ7	çiė̆
瘡	tsʰaŋ1	ʻçām
瘡	tʂʰaŋ1	ʻchām
瘡	tʂʰuaŋ1	ʻchoām
瘡	tʂʰuaŋ1	ʻchuām
瘢	pʰuɔn2	ʻpuôn
瘣	xuəi2	hoêi
瘣	`xuəi3`	hoèi
瘥	tsʰɔ2	ʻçô
瘥	tʂʰai5	ʻchái
瘥	tsiɛ1	çiē
瘦	səu5	séu
瘧	iɔʔ7	iŏ
瘧	niɔʔ7	niŏ
瘨	tiɛn1	tiēn
瘯	tsʰʊʔ7	ʻçȯ̆
瘳	tʂʰəu1	ʻchēu
瘴	tʂaŋ5	chám
瘵	tʂai5	chái
瘸	kʰyɛ2	ʻkiuê
瘸	kʰuan2	ʻkuân
瘻	ləu5	léu
瘻	ly2	liụ̂
瘼	mɔʔ7	mŏ
瘽	kin5	kín
療	liau5	leáo
癃	luŋ2	lûm
癅	liəu2	liêu
癈	fi5	fí
癉	tɔ3	tò
癉	tɔ5	tó
癉	tan3	tàn
癉	tan5	tán
癎	xiɛn2	hiên
癏	kuan1	kuān
癑	nuŋ3	nùm
癖	pʰɪʔ7	ʻpiė̆
癙	ʂʉ3	xụ̀
癠	tsi3	çì
癠	tsi5	çí
癡	tʂʰɨ1	ʻchī
癢	iaŋ3	iàm
癥	tʂɨŋ1	chīm
癧	lɪʔ7	liė̆
癨	xɔʔ7	hŏ
癩	lai5	lái
癬	siɛn3	sièn
癭	iŋ3	ìm
癯	kʰy2	ʻkiụ̂
癰	iuŋ1	iūm
癲	tiɛn1	tiēn
癲	`tiɛn3`	tièn
癸	kuəi3	kuèi
登	təŋ1	tēm
發	faʔ7	fă
白	pɛʔ7	pĕ
百	pɛʔ7	pĕ
百	mɛʔ7	mĕ
皁	`tsau3`	çào
皃	mɔʔ7	mŏ
的	tɪʔ7	tiė̆
皆	kiai1	kiāi
皇	ʋaŋ5	vám
皇	xuaŋ2	hoâm
皇	xuaŋ3	hoàm
皇	xuaŋ5	hoám
皇	uaŋ5	uám
皋	xau2	hâo
皎	kiau3	kiào
皐	kau1	kāo
皐	xau2	hâo
皓	kau3	kào
皓	`xau3`	hào
皖	xuɔn3	huòn
皙	sɪʔ7	siė̆
皚	ŋai2	gâi
皛	iau3	iào
皛	xiau3	hiào
皜	kau3	kào
皠	tsʰui3	ʻçùi
皠	muəi3	mùi
皠	muəi3	moèi
皤	pʰɔ2	ʻpô
皥	`xau3`	hào
皦	kiau3	kiào
皩	xuaŋ3	hoàm
皪	lɪʔ7	liė̆
皫	pʰiau3	ʻpiào
皬	xɔʔ7	hŏ
皬	iau5	iáo
皭	tsiɔʔ7	çiŏ
皭	tsiau5	çiáo
皮	pʰi2	ʻpî
皯	kan3	kàn
皰	pʰau5	ʻpáo
皴	tsʰyn1	ʻçiūn
皵	tsʰɪʔ7	ʻçiė̆
皵	tsʰiɔʔ7	ʻçiŏ
皸	kyn1	kiūn
皸	kyn5	kiún
皺	tsəu5	çéu
皽	tʂɛn3	chèn
皽	tʂɛn3	chièn
皿	miŋ3	mìm
盂	y2	iụ̂
盅	`tʂuŋ1`	chūm
盅	tʂʰuŋ1	ʻchūm
盅	tʂʰuŋ2	ʻchûm
盆	pʰuən2	ʻpuên
盈	iŋ2	îm
益	ɪʔ7	iė̆
盌	uan3	uàn
盌	uɔn3	uòn
盍	xɔʔ7	hŏ
盎	ŋaŋ3	gàm
盎	ŋaŋ5	gám
盒	xɔʔ7	hŏ
盓	y1	iụ̄
盔	kʰuəi1	ʻkuēi
盕	fan5	fán
盗	tau5	táo
盛	tʂʰɨŋ2	ʻchîm
盛	ʂɨŋ2	xîm
盛	ʂɨŋ5	xím
盝	lʊʔ7	lȯ̆
盟	məŋ5	mém
盟	miŋ2	mîm
盠	li3	lì
盡	`tsin3`	çìn
盡	tsin5	çín
監	kiɛn5	kién
盤	pʰuɔn2	ʻpuôn
盥	kuɔn3	kuòn
盥	kuɔn5	kuón
盧	lu2	lû
盩	tʂəu1	chēu
盪	tʰaŋ2	ʻtâm
盪	`taŋ3`	tàm
盪	taŋ5	tám
盪	tʰaŋ5	ʻtám
盬	ku1	kū
盬	ku3	kù
盭	li5	lí
盭	liɛʔ7	liĕ
目	mʊʔ7	mȯ̆
盰	kan5	kán
盱	xy1	hiụ̄
盲	ʋaŋ5	vám
盲	məŋ2	mêm
直	tʂəʔ7	chė̆
直	tʂɨ5	chí
相	siaŋ1	siām
相	siaŋ5	siám
盻	xi5	hí
盼	pʰan5	ʻpán
盾	`tun3`	tùn
盾	ɻʉn3	jùn
盾	ʂʉn3	xùn
盿	min2	mîn
省	səŋ3	sèm
省	siŋ3	sìm
省	siɛn3	sièn
眄	miɛn3	mièn
眄	miɛn5	mién
眅	pʰan1	ʻpān
眆	faŋ3	fàm
眇	miau3	miào
眈	tan1	tān
眉	mi2	mî
眉	muəi2	mûi
眉	muəi2	moêi
眊	mau5	máo
看	kʰan1	ʻkān
看	kʰan5	ʻkán
眎	ʂɨ5	xí
眑	iau3	iào
眑	iəu3	ièu
眒	ʂɨn5	xín
眕	tʂɨn3	chìn
眙	tʂʰɨ5	ʻchí
眚	səŋ3	sèm
眛	muəi5	múi
眛	muəi5	moéi
眜	mɔʔ7	mŏ
眝	tʂʉ3	chụ̀
眞	tʂɨn1	chīn
眠	miɛn2	miên
眡	ʂɨ5	xí
眢	uɔn1	uōn
眢	yɛn1	iuēn
眣	tʂʰəʔ7	ʻchė̆
眣	tiɛʔ7	tiĕ
眥	tsi5	çí
眥	tsɯ5	çu̇́
眦	tʂai5	chái
眨	tsaʔ7	çă
眩	xiɛn2	hiên
眩	xyɛn2	hiuên
眩	xyɛn5	hiuén
眭	xi2	hî
眮	`tuŋ3`	tùm
眯	mi3	mì
眯	muəi3	mùi
眯	muəi3	moèi
眴	ɻʉn2	jûn
眴	xyɛn5	hiuén
眵	tʂʰɨ1	ʻchī
眶	kʰuaŋ1	ʻkuām
眷	kyɛn5	kiuén
眸	məu2	mêu
眹	tsiɛʔ7	çiĕ
眹	`tʂɨn3`	chìn
眺	tʰiau3	ʻtiào
眺	tʰiau5	ʻtiáo
眻	iaŋ5	iám
眼	xən3	hèn
眼	iɛn3	ièn
睅	xuan3	hoàn
睅	xuɔn3	huòn
睆	xuɔn3	huòn
睇	tʰi1	ʻtī
睇	ti5	tí
睊	kyɛn1	kiuēn
睊	kyɛn5	kiuén
睋	ŋɔ2	gô
睍	`xiɛn3`	hièn
睎	xi1	hī
睔	kuən3	kuèn
睘	kʰiuŋ2	ʻkiûm
睚	iai2	iâi
睚	iai5	iái
睛	tsiŋ1	çīm
睛	tsʰiŋ3	ʻçìm
睜	tsəŋ1	çēm
睞	lai5	lái
睟	sui5	súi
睡	ʂui5	xúi
睢	tsy1	çiụ̄
睢	sui1	sūi
睢	xuəi1	hoēi
睢	xuəi5	hoéi
督	tʊʔ7	tȯ̆
睤	pʰi5	ʻpí
睦	mʊʔ7	mȯ̆
睨	i5	í
睨	ni5	ní
睩	lʊʔ7	lȯ̆
睪	ɪʔ7	iė̆
睮	y2	iụ̂
睯	min3	mìn
睲	siŋ5	sím
睹	tu3	tù
睻	xyɛn1	hiuēn
睼	tʰi2	ʻtî
睽	kʰuəi1	ʻkuēi
瞀	ʋu5	vú
瞀	məu2	mêu
瞀	məu5	méu
瞁	xʏʔ7	hiụ̆
瞂	faʔ7	fă
瞋	tʂʰɨn1	ʻchīn
瞍	səu1	sēu
瞍	səu3	sèu
瞎	xiaʔ7	hiă
瞑	miŋ2	mîm
瞑	miŋ3	mìm
瞑	miɛn5	mién
瞖	i5	í
瞙	mɔʔ7	mŏ
瞚	in2	în
瞛	tsuŋ1	çūm
瞝	tʂʰɨ1	ʻchī
瞞	muɔn2	muôn
瞟	pʰiau3	ʻpiào
瞠	tsʰəŋ1	ʻçēm
瞠	tʂʰəŋ1	ʻchēm
瞠	tsʰəŋ5	ʻçém
瞡	kuəi1	kuēi
瞢	məŋ2	mêm
瞢	muŋ2	mûm
瞢	muŋ5	múm
瞤	ɻʉn2	jûn
瞥	pʰiɛʔ7	ʻpiĕ
瞪	tsʰəŋ2	ʻçêm
瞪	tʂʰəŋ2	ʻchêm
瞪	tʂʰɨŋ2	ʻchîm
瞪	tʂɨŋ5	chím
瞫	tʂʰɨn3	ʻchìn
瞫	ʂɨn3	xìn
瞬	ʂʉn5	xún
瞭	liau2	leâo
瞭	liau3	leào
瞯	xiɛn2	hiên
瞰	kʰan5	ʻkán
瞲	xʏʔ7	hiụ̆
瞳	tʰuŋ2	ʻtûm
瞶	xuəi5	hoéi
瞶	kuəi5	kuéi
瞻	tʂɛn1	chēn
瞻	tʂɛn1	chiēn
瞼	kiɛn3	kièn
瞽	ku3	kù
瞿	kʰy2	ʻkiụ̂
瞿	ky5	kiụ́
矇	muŋ2	mûm
矇	muŋ3	mùm
矍	kiɔʔ7	kiŏ
矎	xiuŋ5	hiúm
矏	miɛn2	miên
矐	xɔʔ7	hŏ
矑	lu2	lû
矓	luŋ3	lùm
矔	kuɔn5	kuón
矕	man3	màn
矖	li2	lî
矗	tʂʰʊʔ7	ʻchȯ̆
矗	tʂʰuŋ5	ʻchúm
矘	taŋ3	tàm
矚	tʂʊʔ7	chȯ̆
矛	məu2	mêu
矜	kiŋ1	kīm
矞	xʏʔ7	hiụ̆
矟	sɔʔ7	sŏ
矢	ʂɨ3	xì
矣	i3	ì
知	tʂɨ1	chī
矧	ʂɨn3	xìn
矩	ky3	kiụ̀
矬	tsʰɔ2	ʻçô
短	tuɔn3	tuòn
矮	iai3	iài
矯	kiau1	kiāo
矯	kiau3	kiào
矯	kiau5	kiáo
矰	tsəŋ1	çēm
石	ʂəʔ7	xė̆
矴	tiŋ5	tím
矸	ŋan5	gán
矸	iɛn5	ién
矸	niɛn5	nién
矹	ŋʊʔ7	guŏ 校註：guo 拼寫疑誤，當作 gȯ
矻	kʰʊʔ7	ʻkȯ̆
矼	kaŋ1	kām
矼	kiaŋ1	kiām
矼	kʰiaŋ1	ʻkiām
砆	fu1	fū
砉	xʏʔ7	hiụ̆
砉	xuɛʔ7	hoĕ
砊	kʰaŋ5	ʻkám
砌	tsʰi5	ʻçí
砑	ia5	iá
研	iɛn2	iên
研	niɛn2	niên
砠	tsy1	çiụ̄
砢	lɔ3	lò
砥	tʂɨ1	chī
砥	tʂɨ3	chì
砦	tʂai5	chái
砧	tʂɨn1	chīn
砭	piɛn1	piēn
砭	piɛn5	pién
砮	nu2	nû
砮	nu3	nù
砯	pʰiŋ1	ʻpīm
砰	pʰəŋ1	ʻpēm
砰	pʰiŋ1	ʻpīm
砲	pʰau5	ʻpáo
破	pʰɔ5	ʻpó
硉	lʊʔ7	lȯ̆
硊	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
硌	lɔʔ7	lŏ
硍	kən5	kén
硎	xiŋ2	hîm
硝	siau1	siāo
硞	kʰiɔʔ7	ʻkiŏ
硠	laŋ2	lâm
硤	xiaʔ7	hiă
硨	tʂʰɛ1	ʻchē
硩	tʂʰɛʔ7	ʻchĕ
硪	ŋɔ3	gò
硬	ŋəŋ5	gém
硬	iŋ5	ím
确	kiɔʔ7	kiŏ
确	xiɔʔ7	hiŏ
硯	iɛn5	ién
硯	niɛn5	nién
硰	ʂa1	xā
硾	tʂui5	chúi
碆	pɔ1	pō
碌	lʊʔ7	lȯ̆
碎	sui5	súi
碏	tsʰiɔʔ7	ʻçiŏ
碑	pi1	pī
碒	in2	în
碓	tui5	túi
碔	ʋu3	vù
碝	ɻuɛn2	juên
碝	ɻuɛn3	juèn
碞	in2	în
碞	iɛn2	iên
碞	niɛn2	niên
碣	ki5	kí
碣	kiɛʔ7	kiĕ
碧	pɪʔ7	piė̆
碩	ʂəʔ7	xė̆
碪	tʂɨn1	chīn
碫	tuɔn5	tuón
碬	xia2	hiâ
碭	tʰaŋ2	ʻtâm
碭	`taŋ3`	tàm
碭	taŋ5	tám
碵	tʂɨn1	chīn
確	kʰiɔʔ7	ʻkiŏ
碼	ma3	mà
磁	tsʰɯ2	ʻçu̇̂
磅	pʰaŋ1	ʻpām
磅	pʰəŋ1	ʻpēm
磆	xuaʔ7	hoă
磈	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
磈	uəi3	uèi
磈	kʰuəi3	ʻkuèi
磉	saŋ3	sàm
磊	lui3	lùi
