# ('wuu_th_pl_jt', '金壇話', '金壇', '#0000FF', None, None, '版本：2021-12-17<br>來源：金壇縣志，轉錄者<u>正心修身</u>', '434 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,21 4 2b 陽上 ꜃,55 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,2 8a 4b 陽入 ꜇')
幽	Ǿiɯ1
广	kuɑŋ3
庄	tsɑŋ1
庆	tɕʰin5
庇	pʰi5
床	dzɑŋ2
序	ʑy6
庐	lu1	〜山
库	kʰu5
应	Ǿin1
应	Ǿin5
底	ti3
店	tiɪ5
庙	miao5
庚	kən1
府	fu3
庞	bɑŋ2
废	fi5
度	du6
度	dɔʔ8
座	zɯ6	〜位
庭	din2
庵	Ǿæ1
庶	su5
康	kʰɑŋ1
庸	Ǿioŋ2	平〜
廉	ȵiɪ1
廊	lɑŋ1
廓	kɔʔ7
延	Ǿiɪ1
廷	din2
建	tɕiɪ5
开	kʰɛi1
异	Ǿi5
弃	tɕʰi5
弄	loŋ5
弊	bi6
弋	Ǿiʔ7
式	səʔ7
弓	koŋ1
引	Ǿin3
弗	vəʔ8
弘	ɦoŋ2
弟	di6
张	tsæ1
弥	mi1
弦	Ǿiɪ2
弯	Ǿuæ1
弱	zaʔ8
弹	dæ2	〜琴
弹	dæ6	子〜
强	dʑiɛ2
强	tɕʰiɑŋ1
弼	biʔ8
彀	kei5	往上〜
归	kuei1
当	tɑŋ1
当	tɑŋ5
录	lɔʔ8
形	ʑin2
彩	tsʰɛi3
彪	piao1
彬	pin1
彭	bən2
彰	tsæ1
影	Ǿin3
彷	bɑŋ6
彷	fɑŋ3
役	Ǿyəʔ8
彼	pi3
彿	fəʔ7
征	tsən1
径	tɕin5
待	dɛi6
很	xən3
後	ɦei6
徐	ʑy2
徒	du2
得	təʔ7
徙	ɕi3
徛	dʑi2	站
御	Ǿy5
徨	ɦuɑŋ2
徨	Ǿuɑŋ2
循	ʑyn2
微	vi2
德	təʔ7
徹	tsʰəʔ8
徽	xuei1
徽	xuɛi1	国〜
心	ɕin1
必	piʔ7
忆	Ǿiʔ7
忌	dʑi2	〜日
忍	zən3
忏	tsʰæ1
忖	tsʰən3
志	tsɿ5
忘	mɑŋ5
忙	mɑŋ1
忠	tsoŋ1
忤	ŋ̍3
忧	Ǿiɯ1
快	kʰua5
念	ȵiɪ5
忽	xuəʔ7
忽	xɔʔ7
忿	vən6
怀	Ǿua1
态	tʰɛi5
怂	soŋ3
怄	Ǿei5
怒	lu5
怕	pʰo5
怖	pu5
怜	ȵiɪ1
思	sɿ1
怠	dɛi6
急	tɕiʔ7
性	ɕin5
怨	Ǿʏ6
怪	kua5
怯	tɕʰiʔ8
怿	Ǿiʔ7
恃	zɿ6
恋	ȵiɪ5
恍	xuɑŋ3
恐	kʰoŋ3
恒	ɦən2
恕	su5
恢	xuɛi1
恣	tsɿ1
恤	ɕyəʔ7
恨	ɦən6
恩	Ǿən1
恭	koŋ1
息	ɕiʔ7
恰	tɕʰiaʔ8
恳	kʰən3
恶	Ǿu5	可〜
恶	Ǿɔʔ7
恼	lao4
恽	Ǿyn5
悉	ɕiʔ7
悔	xuei3
悔	xuɛi3
悟	Ǿu5
悠	Ǿiɯ1
患	xuæ5
患	xʏ5
悦	Ǿyəʔ8
悬	ʑʏ2
悯	min4
悲	pɛi1
情	dʑin2
惑	ɦuəʔ8
惕	tʰiʔ8
惚	xuəʔ7
惛	xuən1
惜	ɕiʔ7
惟	vi2
惟	Ǿuei1
惠	Ǿuɛi5
惧	dʑy6
惨	tsʰæ3
惩	dzən2
惭	dzæ2
惮	dæ6
惯	kuæ5
惰	tɯ5
惶	ɦuɑŋ2
惶	Ǿuɑŋ2
惹	ȵia2
愁	dzei2
愈	Ǿy4
愉	Ǿy2
愎	biʔ8
意	Ǿi5
愐	miɪ4
愕	Ǿəʔ7
愚	Ǿy1
感	kæ3
感	kʏ3
愤	vən6
愿	Ǿʏ5
慈	dzɿ2
慈	zɿ2
慌	xuɑŋ1
慎	sən5
慑	səʔ7
慕	mɯ5
慢	mæ5
慧	Ǿuɛi5
慨	kʰɛi5
慰	Ǿuei5
