"m2"	"毋"
"ɕɨ1"	"#些㶼𣢑娭𠩺煕熙僖誒嘻嬉熹瞦譆歖禧媐忾屎𣢂䐅咦詑焁希俙莃浠悕桸晞欷烯睎稀𧻶豨鵗桸焁䖒羲𢨛隵㚀𢹍曦巇犧㺣𤃪𣤴𧕆戲䚙羛卤栖𨵤嘶㽄𠧪西𠧧屖硒舾粞犀𠞂㾷㯕樨𤺊𧬊㡗忚䒊橀𦫬醯#畦#兮#圾（俗字 近世乖音 非）"
"ɕɨ5"	"胿嵆嵇𡗞傒徯㜎榽螇豯貕鼷郋蒵騱𪓷"
"ɕɨ3"	"俙唏狶豨𪖥霼喜憙蟢囍𪖪洒洗史（姓氏用此音）"
"ɕɨ5"	"𢟪摡塈墍䀈愾鎎氣唏欷忥犔熂䊠黖䮎𧱲餼霼䊠㕧呬𤡬䨳屓齂嬉憙戲嚱栖𣳦細𥿳殢㰥㚛𡘐瘛𦃟繫妎蒵系盻𦝜慀禊稧䐼㨙䦏#攜+喜（好也）"
"ʔɨ1"	"𦎣䚷㙠嫛䃜繄𧫦黟黳𣕁翳鷖"
"ʔɨ2"	"溰沂崖涯宐宜㝖𠣨儀䣡𥫃𥪺鸃䴊轙狋疑嶷觺"
"ʔɨ3"	"譺孴擬薿𥣖儗蛾䰙螘㠖錡檥礒艤轙齮羛螘顗𪕔䚷𠯋裏"
"ʔɨ5"	"#億#憶#薏#蟻譺豙儗㘈㽈䰯顡𢖫豙毅藙䉨𧅙𥫃竩義誼𩈭議劓艾乂刈㲼㣻䖊𩾘䢃㦣埶蓺槸褹藝䆿囈㓷䔽餲𦝲瘞䋵㛳𦒎丿泄洩𤵺曳曵抴𠂆呭枻㑜㹭𢘽𤤺𢂼袣䄿跇䇩詍䎈裔靾勩㵩䕍㵝𪀕羿詣栺𦐧医㙠繄枍殹㝣㥷嫕𢟇㙪瞖殪曀縊翳豷𧬇蘙"
"tia1"	"爹"
"tɕia1"	"加家枷瘥蒫𣩈䦈嗟𧨁𨲠罝怚袓㜘謯迦#佳嘉"
"tɕia3"	"假賈飷抯"
"tɕia5"	"賈價架嫁駕借唶藉躤䣠褯䤳"
"tɕʰia1"	"𠋧佉呿㰦"
"tɕʰia2"	"㚗伽枷茄斜䔑？佯"
"tɕʰia5"	"𧻀䞣笡"
"ɕia1"	"#蝦#鰕些"
"ɕia2"	"鰕蝦霞"
"ɕia3"	"𣬕瀉𣞐"
"ɕia5"	"廈丅下夏暇下夏𡔰𠍺昰𡕾卸䉣蝑灺䵦抯㴬榭"
"ia1"	"丫#椰#曰#涯"
"ia2"	"吾牙伢芽枒蚜衙齖庌呀邪斜䔑琊瑘耶倻䓉𦭿揶𦰳釾爺𥯘鋣鎁擨若婼"
"ia3"	"疋厊庌㿿雅虵𡐨喏𠰒"
"ia5"	"枒齖迓犽砑訝御亞射夜鵺"
"tiæʔ7"	"耷𠞈㿴褡𩝣䪚㩉䓠𢴄笚矺畣嗒褡搭撘𤝰㿯㾑答㜓瘩㯚荅𨅞𠉤𦂀𩣯龖眔𥄳蹹沓㧺涾㭼䂿遝𧌏誻𦾽𣝋䜚譶䍇𦑲䈳蹋闒䳴𤒻躢𧮑譫噠𦬹呾怛妲炟笪𢛁靼䵣狚墶達薘鐽搨（手打也 或作㩉）"
"tʰiæʔ7"	"搭嗒鰈魼狧塌遢溻𧪦塔𩥑鰨𦐇傝𦶑榻毾㯓𦧭鞳𦪙佮漯濕溻䓠𢃕㹺㛥㭼䍝𦑇𦧟䈋𨌭踏嚃錔鞜濌䶀𪂌䵬𪘁羍達韃汏躂䲚獺𣥂𦍒㒓撻澾闥泰噧搨"
"læʔ7"	"吶妠衲納軜鈉㨥蒳䪏魶笝𩚛魶㗙𡤙㘝㑳捺䖧𤷈𤷈痆𧞍"
"tɕiæʔ7"	"甲"
"ɕiæʔ7"	"峽挾俠"
"iæʔ7"	"儑𥋙儑㾑砐䑥𡀾哈礘魥㬎𣊡礏庵媕罯姶㔩𨂁𤸱𩋊𩇠鞥佮搕罨唈盦廅𤸱鰪䀴凹𨂁圔浥押庘䆘鴨壓閘𡿖聐𩮝呾咀劜𡇼䦪𪆰嫼穵圠軋揠䰲猰窫䝟𥈔#阿（詞頭）"
"niaŋ1"	"#孃"
"niaŋ2"	"娘孃瓤鑲良凉涼梁椋㹁𥹭蜋粮粱墚綡樑輬䣼䝶𩗬糧𣄴量踉"
"niaŋ3"	"䒢卬仰𠓜両㒳兩㔝倆掚䓣𣓈脼裲蜽緉魎輛#匁（め　もんめ）"
"niaŋ5"	"𥽬釀䖆仰𨋕悢涼㹁𩗬兩緉亮哴量䀶晾喨𣄵䁁踉輛諒掠"
"tɕiaŋ1"	"𢪇將摪漿螿鱂蔣姜畕僵壃薑橿殭㹔礓䗵疆繮韁𧅁畺江"
"tɕiaŋ3"	"蔣㢡㯍槳獎䉃膙憼襁繈繦鏹講"
"tɕiaŋ5"	"將𨟻𨡰醬匠䞪𪀘彊彊弜滰誩勥弶糨"
"tɕʰiaŋ1"	"鶬將斨瑲槍嶈牄篬錆謒𨶆蹡𨄚鏘𪙝搶嗆蹌𥏻羌猐𡸓蜣"
"tɕʰiaŋ2"	"爿戕墻薔廧嬙檣牆蘠佯𤞛庠𦍙祥翔𨀘詳洋痒彊䲔強勥"
"tɕʰiaŋ3"	"搶摤"
"tɕʰiaŋ5"	"戧蹡嗆熗𥇉唴羻"
"ɕiaŋ1"	"相葙廂湘箱緗襄忀瓖欀纕鑲驤皀香郷鄉薌膷"
"ɕiaŋ3"	"想鯗亨享亯䖮蠁饗響曏嚮"
"ɕiaŋ5"	"相象像勨𦺨嶑𨖶潒橡襐蟓鱌蠁向珦萫曏嚮𧬰䦳項"
"iaŋ1"	"央秧鴦"
"iaŋ2"	"詳羊佯𦭵昜徉洋眻陽揚蛘崵𦍹瑒楊敭暘煬禓瘍輰諹鍚鴹𩋬𥂸颺鰑鸉样烊"
"iaŋ3"	"勨蛘蝆氧痒養瀁癢𧓲"
"iaŋ5"	"像㑰眻煬諹颺痒養瀁恙羕𠍵㺊㨾漾𡡂樣䭐𧫛䵮"
"niaʔ7"	"逽蹃𨵫磭虐瘧詻撂掠擽䀩㨼䂮略畧㗉䛚𧎾𪀡䌎+藥"
"tɕiaʔ7"	"燋爵㩱𩰥爝䶂嚼皭爝脚腳屩蹻卻醵𧮫𠊬𠶸䐘𧍕臄蹻噱覺"
"tɕʰiaʔ7"	"恪㤩愙㹱䱜踖皵碏䇎趞鵲芍舄却卻𤷽𨟠玨珏#恰雀"
"ɕiaʔ7"	"削謔學"
"iaʔ7"	"葯約𠨲敫櫟藥㿑𢅹𤄶纅𥌺𧢢鑰礿𠩃䋤龠㜰蘥𤒀瀹躍爚禴𧕋籥𤅢䟑䖃䠯𨷲鸙𨈋𩱲彠觷岳捳㹊樂嶽𩓥鸑"
"niɛ1"	"#嬭"
"niɛ2"	"䍲掜誽摨"
"niɛ3"	"奶㚷嬭"
"niɛ5"	"褹"
"tɕiɛ1"	"皆階"
"tɕiɛ3"	"解"
"tɕiɛ5"	"豸廌𢊁𧳋𦤧械介屆界"
"iɛ1"	"哀埃唉㶼欸鎄毐𢰇㰪哇洼𠴺娃也"
"iɛ2"	"#癌#巖嵦㱯皚獃隑剴敳捱啀厓崖猚涯𪘲𩂢娾𩂢"
"iɛ3"	"欸挨毐㕈娾𧡋𤶗騃唉挨㢊矮躷也"
"iɛ5"	"哎艾𧰿鴱硋礙䙷閡𥝌懝儗哎藹靄砹䔽壒𢣏𣩱𣋞曖馤𪕭㤅愛𢟪僾薆噯嬡璦曖𥴨靉𢟰𦗐𧏹譺睚嗄䬵喝餲欬隘䅬㿄賹𨽴阸呃噫"
"tʰiɛ̃1"	"嬗痑㨏嘽擹攤灘癱譠嘆𦧴#誕"
"tiɛ̃1"	"妉眈耽𡖓酖媅𧡪甔湛頕儋聸擔甔"
"tiɛ̃3"	"䒞紞膽䃫𪆻黵瓭耽𡖓衴黕䉞𥴶丼抌䪴笪担疸亶𤺺狚觛嬗"
"tiɛ̃5"	"擔甔𩈉馾𩾺淡噉澹憺𥲄氹惔啗？啖淡氮腅澹憺倓惔𤁡贉䀍𧗜瞫醰𢘇笪疸旦狚㡺觛鴠繵但疍蛋蜑觛誕僤䩥膻潬袒襢澶撣但僤憚彈"
"tʰiɛ̃1"	"聃𨈭䔜舑坍㘱㴂𦸁䆱緂欿貪㵅探僋撢"
"tʰiɛ̃2"	"㶣淡餤澹倓郯惔痰談𥰨錟眈㽎蕁覃𨝸潭橝曇㽑𦗡藫罈䊤𧽼壜𧂇𧂗譚𩡝鐔燂蟫儃繟聅癉胆撣但彈壇檀貚鷤驒唌驙"
"tʰiɛ̃3"	"裧忐菼毯𦵹𤎥𦃖緂𠪚䏙𥁺嗿醓襑黮啖啗坦䦔鉭"
"tʰiɛ̃5"	"澉𪊇睒䆱舕賧𪉧誩㶒傝憛探僋撢䐺㐁𧡪萏窞髧嘾禫𣛱䨢𧂄贉𥥦倓䊤醰譚黮炭湠㛶𣁗碳嘆歎？坍"
"niɛ̃1"	"？然"
"niɛ̃2"	"+喃+諵"
"niɛ̃2"	"囝囡男抩南𤱣楠柟䶲婪葻嵐燷燣啉惏儖藍懢𩈵䆾襤籃䰐𪇖㩜蘫難𩁚𩁘𩁢𪇠𪇼𩁣𧆖斓闌攔蘭㘓幱瀾欄籣欗躝讕䪍𨷻㬮嘫𢛓𢿻斕潾"
"niɛ̃3"	"萳揇湳腩蝻䈒𦐃燣𠓭浨漤醂壈𨎹纜顲罱擥覽攬欖爁𦊔𦌫淰臉醶#兩攤灡讕懶嬾𥻂𥽭赧㫱𩈶戁"
"niɛ̃5"	"妠㔋懢䆾纜嚂濫㜮爁𨣨𤃨顲僋諵難㬮𦍀𢅼𢆃攤灘瀾讕鑭𢒞爛爤糷"
"tɕiɛ̃1"	"監奸姦艱囏閒"
"tɕiɛ̃3"	"減鹻鹼簡#趼"
"tɕiɛ̃5"	"監鑒鑑#艦閒#降"
"ɕiɛ̃2"	"咸（新）閒#降"
"ɕiɛ̃5"	"限"
"iɛ̃1"	"㞄庵媕腤盦諳馣鵪韽䳺嬜菴喑黯淊𤟟淹安侒䢿桉氨䀂鞍鞌㸶𦎣黫+殷黰#廨ㄢ"
"iɛ̃2"	"𡪁䜙嵁+癌羬嵒㺂碞𧇱𧬌䫡麙黬𪙊+巖𡆑礹嚴𡽜犴豻雃楌顏顔詽㗴𤡥虤"
"iɛ̃3"	"㜝嵁顉㞄垵俺唵隌揞晻罯𤃷黤黭埯揜黯黤𪒠眼𪗙"
"iɛ̃5"	"儑闇暗顑韽揞淊𤟟𪒠犴岸豻𡹼𨲊䮗頇喭㷳䢿按荌洝胺案䅁晏𤜵偐雁鳫鴈贋贗䁙晏鴳騴鷃𤜵汗"
"pʰiŋ1"	"砯"
"pieʔ7"	"扒別别莂䇷𧧸鄨鷩𡐞憋䳤鱉鼈虌別别𡷘㭭閉𩋇𡘴㔡䘷䋢㢼䌘柲苾飶馝咇䏟𢛎蛂䭱𩓝襒蹩癟㮰皀偪逼楅䫾䮠㘠皕湢幅𤗚腷𥻅𤐧踾鶝馥碧𨐨𣦢璧襞躄鐴辟萆𣮐㱸躃𩪧椑擗辟闢𣝍𦼭欂綼廦壁繴𧲜鼊㱸鸊椑甓鷿皀鵖𩾳𠦒必珌畢㓖蓽嗶𡻞滭彃𡠚㻫㮿㪤熚𥛘𥀕罼觱篳鮅縪䟆蹕鏎饆韠鷝柲筆㻶𨅗鉍𢴩潷咇泌柲比吡坒佖邲苾怭妼𣢠䖩𨠔飶䩛馝綼駜鮅咇鮩泌佖邲𠡂𢘍䄶㢸弼𢐀駜胇#柄#不#蝙#鼻"
"pʰieʔ7"	"憋癟潎瞥䫾䋢𢠳䭱氕暼瞥丿撇撆鐅嫳堛愊𤗚稫畐踾副㽬䦼揊𢾇𩜰疈廦癖辟僻劈憵霹癖䤨僻澼㵨譬鵯鷝匹#枇𠯔䏘"
"mieʔ7"	"搣滅𥸴𥾝𤊾覕蔑𥉓㒝鴓㩢幭篾瀎懱𧂝䁾𥣫蠛衊䩏𪇴鱴𩱷粖𥌨䁇糸糹汨覓𡬻䖑塓幎覛漞鼏㵋冪𧜀䈿濗幦𧐎䌐𧱻羃䮭𪒄蓂覭冖冂沕宓𡶇𥄃密蔤嘧滵樒𥉴𪅮宓𥁑淧榓蜜䤉謐𥋱𧖅日"
"tieʔ7"	"㝪㑙𨓊𠲷喋笘涉聑跕䩞𢬴𧚊蝶𪔧鉆䑜帖怗萜貼跕䩞呫㡇墊𠗨堞揲喋㥈惵牒牃碟𣯉褋𤗨艓蹀諜褺䠟曡鰈𪑧疊𥷕䴑㩹㲲𨐁𨈈慴渫䁋䥡褶𡇓𨴗𥉺咥窒蛭㗧蛈僣𢶋鐵驖飻餮銕摕跌㦅苵迭垤胅恎𥑇眣瓞戜镻趃耋詄絰𨳺𢲼嵽𡼄䳀𪀒荎驖咥𠽧泆昳軼䭿姪墆𪗻摘的嘀滴墑肑𥐝𦉹靮馰魡嫡𣂉𥕐鏑𪄱玓𨑩啇甋扚弔菂芍杓適樀蹢㣿䶂踧䌦狄苖迪㣙籴荻梑笛滌蔋頔㹍敵篴𩷎䊮糴覿䢮滷籊蓧邮？翟樀䵂𧠫#淚帙"
"tʰieʔ7"	"硩𤈥詆䚐𢞒𠜓剔踢䢰倜逖逷悐惕𥉈𥊕䯜𩮜籊趯蓨凸摘（拓果樹實也 一曰指近之也 發也動也）"
"nieʔ7"	"睪帇㚔𥬬踂𩣘聶䳖䌜籋𣀳𣌍㸎躡鑷業獦邋䃳𥪂㼲巤儠𠠌𠠗擸𡂏獵㯿𣋲㲱犣䁽𥶢䉭鬛躐䜲䪉鬣鱲𩐭鑈捻埝苶㘨菍惗敜錜𩋏籋攝暬慹𪑧㼲𦖩𡂩栵咧列𡿪冽𠛱挒𡊻茢迾姴洌烈㤠䅀裂蛚趔颲𩢾鴷鮤捏揑苶圼𦯖㖏涅菍𦛠𡍤𦵐𤶚湼𥔄篞摰𡶫闑䘽蜺霓臬隉嵲槷嶭臲鎳齧𡿖戾唳綟盭𥃎𥸸捩夨𧈟匿㥾𧏾𩺱恧薿懝嶷觺㘈仂泐力𡯄屴朸𣲒𧲡鳨𩾜𠢠屰𠱘逆𥿬縌㘙惄溺愵𧗂鬲㽁鎘秝𧙉厤蒚歷曆𦠓𨢌㔏磿𤪢瓅壢攊藶櫟嚦瀝䮥櫪礫皪酈𥌮䍥癧𥽗䟏轢䍽𡳸䟐𪅼靂䥶𩽏䤙𪙽寥觻擽濼蝷躒𤩚淚砬立苙岦笠粒䇐鴗䶘昵㥾暱䵑䵒䘌衵栗𠞉傈凓塛搮䔁㮚㗚㟳溧慄瑮篥䬆𦃊𨍫鷅麜𣡷窵欥潏肀芛聿䢖矞䋖銉噊遹燏鴪𥎐𧑐𦒔繘霱𩙅驈鱊鷸膟寽律率葎𠷈𥭐䔞繂蛶㲕劣𦓤埒浖𢚃㭩㸹脟䟹哷鋝"
"tɕieʔ7"	"#蔗耴𢬴㡇㭯輒鮿襵𦯍殜䐑㙷楫檝接菨𣶏椄婕䀹睫鯜唼䈉疌捷崨踕誱䌖倢寁囁慴懾霅摺謺䜆𣠞讋襵䝕慹鵖𦀖砝袷跲劫衱䀷蜐鉣𦀖𩾳㭘极笈衱㭘极笈跲昅浹㼪𠗉䕹梜筴莢唊𥞵蛺鋏頰𩠣蜇哲悊喆嚞尐𢪍𠯙𧓷𩯰𪇲蠽𣧖䀿靼𩍕折晢晣浙䏳䩢偈揭杰桀傑楬嵥滐榤碣竭櫭渴搩揭𢷒楬碣竭卩𠬝𠬨蝍癤𢎛𡴺岊節楶幯㸅𤁢𧞩䲙𩯰岊截𢧵䕙𦿐巀蠞𧾢𩟦拮𡔢狤𡔣袺絜結魝潔𣚃𧍩𪃈䥛𧾯桔鍥蜈垐堲𢯩茍亟㥛棘殛蕀𧩦㻷襋悈𡕮極赩𥈜𢤋䀌䵱衋𨒪積𧐐庴踖蹐𪃹鶺脊迹跡襀蹟鯽𩺀鰿𤁢借䃊速庴塉耤膌踖瘠䣢藉簎籍𨆮猎葃谻𦺩丮𤜾戟𢜭撠𩯋𦻝𤭏屐𨍿𨍺𢜭劇㘌𪄸勣績樍䚐𡧘𡧯𠴫寂𦼷墼激𡫀擊鸄轚敫獥？鸄？獥？椺？覡？薂？䚫？𪕯湒䁒𥠋㗱㠍潗䌖蓻咠葺𧚨亼𠓛𠦫集𦺴箿檝輯鏶慹皀𩾳給芨𦳌伋彶汲㽺急級及㧀笈𨕤𦶍䲯苙吸堲唧㲺𧉍楖蝍㘍𢪍揤𤕺疾㑵蒺𠹋愱嫉槉𧎿𧪠吃扢曁訖䰴吉郆𤿠趌拮狤洁𧾢曁佶姞趌狤鮚䞘𢇓堲唧䐚即卽揤楖蝍𤠎𨂢𪃹畟㮨㹄稷鯽#藉#旗#髻這（俗以爲進指字 鄉）"
"tɕʰieʔ7"	"鏶妾淁緁踥穕䌌鯜𣠺𠟪㚲㳧㤴𦛖䧪喢謵詀𣠞𠩂㹤怯𤴼㾀魥抾胠呿匧悏㛍㤲㾜愜㥦篋屮聅硩撤徹䚢䒆撤徹澈㯙轍掣瘛揭愒朅𡐤藒詧沏切䟙㗫竊𪙇𪙌柣𡔢𡔣契栔䫔㼤挈蛪鍥猰䩯刺𧙞𧻕磧䟄皵洓嫧𠊬𠶸郄郤𡭴綌𧯈戚𧠪慽慼𧐶𧒕鏚𪒑𦸗磩鼜喫𠿊𣪠䍊𢞒𢿣𢶡燩𥍰緝諿咠葺趿𧚨𪔪揖㬤泣湆七柒桼䣛𦸓漆㯃𣛺𪄭趌蛣詰𩢴乞䒗契鍤㤴𩂻𥯥䈎煠歉（舊音）"
"ɕieʔ7"	"洽萐喢㰼歃箑霎涉𣻣䤮欇弽韘攝灄欇𥍉歙葉拹㢵脅𣢩嗋𣹩愶熁𣣲蜨𧕊韘𦔼徢𡞘𤗈屟𦩌爕屧䕈燮𤏻鞢𤫉躞䢡㛍弽䁋偞劦俠協𢂐𠗉+挾𤙒綊勰叶齛泄禼紲渫媟絬𥝁㡜暬𣊓𣽒緤褻䊝㔎疶薛辥絏𨫔䥍折設蔎揲鞨舌蛥歇𤢔蠍𦪬猲娎焎㚛𡘐䙽𢴲䩤擷褉籺紇齕覈絜㹂𪕯䐼奊翓䦖𢴲頡𥊯𨵪擷𧀺𥢹襭纈頁息鄎蒠㴧㮩𦞜熄瘜螅𥰝䭒𪄛媳棤腊䯜鬄昔惜焟𩾼𦠡舄蕮潟磶𩍆夕汐矽穸𨛳席蓆隙虩裼㭊析菥淅惁㱤晰皙蜥緆錫𪎥𧋐赥㤸𣣉𧨃䦧䈪鬩㦦𤄎𥍠𩎕㗩𧿅霫卌𥱵習𦸚槢隰䒁霫飁騽鰼襲𪄶褶𨝫#吸翕翖噏嬆歙熻潝𧬈闟𪅲悉厀𦸝膝窸蟋𧀬僁䊝欪咭㣟恄欯莔䒗迄汔肸䛥釳仡忔肸拾#婿#壻"
"ieʔ7"	"業𠄅𠟪鄴䧨㗼嶪澲𢢜㸣𩑃驜鸈𩼋䲜𩋊腌罨㡋㪑𢽱殗鄓䁆䎨䤶餣𦤡䱒浥裛𦀖腌𢽱裛𣄉魘厭嬮𣚕嚈擪靨曄曅燁瞱皣㷸饁爗揲殜㯿枼偞葉楪䈎鍱煠殜𩐱𦣀囁讘顳喦酓䶬闑𡴎孽㜸孼蘖櫱𧕏蠥糱䡾钀𤅊讞钀焆𠵭𠱝暍𢉥謁閼黦抴拽苶熱咽噎蠮𤝱䊦㝣肊抑𡊁𠶷𦺳+億+薏𣚍澺+憶檍臆癔䗷繶醷𩍖蛡弋芅𢓀𢖺㚤杙𢎀𢦭䄩䘝𦏵䣧隿釴翊翌㔴䴬廙潩黓熼𥡪𦔜𧑌翼𠥦𧃟瀷𩙺𨙒𤼌𧾰嗌謚益𨜶𦶩膉𪕶齸睪射掖液腋亦易弈奕帟埸𡱿焲㴒痬䘸蜴墿㘁嶧圛燚懌斁燡𥜃𦔥𠓋繹醳譯𤑹驛襗𠩫艗鶂鷁虉岌㱞揖挹邑䓃唈浥悒𦶂裛䭂騽曄熠煜孴熠圪疙仡屹𧆫圪𡿪聉㔎耴𦨇𠡝一弌壹乙釔鳦亄䳀欥劮佚佾泆逸軼溢䭿鎰齸#隘"
"piəɯ1"	"髟+彪驫"
"pʰiəɯ2"	"淲瀌𩖛"
"miəɯ2"	"鷚繆䋷"
"miəɯ5"	"繆謬"
"tiəɯ1"	"丟？投"
"niəɯ2"	"牛𨶪摎憀㳅留流琉硫裗蒥嵧𤠑旒𥹷瑠榴劉瘤瑬疁𥰣𦃓駵𢷶鎦餾䱖䚧𪎣瀏鎏懰鏐飀騮𪕚䉧鰡鶹𣠚䬟𪆱遛飂勠䖻蟉鏐"
"niəɯ3"	"𨙺扭狃杻䏔莥紐𦱙鈕禸𠘯𢔟𪕋瀏懰䉧珋柳𦊑𨋖𩖴綹罶鋶熮嬼茆妞（高麗姓）"
"niəɯ5"	"猱狃𩚖腬糅窌畂廖溜留瘤餾嬼㙀塯廇𥛅霤飂㽌鷚翏僇勠"
"tɕiəɯ1"	"揪揂啾揫𩭓鬏𣟼湫逎遒䎿蝤鮂稵龜𦫶㽱丩勼𠠳朻䡂鳩𨷺鬮㽱𠃚朻𦭺樛㢧九#灸"
"tɕiəɯ3"	"酒朻糾赳𨷺鬮九久𡚮𡚰玖韭𨾉"
"tɕiəɯ5"	"媨䅢僦愀湫就㠇殧鷲究灸㝌疚救㲃廐廄𨖏𠣿𧧷廏猶𨗋𣓌臼咎桕倃䊆舅𤷑䛮䳎麔齨𢛃蟉柩舊匶𧾻"
"tɕʰiəɯ1"	"䵸𪓰𪓵秋秌萩湫楸篍𦃈緧趥䨂鞦鞧蟗鶖鰍鰌"
"tɕʰiəɯ2"	"鰌酋崷遒㥢煪䎿蝤𧤕𦵩慒囚汓泅鮂苬仇艽捄頄馗厹扏叴犰朹肍𦬖求九（渠尤切 國名）䊵䣇俅䜪訄訅莍㭝逑釚𡨃球梂殏毬𢛃裘蛷𥭑𧚍絿𧻱巰賕䟵璆銶𩒮鼽𧒔脙𦜵蟉鷚虯觓𤙠觩璆"
"tɕʰiəɯ3"	"取糗"
"tɕʰiəɯ5"	"䞭䠗𪖛"
"ɕiəɯ1"	"修脩羞樇𩛢䡭𩝧饈休咻㹯庥脙㾋𦜵貅髤髹𩢮㵻鵂䰍烋飍"
"ɕiəɯ2"	"嗅"
"ɕiəɯ3"	"醙䤇滫糔𦄼殠㽲朽㱙？投（訓讀 洋文shoot）"
"ɕiəɯ5"	"宿秀琇銹莠繡鏽蜏鏥岫𥥉袖牰臭嘼珛嗅溴齅"
"tsʰiəɯ1"	"惆㲃蓲丘丠邱坵恘蚯訄𠁫"
"iəɯ1"	"妋𢕶獶𢆶怮麀憂鄾優𧀥嚘𢖒瀀櫌㱊𪋎耰纋𢆶呦泑怮幽𣢜𧍘悠"
"iəɯ2"	"腄尢尤沋𣏞肬郵訧魷𪐤囮㘥甹抌䱔䚻繇蘨𦥝舀冘攸悠由邮油斿𨒰𠧴𠧷秞䍃浟蚰偤𦳷𣔴猶㾞遊游𦵵楢鈾猷蕕蝣輶鮋𧡹𨙂櫾邎卣庮𤪎㳛揄𢋅"
"iəɯ3"	"眑泑怮𣢜䬀黝蚴懮䬀䱂友㕛有䒴銪䳑𥁓䀁栯㝌琇輶酉丣卣羑莠庮梄𦍶𥟁蜏𣣸槱牖𦏇𨣆𤪎㕗䛻"
"iəɯ5"	"幼忧又右佑𤴨侑囿宥祐姷𥁓䀁𦳩䞥酭𩑣蜼褎油猶輶櫾蜏𤍕槱狖柚牰釉貁鼬𪕏#誘"
"pɪ1"	"襬陂碑㽡㗗藣𥶓𨰟詖𤜑𨧦錍焷𥀍䴽羆𤰞卑𢃍鵯𩔹痺裨鞞箄𣴪渒錍椑悲臂杯盃桮揹悂㡙𥏠𨻼豍䚜鎞狴𦱔梐蓖篦箄𦀘螕#被㯅"
"pɪ5"	"柲粊𡛗邲毖䀣䉾閟鉍鄪䪐費泌祕秘轡𤰇俻𤰈備㣁𣖾犕㸢糒鞴奰贔𡚤𩇯䨽絥韍䑄被㢰鞁髲旇𤿙鐾避貝𢂏𣬪㸬狽䟺鋇䰽唄茷芾𨙶伂沛㤄𥄔軷䟺旆背誖褙輩琲痱𢳁孛邶苝背悖鄁偝焙㻗誖𢂤蔽鄨鷩彆㡀敝弊𡚁幣獘斃罷被閉"
"pʰɪ1"	"坏肧胚衃𤬃醅𩵣㾦坯抔啡"
"pʰɪ2"	"棓徘輫陪培婄毰𤗏𩑢䣙裴𨛬賠錇"
"pʰɨ3"	"𢁦否㩺𢻹𡉏圮仳痞𡺮䤏殍"
"pʰɪ5"	"襬帔秛沛㤄𥄔浿霈妃朏胐配嶏潎佩珮啡"
"mɪ2"	"眉郿葿嵋睂猸湄瑂楣矀攗蘪𤃱鶥黴𦗕麋薇㵟䉠覹玫枚莓脄梅脢䍙媒腜䊈煤禖酶塺霉鋂䤂玟槑呆（槑省）#明"
"mɪ3"	"美渼媄媺鎂𤛎每挴浼䜸燘潣"
"mɪ5"	"媢寐郿鬽媚煝魅蝞篃嚜䉋娓沬昧枺眜㭑瑁莓脢䍙黴每䆀妹昧眛痗袂"
"fɪ1"	"非飛猆扉𩙲緋餥馡騑騛𩹉誹妃菲婓𥇖裶霏䬠騑䩁#啡（咖~ 洋文coffee）"
"fɪ2"	"賁肥淝𩇯腓𤷂䈈蜰蟦痱裴"
"fɪ3"	"蜚餥蜰匪榧䕁篚菲𩦎朏奜䨽悱斐#啡（嗎~ 洋文 morphine）棐"
"fɪ5"	"𧙂䟛鯡誹芾沸疿㹃䛍𩰾茀昲費𣙿鐨靅髴䊧蟦陫䒈䆏橨膹菲蜚腓蟦𩇪翡𧕿㔗狒䀟𥄱萉𡌦䨾屝費痱𤲳𧌘䠊㵒𦦔䆏𥝋黂怫袚廢橃𤼺癈𥳊䚨䉬祓砩杮肺䑔㤄茷吠𩵥鼣"
"kɪ3"	"#給"
"kʰɪ5"	"去"
"ʔɪ1"	"噫"
"sɪ1"	"兮"
"tɪ1"	"爹之㞢"
"tɪ3"	"只？者"
"tɪ5"	"對"
"nɪ3"	"#爾"
"kʰɪ5"	"去"
"tɕiɪ1"	"遮"
"tɕiɪ3"	"姐"
"tɕiɪ5"	"借"
"tɕʰiɪ1"	"車奢"
"tɕʰiɪ2"	"衺邪斜（新）#前"
"tɕʰiɪ3"	"且撦"
"tɕʰiɪ5"	"笡"
"ɕiɪ1"	"賒"
"ɕiɪ2"	"佘佘蛇"
"ɕiɪ3"	"寫捨"
"ɕɨ3"	"萆䈚枲葸𤟧𠪙諰𠈈𢇌徙蓰壐璽史"
"ɕiɪ5"	"卸瀉社舍赦射謝䠶麝"
"tɕʰɨ3"	"卟稽启啟啓棨䏿晵䡔㒅綮䭬闙"
"tɕʰɨ5"	"恝䏿契栔䁈𦩣𡢖𢢞䫔蟿罊"
"iɪ1"	"噫"
"iɪ2"	"爺#宜"
"iɪ3"	"野壄惹"
"iɪ5"	"夜#液#意"
"tɕʰiɪ̃5"	"晵遣繾譴䪈"
"tɕʰiŋ2"	"殑䔷"
"piɪ̃1"	"砭𥑁箯編鞭鯾鯿揙萹猵牑煸？蝙編邊𠑟𤄺䟍籩𥣰甂蹁𨇱"
"piɪ̃3"	"𦥘貶褊㦚鴘䁵辡覸覵萹編扁匾惼碥糄藊𥣰𥤓緶𦄒"
