"繁體"	"简体"	"聲韻"	"聲調"		"1：˦˦"	"2：˧˩"
"曠"	"旷"	"kʰo"	42			
"概"	"概"	"kʰiɛ"	42			
"溉"	"溉"	"kʰiɛ"	42			
"炕"	"炕"	"kʰo"	42			
"看"	"看"	"kʰiɛ"	42			
"礦"	"矿"	"kʰo"	42			
"空"	"空"	"kʰoŋ"	42			
"筷"	"筷"	"kʰua"	42			
"蒯"	"蒯"	"kʰuai"	42			
"褲"	"裤"	"kʰu"	42			
"課"	"课"	"kʰo"	42			
"靠"	"靠"	"kʰɔ"	42			
"億"	"亿"	"ʔji"	42			
"印"	"印"	"ʔjian"	42			
"孕"	"孕"	"ʔjian"	42			
"意"	"意"	"ʔji"	42			
"憶"	"忆"	"ʔji"	42			
"映"	"映"	"ʔjian"	42			
"泳"	"泳"	"ʔjioŋ"	42			
"窨"	"窨"	"ʔjian"	42			
"蔭"	"荫"	"ʔjian"	42			
"要"	"要"	"ʔjiɔ"	42			
"詠"	"咏"	"ʔjioŋ"	42			
"不"	"不"	"fu"	42			
"付"	"付"	"fu"	42			
"傅"	"傅"	"fu"	42			
"副"	"副"	"fu"	42			
"富"	"富"	"fu"	42			
"廢"	"废"	"fi"	42			
"放"	"放"	"fo"	42			
"泛"	"泛"	"fɛ"	42			
"番"	"番"	"fɛ"	42			
"痱"	"痱"	"fi"	42			
"糞"	"粪"	"fan"	42			
"肺"	"肺"	"fi"	42			
"諷"	"讽"	"foŋ"	42			
"貨"	"货"	"fu"	42			
"販"	"贩"	"fɛ"	42			
"費"	"费"	"fi"	42			
"賦"	"赋"	"fu"	42			
"做"	"做"	"tsu"	42			
"債"	"债"	"tsa"	42			
"再"	"再"	"tse"	42			
"券"	"券"	"tsø"	42			
"劍"	"剑"	"tse"	42			
"占"	"占"	"tse"	42			
"壯"	"壮"	"tso"	42			
"奏"	"奏"	"tsau"	42			
"宰"	"宰"	"tsɛ"	42			
"寸"	"寸"	"tsø"	42			
"建"	"建"	"tse"	42			
"志"	"志"	"tsɿ"	42			
"戰"	"战"	"tse"	42			
"撰"	"撰"	"tsø"	42			
"晉"	"晋"	"tsan"	42			
"智"	"智"	"tsɿ"	42			
"最"	"最"	"tsai"	42			
"榨"	"榨"	"tso"	42			
"浸"	"浸"	"tsan"	42			
"濺"	"溅"	"tse"	42			
"灶"	"灶"	"tsɔ"	42			
"炸"	"炸"	"tsa"	42			
"痣"	"痣"	"tsɿ"	42			
"皺"	"皱"	"tsau"	42			
"窒"	"窒"	"tsɿ"	42			
"站"	"站"	"tsɛ"	42			
"箭"	"箭"	"tse"	42			
"粽"	"粽"	"tsoŋ"	42			
"縐"	"绉"	"tsau"	42			
"縱"	"纵"	"tsoŋ"	42			
"罩"	"罩"	"tsɔ"	42			
"置"	"置"	"tsɿ"	42			
"至"	"至"	"tsɿ"	42			
"致"	"致"	"tsɿ"	42			
"葬"	"葬"	"tso"	42			
"薦"	"荐"	"tse"	42			
"蘸"	"蘸"	"tsɛ"	42			
"見"	"见"	"tse"	42			
"贅"	"赘"	"tsai"	42			
"贊"	"赞"	"tsɛ"	42			
"躁"	"躁"	"tsɔ"	42			
"載"	"载"	"tsɛ"	42			
"進"	"进"	"tsan"	42			
"醉"	"醉"	"tsai"	42			
"鎮"	"镇"	"tsan"	42			
"鑽"	"钻"	"tsø"	42			
"顫"	"颤"	"tse"	42			
"串"	"串"	"tsʰøn"	42			
"侵"	"侵"	"tsʰan"	42			
"券"	"券"	"tsʰø"	42			
"創"	"创"	"tsʰo"	42			
"勸"	"劝"	"tsʰø"	42			
"振"	"振"	"tsʰan"	42			
"措"	"措"	"tsʰo"	42			
"欠"	"欠"	"tsʰe"	42			
"湊"	"凑"	"tsʰau"	42			
"竄"	"窜"	"tsʰø"	42			
"翅"	"翅"	"tsʰɿ"	42			
"翠"	"翠"	"tsʰai"	42			
"脆"	"脆"	"tsʰai"	42			
"菜"	"菜"	"tsʰe"	42			
"蔡"	"蔡"	"tsʰa"	42			
"襯"	"衬"	"tsʰan"	42			
"誓"	"誓"	"tsʰɛ"	42			
"趁"	"趁"	"tsʰan"	42			
"醋"	"醋"	"tsʰu"	42			
"銼"	"锉"	"tsʰo"	42			
"錯"	"错"	"tsʰo"	42			
"震"	"震"	"tsʰan"	42			
"信"	"信"	"san"	42			
"喪"	"丧"	"so"	42			
"嗽"	"嗽"	"sau"	42			
"四"	"四"	"sɿ"	42			
"塑"	"塑"	"su"	42			
"宋"	"宋"	"soŋ"	42			
"帥"	"帅"	"sɛ"	42			
"思"	"思"	"sɿ"	42			
"慫"	"怂"	"soŋ"	42			
"憲"	"宪"	"se"	42			
"扇"	"扇"	"se"	42			
"散"	"散"	"sɛ"	42			
"數"	"数"	"su"	42			
"曬"	"晒"	"sa"	42			
"楦"	"楦"	"sø"	42			
"歲"	"岁"	"sai"	42			
"滲"	"渗"	"san"	42			
"漱"	"漱"	"sau"	42			
"獻"	"献"	"se"	42			
"瘦"	"瘦"	"sau"	42			
"碎"	"碎"	"sai"	42			
"算"	"算"	"sø"	42			
"素"	"素"	"su"	42			
"線"	"线"	"se"	42			
"肆"	"肆"	"sɿ"	42			
"蒜"	"蒜"	"sø"	42			
"訊"	"讯"	"san"	42			
"訴"	"诉"	"su"	42			
"試"	"试"	"sɿ"	42			
"賜"	"赐"	"sɿ"	42			
"賽"	"赛"	"sɛ"	42			
"遜"	"逊"	"sø"	42			
"棧"	"栈"	"dzɛ"	42			
"賃"	"赁"	"zan"	42			
"中"	"中"	"tɕoŋ"	42			
"俊"	"俊"	"tɕøn"	42			
"借"	"借"	"tɕi"	42			
"冀"	"冀"	"tɕi"	42			
"制"	"制"	"tɕi"	42			
"勁"	"劲"	"tɕan"	42			
"卷"	"卷"	"tɕøŋ"	42			
"叫"	"叫"	"tɕiɔ"	42			
"咒"	"咒"	"tɕau"	42			
"季"	"季"	"tɕʉ"	42			
"寄"	"寄"	"tɕi"	42			
"帳"	"帐"	"tɕa"	42			
"據"	"据"	"tɕʉ"	42			
"擠"	"挤"	"tɕi"	42			
"救"	"救"	"tɕau"	42			
"敬"	"敬"	"tɕan"	42			
"晝"	"昼"	"tɕiu"	42			
"注"	"注"	"tɕʉ"	42			
"浚"	"浚"	"tɕøn"	42			
"濟"	"济"	"tɕi"	42			
"灸"	"灸"	"tɕau"	42			
"照"	"照"	"tɕiɔ"	42			
"癸"	"癸"	"tɕʉ"	42			
"眷"	"眷"	"tɕø"	42			
"眾"	"众"	"tɕoŋ"	42			
"祭"	"祭"	"tɕi"	42			
"禁"	"禁"	"tɕan"	42			
"種"	"种"	"tɕo"	42			
"究"	"究"	"tɕau"	42			
"竟"	"竟"	"tɕan"	42			
"系"	"系"	"tɕi"	42			
"繼"	"继"	"tɕi"	42			
"脹"	"胀"	"tɕa"	42			
"著"	"着"	"tɕʉ"	42			
"蔗"	"蔗"	"tɕi"	42			
"計"	"计"	"tɕi"	42			
"記"	"记"	"tɕi"	42			
"證"	"证"	"tɕiŋ"	42			
"警"	"警"	"tɕan"	42			
"賬"	"账"	"tɕa"	42			
"醬"	"酱"	"tɕa"	42			
"鏡"	"镜"	"tɕan"	42			
"際"	"际"	"tɕi"	42			
"障"	"障"	"tɕa"	42			
"駐"	"驻"	"tɕʉ"	42			
"俏"	"俏"	"tɕʰiɔ"	42			
"倡"	"倡"	"tɕʰa"	42			
"刺"	"刺"	"tɕʰi"	42			
"去"	"去"	"tɕʰʉ"	42			
"唱"	"唱"	"tɕʰa"	42			
"器"	"器"	"tɕʰi"	42			
"契"	"契"	"tɕʰi"	42			
"慶"	"庆"	"tɕʰan"	42			
"棄"	"弃"	"tɕʰi"	42			
"氣"	"气"	"tɕʰi"	42			
"汽"	"汽"	"tɕʰi"	42			
"磬"	"磬"	"tɕʰan"	42			
"秤"	"秤"	"tɕʰeŋ"	42			
"稱"	"称"	"tɕʰeŋ"	42			
"竅"	"窍"	"tɕʰiɔ"	42			
"臭"	"臭"	"tɕʰiu"	42			
"處"	"处"	"tɕʰʉ"	42			
"赦"	"赦"	"tɕʰi"	42			
"趣"	"趣"	"tɕʰʉ"	42			
"銃"	"铳"	"tɕʰoŋ"	42			
"世"	"世"	"ɕi"	42			
"勢"	"势"	"ɕi"	42			
"卸"	"卸"	"ɕi"	42			
"向"	"向"	"ɕa"	42			
"嗅"	"嗅"	"ɕeu"	42			
"嗅"	"嗅"	"ɕiu"	42			
"姓"	"姓"	"ɕeŋ"	42			
"婿"	"婿"	"ɕi"	42			
"宿"	"宿"	"ɕiu"	42			
"少"	"少"	"ɕiɔ"	42			
"性"	"性"	"ɕeŋ"	42			
"恕"	"恕"	"ɕʉ"	42			
"戍"	"戍"	"ɕʉ"	42			
"戲"	"戏"	"ɕi"	42			
"歲"	"岁"	"ɕʉ"	42			
"況"	"况"	"ɕo"	42			
"泄"	"泄"	"ɕi"	42			
"瀉"	"泻"	"ɕi"	42			
"獸"	"兽"	"ɕiu"	42			
"秀"	"秀"	"ɕiu"	42			
"稅"	"税"	"ɕʉ"	42			
"穗"	"穗"	"ɕʉ"	42			
"笑"	"笑"	"ɕiɔ"	42			
"細"	"细"	"ɕi"	42			
"絮"	"絮"	"ɕʉ"	42			
"繡"	"绣"	"ɕiu"	42			
"聖"	"圣"	"ɕeŋ"	42			
"舍"	"舍"	"ɕi"	42			
"舜"	"舜"	"ɕon"	42			
"訓"	"训"	"ɕøn"	42			
"釁"	"衅"	"ɕan"	42			
"鞘"	"鞘"	"ɕiɔ"	42			
"近"	"近"	"dʑan"	42			
"上"	"上"	"ʑa"	42			
"尚"	"尚"	"ʑa"	42			
"化"	"化"	"hua"	42			
"喊"	"喊"	"hɛ"	42			
"喚"	"唤"	"hø"	42			
"好"	"好"	"hɔ"	42			
"孝"	"孝"	"hɔ"	42			
"戽"	"戽"	"hu"	42			
"換"	"换"	"hø"	42			
"晦"	"晦"	"huai"	42			
"況"	"况"	"ho"	42			
"漢"	"汉"	"he"	42			
"煥"	"焕"	"hø"	42			
"耗"	"耗"	"hɔ"	42			
"諱"	"讳"	"huai"	42			
"貨"	"货"	"hu"	42			
"夜"	"夜"	"ɦi"	42			
"行"	"行"	"ɦa"	42			
"衛"	"卫"	"ɦʉ"	42			
"茂"	"茂"	"mau"	42			
"貿"	"贸"	"mau"	42			
"硬"	"硬"	"ŋa"	42			
"亂"	"乱"	"lø"	42			
"認"	"认"	"ʔȵan"	42			
"下"	"下"	"o"	42			
"也"	"也"	"ɛ"	42			
"喂"	"喂"	"ʉ"	42			
"堰"	"堰"	"e"	42			
"奧"	"奥"	"ɔ"	42			
"宴"	"宴"	"e"	42			
"怨"	"怨"	"ø"	42			
"惡"	"恶"	"u"	42			
"愛"	"爱"	"ɛ"	42			
"懊"	"懊"	"ɔ"	42			
"按"	"按"	"e"	42			
"晏"	"晏"	"e"	42			
"暗"	"暗"	"e"	42			
"案"	"案"	"e"	42			
"涴"	"涴"	"u"	42			
"燕"	"燕"	"e"	42			
"皖"	"皖"	"ø"	42			
"緩"	"缓"	"ø"	42			
"腕"	"腕"	"ø"	42			
"艷"	"艷"	"e"	42			
"隘"	"隘"	"a"	42			
"靨"	"靥"	"e"	42			
"頑"	"顽"	"ø"	42			
"丙"	"丙"	"peŋ"	45			
"別"	"别"	"peŋ"	45			
"匾"	"匾"	"pe"	45			
"堡"	"堡"	"pɔ"	45			
"寶"	"宝"	"pɔ"	45			
"憋"	"憋"	"pi"	45			
"扁"	"扁"	"pe"	45			
"把"	"把"	"pa"	45			
"把"	"把"	"po"	45			
"擺"	"摆"	"pa"	45			
"本"	"本"	"pan"	45			
"板"	"板"	"pɛ"	45			
"榜"	"榜"	"po"	45			
"比"	"比"	"pi"	45			
"版"	"版"	"pɛ"	45			
"秉"	"秉"	"peŋ"	45			
"綁"	"绑"	"po"	45			
"蝙"	"蝙"	"pe"	45			
"表"	"表"	"piɔ"	45			
"補"	"补"	"pu"	45			
"謗"	"谤"	"po"	45			
"貶"	"贬"	"pe"	45			
"飽"	"饱"	"pɔ"	45			
"餅"	"饼"	"peŋ"	45			
"鱉"	"鳖"	"pi"	45			
"剖"	"剖"	"pʰau"	45			
"否"	"否"	"pʰi"	45			
"品"	"品"	"pʰeŋ"	45			
"捧"	"捧"	"pʰoŋ"	45			
"普"	"普"	"pʰu"	45			
"浦"	"浦"	"pʰu"	45			
"漂"	"漂"	"pʰiɔ"	45			
"譜"	"谱"	"pʰu"	45			
"譬"	"譬"	"pʰi"	45			
"跑"	"跑"	"pʰɔ"	45			
"跛"	"跛"	"pʰe"	45			
"鄙"	"鄙"	"pʰi"	45			
"阜"	"阜"	"pʰau"	45			
"陛"	"陛"	"pʰi"	45			
"倒"	"倒"	"tɔ"	45			
"典"	"典"	"te"	45			
"堵"	"堵"	"tu"	45			
"對"	"对"	"tai"	45			
"島"	"岛"	"tɔ"	45			
"底"	"底"	"ti"	45			
"懂"	"懂"	"toŋ"	45			
"打"	"打"	"ta"	45			
"抖"	"抖"	"tau"	45			
"擋"	"挡"	"to"	45			
"朵"	"朵"	"to"	45			
"盾"	"盾"	"tø"	45			
"短"	"短"	"tø"	45			
"禱"	"祷"	"tɔ"	45			
"等"	"等"	"tan"	45			
"肚"	"肚"	"tu"	45			
"膽"	"胆"	"tɛ"	45			
"董"	"董"	"toŋ"	45			
"賭"	"赌"	"tu"	45			
"躲"	"躲"	"to"	45			
"陡"	"陡"	"tau"	45			
"頂"	"顶"	"teŋ"	45			
"鬥"	"斗"	"tau"	45			
"鳥"	"鸟"	"tiɔ"	45			
"點"	"点"	"te"	45			
"黨"	"党"	"to"	45			
"鼎"	"鼎"	"teŋ"	45			
"倘"	"倘"	"tʰo"	45			
"吐"	"吐"	"tʰu"	45			
"土"	"土"	"tʰu"	45			
"坦"	"坦"	"tʰɛ"	45			
"妥"	"妥"	"tʰo"	45			
"拖"	"拖"	"tʰa"	45			
"挺"	"挺"	"tʰeŋ"	45			
"毯"	"毯"	"tʰɛ"	45			
"統"	"统"	"tʰoŋ"	45			
"腿"	"腿"	"tʰai"	45			
"舔"	"舔"	"tʰe"	45			
"艇"	"艇"	"tʰeŋ"	45			
"討"	"讨"	"tʰɔ"	45			
"躺"	"躺"	"tʰo"	45			
"體"	"体"	"tʰi"	45			
"囤"	"囤"	"dan"	45			
"嫂"	"嫂"	"sɔ"	45			
"掃"	"扫"	"sɔ"	45			
"假"	"假"	"ko"	45			
"剮"	"剐"	"kua"	45			
"古"	"古"	"ku"	45			
"哽"	"哽"	"ka"	45			
"坎"	"坎"	"kiɛ"	45			
"垢"	"垢"	"kau"	45			
"寡"	"寡"	"kua"	45			
"尬"	"尬"	"ka"	45			
"幾"	"几"	"ke"	45			
"廣"	"广"	"ko"	45			
"感"	"感"	"kiɛ"	45			
"拐"	"拐"	"kua"	45			
"拱"	"拱"	"koŋ"	45			
"揀"	"拣"	"kɛ"	45			
"搞"	"搞"	"kɔ"	45			
"攪"	"搅"	"kɔ"	45			
"改"	"改"	"ke"	45			
"敢"	"敢"	"kiɛ"	45			
"果"	"果"	"ku"	45			
"柬"	"柬"	"kɛ"	45			
"棍"	"棍"	"kuan"	45			
"減"	"减"	"kɛ"	45			
"港"	"港"	"ko"	45			
"滾"	"滚"	"kuan"	45			
"狗"	"狗"	"kau"	45			
"狡"	"狡"	"kɔ"	45			
"稈"	"秆"	"ke"	45			
"稿"	"稿"	"kɔ"	45			
"管"	"管"	"kø"	45			
"簡"	"简"	"kɛ"	45			
"絞"	"绞"	"kɔ"	45			
"耿"	"耿"	"kan"	45			
"股"	"股"	"ku"	45			
"苟"	"苟"	"kau"	45			
"苦"	"苦"	"ku"	45			
"裹"	"裹"	"ku"	45			
"解"	"解"	"ka"	45			
"詭"	"诡"	"kuai"	45			
"講"	"讲"	"ko"	45			
"趕"	"赶"	"ke"	45			
"較"	"较"	"kɔ"	45			
"鉸"	"铰"	"kɔ"	45			
"館"	"馆"	"kø"	45			
"駭"	"骇"	"ka"	45			
"鹼"	"硷"	"kɛ"	45			
"鼓"	"鼓"	"ku"	45			
"估"	"估"	"kʰu"	45			
"凱"	"凯"	"kʰe"	45			
"口"	"口"	"kʰau"	45			
"可"	"可"	"kʰɔ"	45			
"墾"	"垦"	"kʰan"	45			
"孔"	"孔"	"kʰoŋ"	45			
"巧"	"巧"	"kʰɔ"	45			
"恐"	"恐"	"kʰoŋ"	45			
"懇"	"恳"	"kʰan"	45			
"捆"	"捆"	"kʰuan"	45			
"楷"	"楷"	"kʰa"	45			
"楷"	"楷"	"kʰiɛ"	45			
"款"	"款"	"kʰø"	45			
"烤"	"烤"	"kʰɔ"	45			
"砍"	"砍"	"kʰiɛ"	45			
"考"	"考"	"kʰɔ"	45			
"艦"	"舰"	"kʰiɛ"	45			
"鞏"	"巩"	"kʰoŋ"	45			
"以"	"以"	"ʔji"	45			
"允"	"允"	"ʔjiøn"	45			
"勇"	"勇"	"ʔjioŋ"	45			
"友"	"友"	"ʔjieu"	45			
"已"	"已"	"ʔji"	45			
"引"	"引"	"ʔjian"	45			
"影"	"影"	"ʔjian"	45			
"有"	"有"	"ʔjiau"	45			
"椅"	"椅"	"ʔji"	45			
"永"	"永"	"ʔjioŋ"	45			
"甬"	"甬"	"ʔjioŋ"	45			
"穎"	"颖"	"ʔjian"	45			
"舀"	"舀"	"ʔjiɔ"	45			
"野"	"野"	"ʔji"	45			
"隱"	"隐"	"ʔjian"	45			
"飲"	"饮"	"ʔjian"	45			
"仿"	"仿"	"fo"	45			
"俯"	"俯"	"fu"	45			
"匪"	"匪"	"fi"	45			
"反"	"反"	"fɛ"	45			
"否"	"否"	"fau"	45			
"夥"	"伙"	"fu"	45			
"奮"	"奋"	"fan"	45			
"府"	"府"	"fu"	45			
"彷"	"彷"	"fo"	45			
"斧"	"斧"	"fu"	45			
"火"	"火"	"fu"	45			
"甫"	"甫"	"fu"	45			
"粉"	"粉"	"fan"	45			
"紛"	"纷"	"fan"	45			
"紡"	"纺"	"fo"	45			
"脯"	"脯"	"fu"	45			
"腑"	"腑"	"fu"	45			
"訪"	"访"	"fo"	45			
"輔"	"辅"	"fu"	45			
"釜"	"釜"	"fu"	45			
"佐"	"佐"	"tso"	45			
"剪"	"剪"	"tse"	45			
"只"	"只"	"tsɿ"	45			
"址"	"址"	"tsɿ"	45			
"姊"	"姊"	"tsɿ"	45			
"子"	"子"	"tsɿ"	45			
"左"	"左"	"tso"	45			
"忖"	"忖"	"tsø"	45			
"找"	"找"	"tsɔ"	45			
"指"	"指"	"tsɿ"	45			
"斬"	"斩"	"tsɛ"	45			
"旨"	"旨"	"tsɿ"	45			
"早"	"早"	"tsɔ"	45			
"枕"	"枕"	"tsan"	45			
"梓"	"梓"	"tsɿ"	45			
"棗"	"枣"	"tsɔ"	45			
"檢"	"检"	"tse"	45			
"止"	"止"	"tsɿ"	45			
"澡"	"澡"	"tsɔ"	45			
"煮"	"煮"	"tsɿ"	45			
"爪"	"爪"	"tsɔ"	45			
"盞"	"盏"	"tsɛ"	45			
"盡"	"尽"	"tsan"	45			
"祖"	"祖"	"tsu"	45			
"笊"	"笊"	"tsɔ"	45			
"紙"	"纸"	"tsɿ"	45			
"紫"	"紫"	"tsɿ"	45			
"組"	"组"	"tsu"	45			
"總"	"总"	"tsoŋ"	45			
"繭"	"茧"	"tse"	45			
"纂"	"纂"	"tsø"	45			
"者"	"者"	"tsɛ"	45			
"蚤"	"蚤"	"tsɔ"	45			
"謹"	"谨"	"tsan"	45			
"走"	"走"	"tsau"	45			
"趾"	"趾"	"tsɿ"	45			
"載"	"载"	"tsɛ"	45			
"轉"	"转"	"tsø"	45			
"阻"	"阻"	"tsu"	45			
"且"	"且"	"tsʰe"	45			
"侈"	"侈"	"tsʰɿ"	45			
"吵"	"吵"	"tsʰɔ"	45			
"喘"	"喘"	"tsʰø"	45			
"寢"	"寝"	"tsʰan"	45			
"彩"	"彩"	"tsʰe"	45			
"恥"	"耻"	"tsʰɿ"	45			
"慘"	"惨"	"tsʰɛ"	45			
"楚"	"楚"	"tsʰu"	45			
"歉"	"歉"	"tsʰe"	45			
"淺"	"浅"	"tsʰe"	45			
"炒"	"炒"	"tsʰɔ"	45			
"燦"	"灿"	"tsʰɛ"	45			
"產"	"产"	"tsʰɛ"	45			
"睬"	"睬"	"tsʰe"	45			
"篡"	"篡"	"tsʰø"	45			
"草"	"草"	"tsʰɔ"	45			
"遣"	"遣"	"tsʰe"	45			
"采"	"采"	"tsʰe"	45			
"鏟"	"铲"	"tsʰɛ"	45			
"鼠"	"鼠"	"tsʰɿ"	45			
"齒"	"齿"	"tsʰɿ"	45			
"使"	"使"	"sɿ"	45			
"傘"	"伞"	"sɛ"	45			
"叟"	"叟"	"sau"	45			
"史"	"史"	"sɿ"	45			
"嗓"	"嗓"	"so"	45			
"始"	"始"	"sɿ"	45			
"嬸"	"婶"	"san"	45			
"審"	"审"	"san"	45			
"小"	"小"	"sai"	45			
"所"	"所"	"sɔ"	45			
"損"	"损"	"sø"	45			
"散"	"散"	"sɛ"	45			
"死"	"死"	"sɿ"	45			
"灑"	"洒"	"sa"	45			
"爽"	"爽"	"so"	45			
"癬"	"癣"	"se"	45			
"省"	"省"	"sa"	45			
"耍"	"耍"	"sa"	45			
"豕"	"豕"	"sɿ"	45			
"迅"	"迅"	"san"	45			
"選"	"选"	"sø"	45			
"鎖"	"锁"	"so"	45			
"陝"	"陕"	"se"	45			
"險"	"险"	"se"	45			
"顯"	"显"	"se"	45			
"駛"	"驶"	"sa"	45			
"髓"	"髓"	"se"	45			
"鮮"	"鲜"	"se"	45			
"儉"	"俭"	"dze"	45			
"主"	"主"	"tɕʉ"	45			
"久"	"久"	"tɕau"	45			
"九"	"九"	"tɕau"	45			
"井"	"井"	"tɕeŋ"	45			
"准"	"准"	"tɕøn"	45			
"卷"	"卷"	"tɕøŋ"	45			
"嘴"	"嘴"	"tɕʉ"	45			
"境"	"境"	"tɕan"	45			
"己"	"己"	"tɕi"	45			
"帚"	"帚"	"tɕiu"	45			
"拯"	"拯"	"tɕiŋ"	45			
"掌"	"掌"	"tɕa"	45			
"景"	"景"	"tɕan"	45			
"杞"	"杞"	"tɕi"	45			
"槳"	"桨"	"tɕa"	45			
"漲"	"涨"	"tɕa"	45			
"獎"	"奖"	"tɕa"	45			
"種"	"种"	"tɕo"	45			
"紀"	"纪"	"tɕi"	45			
"緊"	"紧"	"tɕan"	45			
"繳"	"缴"	"tɕiɔ"	45			
"肘"	"肘"	"tɕiu"	45			
"腫"	"肿"	"tɕo"	45			
"舉"	"举"	"tɕʉ"	45			
"蔣"	"蒋"	"tɕa"	45			
"賈"	"贾"	"tɕa"	45			
"軌"	"轨"	"tɕʉ"	45			
"酒"	"酒"	"tɕiu"	45			
"韭"	"韭"	"tɕau"	45			
"頸"	"颈"	"tɕan"	45			
"餃"	"饺"	"tɕiɔ"	45			
"鬼"	"鬼"	"tɕʉ"	45			
"傾"	"倾"	"tɕʰan"	45			
"取"	"取"	"tɕʰʉ"	45			
"啟"	"启"	"tɕʰi"	45			
"娶"	"娶"	"tɕʰʉ"	45			
"寵"	"宠"	"tɕʰoŋ"	45			
"帚"	"帚"	"tɕʰiu"	45			
"廠"	"厂"	"tɕʰa"	45			
"搶"	"抢"	"tɕʰa"	45			
"沼"	"沼"	"tɕʰiɔ"	45			
"舍"	"舍"	"tɕʰi"	45			
"蠢"	"蠢"	"tɕʰøn"	45			
"請"	"请"	"tɕʰeŋ"	45			
"豈"	"岂"	"tɕʰi"	45			
"起"	"起"	"tɕʰi"	45			
"醜"	"丑"	"tɕʰiu"	45			
"頃"	"顷"	"tɕʰan"	45			
"享"	"享"	"ɕa"	45			
"喜"	"喜"	"ɕi"	45			
"守"	"守"	"ɕiu"	45			
"寫"	"写"	"ɕi"	45			
"小"	"小"	"ɕiɔ"	45			
"少"	"少"	"ɕiɔ"	45			
"徙"	"徙"	"ɕʉ"	45			
"想"	"想"	"ɕa"	45			
"所"	"所"	"ɕʉ"	45			
"手"	"手"	"ɕiu"	45			
"數"	"数"	"ɕu"	45			
"暑"	"暑"	"ɕʉ"	45			
"朽"	"朽"	"ɕau"	45			
"水"	"水"	"ɕʉ"	45			
"洗"	"洗"	"ɕi"	45			
"璽"	"玺"	"ɕʉ"	45			
"省"	"省"	"ɕeŋ"	45			
"筍"	"笋"	"ɕøn"	45			
"賞"	"赏"	"ɕa"	45			
"醒"	"醒"	"ɕeŋ"	45			
"響"	"响"	"ɕa"	45			
"餉"	"饷"	"ɕa"	45			
"首"	"首"	"ɕiu"	45			
"鯗"	"鲞"	"ɕa"	45			
"黍"	"黍"	"ɕʉ"	45			
"上"	"上"	"ʑa"	45			
"吼"	"吼"	"hau"	45			
"哄"	"哄"	"hoŋ"	45			
"夥"	"伙"	"hu"	45			
"好"	"好"	"hɔ"	45			
"很"	"很"	"han"	45			
"悔"	"悔"	"huai"	45			
"毀"	"毁"	"huai"	45			
"海"	"海"	"he"	45			
"滸"	"浒"	"hu"	45			
"火"	"火"	"hu"	45			
"罕"	"罕"	"he"	45			
"虎"	"虎"	"hu"	45			
"蟹"	"蟹"	"ha"	45			
"賄"	"贿"	"huai"	45			
"後"	"后"	"ɦau"	45			
"莠"	"莠"	"ɦiau"	45			
"酉"	"酉"	"ɦiau"	45			
"養"	"养"	"ɦia"	45			
"憫"	"悯"	"meŋ"	45			
"敏"	"敏"	"meŋ"	45			
"閩"	"闽"	"meŋ"	45			
"摟"	"搂"	"lau"	45			
"裸"	"裸"	"lu"	45			
"殮"	"殓"	"ʔle"	45			
"縷"	"缕"	"ʔlai"	45			
"臉"	"脸"	"ʔle"	45			
"蕊"	"蕊"	"ʔlai"	45			
"覽"	"览"	"ʔla"	45			
"輦"	"辇"	"ʔle"	45			
"隴"	"陇"	"ʔloŋ"	45			
"免"	"免"	"ʔmi"	45			
"勉"	"勉"	"ʔmi"	45			
"卯"	"卯"	"ʔmo"	45			
"娩"	"娩"	"ʔmi"	45			
"孟"	"孟"	"ʔmoŋ"	45			
"尾"	"尾"	"ʔmai"	45			
"懵"	"懵"	"ʔmoŋ"	45			
"拇"	"拇"	"ʔmo"	45			
"晚"	"晚"	"ʔmɛ"	45			
"杳"	"杳"	"ʔmiɔ"	45			
"某"	"某"	"ʔmo"	45			
"母"	"母"	"ʔmo"	45			
"牡"	"牡"	"ʔmo"	45			
"猛"	"猛"	"ʔma"	45			
"猛"	"猛"	"ʔmoŋ"	45			
"畝"	"亩"	"ʔmɔ"	45			
"皿"	"皿"	"ʔmeŋ"	45			
"碼"	"码"	"ʔmo"	45			
"網"	"网"	"ʔmo"	45			
"馬"	"马"	"ʔmo"	45			
"你"	"你"	"ʔni"	45			
"卵"	"卵"	"ʔnan"	45			
"女"	"女"	"ʔnɛ"	45			
"奶"	"奶"	"ʔnɛ"	45			
"攏"	"拢"	"ʔnoŋ"	45			
"爾"	"尔"	"ʔn"	45			
"隴"	"陇"	"ʔnoŋ"	45			
"領"	"领"	"ʔneŋ"	45			
"偶"	"偶"	"ʔŋau"	45			
"咬"	"咬"	"ʔŋɔ"	45			
"往"	"往"	"ʔŋua"	45			
"我"	"我"	"ʔŋɔ"	45			
"瓦"	"瓦"	"ʔŋua"	45			
"眼"	"眼"	"ʔŋɛ"	45			
"藕"	"藕"	"ʔŋau"	45			
"蟻"	"蚁"	"ʔŋɛ"	45			
"雅"	"雅"	"ʔŋa"	45			
"仰"	"仰"	"ʔȵa"	45			
"刃"	"刃"	"ʔȵan"	45			
"尿"	"尿"	"ʔȵiɔ"	45			
"忍"	"忍"	"ʔȵan"	45			
"扭"	"扭"	"ʔȵau"	45			
"擬"	"拟"	"ʔȵi"	45			
"攆"	"撵"	"ʔȵi"	45			
"暖"	"暖"	"ʔȵø"	45			
