"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"喷"	"噴"	"pʰaŋ1"			
"喷"	"噴"	"pʰaŋ5"			
"盆"	"盆"	"baŋ2"			
"笨"	"笨"	"baŋ6"			
"门"	"門"	"maŋ2"			
"忘"	"忘"	"maŋ2"			
"闷"	"悶"	"maŋ4"			
"扪"	"捫"	"maŋ4"			
"分"	"分"	"faŋ1"			
"芬"	"芬"	"faŋ1"			
"纷"	"紛"	"faŋ1"			
"粉"	"粉"	"faŋ3"			
"奋"	"奮"	"faŋ5"			
"粪"	"糞"	"faŋ5"			
"文"	"文"	"vaŋ2"			
"纹"	"紋"	"vaŋ2"			
"坟"	"墳"	"vaŋ2"			
"蚊"	"蚊"	"vaŋ2"			
"雯"	"雯"	"vaŋ2"			
"馄"	"餛"	"vaŋ2"			
"吻"	"吻"	"vaŋ4"			
"刎"	"刎"	"vaŋ4"			
"焚"	"焚"	"vaŋ4"			
"愦"	"憒"	"vaŋ4"			
"忿"	"忿"	"vaŋ4"			
"混"	"混"	"vaŋ6"			
"问"	"問"	"vaŋ6"			
"份"	"份"	"vaŋ6"			
"浑"	"渾"	"vaŋ6"			
"紊"	"紊"	"vaŋ6"			
"灯"	"燈"	"taŋ1"			
"登"	"登"	"taŋ1"			
"瞪"	"瞪"	"taŋ1"			
"扽"	"扽"	"taŋ1"			
"等"	"等"	"taŋ3"			
"丼"	"丼"	"taŋ3"			
"趸"	"躉"	"taŋ3"			
"顿"	"頓"	"taŋ5"			
"凳"	"凳"	"taŋ5"			
"炖"	"燉"	"taŋ5"			
"镫"	"鐙"	"taŋ5"			
"瞪"	"瞪"	"taŋ5"			
"鼟"	"鼟"	"tʰaŋ1"			
"蹬"	"蹬"	"tʰaŋ4"			
"滕"	"滕"	"daŋ2"			
"藤"	"藤"	"daŋ2"			
"腾"	"騰"	"daŋ2"			
"腾"	"騰"	"daŋ2"			
"疼"	"疼"	"daŋ2"			
"塍"	"塍"	"daŋ2"			
"沌"	"沌"	"daŋ2"			
"饨"	"飩"	"daŋ2"			
"盾"	"盾"	"daŋ4"			
"钝"	"鈍"	"daŋ6"			
"遁"	"遁"	"daŋ6"			
"能"	"能"	"naŋ2"			
"人"	"人"	"naŋ2"			
"暖"	"暖"	"naŋ4"			
"伦"	"倫"	"laŋ2"			
"沦"	"淪"	"laŋ2"			
"抡"	"掄"	"laŋ2"			
"轮"	"輪"	"laŋ2"			
"纶"	"綸"	"laŋ2"			
"仑"	"侖"	"laŋ2"			
"囵"	"圇"	"laŋ2"			
"楞"	"楞"	"laŋ2"			
"卵"	"卵"	"laŋ4"			
"心"	"心"	"saŋ1"			
"森"	"森"	"saŋ1"			
"参"	"參"	"saŋ1"			
"深"	"深"	"saŋ1"			
"辛"	"辛"	"saŋ1"			
"新"	"新"	"saŋ1"			
"薪"	"薪"	"saŋ1"			
"身"	"身"	"saŋ1"			
"申"	"申"	"saŋ1"			
"伸"	"伸"	"saŋ1"			
"僧"	"僧"	"saŋ1"			
"忱"	"忱"	"saŋ3"			
"审"	"審"	"saŋ3"			
"婶"	"嬸"	"saŋ3"			
"迅"	"迅"	"saŋ3"			
"参"	"參"	"saŋ5"			
"信"	"信"	"saŋ5"			
"人"	"人"	"zaŋ2"			
"仁"	"仁"	"zaŋ2"			
"层"	"層"	"zaŋ2"			
"寻"	"尋"	"zaŋ2"			
"辰"	"辰"	"zaŋ2"			
"晨"	"晨"	"zaŋ2"			
"秦"	"秦"	"zaŋ2"			
"甚"	"甚"	"zaŋ4"			
"葚"	"葚"	"zaŋ4"			
"尽"	"盡"	"zaŋ4"			
"肾"	"腎"	"zaŋ4"			
"任"	"任"	"zaŋ6"			
"刃"	"刃"	"zaŋ6"			
"赁"	"賃"	"zaŋ6"			
"慎"	"慎"	"zaŋ6"			
"赠"	"贈"	"zaŋ6"			
"今"	"今"	"tɕiaŋ1"			
"针"	"針"	"tɕiaŋ1"			
"金"	"金"	"tɕiaŋ1"			
"斟"	"斟"	"tɕiaŋ1"			
"襟"	"襟"	"tɕiaŋ1"			
"津"	"津"	"tɕiaŋ1"			
"珍"	"珍"	"tɕiaŋ1"			
"诊"	"診"	"tɕiaŋ1"			
"疹"	"疹"	"tɕiaŋ1"			
"真"	"真"	"tɕiaŋ1"			
"巾"	"巾"	"tɕiaŋ1"			
"斤"	"斤"	"tɕiaŋ1"			
"筋"	"筋"	"tɕiaŋ1"			
"均"	"均"	"tɕiaŋ1"			
"钧"	"鈞"	"tɕiaŋ1"			
"君"	"君"	"tɕiaŋ1"			
"军"	"軍"	"tɕiaŋ1"			
"曾"	"曾"	"tɕiaŋ1"			
"增"	"增"	"tɕiaŋ1"			
"憎"	"憎"	"tɕiaŋ1"			
"京"	"京"	"tɕiaŋ1"			
"茎"	"莖"	"tɕiaŋ1"			
"荆"	"荊"	"tɕiaŋ1"			
"惊"	"驚"	"tɕiaŋ1"			
"鲸"	"鯨"	"tɕiaŋ1"			
"经"	"經"	"tɕiaŋ1"			
"经"	"經"	"tɕiaŋ3"			
"锦"	"錦"	"tɕiaŋ3"			
"紧"	"緊"	"tɕiaŋ3"			
"景"	"景"	"tɕiaŋ3"			
"颈"	"頸"	"tɕiaŋ3"			
"缜"	"縝"	"tɕiaŋ3"			
"枕"	"枕"	"tɕiaŋ3"			
"进"	"進"	"tɕiaŋ5"			
"晋"	"晉"	"tɕiaŋ5"			
"禁"	"禁"	"tɕiaŋ5"			
"镇"	"鎮"	"tɕiaŋ5"			
"振"	"振"	"tɕiaŋ5"			
"震"	"震"	"tɕiaŋ5"			
"劲"	"勁"	"tɕiaŋ5"			
"境"	"境"	"tɕiaŋ5"			
"警"	"警"	"tɕiaŋ5"			
"敬"	"敬"	"tɕiaŋ5"			
"竞"	"競"	"tɕiaŋ5"			
"径"	"徑"	"tɕiaŋ5"			
"亲"	"親"	"tɕʰiaŋ1"			
"钦"	"欽"	"tɕʰiaŋ1"			
"卿"	"卿"	"tɕʰiaŋ1"			
"轻"	"輕"	"tɕʰiaŋ1"			
"忖"	"忖"	"tɕʰiaŋ3"			
"穇"	"穇"	"tɕʰiaŋ3"			
"庆"	"慶"	"tɕʰiaŋ5"			
"趁"	"趁"	"tɕʰiaŋ5"			
"侵"	"侵"	"tɕʰiaŋ5"			
"衬"	"襯"	"tɕʰiaŋ5"			
"揿"	"撳"	"tɕʰiaŋ5"			
"寝"	"寢"	"tɕʰiaŋ5"			
"沉"	"沉"	"dʑiaŋ2"			
"琴"	"琴"	"dʑiaŋ2"			
"禽"	"禽"	"dʑiaŋ2"			
"擒"	"擒"	"dʑiaŋ2"			
"陈"	"陳"	"dʑiaŋ2"			
"尘"	"塵"	"dʑiaŋ2"			
"臣"	"臣"	"dʑiaŋ2"			
"勒"	"勒"	"dʑiaŋ2"			
"芹"	"芹"	"dʑiaŋ2"			
"群"	"群"	"dʑiaŋ2"			
"裙"	"裙"	"dʑiaŋ2"			
"擎"	"擎"	"dʑiaŋ2"			
"鲸"	"鯨"	"dʑiaŋ2"			
"近"	"近"	"dʑiaŋ4"			
"朕"	"朕"	"dʑiaŋ4"			
"阵"	"陣"	"dʑiaŋ6"			
"仅"	"僅"	"dʑiaŋ6"			
"郡"	"郡"	"dʑiaŋ6"			
"妗"	"妗"	"dʑiaŋ6"			
"人"	"人"	"ȵiaŋ2"			
"壬"	"壬"	"ȵiaŋ2"			
"任"	"任"	"ȵiaŋ2"			
"吟"	"吟"	"ȵiaŋ2"			
"娠"	"娠"	"ȵiaŋ2"			
"银"	"銀"	"ȵiaŋ2"			
"迎"	"迎"	"ȵiaŋ2"			
"忍"	"忍"	"ȵiaŋ4"			
"认"	"認"	"ȵiaŋ6"			
"轫"	"軔"	"ȵiaŋ6"			
"赁"	"賃"	"ȵiaŋ6"			
"刃"	"刃"	"ȵiaŋ6"			
"欣"	"欣"	"ɕiaŋ1"			
"兴"	"興"	"ɕiaŋ1"			
"旺"	"旺"	"ɕiaŋ1"			
"熏"	"熏"	"ɕiaŋ1"			
"勋"	"勳"	"ɕiaŋ1"			
"馨"	"馨"	"ɕiaŋ1"			
"兴"	"興"	"ɕiaŋ3"			
"训"	"訓"	"ɕiaŋ5"			
"衅"	"釁"	"ɕiaŋ5"			
"兴"	"興"	"ɕiaŋ5"			
"音"	"音"	"ʔiaŋ1"			
"阴"	"陰"	"ʔiaŋ1"			
"荫"	"蔭"	"ʔiaŋ1"			
"因"	"因"	"ʔiaŋ1"			
"洇"	"洇"	"ʔiaŋ1"			
"殷"	"殷"	"ʔiaŋ1"			
"鹰"	"鷹"	"ʔiaŋ1"			
"螨"	"蟎"	"ʔiaŋ1"			
"莺"	"鶯"	"ʔiaŋ1"			
"英"	"英"	"ʔiaŋ1"			
"婴"	"嬰"	"ʔiaŋ1"			
"缨"	"纓"	"ʔiaŋ1"			
"饮"	"飲"	"ʔiaŋ3"			
"隐"	"隱"	"ʔiaŋ3"			
"允"	"允"	"ʔiaŋ3"			
"影"	"影"	"ʔiaŋ3"			
"印"	"印"	"ʔiaŋ5"			
"应"	"應"	"ʔiaŋ5"			
"映"	"映"	"ʔiaŋ5"			
"熨"	"熨"	"ʔiaŋ5"			
"云"	"雲"	"jaŋ2"			
"匀"	"勻"	"jaŋ2"			
"形"	"形"	"jaŋ2"			
"刑"	"刑"	"jaŋ2"			
"型"	"型"	"jaŋ2"			
"寅"	"寅"	"jaŋ2"			
"淫"	"淫"	"jaŋ2"			
"盈"	"盈"	"jaŋ2"			
"降"	"降"	"jaŋ2"			
"引"	"引"	"jaŋ4"			
"运"	"運"	"jaŋ6"			
"挚"	"摯"	"jaŋ6"			
"晕"	"暈"	"jaŋ6"			
"闰"	"閏"	"jaŋ6"			
"韵"	"韻"	"jaŋ6"			
"跟"	"跟"	"kaŋ1"			
"根"	"根"	"kaŋ1"			
"㔶"	"㔶"	"kaŋ3"			
"啃"	"啃"	"kʰaŋ1"			
"肯"	"肯"	"pʰaŋ3"			
"恳"	"懇"	"pʰaŋ3"			
"垦"	"墾"	"pʰaŋ3"			
"昆"	"昆"	"kuaŋ1"			
"昆"	"昆"	"kuaŋ1"			
"鲲"	"鯤"	"kuaŋ1"			
"滚"	"滾"	"kuaŋ3"			
"绲"	"緄"	"kuaŋ3"			
"裩"	"裩"	"kuaŋ3"			
"棍"	"棍"	"kuaŋ5"			
"謴"	"謴"	"kuaŋ5"			
"坤"	"坤"	"kʰuaŋ1"			
"堃"	"堃"	"kʰuaŋ1"			
"昆"	"昆"	"kʰuaŋ1"			
"昆"	"昆"	"kʰuaŋ1"			
"捆"	"捆"	"kʰuaŋ3"			
"捆"	"捆"	"kʰuaŋ3"			
"困"	"困"	"kʰuaŋ5"			
"很"	"很"	"haŋ3"			
"夯"	"夯"	"haŋ5"			
"痕"	"痕"	"ɦaŋ6"			
"恒"	"恒"	"ɦaŋ6"			
"恨"	"恨"	"ɦaŋ6"			
"□"	"□"	"ɦaŋ6"			
"彬"	"彬"	"piŋ1"			
"宾"	"賓"	"piŋ1"			
"槟"	"檳"	"piŋ1"			
"殡"	"殯"	"piŋ1"			
"鬓"	"鬢"	"piŋ1"			
"冰"	"冰"	"piŋ1"			
"兵"	"兵"	"piŋ1"			
"浜"	"浜"	"piŋ1"			
"斌"	"斌"	"piŋ1"			
"丙"	"丙"	"piŋ3"			
"饼"	"餅"	"piŋ3"			
"禀"	"稟"	"piŋ3"			
"炳"	"炳"	"piŋ3"			
"柄"	"柄"	"piŋ5"			
"饼"	"餅"	"piŋ5"			
"秉"	"秉"	"piŋ5"			
"殡"	"殯"	"piŋ5"			
"迸"	"迸"	"piŋ5"			
"姘"	"姘"	"pʰiŋ1"			
"娉"	"娉"	"pʰiŋ1"			
"品"	"品"	"pʰiŋ3"			
"拼"	"拼"	"pʰiŋ5"			
"聘"	"聘"	"pʰiŋ5"			
"贫"	"貧"	"biŋ2"			
"平"	"平"	"biŋ2"			
"坪"	"坪"	"biŋ2"			
"评"	"評"	"biŋ2"			
"瓶"	"瓶"	"biŋ2"			
"屏"	"屏"	"biŋ2"			
"萍"	"萍"	"biŋ2"			
"凭"	"憑"	"biŋ2"			
"频"	"頻"	"biŋ2"			
"并"	"並"	"biŋ4"			
"病"	"病"	"biŋ6"			
"民"	"民"	"miŋ2"			
"明"	"明"	"miŋ2"			
"萌"	"萌"	"miŋ2"			
"盟"	"盟"	"miŋ2"			
"鸣"	"鳴"	"miŋ2"			
"铭"	"銘"	"miŋ2"			
"闽"	"閩"	"miŋ4"			
"悯"	"憫"	"miŋ4"			
"敏"	"敏"	"miŋ4"			
"抿"	"抿"	"miŋ4"			
"皿"	"皿"	"miŋ4"			
"命"	"命"	"miŋ6"			
"丁"	"丁"	"tiŋ1"			
"钉"	"釘"	"tiŋ1"			
"疔"	"疔"	"tiŋ1"			
"靪"	"靪"	"tiŋ1"			
"叮"	"叮"	"tiŋ1"			
"盯"	"盯"	"tiŋ1"			
"顶"	"頂"	"tiŋ3"			
"鼎"	"鼎"	"tiŋ3"			
"钉"	"釘"	"tiŋ5"			
"订"	"訂"	"tiŋ5"			
"听"	"聽"	"tʰiŋ1"			
"厅"	"廳"	"tʰiŋ1"			
"汀"	"汀"	"tʰiŋ1"			
"挺"	"挺"	"tʰiŋ3"			
"艇"	"艇"	"tʰiŋ3"			
"听"	"聽"	"tʰiŋ5"			
"亭"	"亭"	"diŋ2"			
"停"	"停"	"diŋ2"			
"廷"	"廷"	"diŋ2"			
"庭"	"庭"	"diŋ2"			
"蜓"	"蜓"	"diŋ2"			
"锭"	"錠"	"diŋ4"			
"定"	"定"	"diŋ6"			
"铃"	"鈴"	"liŋ1"			
"拎"	"拎"	"liŋ1"			
"林"	"林"	"liŋ2"			
"淋"	"淋"	"liŋ2"			
"临"	"臨"	"liŋ2"			
"邻"	"鄰"	"liŋ2"			
"鳞"	"鱗"	"liŋ2"			
"陵"	"陵"	"liŋ2"			
"菱"	"菱"	"liŋ2"			
"灵"	"靈"	"liŋ2"			
"零"	"零"	"liŋ2"			
"铃"	"鈴"	"liŋ2"			
"伶"	"伶"	"liŋ2"			
"领"	"領"	"liŋ4"			
"岭"	"嶺"	"liŋ4"			
"凛"	"凜"	"liŋ4"			
"令"	"令"	"liŋ6"			
"另"	"另"	"liŋ6"			
"吝"	"吝"	"liŋ6"			
"升"	"升"	"siŋ1"			
"声"	"聲"	"siŋ1"			
"星"	"星"	"siŋ1"			
"腥"	"腥"	"siŋ1"			
"猩"	"猩"	"siŋ1"			
"省"	"省"	"siŋ3"			
"醒"	"醒"	"siŋ3"			
"胜"	"勝"	"siŋ5"			
"性"	"性"	"siŋ5"			
"姓"	"姓"	"siŋ5"			
"圣"	"聖"	"siŋ5"			
"成"	"成"	"ziŋ2"			
"城"	"城"	"ziŋ2"			
"诚"	"誠"	"ziŋ2"			
"晴"	"晴"	"ziŋ2"			
"倩"	"倩"	"ziŋ2"			
"仍"	"仍"	"ziŋ2"			
"丞"	"丞"	"ziŋ2"			
"承"	"承"	"ziŋ2"			
"绳"	"繩"	"ziŋ2"			
"塍"	"塍"	"ziŋ2"			
"饧"	"餳"	"ziŋ2"			
"静"	"靜"	"ziŋ4"			
"靖"	"靖"	"ziŋ4"			
"净"	"淨"	"ziŋ6"			
"乘"	"乘"	"ziŋ6"			
"盛"	"盛"	"ziŋ6"			
"嵊"	"嵊"	"ziŋ6"			
"征"	"征"	"tɕiŋ1"			
"正"	"正"	"tɕiŋ1"			
"贞"	"貞"	"tɕiŋ1"			
"侦"	"偵"	"tɕiŋ1"			
"睛"	"睛"	"tɕiŋ1"			
"精"	"精"	"tɕiŋ1"			
"晶"	"晶"	"tɕiŋ1"			
"蒸"	"蒸"	"tɕiŋ1"			
"征"	"征"	"tɕiŋ1"			
"井"	"井"	"tɕiŋ3"			
"整"	"整"	"tɕiŋ3"			
"拯"	"拯"	"tɕiŋ3"			
"正"	"正"	"tɕiŋ5"			
"政"	"政"	"tɕiŋ5"			
"证"	"證"	"tɕiŋ5"			
"症"	"症"	"tɕiŋ5"			
"青"	"青"	"tɕʰiŋ1"			
"蜻"	"蜻"	"tɕʰiŋ1"			
"清"	"清"	"tɕʰiŋ1"			
"称"	"稱"	"tɕʰiŋ1"			
"蛏"	"蟶"	"tɕʰiŋ1"			
"请"	"請"	"tɕʰiŋ3"			
"称"	"稱"	"tɕʰiŋ5"			
"秤"	"秤"	"tɕʰiŋ5"			
"逞"	"逞"	"tɕʰiŋ5"			
"呈"	"呈"	"dʑiŋ2"			
"程"	"程"	"dʑiŋ2"			
"逞"	"逞"	"dʑiŋ2"			
"橙"	"橙"	"dʑiŋ2"			
"澄"	"澄"	"dʑiŋ2"			
"惩"	"懲"	"dʑiŋ2"			
"郑"	"鄭"	"dʑiŋ6"			
"剩"	"剩"	"dʑiŋ6"			
"凸"	"凸"	"poŋ1"			
"崩"	"崩"	"poŋ1"			
"琫"	"琫"	"poŋ3"			
"绷"	"繃"	"poŋ5"			
"迸"	"迸"	"poŋ5"			
"乓"	"乓"	"pʰoŋ1"			
"捧"	"捧"	"pʰoŋ3"			
"碰"	"碰"	"pʰoŋ5"			
"朋"	"朋"	"boŋ2"			
"棚"	"棚"	"boŋ2"			
"鹏"	"鵬"	"boŋ2"			
"蓬"	"蓬"	"boŋ2"			
"篷"	"篷"	"boŋ2"			
"琫"	"琫"	"boŋ2"			
"芃"	"芃"	"boŋ2"			
"竼"	"竼"	"boŋ2"			
"㷯"	"㷯"	"boŋ4"			
"蓬"	"蓬"	"boŋ6"			
"蒙"	"蒙"	"moŋ2"			
"潆"	"瀠"	"moŋ2"			
"蛑"	"蛑"	"moŋ2"			
"蠓"	"蠓"	"moŋ2"			
"朦"	"朦"	"moŋ2"			
"芒"	"芒"	"moŋ2"			
"懵"	"懵"	"moŋ4"			
"梦"	"夢"	"moŋ6"			
"□"	"□"	"foŋ1"			
"风"	"風"	"foŋ1"			
"枫"	"楓"	"foŋ1"			
"疯"	"瘋"	"foŋ1"			
"讽"	"諷"	"foŋ1"			
"封"	"封"	"foŋ1"			
"峰"	"峰"	"foŋ1"			
"蜂"	"蜂"	"foŋ1"			
"锋"	"鋒"	"foŋ1"			
"冯"	"馮"	"voŋ2"			
"逄"	"逄"	"voŋ2"			
"缝"	"縫"	"voŋ2"			
"奉"	"奉"	"voŋ4"			
"凤"	"鳳"	"voŋ6"			
"缝"	"縫"	"voŋ6"			
"同"	"同"	"doŋ2"			
"桐"	"桐"	"doŋ2"			
"简"	"簡"	"doŋ2"			
"铜"	"銅"	"doŋ2"			
"童"	"童"	"doŋ2"			
"潼"	"潼"	"doŋ2"			
"瞳"	"瞳"	"doŋ2"			
"彤"	"彤"	"doŋ2"			
"动"	"動"	"doŋ4"			
"桶"	"桶"	"doŋ4"			
"洞"	"洞"	"doŋ6"			
"农"	"農"	"noŋ2"			
"侬"	"儂"	"noŋ2"			
"浓"	"濃"	"noŋ2"			
"脓"	"膿"	"noŋ2"			
"糯"	"糯"	"noŋ6"			
"龙"	"龍"	"loŋ2"			
"笼"	"籠"	"loŋ2"			
"胧"	"朧"	"loŋ2"			
"砻"	"礱"	"loŋ2"			
"隆"	"隆"	"loŋ2"			
"聋"	"聾"	"loŋ2"			
"拢"	"攏"	"loŋ4"			
"笼"	"籠"	"loŋ4"			
"弄"	"弄"	"loŋ6"			
"松"	"松"	"soŋ1"			
"淞"	"淞"	"soŋ1"			
"嵩"	"嵩"	"soŋ1"			
"荀"	"荀"	"soŋ1"			
"榫"	"榫"	"soŋ3"			
"笋"	"筍"	"soŋ3"			
"宋"	"宋"	"soŋ5"			
"送"	"送"	"soŋ5"			
"峻"	"峻"	"soŋ5"			
"舜"	"舜"	"soŋ5"			
"旬"	"旬"	"zoŋ2"			
"循"	"循"	"zoŋ2"			
"巡"	"巡"	"zoŋ2"			
"殉"	"殉"	"zoŋ2"			
"唇"	"唇"	"zoŋ2"			
"纯"	"純"	"zoŋ2"			
"莼"	"蓴"	"zoŋ2"			
"醇"	"醇"	"zoŋ2"			
"丛"	"叢"	"zoŋ2"			
"祟"	"祟"	"zoŋ2"			
"戎"	"戎"	"zoŋ2"			
"绒"	"絨"	"zoŋ2"			
"茸"	"茸"	"zoŋ2"			
"搑"	"搑"	"zoŋ4"			
"顺"	"順"	"zoŋ6"			
"殉"	"殉"	"zoŋ6"			
"中"	"中"	"tɕyoŋ1"			
"忠"	"忠"	"tɕyoŋ1"			
"终"	"終"	"tɕyoŋ1"			
"弓"	"弓"	"tɕyoŋ1"			
"躬"	"躬"	"tɕyoŋ1"			
"宗"	"宗"	"tɕyoŋ1"			
"宫"	"宮"	"tɕyoŋ1"			
"棕"	"棕"	"tɕyoŋ1"			
"鬃"	"鬃"	"tɕyoŋ1"			
"肫"	"肫"	"tɕyoŋ1"			
"遵"	"遵"	"tɕyoŋ1"			
"准"	"准"	"tɕyoŋ3"			
"总"	"總"	"tɕyoŋ3"			
"中"	"中"	"tɕyoŋ3"			
"新"	"新"	"tɕyoŋ3"			
"炯"	"炯"	"tɕyoŋ3"			
"俊"	"俊"	"tɕyoŋ5"			
"粽"	"粽"	"tɕyoŋ5"			
"众"	"眾"	"tɕyoŋ5"			
"圳"	"圳"	"tɕyoŋ5"			
"春"	"春"	"tɕʰyoŋ1"			
"聪"	"聰"	"tɕʰyoŋ1"			
"忽"	"忽"	"tɕʰyoŋ1"			
"葱"	"蔥"	"tɕʰyoŋ1"			
"囱"	"囪"	"tɕʰyoŋ1"			
"充"	"充"	"tɕʰyoŋ1"			
"从"	"從"	"tɕʰyoŋ1"			
"容"	"容"	"tɕʰyoŋ1"			
"冲"	"沖"	"tɕʰyoŋ1"			
"春"	"春"	"tɕʰyoŋ1"			
"芎"	"芎"	"tɕʰyoŋ1"			
"窜"	"竄"	"tɕʰyoŋ1"			
"顷"	"頃"	"tɕʰyoŋ3"			
"倾"	"傾"	"tɕʰyoŋ3"			
"宠"	"寵"	"tɕʰyoŋ3"			
"蠢"	"蠢"	"tɕʰyoŋ5"			
"铳"	"銃"	"tɕʰyoŋ5"			
"串"	"串"	"tɕʰyoŋ5"			
"琼"	"瓊"	"dʑyoŋ2"			
"虫"	"蟲"	"dʑyoŋ2"			
"穷"	"窮"	"dʑyoŋ2"			
"盾"	"盾"	"dʑyoŋ4"			
"菌"	"菌"	"dʑyoŋ4"			
"窘"	"窘"	"dʑyoŋ4"			
"仲"	"仲"	"dʑyoŋ6"			
"兄"	"兄"	"ɕyoŋ1"			
"塕"	"塕"	"ʔyoŋ1"			
"雍"	"雍"	"ʔyoŋ1"			
"邕"	"邕"	"ʔyoŋ1"			
"允"	"允"	"ʔyoŋ3"			
"永"	"永"	"ʔyoŋ3"			
"泳"	"泳"	"ʔyoŋ3"			
"泳"	"泳"	"ʔyoŋ3"			
"拥"	"擁"	"ʔyoŋ3"			
"荣"	"榮"	"joŋ2"			
"营"	"營"	"joŋ2"			
"莹"	"瑩"	"joŋ2"			
"萤"	"螢"	"joŋ2"			
"茔"	"塋"	"joŋ2"			
"荥"	"滎"	"joŋ2"			
"雄"	"雄"	"joŋ2"			
"融"	"融"	"joŋ2"			
"容"	"容"	"joŋ2"			
"蓉"	"蓉"	"joŋ2"			
"铬"	"鉻"	"joŋ2"			
"榕"	"榕"	"joŋ2"			
"庸"	"庸"	"joŋ2"			
"嵘"	"嶸"	"joŋ2"			
"公"	"公"	"koŋ1"			
"蚣"	"蚣"	"koŋ1"			
"工"	"工"	"koŋ1"			
"功"	"功"	"koŋ1"			
"攻"	"攻"	"koŋ1"			
"戆"	"戇"	"koŋ3"			
"汞"	"汞"	"koŋ5"			
"贡"	"貢"	"koŋ5"			
"拱"	"拱"	"koŋ5"			
"贡"	"貢"	"koŋ5"			
"供"	"供"	"koŋ5"			
"空"	"空"	"kʰoŋ1"			
"倥"	"倥"	"kʰoŋ1"			
"孔"	"孔"	"kʰoŋ3"			
"恐"	"恐"	"kʰoŋ3"			
"控"	"控"	"kʰoŋ5"			
"空"	"空"	"kʰoŋ5"			
"亏"	"虧"	"kʰoŋ5"			
"烘"	"烘"	"hoŋ1"			
"轰"	"轟"	"hoŋ1"			
"哄"	"哄"	"hoŋ3"			
"嗅"	"嗅"	"hoŋ5"			
"蕻"	"蕻"	"hoŋ5"			
"轰"	"轟"	"hoŋ5"			
"红"	"紅"	"ɦoŋ2"			
"洪"	"洪"	"ɦoŋ2"			
"虹"	"虹"	"ɦoŋ2"			
"弘"	"弘"	"ɦoŋ2"			
"宏"	"宏"	"ɦoŋ2"			
"鸿"	"鴻"	"ɦoŋ2"			
"翁"	"翁"	"oŋ1"			
"齆"	"齆"	"oŋ5"			
"□"	"□"	"oŋ5"			
"磨"	"磨"	"m2"			
"魔"	"魔"	"m2"			
"摩"	"摩"	"m2"			
"摹"	"摹"	"m2"			
"模"	"模"	"m2"			
"膜"	"膜"	"m2"			
"某"	"某"	"m4"			
"磨"	"磨"	"m6"			
"暮"	"暮"	"m6"			
"慕"	"慕"	"m6"			
"墓"	"墓"	"m6"			
"募"	"募"	"m6"			
"幕"	"幕"	"m6"			
"而"	"而"	"n2"			
"耳"	"耳"	"n4"			
"二"	"二"	"n6"			
"贰"	"貳"	"n6"			
"蛾"	"蛾"	"ŋ2"			
"俄"	"俄"	"ŋ2"			
"吴"	"吳"	"ŋ2"			
"梧"	"梧"	"ŋ2"			
"我"	"我"	"ŋ4"			
"吾"	"吾"	"ŋ4"			
"五"	"五"	"ŋ4"			
"伍"	"伍"	"ŋ4"			
"午"	"午"	"ŋ4"			
"仵"	"仵"	"ŋ4"			
"误"	"誤"	"ŋ6"			
"悟"	"悟"	"ŋ6"			
"寤"	"寤"	"ŋ6"			
"晤"	"晤"	"ŋ6"			
