"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"常"	"常"	"ziɯʌ2"			
"尝"	"嘗"	"ziɯʌ2"			
"裳"	"裳"	"ziɯʌ2"			
"偿"	"償"	"ziɯʌ2"			
"象"	"象"	"ziɯʌ4"			
"像"	"像"	"ziɯʌ4"			
"橡"	"橡"	"ziɯʌ4"			
"上"	"上"	"ziɯʌ4"			
"上"	"上"	"ziɯʌ6"			
"尚"	"尚"	"ziɯʌ6"			
"让"	"讓"	"ziɯʌ6"			
"嚷"	"嚷"	"ziɯʌ6"			
"嚼"	"嚼"	"ziɯʌ8"			
"勺"	"勺"	"ziɯʌ8"			
"芍"	"芍"	"ziɯʌ8"			
"若"	"若"	"ziɯʌ8"			
"弱"	"弱"	"ziɯʌ8"			
"匠"	"匠"	"ziɯʌ8"			
"将"	"將"	"tɕɯʌ1"			
"蒋"	"蔣"	"tɕɯʌ1"			
"张"	"張"	"tɕɯʌ1"			
"章"	"章"	"tɕɯʌ1"			
"樟"	"樟"	"tɕɯʌ1"			
"奖"	"獎"	"tɕɯʌ3"			
"桨"	"槳"	"tɕɯʌ3"			
"长"	"長"	"tɕɯʌ3"			
"涨"	"漲"	"tɕɯʌ3"			
"掌"	"掌"	"tɕɯʌ3"			
"者"	"者"	"tɕɯʌ3"			
"酱"	"醬"	"tɕɯʌ5"			
"将"	"將"	"tɕɯʌ5"			
"大"	"大"	"tɕɯʌ5"			
"帐"	"帳"	"tɕɯʌ5"			
"账"	"賬"	"tɕɯʌ5"			
"障"	"障"	"tɕɯʌ5"			
"瘴"	"瘴"	"tɕɯʌ5"			
"爵"	"爵"	"tɕɯʌ7"			
"着"	"著"	"tɕɯʌ7"			
"枪"	"槍"	"tɕʰɯʌ1"			
"昌"	"昌"	"tɕʰɯʌ1"			
"菖"	"菖"	"tɕʰɯʌ1"			
"抢"	"搶"	"tɕʰɯʌ3"			
"厂"	"廠"	"tɕʰɯʌ3"			
"唱"	"唱"	"tɕʰɯʌ5"			
"倡"	"倡"	"tɕʰɯʌ5"			
"长"	"長"	"dʑɯʌ2"			
"肠"	"腸"	"dʑɯʌ2"			
"场"	"場"	"dʑɯʌ2"			
"丈"	"丈"	"dʑɯʌ4"			
"仗"	"仗"	"dʑɯʌ4"			
"杖"	"杖"	"dʑɯʌ4"			
"着"	"著"	"dʑɯʌ8"			
"娘"	"娘"	"ȵɯʌ2"			
"壤"	"壤"	"ȵɯʌ6"			
"攘"	"攘"	"ȵɯʌ6"			
"双"	"雙"	"suɯʌ1"			
"霜"	"霜"	"suɯʌ1"			
"孀"	"孀"	"suɯʌ1"			
"怂"	"慫"	"suɯʌ3"			
"从"	"從"	"zuɯʌ2"			
"松"	"松"	"zuɯʌ2"			
"床"	"床"	"zuɯʌ2"			
"诵"	"誦"	"zuɯʌ6"			
"颂"	"頌"	"zuɯʌ6"			
"讼"	"訟"	"zuɯʌ6"			
"状"	"狀"	"zuɯʌ6"			
"椿"	"椿"	"tɕyɯʌ1"			
"钟"	"鐘"	"tɕyɯʌ1"			
"茬"	"茬"	"tɕyɯʌ1"			
"纵"	"縱"	"tɕyɯʌ3"			
"冢"	"塚"	"tɕyɯʌ3"			
"种"	"種"	"tɕyɯʌ3"			
"种"	"種"	"tɕyɯʌ5"			
"壮"	"壯"	"tɕyɯʌ5"			
"纵"	"縱"	"tɕyɯʌ5"			
"窗"	"窗"	"tɕʰyɯʌ1"			
"闯"	"闖"	"tɕʰyɯʌ3"			
"重"	"重"	"dʑyɯʌ2"			
"撞"	"撞"	"dʑyɯʌ6"			
"瓜"	"瓜"	"kuɯʌ1"			
"寡"	"寡"	"kuɯʌ3"			
"卦"	"卦"	"kuɯʌ5"			
"挂"	"掛"	"kuɯʌ5"			
"夸"	"誇"	"kʰuɯʌ1"			
"垮"	"垮"	"kʰuɯʌ1"			
"跨"	"跨"	"kʰuɯʌ1"			
"忙"	"忙"	"mɔ2"			
"茫"	"茫"	"mɔ2"			
"芒"	"芒"	"mɔ2"			
"茅"	"茅"	"mɔ2"			
"矛"	"矛"	"mɔ2"			
"猫"	"貓"	"mɔ2"			
"锚"	"錨"	"mɔ2"			
"望"	"望"	"mɔ6"			
"方"	"方"	"fɔ1"			
"芳"	"芳"	"fɔ1"			
"肪"	"肪"	"fɔ1"			
"坊"	"坊"	"fɔ1"			
"枋"	"枋"	"fɔ1"			
"妨"	"妨"	"fɔ1"			
"仿"	"仿"	"fɔ3"			
"彷"	"彷"	"fɔ3"			
"纺"	"紡"	"fɔ3"			
"访"	"訪"	"fɔ3"			
"放"	"放"	"fɔ5"			
"防"	"防"	"vɔ2"			
"房"	"房"	"vɔ2"			
"亡"	"亡"	"vɔ2"			
"忘"	"忘"	"vɔ2"			
"望"	"望"	"vɔ5"			
"当"	"當"	"tɔ1"			
