"#符号说明：-白=文/书*俗?待考"	
"x"	"[1]頇鼾憨酣蚶[2]寒邗邯韓含函涵晗汗1鹹-銜-閑-[3]喊罕撼憾[5]汗2旱悍焊捍漢翰瀚頷餡陷"
	
"#uɛ"	
"ts"	"[1]□{彎腰}[5]賺饌撰"
"tsʰ"	"[5]創*1"
"s"	"[1]珊柵刪姍疝閂栓拴□{抽打}[3]選?{整理，挑選}[5]涮"
"k"	"[1]關莞2[5]摜盥慣"
"kʰ"	"[1]□{身體或四肢收縮起來或無法伸直，用陽平}[2]環寰□{身體或四肢收縮起來無法伸直，同陰平}"
"x"	"[1]□{動作迅速叫}□{一種大型漁具}[2]還2[5]浣宦豢患幻"
"Ø"	"[1]彎灣塆[2]玩頑[3]綰挽晚輓□{小~子：一種比笆斗略小的裝穀容器}[5]萬"
	
"#ɑŋ"	
"p"	"[1]浜邦梆幫磅1傍[3]榜綁膀1[5]謗棒泵"
"pʰ"	"[1]滂膀3乓[2]旁磅2螃膀3彷龐逄[3]耪滂-□{在潮濕地方或淺水裏走動}[5]胖"
"m"	"[2]忙芒茫盲氓□{味鹹}[3]莽漭蟒"
"f"	"[1]方芳坊枋[2]房肪防妨[3]訪昉仿舫紡[5]放"
"t"	"[1]當1襠鐺噹[3]黨讜擋檔[5]宕當2蕩氹□{將刀口在磨刀石或其他硬物上刮幾下使之變得鋒利}"
"tʰ"	"[1]湯鐋耥□{用手去抵擋}[2]唐溏塘糖堂棠螳樘膛搪[3]淌倘躺儻帑[5]燙趟"
"n"	"[1]齉1囔囊1[2]囊[3]攮饢曩[5]齉2□{皮膚、衣服或紙張等出現皺褶}"
"l"	"[1]啷狼{黃鼠狼}[2]郎廊螂琅鋃狼禳穰1瓤榔[3]朗壤攘嚷穰2{麥~：打碎了的麥秸}[5]浪讓晾*"
"ts"	"[1]章樟蟑彰張贓髒臧獐[3]長1掌漲2[5]瘴嶂幛障丈杖漲2帳脹葬藏1臟"
"tsʰ"	"[1]昌菖猖鯧閶娼倀倉滄蒼艙[2]嘗償常嫦徜長2場-腸藏2[3]昶場=廠敞[5]唱倡悵暢蹭*尚*{和~}"
"s"	"[1]喪桑商墒傷殤觴[3]磉搡嗓賞上1坰晌裳[5]尚緔上2"
"k"	"[1]豇缸肛罡剛岡鋼1綱[3]港崗□{用腦袋使勁頂物}[5]虹1杠戇鋼2□{快跑}扛1{用土石墊高平地：~屋基}"
"kʰ"	"[1]康慷糠槺閌項{頸~}[2]扛2[5]亢炕抗伉"
"ŋ"	"[1]骯盎*□{~刺魚，~刺：喻人厲害刁蠻}[2]昂[3]□{將物體放入火中慢慢燃燒}[5]肮{~髒}盎"
