"繁體"	"简体"	"音標"		"1：˧˧"	"2：˧˩"
"瀾"	"澜"	"la2"			
"欄"	"栏"	"la2"			
"覽"	"览"	"la3"			
"攬"	"揽"	"la3"			
"欖"	"榄"	"la3"			
"賴"	"赖"	"la3"			
"癩"	"癞"	"la3"			
"纜"	"缆"	"la3"			
"濫"	"滥"	"la3"			
"爛"	"烂"	"la3"			
"邋"	"邋"	"la7"			
"辣"	"辣"	"la7"			
"臘"	"腊"	"la7"			
"镴"	"镴"	"la7"			
"蠟"	"蜡"	"la7"			
"镴"	"镴"	"la7"			
"癩"	"癞"	"la7"			
"姐"	"姐"	"tsa1"			
"咱"	"咱"	"tsa1"			
"齋"	"斋"	"tsa1"			
"斬"	"斩"	"tsa1"			
"盞"	"盏"	"tsa1"			
"贊"	"赞"	"tsa5"			
"灒"	"灒"	"tsa5"			
"炸"	"炸"	"tsa5"			
"債"	"债"	"tsa5"			
"蘸"	"蘸"	"tsa5"			
"剳"	"剳"	"tsa7"			
"軋"	"轧"	"tsa7"			
"砸"	"砸"	"tsa7"			
"咋"	"咋"	"tsa7"			
"咱"	"咱"	"tsa7"			
"責"	"责"	"tsa7"			
"剳"	"剳"	"tsa7"			
"眨"	"眨"	"tsa7"			
"炸"	"炸"	"tsa7"			
"摘"	"摘"	"tsa7"			
"窄"	"窄"	"tsa7"			
"餐"	"餐"	"tsʰa1"			
"叉"	"叉"	"tsʰa1"			
"差"	"差"	"tsʰa1"			
"釵"	"钗"	"tsʰa1"			
"攙"	"搀"	"tsʰa1"			
"產"	"产"	"tsʰa3"			
"產"	"产"	"tsʰa3"			
"鏟"	"铲"	"tsʰa3"			
"蔡"	"蔡"	"tsʰa3"			
"燦"	"灿"	"tsʰa3"			
"懺"	"忏"	"tsʰa3"			
"擦"	"擦"	"tsʰa7"			
"礤"	"礤"	"tsʰa7"			
"冊"	"册"	"tsʰa7"			
"策"	"策"	"tsʰa7"			
"插"	"插"	"tsʰa7"			
"察"	"察"	"tsʰa7"			
"拆"	"拆"	"tsʰa7"			
"坼"	"坼"	"tsʰa7"			
"殘"	"残"	"dza2"			
"慚"	"惭"	"dza2"			
"潺"	"潺"	"dza2"			
"讒"	"谗"	"dza2"			
"饞"	"馋"	"dza2"			
"湛"	"湛"	"dza3"			
"賺"	"赚"	"dza3"			
"暫"	"暂"	"dza3"			
"寨"	"寨"	"dza3"			
"寨"	"寨"	"dza3"			
"站"	"站"	"dza3"			
"棧"	"栈"	"dza3"			
"綻"	"绽"	"dza3"			
"賺"	"赚"	"dza3"			
"擇"	"择"	"dza7"			
"澤"	"泽"	"dza7"			
"煠"	"煠"	"dza7"			
"宅"	"宅"	"dza7"			
"三"	"三"	"sa1"			
"篩"	"筛"	"sa1"			
"山"	"山"	"sa1"			
"杉"	"杉"	"sa1"			
"刪"	"删"	"sa1"			
"珊"	"珊"	"sa1"			
"潸"	"潸"	"sa1"			
"汕"	"汕"	"sa1"			
"灑"	"洒"	"sa3"			
"傘"	"伞"	"sa3"			
"散"	"散"	"sa3"			
"啥"	"啥"	"sa3"			
"傻"	"傻"	"sa3"			
"潸"	"潸"	"sa3"			
"駛"	"驶"	"sa3"			
"率"	"率"	"sa5"			
"撒"	"撒"	"sa5"			
"散"	"散"	"sa5"			
"曬"	"晒"	"sa5"			
"汕"	"汕"	"sa5"			
"汕"	"汕"	"sa5"			
"疝"	"疝"	"sa5"			
"帥"	"帅"	"sa5"			
"刹"	"刹"	"sa7"			
"撒"	"撒"	"sa7"			
"薩"	"萨"	"sa7"			
"殺"	"杀"	"sa7"			
"煞"	"煞"	"sa7"			
"霎"	"霎"	"sa7"			
"柵"	"栅"	"sa7"			
"殘"	"残"	"za2"			
"慚"	"惭"	"za2"			
"柴"	"柴"	"za2"			
"豺"	"豺"	"za2"			
"潺"	"潺"	"za2"			
"讒"	"谗"	"za2"			
"饞"	"馋"	"za2"			
"煠"	"煠"	"za7 "			
"鍘"	"铡"	"za7 "			
"焯"	"焯"	"tɕia7"			
"綽"	"绰"	"tɕia7"			
"爵"	"爵"	"tɕia7"			
"怯"	"怯"	"tɕia7"			
"雀"	"雀"	"tɕia7"			
"鵲"	"鹊"	"tɕia7"			
"隙"	"隙"	"tɕia7"			
"著"	"着"	"tɕia7"			
"灼"	"灼"	"tɕia7"			
"斫"	"斫"	"tɕia7"			
"酌"	"酌"	"tɕia7"			
"若"	"若"	"dʑia7"			
"著"	"着"	"dʑia7"			
"尿"	"尿"	"dʑia7"			
"饒"	"饶"	"dʑia7"			
"堯"	"尧"	"dʑia7"			
"鳥"	"鸟"	"ȵia3"			
"溺"	"溺"	"ȵia7"			
"捏"	"捏"	"ȵia7"			
"鑷"	"镊"	"ȵia7"			
"虐"	"虐"	"ȵia7"			
"若"	"若"	"ȵia7"			
"箬"	"箬"	"ȵia7"			
"曉"	"晓"	"ɕia3"			
"卸"	"卸"	"ɕia5"			
"閃"	"闪"	"ɕia7"			
"爍"	"烁"	"ɕia7"			
"屑"	"屑"	"ɕia7"			
"削"	"削"	"ɕia7"			
"丫"	"丫"	"ʔja1"			
"野"	"野"	"ʔja3"			
"約"	"约"	"ʔja7"			
"嚼"	"嚼"	"ja7"			
"若"	"若"	"ja7"			
"弱"	"弱"	"ja7"			
"勺"	"勺"	"ja7"			
"芍"	"芍"	"ja7"			
"藥"	"药"	"ja7"			
"藥"	"药"	"ja7"			
"鑰"	"钥"	"ja7"			
"躍"	"跃"	"ja7"			
"尬"	"尬"	"ka1"			
"更"	"更"	"ka1"			
"乖"	"乖"	"ka1"			
"關"	"关"	"ka1"			
"鰥"	"鳏"	"ka1"			
"奸"	"奸"	"ka1"			
"菅"	"菅"	"ka1"			
"間"	"间"	"ka1"			
"監"	"监"	"ka1"			
"緘"	"缄"	"ka1"			
"艱"	"艰"	"ka1"			
"蛟"	"蛟"	"ka1"			
"狡"	"狡"	"ka1"			
"皆"	"皆"	"ka1"			
"秸"	"秸"	"ka1"			
"階"	"阶"	"ka1"			
"街"	"街"	"ka1"			
"街"	"街"	"ka1"			
"綸"	"纶"	"ka1"			
"偕"	"偕"	"ka1"			
"拐"	"拐"	"ka3"			
"柬"	"柬"	"ka3"			
"揀"	"拣"	"ka3"			
"堿"	"碱"	"ka3"			
"減"	"减"	"ka3"			
"簡"	"简"	"ka3"			
"鐧"	"锏"	"ka3"			
"狡"	"狡"	"ka3"			
"鉸"	"铰"	"ka3"			
"解"	"解"	"ka3"			
"拐"	"拐"	"ka5"			
"怪"	"怪"	"ka5"			
"慣"	"惯"	"ka5"			
"間"	"间"	"ka5"			
"監"	"监"	"ka5"			
"堿"	"碱"	"ka5"			
"諫"	"谏"	"ka5"			
"鑒"	"鉴"	"ka5"			
"解"	"解"	"ka5"			
"介"	"介"	"ka5"			
"戒"	"戒"	"ka5"			
"芥"	"芥"	"ka5"			
"屆"	"届"	"ka5"			
"界"	"界"	"ka5"			
"疥"	"疥"	"ka5"			
"誡"	"诫"	"ka5"			
"夬"	"夬"	"ka5"			
"校"	"校"	"ka5"			
"革"	"革"	"ka7"			
"格"	"格"	"ka7"			
"隔"	"隔"	"ka7"			
"嗝"	"嗝"	"ka7"			
"骼"	"骼"	"ka7"			
"虢"	"虢"	"ka7"			
"浹"	"浃"	"ka7"			
"裌"	"裌"	"ka7"			
"夾"	"夹"	"ka7"			
"莢"	"荚"	"ka7"			
"頰"	"颊"	"ka7"			
"甲"	"甲"	"ka7"			
"岬"	"岬"	"ka7"			
"胛"	"胛"	"ka7"			
"鉀"	"钾"	"ka7"			
"峽"	"峡"	"ka7"			
"咖"	"咖"	"kʰa1"			
"揩"	"揩"	"kʰa1"			
"寬"	"宽"	"kʰa1"			
"鉛"	"铅"	"kʰa1"			
"茄"	"茄"	"kʰa1"			
"艦"	"舰"	"kʰa3"			
"卡"	"卡"	"kʰa3"			
"楷"	"楷"	"kʰa3"			
"檻"	"槛"	"kʰa3"			
"闞"	"阚"	"kʰa5"			
"蒯"	"蒯"	"kʰa5"			
"快"	"快"	"kʰa5"			
"筷"	"筷"	"kʰa5"			
"嵌"	"嵌"	"kʰa5"			
"喀"	"喀"	"kʰa7"			
"客"	"客"	"kʰa7"			
"掐"	"掐"	"kʰa7"			
"恰"	"恰"	"kʰa7"			
"何"	"何"	"ɡa2"			
"懷"	"怀"	"ɡa2"			
"銜"	"衔"	"ɡa2"			
"荷"	"荷"	"ɡa2"			
"解"	"解"	"ɡa2"			
"限"	"限"	"ɡa2"			
"摜"	"掼"	"ga6"			
"環"	"环"	"ga6"			
"陷"	"陷"	"ga6"			
"餡"	"馅"	"ga6"			
"峽"	"峡"	"ga7"			
"挾"	"挟"	"ga7"			
"軋"	"轧"	"ga7"			
"眼"	"眼"	"ga7"			
"眼"	"眼"	"ga7"			
"癌"	"癌"	"ga7"			
"崖"	"崖"	"ga7"			
"涯"	"涯"	"ga7"			
"岩"	"岩"	"ga7"			
"研"	"研"	"ga7"			
"顏"	"颜"	"ga7"			
"顏"	"颜"	"ga7"			
"駭"	"骇"	"ŋa3"			
"眼"	"眼"	"ŋa3"			
"蟻"	"蚁"	"ŋa3"			
"挨"	"挨"	"ŋa3"			
"雁"	"雁"	"ŋa3"			
"額"	"额"	"ŋa7"			
"齾"	"齾"	"ŋa7"			
"哈"	"哈"	"ŋa7"			
"喊"	"喊"	"ŋa7"			
"撼"	"撼"	"ŋa7"			
"蟹"	"蟹"	"ŋa7"			
"丐"	"丐"	"ha5"			
"哈"	"哈"	"ha7"			
"郝"	"郝"	"ha7"			
"赫"	"赫"	"ha7"			
"瞎"	"瞎"	"ha7"			
"嚇"	"吓"	"ha7"			
"函"	"函"	"ɦa2"			
"涵"	"涵"	"ɦa2"			
"何"	"何"	"ɦa2"			
"衡"	"衡"	"ɦa2"			
"黃"	"黄"	"ɦa2"			
"鹹"	"咸"	"ɦa2"			
"閑"	"闲"	"ɦa2"			
"嫌"	"嫌"	"ɦa2"			
"銜"	"衔"	"ɦa2"			
"鞋"	"鞋"	"ɦa2"			
"駭"	"骇"	"ɦa3"			
"解"	"解"	"ɦa3"			
"限"	"限"	"ɦa3"			
"諧"	"谐"	"ɦa3"			
"陷"	"陷"	"ɦa6"			
"餡"	"馅"	"ɦa6"			
"械"	"械"	"ɦa6"			
"懈"	"懈"	"ɦa6"			
"洽"	"洽"	"ɦa7"			
"匣"	"匣"	"ɦa7"			
"狎"	"狎"	"ɦa7"			
"狹"	"狭"	"ɦa7"			
"轄"	"辖"	"ɦa7"			
"黠"	"黠"	"ɦa7"			
"也"	"也"	"ɦa7"			
"啊"	"啊"	"ʔa1"			
"埃"	"埃"	"ʔa1"			
"唉"	"唉"	"ʔa1"			
"挨"	"挨"	"ʔa1"			
"殷"	"殷"	"ʔa1"			
"矮"	"矮"	"ʔa3"			
"晏"	"晏"	"ʔa5"			
"阿"	"阿"	"ʔa7"			
"隘"	"隘"	"ʔa7"			
"厄"	"厄"	"ʔa7"			
"扼"	"扼"	"ʔa7"			
"軛"	"轭"	"ʔa7"			
"押"	"押"	"ʔa7"			
"鴨"	"鸭"	"ʔa7"			
"壓"	"压"	"ʔa7"			
"軋"	"轧"	"ʔa7"			
"蒿"	"蒿"	"hɛ1"			
"亨"	"亨"	"hɛ1"			
"哼"	"哼"	"hɛ1"			
"行"	"行"	"hɛ1"			
"珩"	"珩"	"hɛ1"			
"桁"	"桁"	"hɛ1"			
"幸"	"幸"	"ɦɛ3"			
"行"	"行"	"ɦɛ6"			
"哀"	"哀"	"ʔɛ1"			
"櫻"	"樱"	"ʔɛ1"			
"鶯"	"莺"	"ʔɛ1"			
"鸚"	"鹦"	"ʔɛ1"			
"杏"	"杏"	"ʔɛ3"			
"晏"	"晏"	"ʔɛ5"			
"浜"	"浜"	"piɛ1"			
"繃"	"绷"	"piɛ1"			
"彪"	"彪"	"piɛ1"			
"標"	"标"	"piɛ1"			
"膘"	"膘"	"piɛ1"			
"表"	"表"	"piɛ3"			
"婊"	"婊"	"piɛ3"			
"表"	"表"	"piɛ3"			
"繃"	"绷"	"piɛ3"			
"迸"	"迸"	"piɛ3"			
"烹"	"烹"	"pʰiɛ1"			
"漂"	"漂"	"pʰiɛ1"			
"飄"	"飘"	"pʰiɛ1"			
"漂"	"漂"	"pʰiɛ1"			
"票"	"票"	"pʰiɛ1"			
"盲"	"盲"	"pʰiɛ1"			
"氓"	"氓"	"pʰiɛ1"			
"虻"	"虻"	"pʰiɛ1"			
"萌"	"萌"	"pʰiɛ1"			
"苗"	"苗"	"pʰiɛ1"			
"描"	"描"	"pʰiɛ1"			
"瞄"	"瞄"	"pʰiɛ1"			
"繆"	"缪"	"pʰiɛ1"			
"彭"	"彭"	"pʰiɛ1"			
"棚"	"棚"	"pʰiɛ1"			
"膨"	"膨"	"pʰiɛ1"			
"嫖"	"嫖"	"pʰiɛ1"			
"瓢"	"瓢"	"pʰiɛ1"			
"薸"	"薸"	"pʰiɛ1"			
"蚌"	"蚌"	"biɛ3"			
"鰾"	"鳔"	"biɛ3"			
"碰"	"碰"	"biɛ3"			
"猛"	"猛"	"biɛ3"			
"蜢"	"蜢"	"biɛ3"			
"錳"	"锰"	"biɛ3"			
"秒"	"秒"	"biɛ3"			
"渺"	"渺"	"biɛ3"			
"藐"	"藐"	"biɛ3"			
"孟"	"孟"	"miɛ6"			
"妙"	"妙"	"miɛ6"			
"廟"	"庙"	"miɛ6"			
"繆"	"缪"	"miɛ6"			
"謬"	"谬"	"miɛ6"			
"轟"	"轰"	"fiɛ1"			
"橫"	"横"	"viɛ2"			
"刁"	"刁"	"tiɛ1"			
"凋"	"凋"	"tiɛ1"			
"貂"	"貂"	"tiɛ1"			
"碉"	"碉"	"tiɛ1"			
"雕"	"雕"	"tiɛ1"			
"打"	"打"	"tiɛ3"			
"鳥"	"鸟"	"tiɛ3"			
"吊"	"吊"	"tiɛ3"			
"吊"	"吊"	"tiɛ3"			
"釣"	"钓"	"tiɛ3"			
"銱"	"铞"	"tiɛ3"			
"挑"	"挑"	"tʰiɛ1"			
"挑"	"挑"	"tʰiɛ3"			
"糴"	"籴"	"tʰiɛ5"			
"跳"	"跳"	"tʰiɛ5"			
"糶"	"粜"	"tʰiɛ5"			
"調"	"调"	"tʰiɛ5"			
"苕"	"苕"	"tʰiɛ5"			
"迢"	"迢"	"tʰiɛ5"			
"條"	"条"	"tʰiɛ5"			
"跳"	"跳"	"tʰiɛ5"			
"掉"	"掉"	"diɛ3"			
"掉"	"掉"	"diɛ6"			
"調"	"调"	"diɛ6"			
"了"	"了"	"diɛ6"			
"了"	"了"	"diɛ6"			
"聊"	"聊"	"diɛ6"			
"僚"	"僚"	"diɛ6"			
"寥"	"寥"	"diɛ6"			
"撩"	"撩"	"diɛ6"			
"撩"	"撩"	"diɛ6"			
"遼"	"辽"	"diɛ6"			
"嘹"	"嘹"	"diɛ6"			
"潦"	"潦"	"diɛ6"			
"寮"	"寮"	"diɛ6"			
"燎"	"燎"	"diɛ6"			
"療"	"疗"	"diɛ6"			
"繚"	"缭"	"diɛ6"			
"鐐"	"镣"	"diɛ6"			
"隆"	"隆"	"diɛ6"			
"龍"	"龙"	"diɛ6"			
"冷"	"冷"	"liɛ3"			
"兩"	"两"	"liɛ3"			
"燎"	"燎"	"liɛ3"			
"了"	"了"	"liɛ3"			
"壟"	"垄"	"liɛ3"			
"尥"	"尥"	"liɛ6"			
"料"	"料"	"liɛ6"			
"廖"	"廖"	"liɛ6"			
"了"	"了"	"liɛ6"			
"獵"	"猎"	"liɛ7"			
"掠"	"掠"	"liɛ7"			
"略"	"略"	"liɛ7"			
"爭"	"争"	"liɛ7"			
"掙"	"挣"	"liɛ7"			
"崢"	"峥"	"liɛ7"			
"猙"	"狰"	"liɛ7"			
"睜"	"睁"	"liɛ7"			
"踭"	"踭"	"liɛ7"			
"箏"	"筝"	"liɛ7"			
"掙"	"挣"	"tsiɛ5"			
"諍"	"诤"	"tsiɛ5"			
"撐"	"撑"	"tsiɛ5"			
"鐺"	"铛"	"tsiɛ5"			
"牚"	"牚"	"tsiɛ5"			
"橙"	"橙"	"tsiɛ5"			
"爭"	"争"	"tsiɛ5"			
"鋥"	"锃"	"dziɛ6"			
"爭"	"争"	"dziɛ6"			
"生"	"生"	"dziɛ6"			
"牲"	"牲"	"dziɛ6"			
"笙"	"笙"	"dziɛ6"			
"甥"	"甥"	"dziɛ6"			
"省"	"省"	"siɛ3"			
"眚"	"眚"	"siɛ3"			
"朝"	"朝"	"siɛ3"			
"嘲"	"嘲"	"siɛ3"			
"椒"	"椒"	"siɛ3"			
"焦"	"焦"	"siɛ3"			
"蕉"	"蕉"	"siɛ3"			
"澆"	"浇"	"siɛ3"			
"嬌"	"娇"	"siɛ3"			
"礁"	"礁"	"siɛ3"			
"驕"	"骄"	"siɛ3"			
"憔"	"憔"	"siɛ3"			
"招"	"招"	"siɛ3"			
"昭"	"昭"	"siɛ3"			
"激"	"激"	"tɕiɛ3"			
"剿"	"剿"	"tɕiɛ3"			
"僥"	"侥"	"tɕiɛ3"			
"鉸"	"铰"	"tɕiɛ3"			
"餃"	"饺"	"tɕiɛ3"			
"矯"	"矫"	"tɕiɛ3"			
"繳"	"缴"	"tɕiɛ3"			
"沼"	"沼"	"tɕiɛ3"			
"叫"	"叫"	"tɕiɛ5"			
"噍"	"噍"	"tɕiɛ5"			
"醮"	"醮"	"tɕiɛ5"			
"詔"	"诏"	"tɕiɛ5"			
"照"	"照"	"tɕiɛ5"			
"超"	"超"	"tɕʰiɛ1"			
"悄"	"悄"	"tɕʰiɛ1"			
"鍬"	"锹"	"tɕʰiɛ1"			
"蹺"	"跷"	"tɕʰiɛ1"			
"瞧"	"瞧"	"tɕʰiɛ1"			
"繰"	"缲"	"tɕʰiɛ1"			
"悄"	"悄"	"tɕʰiɛ3"			
"俏"	"俏"	"tɕʰiɛ5"			
"峭"	"峭"	"tɕʰiɛ5"			
"翹"	"翘"	"tɕʰiɛ5"			
"竅"	"窍"	"tɕʰiɛ5"			
"朝"	"朝"	"dʑiɛ2"			
"嘲"	"嘲"	"dʑiɛ2"			
"潮"	"潮"	"dʑiɛ2"			
"喬"	"乔"	"dʑiɛ2"			
"僑"	"侨"	"dʑiɛ2"			
"蕎"	"荞"	"dʑiɛ2"			
"橋"	"桥"	"dʑiɛ2"			
"樵"	"樵"	"dʑiɛ2"			
"翹"	"翘"	"dʑiɛ2"			
"撬"	"撬"	"dʑiɛ3"			
"兆"	"兆"	"dʑiɛ3"			
"趙"	"赵"	"dʑiɛ3"			
"肇"	"肇"	"dʑiɛ3"			
"轎"	"轿"	"dʑiɛ6"			
"召"	"召"	"dʑiɛ6"			
"繞"	"绕"	"dʑiɛ6"			
"繞"	"绕"	"dʑiɛ6"			
"悄"	"悄"	"dʑiɛ6"			
"燒"	"烧"	"dʑiɛ6"			
"枵"	"枵"	"dʑiɛ6"			
"逍"	"逍"	"dʑiɛ6"			
"消"	"消"	"dʑiɛ6"			
"宵"	"宵"	"dʑiɛ6"			
"硝"	"硝"	"dʑiɛ6"			
"霄"	"霄"	"dʑiɛ6"			
"銷"	"销"	"dʑiɛ6"			
"蕭"	"萧"	"dʑiɛ6"			
"簫"	"箫"	"dʑiɛ6"			
"瀟"	"潇"	"dʑiɛ6"			
"囂"	"嚣"	"dʑiɛ6"			
"少"	"少"	"ɕiɛ3"			
"小"	"小"	"ɕiɛ3"			
"筱"	"筱"	"ɕiɛ3"			
"鞘"	"鞘"	"ɕiɛ3"			
"少"	"少"	"ɕiɛ3"			
"肖"	"肖"	"ɕiɛ3"			
"笑"	"笑"	"ɕiɛ3"			
"吆"	"吆"	"ʔjɛ1"			
"妖"	"妖"	"ʔjɛ1"			
"腰"	"腰"	"ʔjɛ1"			
"邀"	"邀"	"ʔjɛ1"			
"要"	"要"	"ʔjɛ1"			
"曰"	"曰"	"ʔjɛ1"			
"夭"	"夭"	"ʔjɛ3"			
"杳"	"杳"	"ʔjɛ3"			
"舀"	"舀"	"ʔjɛ3"			
"也"	"也"	"ʔjɛ3"			
"腰"	"腰"	"ʔjɛ5"			
"要"	"要"	"ʔjɛ5"			
"憔"	"憔"	"ʔjɛ5"			
"樵"	"樵"	"ʔjɛ5"			
"橈"	"桡"	"ʔjɛ5"			
"饒"	"饶"	"ʔjɛ5"			
"韶"	"韶"	"ʔjɛ5"			
"陶"	"陶"	"ʔjɛ5"			
"姚"	"姚"	"ʔjɛ5"			
"搖"	"摇"	"ʔjɛ5"			
"遙"	"遥"	"ʔjɛ5"			
"瑤"	"瑶"	"ʔjɛ5"			
"謡"	"謡"	"ʔjɛ5"			
"謡"	"謡"	"ʔjɛ5"			
"擾"	"扰"	"jɛ3"			
"邵"	"邵"	"jɛ6"			
"紹"	"绍"	"jɛ6"			
"耀"	"耀"	"jɛ6"			
"鷂"	"鹞"	"jɛ6"			
"召"	"召"	"jɛ6"			
"尷"	"尴"	"kiɛ1"			
"庚"	"庚"	"kiɛ1"			
"耕"	"耕"	"kiɛ1"			
"羹"	"羹"	"kiɛ1"			
"更"	"更"	"kiɛ1"			
"豇"	"豇"	"kiɛ1"			
"粳"	"粳"	"kiɛ1"			
"埂"	"埂"	"kiɛ3"			
"耿"	"耿"	"kiɛ3"			
"哽"	"哽"	"kiɛ3"			
"梗"	"梗"	"kiɛ3"			
"更"	"更"	"kiɛ5"			
"坑"	"坑"	"kʰiɛ1"			
"渠"	"渠"	"ɡiɛ2"			
"硬"	"硬"	"ŋiɛ6"			
"戴"	"戴"	"te5"			
"得"	"得"	"te7"			
"德"	"德"	"te7"			
"胎"	"胎"	"te7"			
"貸"	"贷"	"te7"			
"黛"	"黛"	"te7"			
"苔"	"苔"	"te7"			
"態"	"态"	"te7"			
"忒"	"忒"	"tʰe7"			
"抬"	"抬"	"de2"			
"苔"	"苔"	"de2"			
"臺"	"台"	"de2"			
"殆"	"殆"	"de2"			
"待"	"待"	"de2"			
"怠"	"怠"	"de2"			
"逮"	"逮"	"de6"			
"代"	"代"	"de6"			
"岱"	"岱"	"de6"			
"玳"	"玳"	"de6"			
"埭"	"埭"	"de6"			
"袋"	"袋"	"de6"			
"紿"	"绐"	"de6"			
"貸"	"贷"	"de6"			
"特"	"特"	"de7"			
"耐"	"耐"	"ne6"			
"日"	"日"	"ne7"			
"來"	"来"	"le2"			
"萊"	"莱"	"le2"			
"儼"	"俨"	"le2"			
"睞"	"睐"	"le2"			
"勒"	"勒"	"le2"			
"肋"	"肋"	"le2"			
"劣"	"劣"	"le2"			
"埒"	"埒"	"le2"			
"災"	"灾"	"tse1"			
"哉"	"哉"	"tse1"			
"栽"	"栽"	"tse1"			
"宰"	"宰"	"tse1"			
"載"	"载"	"tse1"			
"者"	"者"	"tse1"			
"載"	"载"	"tse5"			
"再"	"再"	"tse5"			
"最"	"最"	"tse5"			
"側"	"侧"	"tse5"			
"測"	"测"	"tse5"			
"載"	"载"	"tse5"			
"則"	"则"	"tse5"			
"仄"	"仄"	"tse5"			
"猜"	"猜"	"tsʰe1"			
"采"	"采"	"tsʰe3"			
"采"	"采"	"tsʰe3"			
"彩"	"彩"	"tsʰe3"			
"睬"	"睬"	"tsʰe3"			
"踩"	"踩"	"tsʰe3"			
"廠"	"厂"	"tsʰe3"			
"采"	"采"	"tsʰe5"			
"菜"	"菜"	"tsʰe5"			
"廁"	"厕"	"tsʰe5"			
"側"	"侧"	"tsʰe5"			
"廁"	"厕"	"tsʰe5"			
"測"	"测"	"tsʰe5"			
"惻"	"恻"	"tsʰe5"			
"才"	"才"	"dze2"			
"塞"	"塞"	"se5"			
"賽"	"赛"	"se5"			
"塞"	"塞"	"se5"			
"色"	"色"	"se5"			
"嗇"	"啬"	"se5"			
"澀"	"涩"	"se5"			
"才"	"才"	"ze2"			
"材"	"材"	"ze2"			
"財"	"财"	"ze2"			
"裁"	"裁"	"ze2"			
"在"	"在"	"ze3"			
"罪"	"罪"	"ze3"			
"載"	"载"	"ze6"			
"賊"	"贼"	"ze7"			
"垓"	"垓"	"ke1"			
"該"	"该"	"ke1"			
"改"	"改"	"ke1"			
"幾"	"几"	"ke1"			
"丐"	"丐"	"ke1"			
"溉"	"溉"	"ke1"			
"蓋"	"盖"	"ke1"			
"概"	"概"	"ke1"			
"居"	"居"	"ke7"			
"開"	"开"	"kʰe1"			
"凱"	"凯"	"kʰe3"			
"慨"	"慨"	"kʰe5"			
"去"	"去"	"kʰe5"			
"克"	"克"	"kʰe5"			
"刻"	"刻"	"kʰe5"			
"克"	"克"	"kʰe5"			
"徛"	"徛"	"ɡe3"			
"呆"	"呆"	"ŋe2"			
"艾"	"艾"	"ŋe6"			
"礙"	"碍"	"ŋe6"			
"耐"	"耐"	"ŋe6"			
"呵"	"呵"	"ŋe6"			
"咍"	"咍"	"ŋe6"			
"海"	"海"	"he3"			
"許"	"许"	"he3"			
"嚇"	"吓"	"he5"			
"黑"	"黑"	"he7"			
"孩"	"孩"	"ɦe2"			
"孩"	"孩"	"ɦe3"			
"亥"	"亥"	"ɦe3"			
"害"	"害"	"ɦe6"			
"哀"	"哀"	"ʔe1"			
"藹"	"蔼"	"ʔe3"			
"愛"	"爱"	"ʔe5"			
"般"	"般"	"pø1"			
"搬"	"搬"	"pø1"			
"邊"	"边"	"pø1"			
"半"	"半"	"pø1"			
"缽"	"钵"	"pø1"			
"撥"	"拨"	"pø1"			
"潑"	"泼"	"pø1"			
"番"	"番"	"pʰø1"			
"潘"	"潘"	"pʰø1"			
"拼"	"拼"	"pʰø1"			
"判"	"判"	"pʰø1"			
"潑"	"泼"	"pʰø1"			
"撲"	"扑"	"pʰø1"			
"般"	"般"	"bø2"			
"搬"	"搬"	"bø2"			
"磐"	"磐"	"bø2"			
"盤"	"盘"	"bø2"			
"盆"	"盆"	"bø2"			
"伴"	"伴"	"bø3"			
"叛"	"叛"	"bø3"			
"畔"	"畔"	"bø3"			
"胖"	"胖"	"bø3"			
"叛"	"叛"	"bø6"			
"畔"	"畔"	"bø6"			
"餑"	"饽"	"bø6"			
"勃"	"勃"	"bø6"			
"脖"	"脖"	"bø6"			
"渤"	"渤"	"bø6"			
"鈸"	"钹"	"bø6"			
"物"	"物"	"mø5"			
"瞞"	"瞒"	"mø2"			
"饅"	"馒"	"mø2"			
"鰻"	"鳗"	"mø2"			
"漫"	"漫"	"mø2"			
"滿"	"满"	"mø3"			
"幔"	"幔"	"mø6"			
"面"	"面"	"mø6"			
"霧"	"雾"	"mø6"			
"沒"	"没"	"mø6"			
"抹"	"抹"	"mø6"			
"末"	"末"	"mø6"			
"茉"	"茉"	"mø6"			
"沫"	"沫"	"mø6"			
"端"	"端"	"tø1"			
"敦"	"敦"	"tø1"			
"墩"	"墩"	"tø1"			
"短"	"短"	"tø1"			
"鍛"	"锻"	"tø1"			
"斷"	"断"	"tø1"			
"答"	"答"	"tø7"			
"咄"	"咄"	"tø7"			
"掇"	"掇"	"tø7"			
"貪"	"贪"	"tø7"			
"吞"	"吞"	"tø7"			
"噸"	"吨"	"tʰø3"			
"疃"	"疃"	"tʰø3"			
"探"	"探"	"tʰø3"			
"脫"	"脱"	"tʰø3"			
"沌"	"沌"	"tʰø3"			
"覃"	"覃"	"tʰø3"			
"潭"	"潭"	"tʰø3"			
"曇"	"昙"	"tʰø3"			
"團"	"团"	"tʰø3"			
"團"	"团"	"tʰø3"			
"屯"	"屯"	"tʰø3"			
"囤"	"囤"	"tʰø3"			
"豚"	"豚"	"tʰø3"			
"臀"	"臀"	"tʰø3"			
"斷"	"断"	"dø3"			
"籪"	"簖"	"dø3"			
"囤"	"囤"	"dø3"			
"段"	"段"	"dø3"			
"椴"	"椴"	"dø3"			
"緞"	"缎"	"dø3"			
"遁"	"遁"	"dø3"			
"鈍"	"钝"	"dø3"			
"奪"	"夺"	"dø7"			
