"字目"	"读音"	"注释"	"声母"	"韵母"	"声调"	"重复数"
"烊"	"iõ44"	""	""	"iõ"	"44"	"1"
"融"	"iõ44"	""	""	"iõ"	"44"	"2"
"杨"	"iõ44"	""	""	"iõ"	"44"	"1"
"阳"	"iõ44"	"揭~，潮~"	""	"iõ"	"44"	"2"
"赢"	"iõ44"	""	""	"iõ"	"44"	"2"
"养"	"iõ53"	""	""	"iõ"	"53"	"2"
"样"	"iõ311"	""	""	"iõ"	"311"	"1"
"楊"	"iõ44"	""	""	"iõ"	"44"	"1"
"陽"	"iõ44"	"揭~，潮~"	""	"iõ"	"44"	"2"
"贏"	"iõ44"	""	""	"iõ"	"44"	"2"
"養"	"iõ53"	""	""	"iõ"	"53"	"2"
"樣"	"iõ311"	""	""	"iõ"	"311"	"1"
"墙"	"tsʰiõ44"	""	"tsʰ"	"iõ"	"44"	"1"
"抢"	"tsʰiõ53"	""	"tsʰ"	"iõ"	"53"	"1"
"枪"	"tsʰiõ223"	""	"tsʰ"	"iõ"	"223"	"1"
"象"	"tsʰiõ213"	"想~，大~"	"tsʰ"	"iõ"	"213"	"2"
"像"	"tsʰiõ213"	"雕~"	"tsʰ"	"iõ"	"213"	"2"
"橡"	"tsʰiõ213"	""	"tsʰ"	"iõ"	"213"	"1"
"上"	"tsʰiõ213"	"~坟"	"tsʰ"	"iõ"	"213"	"4"
"匠"	"tsʰiõ311"	""	"tsʰ"	"iõ"	"311"	"1"
"牆"	"tsʰiõ44"	""	"tsʰ"	"iõ"	"44"	"1"
"搶"	"tsʰiõ53"	""	"tsʰ"	"iõ"	"53"	"1"
"槍"	"tsʰiõ223"	""	"tsʰ"	"iõ"	"223"	"1"
"蒋"	"tsiõ53"	""	"ts"	"iõ"	"53"	"1"
"桨"	"tsiõ53"	""	"ts"	"iõ"	"53"	"1"
"掌"	"tsiõ53"	""	"ts"	"iõ"	"53"	"1"
"浆"	"tsiõ223"	""	"ts"	"iõ"	"223"	"1"
"章"	"tsiõ223"	"文~"	"ts"	"iõ"	"223"	"2"
"樟"	"tsiõ223"	""	"ts"	"iõ"	"223"	"2"
"酱"	"tsiõ21"	""	"ts"	"iõ"	"21"	"1"
"上"	"tsiõ213"	"~楼"	"ts"	"iõ"	"213"	"4"
"痒"	"tsiõ213"	""	"ts"	"iõ"	"213"	"1"
"上"	"tsiõ311"	"~面"	"ts"	"iõ"	"311"	"4"
"蔣"	"tsiõ53"	""	"ts"	"iõ"	"53"	"1"
"槳"	"tsiõ53"	""	"ts"	"iõ"	"53"	"1"
"漿"	"tsiõ223"	""	"ts"	"iõ"	"223"	"1"
"醬"	"tsiõ21"	""	"ts"	"iõ"	"21"	"1"
"癢"	"tsiõ213"	""	"ts"	"iõ"	"213"	"1"
"场"	"tiõ44"	""	"t"	"iõ"	"44"	"1"
"张"	"tiõ223"	"一~，姓"	"t"	"iõ"	"223"	"2"
"钓"	"tiõ21"	""	"t"	"iõ"	"21"	"1"
"账"	"tiõ21"	""	"t"	"iõ"	"21"	"1"
"帐"	"tiõ21"	"文"	"t"	"iõ"	"21"	"2"
"胀"	"tiõ21"	""	"t"	"iõ"	"21"	"1"
"赵"	"tiõ213"	""	"t"	"iõ"	"213"	"1"
"丈"	"tiõ213"	"姑~"	"t"	"iõ"	"213"	"3"
"場"	"tiõ44"	""	"t"	"iõ"	"44"	"1"
"張"	"tiõ223"	"一~，姓"	"t"	"iõ"	"223"	"2"
"釣"	"tiõ21"	""	"t"	"iõ"	"21"	"1"
"賬"	"tiõ21"	""	"t"	"iõ"	"21"	"1"
"帳"	"tiõ21"	"文"	"t"	"iõ"	"21"	"2"
"脹"	"tiõ21"	""	"t"	"iõ"	"21"	"1"
"趙"	"tiõ213"	""	"t"	"iõ"	"213"	"1"
"常"	"siõ44"	""	"s"	"iõ"	"44"	"2"
"尝"	"siõ44"	""	"s"	"iõ"	"44"	"2"
"偿"	"siõ44"	""	"s"	"iõ"	"44"	"1"
"恒"	"siõ44"	"训"	"s"	"iõ"	"44"	"1"
"肖"	"siõ21"	"生~"	"s"	"iõ"	"21"	"2"
"像"	"siõ21"	"雕~"	"s"	"iõ"	"21"	"2"
"赏"	"siõ53"	""	"s"	"iõ"	"53"	"1"
"相"	"siõ223"	""	"s"	"iõ"	"223"	"5"
"箱"	"siõ223"	""	"s"	"iõ"	"223"	"1"
"镶"	"siõ223"	""	"s"	"iõ"	"223"	"1"
"伤"	"siõ223"	""	"s"	"iõ"	"223"	"1"
"相"	"siõ21"	"照~"	"s"	"iõ"	"21"	"5"
"想"	"siõ213"	""	"s"	"iõ"	"213"	"3"
"尚"	"siõ311"	"和~"	"s"	"iõ"	"311"	"2"
"嘗"	"siõ44"	""	"s"	"iõ"	"44"	"2"
"償"	"siõ44"	""	"s"	"iõ"	"44"	"1"
"賞"	"siõ53"	""	"s"	"iõ"	"53"	"1"
"鑲"	"siõ223"	""	"s"	"iõ"	"223"	"1"
"傷"	"siõ223"	""	"s"	"iõ"	"223"	"1"
"腔"	"kʰiõ223"	""	"kʰ"	"iõ"	"223"	"1"
"强"	"kiõ44"	"赢，改善"	"k"	"iõ"	"44"	"5"
"姜"	"kiõ223"	"薑"	"k"	"iõ"	"223"	"2"
"強"	"kiõ44"	"赢，改善"	"k"	"iõ"	"44"	"3"
"薑"	"kiõ223"	""	"k"	"iõ"	"223"	"2"
"响"	"hiõ53"	""	"h"	"iõ"	"53"	"2"
"香"	"hiõ223"	""	"h"	"iõ"	"223"	"2"
"乡"	"hiõ223"	""	"h"	"iõ"	"223"	"1"
"向"	"hiõ21"	""	"h"	"iõ"	"21"	"2"
"響"	"hiõ53"	""	"h"	"iõ"	"53"	"2"
"鄉"	"hiõ223"	""	"h"	"iõ"	"223"	"1"
"育"	"iok54"	""	""	"iok"	"54"	"1"
"欲"	"iok54"	""	""	"iok"	"54"	"1"
"浴"	"iok54"	"沐~"	""	"iok"	"54"	"2"
"畜"	"tʰiok32"	"~牧"	"tʰ"	"iok"	"32"	"2"
"蓄"	"tʰiok32"	""	"tʰ"	"iok"	"32"	"1"
"俗"	"siok54"	"俗套"	"s"	"iok"	"54"	"2"
"曲"	"kʰiok32"	""	"kʰ"	"iok"	"32"	"2"
"鞠"	"kiok32"	""	"k"	"iok"	"32"	"1"
"郁"	"hiok32"	""	"h"	"iok"	"32"	"1"
"融"	"ioŋ44"	"又，新"	""	"ioŋ"	"44"	"2"
"容"	"ioŋ44"	""	""	"ioŋ"	"44"	"1"
"蓉"	"ioŋ44"	""	""	"ioŋ"	"44"	"1"
"镕"	"ioŋ44"	""	""	"ioŋ"	"44"	"1"
"庸"	"ioŋ44"	""	""	"ioŋ"	"44"	"1"
"勇"	"ioŋ53"	""	""	"ioŋ"	"53"	"1"
"雍"	"ioŋ223"	""	""	"ioŋ"	"223"	"1"
"涌"	"ioŋ21"	""	""	"ioŋ"	"21"	"3"
"泳"	"ioŋ21"	""	""	"ioŋ"	"21"	"1"
"咏"	"ioŋ21"	""	""	"ioŋ"	"21"	"1"
"拥"	"ioŋ21"	""	""	"ioŋ"	"21"	"1"
"鎔"	"ioŋ44"	""	""	"ioŋ"	"44"	"1"
"湧"	"ioŋ21"	""	""	"ioŋ"	"21"	"3"
"詠"	"ioŋ21"	""	""	"ioŋ"	"21"	"1"
"擁"	"ioŋ21"	""	""	"ioŋ"	"21"	"1"
"中"	"tioŋ223"	"人~"	"t"	"ioŋ"	"223"	"5"
"叫"	"tioŋ21"	"由tio鼻化而来，形容词尾缀"	"t"	"ioŋ"	"21"	"2"
"仲"	"tioŋ213"	"杜~"	"t"	"ioŋ"	"213"	"2"
"穷"	"kʰioŋ44"	""	"kʰ"	"ioŋ"	"44"	"2"
"恐"	"kʰioŋ53"	""	"kʰ"	"ioŋ"	"53"	"2"
"巩"	"kʰioŋ53"	""	"kʰ"	"ioŋ"	"53"	"1"
"窮"	"kʰioŋ44"	""	"kʰ"	"ioŋ"	"44"	"2"
"鞏"	"kʰioŋ53"	""	"kʰ"	"ioŋ"	"53"	"1"
"躬"	"kioŋ223"	""	"k"	"ioŋ"	"223"	"1"
"雄"	"hioŋ44"	""	"h"	"ioŋ"	"44"	"1"
"匈"	"hioŋ223"	""	"h"	"ioŋ"	"223"	"1"
"凶"	"hioŋ223"	""	"h"	"ioŋ"	"223"	"1"
"戎"	"dzioŋ44"	""	"dz"	"ioŋ"	"44"	"1"
"绒"	"dzioŋ44"	""	"dz"	"ioŋ"	"44"	"1"
"茸"	"dzioŋ44"	""	"dz"	"ioŋ"	"44"	"1"
"絨"	"dzioŋ44"	""	"dz"	"ioŋ"	"44"	"1"
"药"	"ioʔ54"	""	""	"ioʔ"	"54"	"1"
"约"	"ioʔ32"	""	""	"ioʔ"	"32"	"2"
"藥"	"ioʔ54"	""	""	"ioʔ"	"54"	"1"
"約"	"ioʔ32"	""	""	"ioʔ"	"32"	"2"
"席"	"tsʰioʔ54"	""	"tsʰ"	"ioʔ"	"54"	"1"
"□"	"tsʰioʔ32"	"不浓"	"tsʰ"	"ioʔ"	"32"	"38"
"尺"	"tsʰioʔ32"	""	"tsʰ"	"ioʔ"	"32"	"1"
"石"	"sioʔ54"	"~榴"	"s"	"ioʔ"	"54"	"2"
"石"	"tsioʔ54"	""	"ts"	"ioʔ"	"54"	"2"
"借"	"tsioʔ32"	""	"ts"	"ioʔ"	"32"	"2"
"质"	"tsioʔ32"	""	"ts"	"ioʔ"	"32"	"1"
"質"	"tsioʔ32"	""	"ts"	"ioʔ"	"32"	"1"
"着"	"tioʔ54"	"正确"	"t"	"ioʔ"	"54"	"2"
"着"	"tioʔ32"	"~想"	"t"	"ioʔ"	"32"	"2"
"著"	"tioʔ54"	"正确"	"t"	"ioʔ"	"54"	"3"
"著"	"tioʔ32"	"~想"	"t"	"ioʔ"	"32"	"3"
"液"	"sioʔ54"	"汗腺分泌物"	"s"	"ioʔ"	"54"	"2"
"惜"	"sioʔ32"	""	"s"	"ioʔ"	"32"	"1"
"略"	"lioʔ54"	""	"l"	"ioʔ"	"54"	"2"
"弱"	"nioʔ54"	""	"n"	"ioʔ"	"54"	"2"
"揢"	"kʰioʔ54"	"拿"	"kʰ"	"ioʔ"	"54"	"2"
"揢"	"kʰioʔ32"	""	"kʰ"	"ioʔ"	"32"	"2"
"脚"	"kioʔ32"	""	"k"	"ioʔ"	"32"	"1"
"腳"	"kioʔ32"	""	"k"	"ioʔ"	"32"	"1"
"页"	"hioʔ54"	"训"	"h"	"ioʔ"	"54"	"1"
"箬"	"hioʔ54"	""	"h"	"ioʔ"	"54"	"1"
"頁"	"hioʔ54"	"训"	"h"	"ioʔ"	"54"	"1"
"若"	"dzioʔ54"	"多少"	"dz"	"ioʔ"	"54"	"3"
"袭"	"tsʰip54"	"又"	"tsʰ"	"ip"	"54"	"2"
"缉"	"tsʰip32"	""	"tsʰ"	"ip"	"32"	"1"
"襲"	"tsʰip54"	"又"	"tsʰ"	"ip"	"54"	"2"
"緝"	"tsʰip32"	""	"tsʰ"	"ip"	"32"	"1"
"集"	"tsip54"	""	"ts"	"ip"	"54"	"2"
"执"	"tsip32"	""	"ts"	"ip"	"32"	"1"
"湿"	"tsip32"	"又"	"ts"	"ip"	"32"	"3"
"執"	"tsip32"	""	"ts"	"ip"	"32"	"1"
"濕"	"tsip32"	"又"	"ts"	"ip"	"32"	"3"
"集"	"sip54"	"又，~合"	"s"	"ip"	"54"	"2"
"习"	"sip54"	""	"s"	"ip"	"54"	"1"
"袭"	"sip54"	""	"s"	"ip"	"54"	"2"
"湿"	"sip32"	""	"s"	"ip"	"32"	"3"
"習"	"sip54"	""	"s"	"ip"	"54"	"1"
"襲"	"sip54"	""	"s"	"ip"	"54"	"2"
"濕"	"sip32"	""	"s"	"ip"	"32"	"3"
"邑"	"pip32"	""	"p"	"ip"	"32"	"1"
"立"	"lip54"	""	"l"	"ip"	"54"	"1"
"级"	"kʰip32"	""	"kʰ"	"ip"	"32"	"1"
"泣"	"kʰip32"	""	"kʰ"	"ip"	"32"	"1"
"吸"	"kʰip32"	""	"kʰ"	"ip"	"32"	"1"
"級"	"kʰip32"	""	"kʰ"	"ip"	"32"	"1"
"及"	"kip54"	""	"k"	"ip"	"54"	"1"
"急"	"kip32"	""	"k"	"ip"	"32"	"1"
"给"	"kip32"	""	"k"	"ip"	"32"	"1"
"給"	"kip32"	""	"k"	"ip"	"32"	"1"
"入"	"dzip54"	""	"dz"	"ip"	"54"	"1"
"尤"	"iu44"	""	""	"iu"	"44"	"1"
"邮"	"iu44"	""	""	"iu"	"44"	"1"
"由"	"iu44"	""	""	"iu"	"44"	"1"
"油"	"iu44"	""	""	"iu"	"44"	"1"
"游"	"iu44"	""	""	"iu"	"44"	"2"
"酋"	"iu44"	""	""	"iu"	"44"	"1"
"有"	"iu53"	""	""	"iu"	"53"	"2"
"友"	"iu53"	""	""	"iu"	"53"	"1"
"酉"	"iu53"	""	""	"iu"	"53"	"1"
"又"	"iu53"	""	""	"iu"	"53"	"2"
"优"	"iu223"	""	""	"iu"	"223"	"1"
"忧"	"iu223"	""	""	"iu"	"223"	"1"
"悠"	"iu223"	"又"	""	"iu"	"223"	"2"
"犹"	"iu223"	""	""	"iu"	"223"	"1"
"幽"	"iu223"	"又"	""	"iu"	"223"	"2"
"贿"	"iu213"	""	""	"iu"	"213"	"1"
"又"	"iu213"	""	""	"iu"	"213"	"2"
"右"	"iu213"	""	""	"iu"	"213"	"1"
"佑"	"iu213"	""	""	"iu"	"213"	"2"
"柚"	"iu311"	""	""	"iu"	"311"	"1"
"郵"	"iu44"	""	""	"iu"	"44"	"1"
"遊"	"iu44"	""	""	"iu"	"44"	"2"
"優"	"iu223"	""	""	"iu"	"223"	"1"
"憂"	"iu223"	""	""	"iu"	"223"	"1"
"猶"	"iu223"	""	""	"iu"	"223"	"1"
"賄"	"iu213"	""	""	"iu"	"213"	"1"
"囚"	"tsʰiu44"	""	"tsʰ"	"iu"	"44"	"1"
"仇"	"tsʰiu44"	""	"tsʰ"	"iu"	"44"	"1"
"酬"	"tsʰiu44"	""	"tsʰ"	"iu"	"44"	"1"
"售"	"tsʰiu44"	""	"tsʰ"	"iu"	"44"	"1"
"取"	"tsʰiu53"	"赎"	"tsʰ"	"iu"	"53"	"2"
"手"	"tsʰiu53"	""	"tsʰ"	"iu"	"53"	"1"
"鬚"	"tsʰiu223"	""	"tsʰ"	"iu"	"223"	"1"
"秋"	"tsʰiu223"	""	"tsʰ"	"iu"	"223"	"1"
"鳅"	"tsʰiu223"	""	"tsʰ"	"iu"	"223"	"1"
"树"	"tsʰiu311"	""	"tsʰ"	"iu"	"311"	"2"
"鰍"	"tsʰiu223"	""	"tsʰ"	"iu"	"223"	"1"
"樹"	"tsʰiu311"	""	"tsʰ"	"iu"	"311"	"2"
"氿"	"tsiu53"	"俗“酒”"	"ts"	"iu"	"53"	"1"
"酒"	"tsiu53"	""	"ts"	"iu"	"53"	"1"
"咒"	"tsiu21"	""	"ts"	"iu"	"21"	"1"
"就"	"tsiu213"	""	"ts"	"iu"	"213"	"1"
"涛"	"tʰiu44"	""	"tʰ"	"iu"	"44"	"1"
"筹"	"tʰiu44"	""	"tʰ"	"iu"	"44"	"1"
"丑"	"tʰiu53"	""	"tʰ"	"iu"	"53"	"1"
"抽"	"tʰiu223"	""	"tʰ"	"iu"	"223"	"1"
"濤"	"tʰiu44"	""	"tʰ"	"iu"	"44"	"1"
"籌"	"tʰiu44"	""	"tʰ"	"iu"	"44"	"1"
"醜"	"tʰiu53"	""	"tʰ"	"iu"	"53"	"1"
"绸"	"tiu44"	""	"t"	"iu"	"44"	"1"
"稠"	"tiu44"	""	"t"	"iu"	"44"	"1"
"昼"	"tiu53"	""	"t"	"iu"	"53"	"1"
"纣"	"tiu53"	""	"t"	"iu"	"53"	"1"
"宙"	"tiu53"	""	"t"	"iu"	"53"	"1"
"丢"	"tiu223"	""	"t"	"iu"	"223"	"1"
"稻"	"tiu213"	"训"	"t"	"iu"	"213"	"2"
"住"	"tiu311"	""	"t"	"iu"	"311"	"2"
"綢"	"tiu44"	""	"t"	"iu"	"44"	"1"
"晝"	"tiu53"	""	"t"	"iu"	"53"	"1"
"紂"	"tiu53"	""	"t"	"iu"	"53"	"1"
"丟"	"tiu223"	""	"t"	"iu"	"223"	"1"
"泅"	"siu44"	""	"s"	"iu"	"44"	"1"
"游"	"siu44"	""	"s"	"iu"	"44"	"2"
"守"	"siu53"	""	"s"	"iu"	"53"	"1"
"袖"	"siu53"	""	"s"	"iu"	"53"	"1"
"首"	"siu53"	""	"s"	"iu"	"53"	"1"
"梳"	"siu223"	""	"s"	"iu"	"223"	"1"
"修"	"siu223"	""	"s"	"iu"	"223"	"1"
"羞"	"siu223"	""	"s"	"iu"	"223"	"1"
"收"	"siu223"	""	"s"	"iu"	"223"	"1"
"秀"	"siu21"	""	"s"	"iu"	"21"	"1"
"绣"	"siu21"	""	"s"	"iu"	"21"	"1"
"锈"	"siu21"	""	"s"	"iu"	"21"	"2"
"兽"	"siu21"	""	"s"	"iu"	"21"	"1"
"受"	"siu213"	""	"s"	"iu"	"213"	"1"
"授"	"siu213"	""	"s"	"iu"	"213"	"1"
"寿"	"siu311"	""	"s"	"iu"	"311"	"1"
"遊"	"siu44"	""	"s"	"iu"	"44"	"2"
"繡"	"siu21"	""	"s"	"iu"	"21"	"1"
"鏽"	"siu21"	""	"s"	"iu"	"21"	"2"
"獸"	"siu21"	""	"s"	"iu"	"21"	"1"
"壽"	"siu311"	""	"s"	"iu"	"311"	"1"
"彪"	"pʰiu223"	""	"pʰ"	"iu"	"223"	"1"
"漂"	"pʰiu21"	""	"pʰ"	"iu"	"21"	"3"
"纽"	"niu53"	""	"n"	"iu"	"53"	"1"
"扭"	"niu53"	""	"n"	"iu"	"53"	"2"
"紐"	"niu53"	""	"n"	"iu"	"53"	"1"
"谬"	"miu213"	""	"m"	"iu"	"213"	"1"
"謬"	"miu213"	""	"m"	"iu"	"213"	"1"
"流"	"liu44"	""	"l"	"iu"	"44"	"2"
"留"	"liu44"	""	"l"	"iu"	"44"	"2"
"榴"	"liu44"	""	"l"	"iu"	"44"	"1"
"琉"	"liu44"	""	"l"	"iu"	"44"	"1"
"硫"	"liu44"	""	"l"	"iu"	"44"	"1"
"柳"	"liu53"	""	"l"	"iu"	"53"	"1"
"铆"	"liu53"	"挖"	"l"	"iu"	"53"	"1"
"溜"	"liu223"	""	"l"	"iu"	"223"	"2"
"溜"	"liu21"	""	"l"	"iu"	"21"	"2"
"鉚"	"liu53"	"挖"	"l"	"iu"	"53"	"1"
"求"	"kʰiu44"	""	"kʰ"	"iu"	"44"	"1"
"糗"	"kʰiu53"	""	"kʰ"	"iu"	"53"	"1"
"丘"	"kʰiu223"	""	"kʰ"	"iu"	"223"	"2"
"球"	"kiu44"	""	"k"	"iu"	"44"	"1"
"纠"	"kiu53"	""	"k"	"iu"	"53"	"1"
"九"	"kiu53"	""	"k"	"iu"	"53"	"2"
"救"	"kiu21"	""	"k"	"iu"	"21"	"1"
"究"	"kiu21"	""	"k"	"iu"	"21"	"2"
"糾"	"kiu53"	""	"k"	"iu"	"53"	"1"
"□"	"dziu53"	"入去合音"	"dz"	"iu"	"53"	"38"
"揉"	"dziu44"	""	"dz"	"iu"	"44"	"2"
"柔"	"dziu44"	""	"dz"	"iu"	"44"	"1"
"幼"	"iũ21"	""	""	"iũ"	"21"	"1"
"朽"	"hiũ53"	""	"h"	"iũ"	"53"	"1"
"悠"	"hiũ223"	""	"h"	"iũ"	"223"	"2"
"幽"	"hiũ223"	""	"h"	"iũ"	"223"	"2"
"休"	"hiũ223"	""	"h"	"iũ"	"223"	"1"
"□"	"piuʔ32"	"冒出来"	"p"	"iuʔ"	"32"	"38"
"□"	"kiuʔ32"	"挤"	"k"	"iuʔ"	"32"	"38"
"折"	"tsiʔ54"	""	"ts"	"iʔ"	"54"	"2"
"舌"	"tsiʔ54"	""	"ts"	"iʔ"	"54"	"1"
"接"	"tsiʔ32"	""	"ts"	"iʔ"	"32"	"2"
"欹"	"tsʰiʔ32"	"训，低头"	"tsʰ"	"iʔ"	"32"	"1"
"折"	"tsiʔ32"	""	"ts"	"iʔ"	"32"	"2"
"嚏"	"tʰiʔ32"	""	"tʰ"	"iʔ"	"32"	"1"
"铁"	"tʰiʔ32"	""	"tʰ"	"iʔ"	"32"	"1"
"忒"	"tʰiʔ32"	""	"tʰ"	"iʔ"	"32"	"1"
"鐵"	"tʰiʔ32"	""	"tʰ"	"iʔ"	"32"	"1"
"跌"	"tiʔ54"	""	"t"	"iʔ"	"54"	"3"
"碟"	"tiʔ54"	""	"t"	"iʔ"	"54"	"2"
"蒂"	"tiʔ32"	""	"t"	"iʔ"	"32"	"1"
"滴"	"tiʔ32"	""	"t"	"iʔ"	"32"	"1"
"蚀"	"siʔ54"	""	"s"	"iʔ"	"54"	"1"
"薛"	"siʔ32"	""	"s"	"iʔ"	"32"	"1"
"蝕"	"siʔ54"	""	"s"	"iʔ"	"54"	"1"
"憋"	"piʔ32"	""	"p"	"iʔ"	"32"	"1"
"蝠"	"piʔ32"	""	"p"	"iʔ"	"32"	"2"
"物"	"miʔ32"	"什么"	"m"	"iʔ"	"32"	"2"
"裂"	"liʔ54"	""	"l"	"iʔ"	"54"	"2"
"缺"	"kʰiʔ32"	"白"	"kʰ"	"iʔ"	"32"	"2"
"乞"	"kʰiʔ32"	""	"kʰ"	"iʔ"	"32"	"2"
"颊"	"kiʔ32"	""	"k"	"iʔ"	"32"	"1"
"頰"	"kiʔ32"	""	"k"	"iʔ"	"32"	"1"
"□"	"dziʔ54"	"按"	"dz"	"iʔ"	"54"	"38"
"廿"	"dziʔ54"	""	"dz"	"iʔ"	"54"	"2"
"篾"	"biʔ54"	""	"b"	"iʔ"	"54"	"1"
"姥"	"m53"	""	""	"m"	"53"	"1"
"母"	"m53"	"称父亲或丈夫的姐姐"	""	"m"	"53"	"3"
"雌"	"tsʰɯ44"	"又"	"tsʰ"	"ɯ"	"44"	"2"
"次"	"tsʰɯ21"	"又"	"tsʰ"	"ɯ"	"21"	"4"
"子"	"tsɯ53"	"又"	"ts"	"ɯ"	"53"	"3"
"姿"	"tsɯ223"	"又"	"ts"	"ɯ"	"223"	"2"
"资"	"tsɯ223"	"又"	"ts"	"ɯ"	"223"	"2"
"咨"	"tsɯ223"	"又"	"ts"	"ɯ"	"223"	"2"
"資"	"tsɯ223"	"又"	"ts"	"ɯ"	"223"	"2"
"諮"	"tsɯ223"	"又"	"ts"	"ɯ"	"223"	"2"
"史"	"sɯ53"	""	"s"	"ɯ"	"53"	"2"
"斯"	"sɯ223"	""	"s"	"ɯ"	"223"	"2"
"私"	"sɯ223"	"又"	"s"	"ɯ"	"223"	"4"
"师"	"sɯ223"	""	"s"	"ɯ"	"223"	"2"
"思"	"sɯ223"	"又，~考"	"s"	"ɯ"	"223"	"5"
"思"	"sɯ21"	"又，意~"	"s"	"ɯ"	"21"	"5"
"師"	"sɯ223"	""	"s"	"ɯ"	"223"	"2"
"汝"	"lɯ53"	""	"l"	"ɯ"	"53"	"3"
"吕"	"lɯ213"	""	"l"	"ɯ"	"213"	"2"
"呂"	"lɯ213"	""	"l"	"ɯ"	"213"	"2"
"车"	"kɯ223"	"象棋"	"k"	"ɯ"	"223"	"5"
"車"	"kɯ223"	"象棋"	"k"	"ɯ"	"223"	"5"
"而"	"dzɯ44"	"又"	"dz"	"ɯ"	"44"	"2"
"存"	"tsʰɯŋ44"	"又"	"tsʰ"	"ɯŋ"	"44"	"2"
"床"	"tsʰɯŋ44"	""	"tsʰ"	"ɯŋ"	"44"	"1"
"穿"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"3"
"疮"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"2"
"瘡"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"2"
"村"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"1"
"仓"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"1"
"舱"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"1"
"刺"	"tsʰɯŋ21"	""	"tsʰ"	"ɯŋ"	"21"	"3"
"倉"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"1"
"艙"	"tsʰɯŋ223"	""	"tsʰ"	"ɯŋ"	"223"	"1"
"全"	"tsɯŋ44"	""	"ts"	"ɯŋ"	"44"	"2"
"砖"	"tsɯŋ223"	""	"ts"	"ɯŋ"	"223"	"1"
"庄"	"tsɯŋ223"	""	"ts"	"ɯŋ"	"223"	"1"
"装"	"tsɯŋ223"	""	"ts"	"ɯŋ"	"223"	"2"
"樟"	"tsɯŋ223"	"~林，在澄海"	"ts"	"ɯŋ"	"223"	"2"
"狀"	"tsɯŋ311"	""	"ts"	"ɯŋ"	"311"	"2"
"状"	"tsɯŋ311"	""	"ts"	"ɯŋ"	"311"	"2"
"旋"	"tsɯŋ311"	"头发的~"	"ts"	"ɯŋ"	"311"	"2"
"钻"	"tsɯŋ21"	""	"ts"	"ɯŋ"	"21"	"2"
"舐"	"tsɯŋ213"	""	"ts"	"ɯŋ"	"213"	"2"
"磚"	"tsɯŋ223"	""	"ts"	"ɯŋ"	"223"	"1"
"莊"	"tsɯŋ223"	""	"ts"	"ɯŋ"	"223"	"1"
"裝"	"tsɯŋ223"	""	"ts"	"ɯŋ"	"223"	"2"
"鑽"	"tsɯŋ21"	""	"ts"	"ɯŋ"	"21"	"2"
"糖"	"tʰɯŋ44"	""	"tʰ"	"ɯŋ"	"44"	"1"
"捅"	"tʰɯŋ53"	""	"tʰ"	"ɯŋ"	"53"	"3"
"汤"	"tʰɯŋ223"	""	"tʰ"	"ɯŋ"	"223"	"2"
"褪"	"tʰɯŋ21"	""	"tʰ"	"ɯŋ"	"21"	"2"
"褪"	"tʰɯŋ21"	""	"tʰ"	"ɯŋ"	"21"	"2"
"捅"	"tʰɯŋ311"	""	"tʰ"	"ɯŋ"	"311"	"3"
"烫"	"tʰɯŋ21"	""	"tʰ"	"ɯŋ"	"21"	"2"
"湯"	"tʰɯŋ223"	""	"tʰ"	"ɯŋ"	"223"	"2"
"燙"	"tʰɯŋ21"	""	"tʰ"	"ɯŋ"	"21"	"2"
"堂"	"tɯŋ44"	""	"t"	"ɯŋ"	"44"	"2"
"唐"	"tɯŋ44"	""	"t"	"ɯŋ"	"44"	"2"
"塘"	"tɯŋ44"	""	"t"	"ɯŋ"	"44"	"1"
"长"	"tɯŋ44"	"~短"	"t"	"ɯŋ"	"44"	"3"
"肠"	"tɯŋ44"	""	"t"	"ɯŋ"	"44"	"1"
"转"	"tɯŋ53"	""	"t"	"ɯŋ"	"53"	"2"
"返"	"tɯŋ53"	"训"	"t"	"ɯŋ"	"53"	"1"
"当"	"tɯŋ223"	"~官"	"t"	"ɯŋ"	"223"	"4"
"当"	"tɯŋ21"	"~做"	"t"	"ɯŋ"	"21"	"4"
"断"	"tɯŋ213"	""	"t"	"ɯŋ"	"213"	"2"
"盪"	"tɯŋ213"	""	"t"	"ɯŋ"	"213"	"1"
"丈"	"tɯŋ213"	"一~"	"t"	"ɯŋ"	"213"	"3"
"缎"	"tɯŋ311"	""	"t"	"ɯŋ"	"311"	"1"
"緞"	"tɯŋ311"	""	"t"	"ɯŋ"	"311"	"1"
"段"	"tɯŋ311"	""	"t"	"ɯŋ"	"311"	"1"
"長"	"tɯŋ44"	"~短"	"t"	"ɯŋ"	"44"	"3"
"腸"	"tɯŋ44"	""	"t"	"ɯŋ"	"44"	"1"
"轉"	"tɯŋ53"	""	"t"	"ɯŋ"	"53"	"2"
