"漢字"	"拼音"	"IPA"	"注釋"	"说明"
"耳"	"hinn6"	"hi ̃˧˥"		
"耳"	"dzur2"	"dzɯ˥˨"		
"餌"	"dzi7"	"dzi˧˩"		
"餌"	"dzur2"	"dzɯ˥˨"	"文"	
"基"	"ki1"	"ki˧˧"		
"姬"	"ki1"	"ki˧˧"		
"己"	"ki2"	"ki˥˨"		
"紀"	"ki2"	"ki˥˨"		
"記"	"ki3"	"ki˨˩˨"		
"欺"	"khi1"	"kʰi˧˧"		
"起"	"khi2"	"kʰi˥˨"		
"杞"	"khi2"	"kʰi˥˨"		
"棋"	"ki5"	"ki˥˥"		
"其"	"khi5"	"kʰi˥˥"		
"旗"	"ki5"	"ki˥˥"		
"期"	"khi5"	"kʰi˥˥"		
"忌"	"ki6"	"ki˧˥"		
"疑"	"gi5"	"gi˥˥"		
"擬"	"ni2"	"ni˥˨"		
"擬"	"ngi2"	"ŋi˥˨"	"又"	
"嘻"	"hi1"	"hi˧˧"		
"嬉"	"hi1"	"hi˧˧"		
"禧"	"hi1"	"hi˧˧"		
"熙"	"hi1"	"hi˧˧"		
"喜"	"hi2"	"hi˥˨"		
"醫"	"ui1"	"ui˧˧"		
"意"	"i3"	"i˨˩˨"		
"矣"	"i7"	"i˧˩"		
"怡"	"i5"	"i˥˥"		
"貽"	"i5"	"i˥˥"		
"已"	"inn2"	"i ̃˥˨"		
"以"	"inn2"	"i ̃˥˨"		
"異"	"i6"	"i˧˥"		
"機"	"kui1"	"kui˧˧"	"白"	
"機"	"ki1"	"ki˧˧"		
"鉿"	"hah4"	"haʔ˨"		
"譏"	"ki1"	"ki˧˧"		
"饑"	"ki1"	"ki˧˧"		
"幾"	"ki1"	"ki˧˧"		
"幾"	"ki2"	"ki˥˨"	"又"	
"既"	"ki3"	"ki˨˩˨"		
"豈"	"kha2"	"kʰa˥˨"		
"豈"	"khi2"	"kʰi˥˨"	"文"	
"氣"	"khui3"	"kʰui˨˩˨"		
"氣"	"khi3"	"kʰi˨˩˨"		
"汽"	"khi3"	"kʰi˨˩˨"		
"祈"	"khi5"	"kʰi˥˥"		
"沂"	"khi5"	"kʰi˥˥"		
"毅"	"ngi6"	"ŋi˧˥"		
"希"	"hi1"	"hi˧˧"		
"稀"	"hi1"	"hi˧˧"		
"依"	"i1"	"i˧˧"		
"衣"	"ui1"	"ui˧˧"	"白"	
"衣"	"i1"	"i˧˧"		
"累"	"lui6"	"lui˧˥"		
"嘴"	"tshui7"	"tsʰui˧˩"		
"髓"	"tshue2"	"tsʰue˥˨"		
"隨"	"sui5"	"sui˥˥"		
"揣"	"tshue7"	"tsʰue˧˩"		
"揣"	"tshui2"	"tsʰui˥˨"		
"吹"	"tshue1"	"tsʰue˧˧"		
"炊"	"tshue1"	"tsʰue˧˧"		
"垂"	"sui5"	"sui˥˥"		
"睡"	"sui6"	"sui˧˥"		
"瑞"	"sui6"	"sui˧˥"		
"蕊"	"lui2"	"lui˥˨"		
"規"	"kui1"	"kui˧˧"		
"詭"	"kui2"	"kui˥˨"		
"虧"	"khui1"	"kʰui˧˧"		
"窺"	"khui1"	"kʰui˧˧"		
"跪"	"kui6"	"kui˧˥"		
"危"	"ngui5"	"ŋui˥˥"		
"危"	"mui5"	"mui˥˥"	"又"	
"偽"	"ngui2"	"ŋui˥˨"		
"麾"	"hui1"	"hui˧˧"		
"毀"	"huinn2"	"hui ̃˥˨"		
"委"	"ui2"	"ui˥˨"		
"喂"	"ui2"	"ui˥˨"		
"為"	"ui5"	"ui˥˥"		
"為"	"ui7"	"ui˧˩"	"又"	
"壘"	"lui2"	"lui˥˨"		
"類"	"lui7"	"lui˧˩"		
"淚"	"lui6"	"lui˧˥"		
"醉"	"tsui3"	"tsui˨˩˨"		
"翠"	"tshui3"	"tsʰui˨˩˨"		
"悴"	"tshui3"	"tsʰui˨˩˨"		
"雖"	"sui1"	"sui˧˧"		
"粹"	"tsue6"	"tsue˧˥"		
"粹"	"tshui3"	"tsʰui˨˩˨"	"文"	
"遂"	"sui5"	"sui˥˥"		
"隧"	"sui5"	"sui˥˥"		
"穗"	"sui7"	"sui˧˩"		
"追"	"tui1"	"tui˧˧"		
"槌"	"thui5"	"tʰui˥˥"		
"錘"	"thui5"	"tʰui˥˥"		
"墜"	"tui6"	"tui˧˥"		
"衰"	"sue1"	"sue˧˧"		
"摔"	"suk4"	"suk˨"		
"帥"	"sue3"	"sue˨˩˨"		
"率"	"suk4"	"suk˨"		
"率"	"luk8"	"luk˥˦"		
"錐"	"tsui1"	"tsui˧˧"		
"水"	"tsui2"	"tsui˥˨"		
"水"	"sui2"	"sui˥˨"	"文"	
"誰"	"sui5"	"sui˥˥"		
"龜"	"ku1"	"ku˧˧"		
"龜"	"kiu1"	"kiu˧˧"	"俗"	
"龜"	"kung1"	"kuŋ˧˧"	"又"	
"龜"	"khiu1"	"kʰiu˧˧"	"又，~兹"	
"軌"	"khui2"	"kʰui˥˨"		
"癸"	"kui3"	"kui˨˩˨"		
"晷"	"khui2"	"kʰui˥˨"		
"愧"	"khui6"	"kʰui˧˥"		
"季"	"khui3"	"kʰui˨˩˨"		
"葵"	"kue5"	"kue˥˥"	"白"	
"葵"	"khui5"	"kʰui˥˥"		
"逵"	"khui5"	"kʰui˥˥"		
"夔"	"khui5"	"kʰui˥˥"		
"揆"	"khui5"	"kʰui˥˥"		
"櫃"	"kuinn7"	"kui ̃˧˩"		
"櫃"	"kur2"	"kɯ˥˨"	"又"	
"帷"	"dzui5"	"dzui˥˥"		
"位"	"ui7"	"ui˧˩"		
"維"	"dzui5"	"dzui˥˥"		
"遺"	"dzui5"	"dzui˥˥"		
"唯"	"dzui5"	"dzui˥˥"		
"唯"	"ui5"	"ui˥˥"	"文"	
"飛"	"pue1"	"pue˧˧"		
"飛"	"hui1"	"hui˧˧"	"文"	
"非"	"hui1"	"hui˧˧"		
"匪"	"hui2"	"hui˥˨"		
"沸"	"hui3"	"hui˨˩˨"		
"痱"	"bui3"	"bui˨˩˨"		
"妃"	"hui1"	"hui˧˧"		
"菲"	"hui1"	"hui˧˧"		
"費"	"hui3"	"hui˨˩˨"		
"肥"	"pui55"	"pui˥˥˥˥"		
"薇"	"mui5"	"mui˥˥"		
"微"	"mui5"	"mui˥˥"		
"尾"	"bue2"	"bue˥˨"		
"尾"	"mai2"	"mai˥˨"	"又"	
"未"	"bue7"	"bue˧˩"		
"未"	"bi7"	"bi˧˩"	"文"	
"味"	"bi7"	"bi˧˩"		
"歸"	"kui1"	"kui˧˧"		
"鬼"	"kui2"	"kui˥˨"		
"貴"	"kui3"	"kui˨˩˨"		
"巍"	"ngui5"	"ŋui˥˥"		
"魏"	"gui7"	"gui˧˩"		
"揮"	"hui1"	"hui˧˧"		
"輝"	"hui1"	"hui˧˧"		
"徽"	"hui1"	"hui˧˧"		
"諱"	"hui2"	"hui˥˨"		
"諱"	"hui3"	"hui˨˩˨"	"又"	
"卉"	"hui2"	"hui˥˨"		
"威"	"ui1"	"ui˧˧"		
"畏"	"uinn3"	"ui ̃˨˩˨"		
"慰"	"ue6"	"ue˧˥"		
"違"	"ui5"	"ui˥˥"		
"圍"	"ui5"	"ui˥˥"		
"葦"	"ui2"	"ui˥˨"		
"偉"	"ui2"	"ui˥˨"		
"緯"	"hui7"	"hui˧˩"	"白"	
"緯"	"ui2"	"ui˥˨"		
"胃"	"ui7"	"ui˧˩"		
"謂"	"ui6"	"ui˧˥"		
"蝟"	"ui2"	"ui˥˨"		
"蝟"	"ui3"	"ui˨˩˨"	"又"	
"匯"	"hui6"	"hui˧˥"		
"褒"	"pau1"	"pau˧˧"		
"保"	"po2"	"po˥˨"		
"保"	"pau2"	"pau˥˨"	"文"	
"堡"	"pau2"	"pau˥˨"		
"寶"	"po2"	"po˥˨"		
"報"	"po3"	"po˨˩˨"		
"袍"	"phau5"	"pʰau˥˥"		
"抱"	"pho6"	"pʰo˧˥"		
"暴"	"pau6"	"pau˧˥"		
"毛"	"mo5"	"mo˥˥"		
"冒"	"mau6"	"mau˧˥"		
"帽"	"bo7"	"bo˧˩"		
"刀"	"to1"	"to˧˧"		
"叨"	"tau1"	"tau˧˧"		
"倒"	"to2"	"to˥˨"		
"倒"	"tau2"	"tau˥˨"	"文"	
"島"	"tau2"	"tau˥˨"		
"禱"	"tau2"	"tau˥˨"		
"到"	"kau3"	"kau˨˩˨"	"俗"	
"到"	"tau3"	"tau˨˩˨"		
"倒"	"to3"	"to˨˩˨"		
"掏"	"thau1"	"tʰau˧˧"		
"掏"	"thau5"	"tʰau˥˥"	"又"	
"滔"	"thau1"	"tʰau˧˧"		
"討"	"tho2"	"tʰo˥˨"		
"套"	"thau3"	"tʰau˨˩˨"		
"桃"	"to5"	"to˥˥"	"楊~"	
"桃"	"tho5"	"tʰo˥˥"	"又"	
"逃"	"to5"	"to˥˥"		
"陶"	"thau5"	"tʰau˥˥"		
"萄"	"tho5"	"tʰo˥˥"		
"濤"	"thiu5"	"tʰiu˥˥"		
"稻"	"tiu6"	"tiu˧˥"		
"稻"	"tau6"	"tau˧˥"		
"道"	"tau6"	"tau˧˥"		
"導"	"tau6"	"tau˧˥"		
"盜"	"tau6"	"tau˧˥"		
"腦"	"lo2"	"lo˥˨"	"白，頭~"	
"腦"	"nau2"	"nau˥˨"		
"惱"	"lo2"	"lo˥˨"	"白，煩~"	
"惱"	"nau2"	"nau˥˨"		
"勞"	"lau5"	"lau˥˥"		
"撈"	"lio5"	"lio˥˥"	"白"	
"撈"	"liau5"	"liau˥˥"	"又白"	
"撈"	"lau5"	"lau˥˥"	"文"	
"撈"	"lau1"	"lau˧˧"	"又"	
"嘮"	"lau5"	"lau˥˥"		
"牢"	"lo5"	"lo˥˥"		
"老"	"lau6"	"lau˧˥"		
"老"	"lau2"	"lau˥˨"	"文"	
"遭"	"tsau1"	"tsau˧˧"		
"糟"	"tsau1"	"tsau˧˧"		
"早"	"tsa2"	"tsa˥˨"		
"棗"	"tso2"	"tso˥˨"		
"蚤"	"tsau2"	"tsau˥˨"		
"澡"	"tshau3"	"tsʰau˨˩˨"		
"躁"	"tshau3"	"tsʰau˨˩˨"		
"灶"	"tsau3"	"tsau˨˩˨"		
"操"	"tshau1"	"tsʰau˧˧"		
"操"	"tshau3"	"tsʰau˨˩˨"	"又，曹~"	
"造"	"tsau6"	"tsau˧˥"		
"草"	"tsho2"	"tsʰo˥˨"		
"草"	"tshau2"	"tsʰau˥˨"	"文"	
"曹"	"tshau5"	"tsʰau˥˥"		
"皂"	"tsau6"	"tsau˧˥"		
"騷"	"sau1"	"sau˧˧"		
"臊"	"tsho1"	"tsʰo˧˧"		
"臊"	"tshau3"	"tsʰau˨˩˨"	"又"	
"掃"	"sau3"	"sau˨˩˨"		
"嫂"	"so2"	"so˥˨"		
"掃"	"sau3"	"sau˨˩˨"		
"高"	"ko1"	"ko˧˧"		
"高"	"kau1"	"kau˧˧"	"白，姓氏"	
"膏"	"ko1"	"ko˧˧"		
"羔"	"ko1"	"ko˧˧"		
"糕"	"ko1"	"ko˧˧"		
"稿"	"ko2"	"ko˥˨"		
"告"	"ko3"	"ko˨˩˨"		
"告"	"kau3"	"kau˨˩˨"	"文"	
"考"	"khau2"	"kʰau˥˨"		
"烤"	"khau2"	"kʰau˥˨"		
"靠"	"kou6"	"kou˧˥"	"俗"	
"靠"	"khau3"	"kʰau˨˩˨"		
"犒"	"ko2"	"ko˥˨"		
"犒"	"khau3"	"kʰau˨˩˨"	"文"	
"熬"	"ngau5"	"ŋau˥˥"		
"傲"	"ngau6"	"ŋau˧˥"		
"蒿"	"o1"	"o˧˧"		
"蒿"	"hau1"	"hau˧˧"	"文"	
"薅"	"khau1"	"kʰau˧˧"		
"薅"	"hau1"	"hau˧˧"	"文"	
"好"	"ho2"	"ho˥˨"		
"好"	"hoh4"	"hoʔ˨"	"又"	
"好"	"hau2"	"hau˥˨"	"文"	
"好"	"haunn3"	"hau ̃˨˩˨"	"又文"	
"耗"	"ho3"	"ho˨˩˨"		
"豪"	"hau5"	"hau˥˥"		
"毫"	"hau5"	"hau˥˥"		
"號"	"hau1"	"hau˧˧"		
"浩"	"hau1"	"hau˧˧"		
"號"	"ho7"	"ho˧˩"		
"爊"	"ngau5"	"ŋau˥˥"		
"襖"	"o2"	"o˥˨"		
"奧"	"o3"	"o˨˩˨"		
"懊"	"o3"	"o˨˩˨"	"白"	
"懊"	"au3"	"au˨˩˨"		
"包"	"pau1"	"pau˧˧"		
"胞"	"pau1"	"pau˧˧"		
"飽"	"pa2"	"pa˥˨"		
"豹"	"pa3"	"pa˨˩˨"		
"爆"	"pau6"	"pau˧˥"		
"泡"	"pha6"	"pʰa˧˥"		
"拋"	"phau1"	"pʰau˧˧"		
"炮"	"phau3"	"pʰau˨˩˨"		
"跑"	"phau2"	"pʰau˥˨"		
"鮑"	"pau6"	"pau˧˥"		
"刨"	"phau5"	"pʰau˥˥"		
"刨"	"phau1"	"pʰau˧˧"	"又"	
"茅"	"mau5"	"mau˥˥"		
"貓"	"ngiau1"	"ŋiau˧˧"		
"卯"	"bau2"	"bau˥˨"		
"貌"	"mau6"	"mau˧˥"		
"鐃"	"nau5"	"nau˥˥"		
"撓"	"niau1"	"niau˧˧"	"白"	
"撓"	"nau5"	"nau˥˥"		
"鬧"	"nau6"	"nau˧˥"		
"罩"	"ta3"	"ta˨˩˨"	"又"	
"罩"	"tsau6"	"tsau˧˥"		
"抓"	"tsua1"	"tsua˧˧"		
"爪"	"dziau2"	"dziau˥˨"		
"找"	"tau2"	"tau˥˨"		
"笊"	"tsau2"	"tsau˥˨"		
"抄"	"tshau1"	"tsʰau˧˧"		
"鈔"	"tshau1"	"tsʰau˧˧"		
"炒"	"tsha2"	"tsʰa˥˨"		
"吵"	"tshau1"	"tsʰau˧˧"		
"巢"	"tshau5"	"tsʰau˥˥"		
"梢"	"sau1"	"sau˧˧"		
"梢"	"sau3"	"sau˨˩˨"		
"梢"	"siau1"	"ɕiau˧˧"		
"捎"	"siau1"	"ɕiau˧˧"		
"稍"	"tshiau1"	"tɕʰiau˧˧"		
"稍"	"tshiau2"	"tɕʰiau˥˨"		
"潲"	"sau3"	"sau˨˩˨"		
"交"	"kau1"	"kau˧˧"		
"郊"	"kau1"	"kau˧˧"		
"膠"	"ka1"	"ka˧˧"		
"絞"	"ka2"	"ka˥˨"		
"狡"	"kau2"	"kau˥˨"		
"鉸"	"ka1"	"ka˧˧"		
"搞"	"kau2"	"kau˥˨"		
"攪"	"ka2"	"ka˥˨"		
"攪"	"kiau2"	"kiau˥˨"	"文"	
"教"	"ka3"	"ka˨˩˨"		
"較"	"ka3"	"ka˨˩˨"		
"酵"	"ka3"	"ka˨˩˨"		
"窖"	"ka3"	"ka˨˩˨"		
"校"	"ka3"	"ka˨˩˨"		
"覺"	"kak4"	"kak˨"		
"敲"	"kha3"	"kʰa˨˩˨"		
"敲"	"khiau1"	"kʰiau˧˧"		
"巧"	"kha2"	"kʰa˥˨"		
"咬"	"ka6"	"ka˧˥"		
"孝"	"hau3"	"hau˨˩˨"		
"肴"	"ngau5"	"ŋau˥˥"		
"淆"	"ngau5"	"ŋau˥˥"		
"效"	"hau7"	"hau˧˩"		
"校"	"hau6"	"hau˧˥"		
"坳"	"au1"	"au˧˧"		
"拗"	"au2"	"au˥˨"		
"飈"	"pio1"	"pio˧˧"		
"標"	"pio1"	"pio˧˧"		
"標"	"phiau1"	"pʰiau˧˧"		
"錶"	"pio1"	"pio˧˧"		
"表"	"piau2"	"piau˥˨"		
"飄"	"phiau1"	"pʰiau˧˧"		
"漂"	"phiau1"	"pʰiau˧˧"	"又"	
"漂"	"pio3"	"pio˨˩˨"		
"漂"	"phiau3"	"pʰiau˨˩˨"	"文"	
"票"	"phio3"	"pʰio˨˩˨"		
"嫖"	"phiau5"	"pʰiau˥˥"		
"瓢"	"phio6"	"pʰio˧˥"		
"鰾"	"phio6"	"pʰio˧˥"		
"描"	"bio5"	"bio˥˥"	"白"	
"描"	"miau5"	"miau˥˥"		
"苗"	"bio5"	"bio˥˥"	"白，蝦~"	
"苗"	"miau5"	"miau˥˥"		
"藐"	"miau2"	"miau˥˨"		
"渺"	"miau2"	"miau˥˨"		
"秒"	"miau2"	"miau˥˨"		
"廟"	"bio7"	"bio˧˩"		
"妙"	"miau6"	"miau˧˥"		
"燎"	"liau5"	"liau˥˥"		
"焦"	"tsiau1"	"tɕiau˧˧"		
"椒"	"tsio1"	"tɕio˧˧"		
"剿"	"tshau1"	"tsʰau˧˧"	"俗"	
"鍬"	"tshiau1"	"tɕʰiau˧˧"		
"鍬"	"tshiu1"	"tɕʰiu˧˧"	"又"	
"繰"	"tshiau1"	"tɕʰiau˧˧"		
"繰"	"tshau5"	"tsʰau˥˥"	"又"	
"悄"	"tshiau1"	"tɕʰiau˧˧"		
"悄"	"tshiau2"	"tɕʰiau˥˨"	"又"	
"俏"	"tshiau2"	"tɕʰiau˥˨"		
"樵"	"tsiau1"	"tɕiau˧˧"		
"瞧"	"tshiau5"	"tɕʰiau˥˥"		
"消"	"siau1"	"ɕiau˧˧"		
"宵"	"siau1"	"ɕiau˧˧"		
"霄"	"sio1"	"ɕio˧˧"	"白，漳州雲~"	
"霄"	"siau1"	"ɕiau˧˧"		
"硝"	"siau1"	"ɕiau˧˧"		
"銷"	"siau1"	"ɕiau˧˧"		
"小"	"sio2"	"ɕio˥˨"	"白"	
"小"	"siau2"	"ɕiau˥˨"		
"笑"	"tshio3"	"tɕʰio˨˩˨"		
"鞘"	"siau2"	"ɕiau˥˨"		
"朝"	"tsiau1"	"tɕiau˧˧"		
"超"	"thiau3"	"tʰiau˨˩˨"		
"朝"	"tshiau5"	"tɕʰiau˥˥"		
"潮"	"tio5"	"tio˥˥"		
"趙"	"tio7"	"tio˧˩"		
"兆"	"tiau6"	"tiau˧˥"		
"肇"	"siau6"	"ɕiau˧˥"		
"召"	"tiau6"	"tiau˧˥"		
"召"	"siau6"	"ɕiau˧˥"	"又，姓氏"	
"昭"	"tsiau1"	"tɕiau˧˧"		
"招"	"tsio1"	"tɕio˧˧"	"白"	
"招"	"tsiau1"	"tɕiau˧˧"		
"沼"	"dziau3"	"dziau˨˩˨"		
"照"	"tsio3"	"tɕio˨˩˨"		
"詔"	"tsiau3"	"tɕiau˨˩˨"		
"詔"	"dziau3"	"dziau˨˩˨"	"又，漳州~安"	
"燒"	"sio1"	"ɕio˧˧"		
"少"	"tsio2"	"tɕio˥˨"		
"少"	"siau3"	"ɕiau˨˩˨"	"又"	
"韶"	"siau6"	"ɕiau˧˥"		
"紹"	"siau6"	"ɕiau˧˥"		
"邵"	"sionn7"	"ɕio ̃˧˩"	"白"	
"邵"	"siau6"	"ɕiau˧˥"		
"饒"	"dziau5"	"dziau˥˥"		
"擾"	"dziau2"	"dziau˥˨"		
"繞"	"dziau3"	"dziau˨˩˨"		
"驕"	"kiau1"	"kiau˧˧"		
"嬌"	"kiau1"	"kiau˧˧"		
"矯"	"kiau1"	"kiau˧˧"		
"矯"	"kiau2"	"kiau˥˨"	"又"	
"喬"	"khiau5"	"kʰiau˥˥"		
"橋"	"kio5"	"kio˥˥"		
"轎"	"kio7"	"kio˧˩"		
"囂"	"ngau1"	"ŋau˧˧"		
"枵"	"iau1"	"iau˧˧"		
"妖"	"iau1"	"iau˧˧"		
"邀"	"iau1"	"iau˧˧"		
"腰"	"io1"	"io˧˧"		
"要"	"iau1"	"iau˧˧"		
"夭"	"iau1"	"iau˧˧"		
"要"	"iau3"	"iau˨˩˨"		
"搖"	"io5"	"io˥˥"		
"謠"	"io5"	"io˥˥"		
"窯"	"io5"	"io˥˥"		
"姚"	"io5"	"io˥˥"		
"舀"	"io2"	"io˥˨"		
"耀"	"iau6"	"iau˧˥"		
"刁"	"tiau1"	"tiau˧˧"		
"貂"	"tiau1"	"tiau˧˧"		
"雕"	"tiau1"	"tiau˧˧"		
"鳥"	"tsiau2"	"tɕiau˥˨"		
"吊"	"tiau3"	"tiau˨˩˨"		
"釣"	"tionn3"	"tio ̃˨˩˨"		
"挑"	"thio1"	"tʰio˧˧"		
"跳"	"thiau3"	"tʰiau˨˩˨"		
"跳"	"tio7"	"tio˧˩"	"又"	
"糶"	"thio3"	"tʰio˨˩˨"		
"條"	"tiau5"	"tiau˥˥"		
"調"	"thiau5"	"tʰiau˥˥"		
"掉"	"tiau7"	"tiau˧˩"		
"調"	"tiau7"	"tiau˧˩"		
"尿"	"dzio7"	"dzio˧˩"		
"聊"	"liau5"	"liau˥˥"		
"遼"	"liau5"	"liau˥˥"		
"撩"	"liau5"	"liau˥˥"		
"寥"	"liau5"	"liau˥˥"		
"廖"	"liau3"	"liau˨˩˨"		
"了"	"liau2"	"liau˥˨"		
"了"	"liau3"	"liau˨˩˨"	"又"	
"料"	"liau7"	"liau˧˩"		
"簫"	"siau1"	"ɕiau˧˧"		
"蕭"	"siau1"	"ɕiau˧˧"		
"嘯"	"sau3"	"sau˨˩˨"		
"澆"	"nau1"	"nau˧˧"		
"繳"	"kiau2"	"kiau˥˨"		
"叫"	"kio3"	"kio˨˩˨"		
"竅"	"khiau3"	"kʰiau˨˩˨"		
"堯"	"ngiau5"	"ŋiau˥˥"		
"曉"	"hiau2"	"hiau˥˨"		
"麼"	"moh4"	"moʔ˨"		
"杳"	"miau2"	"miau˥˨"		
"剖"	"phou1"	"pʰou˧˧"	"又"	
"剖"	"phou2"	"pʰou˥˨"		
"某"	"mou2"	"mou˥˨"		
"畝"	"bou2"	"bou˥˨"		
"牡"	"bou2"	"bou˥˨"		
"拇"	"bo2"	"bo˥˨"		
"母"	"m2"	"m˥˨"	"又"	
"母"	"bo2"	"bo˥˨"		
"茂"	"mou6"	"mou˧˥"		
"戊"	"bou7"	"bou˧˩"		
"貿"	"mou3"	"mou˨˩˨"		
"兜"	"tau1"	"tau˧˧"		
"斗"	"tau2"	"tau˥˨"		
"抖"	"tau2"	"tau˥˨"		
"陡"	"tau2"	"tau˥˨"		
"鬥"	"tau3"	"tau˨˩˨"		
"鬥"	"tou3"	"tou˨˩˨"	"文"	
"偷"	"thau1"	"tʰau˧˧"		
"透"	"thau3"	"tʰau˨˩˨"		
"頭"	"thau5"	"tʰau˥˥"		
"投"	"tau5"	"tau˥˥"		
"豆"	"tau7"	"tau˧˩"		
"逗"	"tau7"	"tau˧˩"		
"耨"	"no3"	"no˨˩˨"		
"耨"	"nau7"	"nau˧˩"	"文"	
"耨"	"dziok8"	"dziok˥˦"	"又"	
"樓"	"lau5"	"lau˥˥"		
"摟"	"lou2"	"lou˥˨"		
"簍"	"lau2"	"lau˥˨"		
"漏"	"lau7"	"lau˧˩"		
"陋"	"lou6"	"lou˧˥"		
"走"	"tsau2"	"tsau˥˨"		
"奏"	"tsau3"	"tsau˨˩˨"		
"湊"	"tshou3"	"tsʰou˨˩˨"		
"叟"	"sou2"	"sou˥˨"		
"嗽"	"sau3"	"sau˨˩˨"		
"勾"	"kau1"	"kau˧˧"		
"鉤"	"kau1"	"kau˧˧"		
"溝"	"kau1"	"kau˧˧"		
"狗"	"kau2"	"kau˥˨"		
"苟"	"kou2"	"kou˥˨"		
"垢"	"kau2"	"kau˥˨"		
"垢"	"kou3"	"kou˨˩˨"	"文"	
"彀"	"kou3"	"kou˨˩˨"		
"夠"	"kau3"	"kau˨˩˨"		
"夠"	"kou3"	"kou˨˩˨"	"文"	
"構"	"kou3"	"kou˨˩˨"		
"購"	"kou3"	"kou˨˩˨"		
"媾"	"kou3"	"kou˨˩˨"		
"摳"	"khau1"	"kʰau˧˧"		
"口"	"khau2"	"kʰau˥˨"		
"叩"	"kha3"	"kʰa˨˩˨"		
"叩"	"khau3"	"kʰau˨˩˨"	"文"	
"扣"	"khou3"	"kʰou˨˩˨"		
"寇"	"khou3"	"kʰou˨˩˨"		
"藕"	"kau6"	"kau˧˥"		
"偶"	"ngou2"	"ŋou˥˨"		
"吼"	"hau2"	"hau˥˨"		
"蔻"	"khou3"	"kʰou˨˩˨"		
"侯"	"kau5"	"kau˥˥"		
"侯"	"hau7"	"hau˧˩"	"又"	
"侯"	"hou5"	"hou˥˥"	"文，姓氏"	
"喉"	"au5"	"au˥˥"		
"猴"	"kau5"	"kau˥˥"		
"後"	"au6"	"au˧˥"		
"後"	"hau6"	"hau˧˥"	"~生"	
"后"	"hou6"	"hou˧˥"		
"厚"	"kau6"	"kau˧˥"		
"候"	"hau7"	"hau˧˩"		
"謳"	"au1"	"au˧˧"		
"歐"	"au1"	"au˧˧"		
"區"	"au1"	"au˧˧"		
"嘔"	"au2"	"au˥˨"		
"毆"	"au1"	"au˧˧"		
"毆"	"au2"	"au˥˨"	"又"	
"漚"	"au3"	"au˨˩˨"		
"漚"	"au1"	"au˧˧"	"又"	
"慪"	"au1"	"au˧˧"		
"否"	"hounn2"	"hou ̃˥˨"		
"富"	"pu3"	"pu˨˩˨"		
"副"	"hu3"	"hu˨˩˨"		
"浮"	"phu5"	"pʰu˥˥"		
"阜"	"hu6"	"hu˧˥"		
"負"	"hu6"	"hu˧˥"		
"婦"	"hu6"	"hu˧˥"		
"複"	"hok4"	"hok˨"		
"謀"	"mou5"	"mou˥˥"		
"矛"	"mau5"	"mau˥˥"		
"眸"	"mou5"	"mou˥˥"		
"紐"	"nau6"	"nau˧˥"	"白"	
"紐"	"niu2"	"niu˥˨"		
"扭"	"nau6"	"nau˧˥"	"白"	
"扭"	"niu2"	"niu˥˨"		
"留"	"lau5"	"lau˥˥"		
"留"	"liu5"	"liu˥˥"	"文"	
"榴"	"liu5"	"liu˥˥"		
"劉"	"lau5"	"lau˥˥"		
"流"	"lau5"	"lau˥˥"		
"流"	"liu5"	"liu˥˥"	"文"	
"硫"	"liu5"	"liu˥˥"		
"琉"	"liu5"	"liu˥˥"		
"柳"	"liu2"	"liu˥˨"		
"溜"	"lau3"	"lau˨˩˨"	"又"	
"溜"	"liu1"	"liu˧˧"		
"溜"	"liu3"	"liu˨˩˨"	"文"	
"揪"	"tshiu1"	"tɕʰiu˧˧"		
"酒"	"tsiu2"	"tɕiu˥˨"		
"秋"	"tshiu1"	"tɕʰiu˧˧"		
"就"	"tsu6"	"tsu˧˥"		
"就"	"tsiu6"	"tɕiu˧˥"		
"修"	"siu1"	"ɕiu˧˧"		
"羞"	"siu1"	"ɕiu˧˧"		
"秀"	"siu3"	"ɕiu˨˩˨"		
"鏽"	"siu3"	"ɕiu˨˩˨"		
"繡"	"siu3"	"ɕiu˨˩˨"		
"宿"	"siu3"	"ɕiu˨˩˨"		
"宿"	"siu7"	"ɕiu˧˩"	"俗"	
"囚"	"tshiu5"	"tɕʰiu˥˥"		
"袖"	"siu3"	"ɕiu˨˩˨"		
"肘"	"tiu2"	"tiu˥˨"		
"晝"	"tau3"	"tau˨˩˨"	"白"	
"晝"	"tiu6"	"tiu˧˥"		
"抽"	"thiu1"	"tʰiu˧˧"		
"丑"	"thiu2"	"tʰiu˥˨"		
"綢"	"tiu5"	"tiu˥˥"		
"稠"	"tshiu5"	"tɕʰiu˥˥"		
"籌"	"thiu5"	"tʰiu˥˥"		
"紂"	"tiu6"	"tiu˧˥"		
"宙"	"tiu6"	"tiu˧˥"		
"鄒"	"tsou1"	"tsou˧˧"		
"皺"	"niau3"	"niau˨˩˨"		
"皺"	"tsou3"	"tsou˨˩˨"	"文"	
"縐"	"niau3"	"niau˨˩˨"		
"縐"	"dziau3"	"dziau˨˩˨"		
"愁"	"tshou5"	"tsʰou˥˥"		
"驟"	"tsou6"	"tsou˧˥"		
"餿"	"siau1"	"ɕiau˧˧"		
"搜"	"siau1"	"ɕiau˧˧"		
"颼"	"siau1"	"ɕiau˧˧"		
"颼"	"sou1"	"sou˧˧"	"文"	
