#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵²［2］²⁵［3］²¹¹［5］³³⁴［7］⁴
#z̩	
s	[1]娑嗦梭唆酸狻[3]琐唢锁所蓑[5]蒜算
k	[1]过1锅哥歌戈官棺倌冠观纶1挝[3]果裹馃莞1管馆[5]过2灌罐鹳贯□{将芦苇或茅草等扎成的小捆子}
kʰ	[1]疴珂苛柯窠棵颗稞科蝌骒宽髋[3]可1坷款[5]课嗑*
ŋ	[1]我=
x	[1]呵嗬欢獾[2]和1河菏何禾[3]火伙□{高兴：～煞了}[5]祸货贺和2奂涣痪焕换唤
Ø	[1]屙婀涡窝莴蜗倭豌剜蜿斡[2]哦峨俄鹅娥讹完丸纨桓硪[3]莞2皖宛惋琬碗婉腕[5]缓饿卧□{~su⁰：肮脏}
	
#yi	
tɕ	[1]蠲涓捐鹃娟镌[3]卷1□{骂}[5]券毽-圈1眷卷2倦狷绢隽2□{踢}
tɕʰ	[1]悛圈2铨[2]拳颧权全痊诠泉[3]犬畎绻[5]劝
ɕ	[1]籼宣喧暄轩[2]舷弦玄旋1漩悬眩[3]选癣[5]羡揎渲楦旋2泫炫绚
Ø	[1]渊冤鸢鸳眢[2]元园鼋辕袁猿垣原员圆爰媛缘[3]远[5]院愿怨苑
	
#ɛ	
p	[1]班斑扳颁般=瘢[3]坂板版舨[5]办扮绊瓣爿
pʰ	[1]攀[2]□{大腿~子：大腿外侧}□{涉水}[5]盼襻
m	[1]慢-[2]蛮[5]慢=蔓曼漫=鳗[5]泛范贩饭
f	[1]帆番幡翻[2]烦樊繁凡矾藩[3]返反畈[5]泛范贩饭犯嬎
t	[1]单2殚箪郸眈担1丹坍1{北～：地名}但-[3]掸疸胆赕□{触及、碰到：~火、~水}[5]淡惮弹1啖诞旦担2蛋氮但=
tʰ	[1]坍2贪滩瘫摊[2]檀弹2郯痰谈坛昙覃1潭谭[3]忐袒坦毯[5]探叹炭碳
n	[2]南男楠喃难1[3]赧蝻腩罱[5]难2按*1
l	[2]阑澜谰斓兰栏拦=婪褴蓝篮岚[3]懒览榄揽缆1[5]烂滥缆2
ts	[1]簪糌□{用刀子将物体连续砍碎的动作，~肉团子}[3]攒盏斩崭[5]暂錾赞赞湛站战=绽溅蘸
tsʰ	[1]餐餐参搀掺[2]惭蚕残谗馋[3]䅟产铲□{~子：稗子}[5]灿粲璨□{单独：~穿单衣裳恐怕能冷呢吧？}
s	[1]三叁山潸舢衫杉汕[3]散1馓伞[5]散2
k	[1]干1肝甘泔疳柑尴间1=[3]赶杆竿秆擀感敢橄拣=[5]干2间=2赣
kʰ	[1]刊堪戡龛铅看1勘鹐[3]侃坎砍□{把器皿倒扣下去}[5]槛瞰看2嵌
ŋ	[1]安鞍桉氨庵鹌淹*2[2]颜岩□{严实或稠密：~之合缝；~~蔽蔽}□{被夹住或卡住}□{螃蟹等节肢动物的螯}[3]眼[5]谙案按暗黯岸雁
