"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"	""
"323"	"布"	"布"	"pu去声"	"文"	""	""	""
"324"	"佈"	"布"	"pou去声"	"白"	""	""	""
"325"	"佈"	"布"	"pu去声"	"文"	""	""	""
"326"	"鋪"	"铺"	"pʰou阴平"	""	""	""	""
"327"	"鋪"	"铺"	"pʰou去声"	""	""	""	""
"328"	"普"	"普"	"pʰou阴上"	""	""	""	""
"329"	"浦"	"浦"	"pʰou阴上"	""	""	""	""
"330"	"怖"	"怖"	"pou去声"	"白"	""	""	""
"331"	"怖"	"怖"	"pu去声"	"文"	""	""	""
"332"	"菩"	"菩"	"pu阳平"	""	""	""	""
"333"	"菩"	"菩"	"pʰu阳平"	""	""	""	""
"334"	"蒲"	"蒲"	"pʰu阳平"	""	""	""	""
"335"	"脯"	"脯"	"pou阴上"	""	""	""	""
"336"	"部"	"部"	"pou阳上"	""	""	""	""
"337"	"簿"	"簿"	"pʰou阳上"	""	""	""	""
"338"	"步"	"步"	"pou去声"	""	""	""	""
"339"	"捕"	"捕"	"pou去声"	"白"	""	""	""
"340"	"捕"	"捕"	"pu阳上"	"文"	""	""	""
"341"	"埠"	"埠"	"pou阴平"	"俗"	""	""	""
"342"	"模"	"模"	"bou阳平"	"白"	""	""	""
"343"	"模"	"模"	"mo阳平"	"文"	""	""	""
"344"	"暮"	"暮"	"mo阳上"	"白"	""	""	""
"345"	"暮"	"暮"	"mu去声"	"文"	""	""	""
"346"	"墓"	"墓"	"mo阳上"	"白"	""	""	""
"347"	"墓"	"墓"	"mu阳上"	"文"	""	""	""
"348"	"募"	"募"	"mo阳上"	""	""	""	""
"349"	"募"	"募"	"mu去声"	"文"	""	""	""
"350"	"慕"	"慕"	"mo阳上"	"白"	""	""	""
"351"	"慕"	"慕"	"mu去声"	"文"	""	""	""
"352"	"都"	"都"	"tou阴平"	""	""	""	""
"353"	"都"	"都"	"to阴平"	""	""	""	""
"354"	"堵"	"堵"	"tu阴上"	""	""	""	""
"355"	"賭"	"赌"	"tu阴上"	""	""	""	""
"356"	"肚"	"肚"	"tou阴上"	""	""	""	""
"357"	"肚"	"肚"	"tou阳上"	""	""	""	""
"358"	"妒"	"妒"	"tou去声"	"白"	""	""	""
"359"	"妒"	"妒"	"tu去声"	"文"	""	""	""
"360"	"蠹"	"蠹"	"tu去声"	""	""	""	""
"361"	"土"	"土"	"tou阳上"	"白"	""	""	""
"362"	"土"	"土"	"tʰou阴上"	"白"	""	""	""
"363"	"土"	"土"	"tʰu阴上"	"文"	""	""	""
"364"	"吐"	"吐"	"tʰou去声"	""	""	""	""
"365"	"兔"	"兔"	"tʰou去声"	""	""	""	""
"366"	"途"	"途"	"tʰu阳平"	""	""	""	""
"367"	"鈽"	"钸"	"pu阴平"	""	""	""	""
"368"	"屠"	"屠"	"tou阳平"	"白"	""	""	""
"369"	"屠"	"屠"	"tʰu阳平"	"文"	""	""	""
"370"	"圖"	"图"	"tou阳平"	"白"	""	""	""
"371"	"圖"	"图"	"tʰu阳平"	"文"	""	""	""
"372"	"徒"	"徒"	"tʰu阳平"	""	""	""	""
"373"	"杜"	"杜"	"tou阳上"	"白"	""	""	""
"374"	"杜"	"杜"	"tu阴上"	"文"	""	""	""
"375"	"度"	"度"	"tou去声"	""	""	""	""
"376"	"度"	"度"	"tak阳入"	""	""	""	""
"377"	"渡"	"渡"	"tou去声"	""	""	""	""
"378"	"鍍"	"镀"	"tou去声"	""	""	""	""
"379"	"奴"	"奴"	"nou阳平"	"白"	""	""	""
"380"	"奴"	"奴"	"nu阳平"	"文"	""	""	""
"381"	"努"	"努"	"no阴上"	"白"	""	""	""
"382"	"努"	"努"	"no去声"	"又"	""	""	""
"383"	"努"	"努"	"nu阴上"	"文"	""	""	""
"384"	"怒"	"怒"	"no去声"	"白"	""	""	""
"385"	"怒"	"怒"	"nu去声"	"文"	""	""	""
"386"	"盧"	"卢"	"lou阳平"	"白"	""	""	""
"387"	"盧"	"卢"	"lu阳平"	"文"	""	""	""
"388"	"爐"	"炉"	"lou阳平"	""	""	""	""
"389"	"鹵"	"卤"	"lou阴上"	""	""	""	""
"390"	"鹵"	"卤"	"lou阳上"	""	""	""	""
"391"	"魯"	"鲁"	"lu阴上"	""	""	""	""
"392"	"櫓"	"橹"	"lou阴上"	"白"	""	""	""
"393"	"櫓"	"橹"	"lu阴上"	"文"	""	""	""
"394"	"虜"	"虏"	"lu阴上"	""	""	""	""
"395"	"露"	"露"	"lou去声"	""	""	""	""
"396"	"路"	"路"	"lou去声"	""	""	""	""
"397"	"賂"	"赂"	"lu去声"	""	""	""	""
"398"	"租"	"租"	"tsou阴平"	"白"	""	""	""
"399"	"租"	"租"	"tsu阴平"	"文"	""	""	""
"400"	"祖"	"祖"	"tsou阴上"	""	""	""	""
"401"	"組"	"组"	"tsu阴平"	""	""	""	""
"402"	"粗"	"粗"	"tsʰou阴平"	""	""	""	""
"403"	"醋"	"醋"	"tsʰou去声"	""	""	""	""
"404"	"錯"	"错"	"tsʰo去声"	"白"	""	""	""
"405"	"錯"	"错"	"tsʰoʔ阴入"	"白"	""	""	""
"406"	"錯"	"错"	"tsʰak阴入"	"文"	""	""	""
