"繁體"	"简体"	"拼音"	"音標"	"註釋"	"聲"	"韻"	"調"
"蕈"	"蕈"	"zan4"	"zaŋ˩˧"		"z"	"aŋ"	"˩˧"
"心"	"心"	"san1"	"saŋ˦˦"		"s"	"aŋ"	"˦˦"
"尋"	"寻"	"zan2"	"zaŋ˧˩"		"z"	"aŋ"	"˧˩"
"琛"	"琛"	"tshan1"	"tsʰaŋ˦˦"		"tsʰ"	"aŋ"	"˦˦"
"沉"	"沉"	"dzan2"	"dzaŋ˧˩"		"dz"	"aŋ"	"˧˩"
"朕"	"朕"	"dzan4"	"dzaŋ˩˧"		"dz"	"aŋ"	"˩˧"
"簪"	"簪"	"tsoe1"	"tsɵ˦˦"		"ts"	"ɵ"	"˦˦"
"岑"	"岑"	"zan2"	"zaŋ˧˩"		"z"	"aŋ"	"˧˩"
"岑"	"岑"	"dzan2"	"dzaŋ˧˩"		"dz"	"aŋ"	"˧˩"
"森"	"森"	"san1"	"saŋ˦˦"		"s"	"aŋ"	"˦˦"
"參"	"参"	"san1"	"saŋ˦˦"	"人參"	"s"	"aŋ"	"˦˦"
"滲"	"渗"	"san5"	"saŋ˥˨"		"s"	"aŋ"	"˥˨"
"針"	"针"	"tsan1"	"tsaŋ˦˦"		"ts"	"aŋ"	"˦˦"
"斟"	"斟"	"tsan1"	"tsaŋ˦˦"		"ts"	"aŋ"	"˦˦"
"枕"	"枕"	"tsan3"	"tsaŋ˧˥"		"ts"	"aŋ"	"˧˥"
"葚"	"葚"	"zan4"	"zaŋ˩˧"		"z"	"aŋ"	"˩˧"
"深"	"深"	"san1"	"saŋ˦˦"		"s"	"aŋ"	"˦˦"
"瀋"	"渖"	"san3"	"saŋ˧˥"		"s"	"aŋ"	"˧˥"
"審"	"审"	"san3"	"saŋ˧˥"		"s"	"aŋ"	"˧˥"
"嬸"	"婶"	"san3"	"saŋ˧˥"		"s"	"aŋ"	"˧˥"
"甚"	"甚"	"zan6"	"zaŋ˨˨"		"z"	"aŋ"	"˨˨"
"壬"	"壬"	"gnian2"	"ȵiaŋ˧˩"		"ȵ"	"iaŋ"	"˧˩"
"任"	"任"	"gnian2"	"ȵiaŋ˧˩"		"ȵ"	"iaŋ"	"˧˩"
"任"	"任"	"zan2"	"zaŋ˧˩"		"z"	"aŋ"	"˧˩"
"妊"	"妊"	"gnian6"	"ȵiaŋ˨˨"		"ȵ"	"iaŋ"	"˨˨"
"今"	"今"	"cian1"	"tɕiaŋ˦˦"		"tɕ"	"iaŋ"	"˦˦"
"金"	"金"	"cian1"	"tɕiaŋ˦˦"		"tɕ"	"iaŋ"	"˦˦"
"襟"	"襟"	"cian1"	"tɕiaŋ˦˦"		"tɕ"	"iaŋ"	"˦˦"
"禁"	"禁"	"cian1"	"tɕiaŋ˦˦"		"tɕ"	"iaŋ"	"˦˦"
"錦"	"锦"	"cian3"	"tɕiaŋ˧˥"		"tɕ"	"iaŋ"	"˧˥"
"禁"	"禁"	"cian5"	"tɕiaŋ˥˨"		"tɕ"	"iaŋ"	"˥˨"
"欽"	"钦"	"chian1"	"tɕʰiaŋ˦˦"		"tɕʰ"	"iaŋ"	"˦˦"
"琴"	"琴"	"jian2"	"dʑiaŋ˧˩"		"dʑ"	"iaŋ"	"˧˩"
"禽"	"禽"	"jian2"	"dʑiaŋ˧˩"		"dʑ"	"iaŋ"	"˧˩"
"擒"	"擒"	"jian2"	"dʑiaŋ˧˩"		"dʑ"	"iaŋ"	"˧˩"
"吟"	"吟"	"gnian2"	"ȵiaŋ˧˩"		"ȵ"	"iaŋ"	"˧˩"
"音"	"音"	"ian1"	"ʔiaŋ˦˦"		"ʔ"	"iaŋ"	"˦˦"
"陰"	"阴"	"ian1"	"ʔiaŋ˦˦"		"ʔ"	"iaŋ"	"˦˦"
"飲"	"饮"	"ian3"	"ʔiaŋ˧˥"		"ʔ"	"iaŋ"	"˧˥"
"蔭"	"荫"	"ian1"	"ʔiaŋ˦˦"		"ʔ"	"iaŋ"	"˦˦"
"蔭"	"荫"	"ian5"	"ʔiaŋ˥˨"		"ʔ"	"iaŋ"	"˥˨"
"窨"	"窨"	"ian5"	"ʔiaŋ˥˨"		"ʔ"	"iaŋ"	"˥˨"
"淫"	"淫"	"yan2"	"jaŋ˧˩"		"j"	"aŋ"	"˧˩"
"立"	"立"	"li8"	"li˨˩˩"		"l"	"i"	"˨˩˩"
"笠"	"笠"	"li8"	"li˨˩˩"	"□笠：斗笠：ŋɔ˨˩˩ lɛ˨˩˩，前字疑似箬"	"l"	"i"	"˨˩˩"
"粒"	"粒"	"loe8"	"lɵ˨˩˩"		"l"	"ɵ"	"˨˩˩"
"緝"	"缉"	"tsha7"	"tsʰa˧˨˨"		"tsʰ"	"a"	"˧˨˨"
"集"	"集"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"輯"	"辑"	"tsha7"	"tsʰa˧˨˨"		"tsʰ"	"a"	"˧˨˨"
"輯"	"辑"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"習"	"习"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"襲"	"袭"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"蟄"	"蛰"	"dzei8"	"dzei˨˩˩"		"dz"	"ei"	"˨˩˩"
"澀"	"涩"	"sa7"	"sa˧˨˨"		"s"	"a"	"˧˨˨"
"汁"	"汁"	"tsa7"	"tsa˧˨˨"		"ts"	"a"	"˧˨˨"
"執"	"执"	"tsa7"	"tsa˧˨˨"		"ts"	"a"	"˧˨˨"
"濕"	"湿"	"sa7"	"sa˧˨˨"		"s"	"a"	"˧˨˨"
"十"	"十"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"什"	"什"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"拾"	"拾"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"入"	"入"	"gnia8"	"ȵia˨˩˩"	"白讀，入袋底"	"ȵ"	"ia"	"˨˩˩"
"入"	"入"	"za8"	"za˨˩˩"		"z"	"a"	"˨˩˩"
"急"	"急"	"cia7"	"tɕia˧˨˨"		"tɕ"	"ia"	"˧˨˨"
"級"	"级"	"cia7"	"tɕia˧˨˨"		"tɕ"	"ia"	"˧˨˨"
"汲"	"汲"	"cia7"	"tɕia˧˨˨"		"tɕ"	"ia"	"˧˨˨"
"給"	"给"	"cia7"	"tɕia˧˨˨"		"tɕ"	"ia"	"˧˨˨"
"泣"	"泣"	"chia7"	"tɕʰia˧˨˨"		"tɕʰ"	"ia"	"˧˨˨"
"及"	"及"	"jia7"	"dʑia˨˩˩"		"dʑ"	"ia"	"˨˩˩"
"吸"	"吸"	"shia8"	"ɕia˨˩˩"		"ɕ"	"ia"	"˨˩˩"
"邑"	"邑"	"ia7"	"ʔia˧˨˨"		"ʔ"	"ia"	"˧˨˨"
"揖"	"揖"	"ia7"	"ʔia˧˨˨"		"ʔ"	"ia"	"˧˨˨"
"丹"	"丹"	"tao1"	"tɔ˦˦"		"t"	"ɔ"	"˦˦"
"單"	"单"	"tao1"	"tɔ˦˦"		"t"	"ɔ"	"˦˦"
"單"	"单"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"單"	"单"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"旦"	"旦"	"tao5"	"tɔ˥˨"		"t"	"ɔ"	"˥˨"
"灘"	"滩"	"thao1"	"tʰɔ˦˦"		"tʰ"	"ɔ"	"˦˦"
"攤"	"摊"	"thao1"	"tʰɔ˦˦"		"tʰ"	"ɔ"	"˦˦"
"坦"	"坦"	"thao3"	"tʰɔ˧˥"		"tʰ"	"ɔ"	"˧˥"
"嘆"	"叹"	"thao5"	"tʰɔ˥˨"		"tʰ"	"ɔ"	"˥˨"
"炭"	"炭"	"thao5"	"tʰɔ˥˨"		"tʰ"	"ɔ"	"˥˨"
"檀"	"檀"	"dao2"	"dɔ˧˩"		"d"	"ɔ"	"˧˩"
"壇"	"坛"	"dao2"	"dɔ˧˩"		"d"	"ɔ"	"˧˩"
"壇"	"坛"	"dao6"	"dɔ˨˨"	"地壇：一塊地方"	"d"	"ɔ"	"˨˨"
"彈"	"弹"	"dao2"	"dɔ˧˩"		"d"	"ɔ"	"˧˩"
"誕"	"诞"	"tao5"	"tɔ˥˨"		"t"	"ɔ"	"˥˨"
"但"	"但"	"dao6"	"dɔ˨˨"		"d"	"ɔ"	"˨˨"
"彈"	"弹"	"dao6"	"dɔ˨˨"		"d"	"ɔ"	"˨˨"
"蛋"	"蛋"	"dao6"	"dɔ˨˨"		"d"	"ɔ"	"˨˨"
"憚"	"惮"	"dao6"	"dɔ˨˨"		"d"	"ɔ"	"˨˨"
"難"	"难"	"nao2"	"nɔ˧˩"		"n"	"ɔ"	"˧˩"
"難"	"难"	"nao6"	"nɔ˨˨"		"n"	"ɔ"	"˨˨"
"蘭"	"兰"	"lao2"	"lɔ˧˩"		"l"	"ɔ"	"˧˩"
"攔"	"拦"	"lao2"	"lɔ˧˩"		"l"	"ɔ"	"˧˩"
"欄"	"栏"	"lao2"	"lɔ˧˩"		"l"	"ɔ"	"˧˩"
"懶"	"懒"	"lao4"	"lɔ˩˧"		"l"	"ɔ"	"˩˧"
"爛"	"烂"	"lao6"	"lɔ˨˨"		"l"	"ɔ"	"˨˨"
"贊"	"赞"	"tsao5"	"tsɔ˥˨"		"ts"	"ɔ"	"˥˨"
"餐"	"餐"	"tshao1"	"tsʰɔ˦˦"		"tsʰ"	"ɔ"	"˦˦"
"燦"	"灿"	"chao5"	"tɕʰɔ˥˨"		"tɕʰ"	"ɔ"	"˥˨"
"殘"	"残"	"zao2"	"zɔ˧˩"		"z"	"ɔ"	"˧˩"
"珊"	"珊"	"sao1"	"sɔ˦˦"		"s"	"ɔ"	"˦˦"
"散"	"散"	"sao3"	"sɔ˧˥"		"s"	"ɔ"	"˧˥"
"傘"	"伞"	"sao3"	"sɔ˧˥"		"s"	"ɔ"	"˧˥"
"散"	"散"	"sao5"	"sɔ˥˨"		"s"	"ɔ"	"˥˨"
"肝"	"肝"	"koe1"	"kɵ˦˦"		"k"	"ɵ"	"˦˦"
"竿"	"竿"	"koe1"	"kɵ˦˦"		"k"	"ɵ"	"˦˦"
"幹"	"干"	"koe1"	"kɵ˦˦"		"k"	"ɵ"	"˦˦"
"乾"	"干"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"桿"	"杆"	"koe1"	"kɵ˦˦"		"k"	"ɵ"	"˦˦"
"稈"	"秆"	"koe3"	"kɵ˧˥"		"k"	"ɵ"	"˧˥"
"擀"	"擀"	"koe3"	"kɵ˧˥"		"k"	"ɵ"	"˧˥"
"趕"	"赶"	"koe3"	"kɵ˧˥"		"k"	"ɵ"	"˧˥"
"幹"	"干"	"koe5"	"kɵ˥˨"		"k"	"ɵ"	"˥˨"
"看"	"看"	"khoe1"	"kʰɵ˦˦"		"kʰ"	"ɵ"	"˦˦"
"刊"	"刊"	"khoe1"	"kʰɵ˦˦"		"kʰ"	"ɵ"	"˦˦"
"侃"	"侃"	"khoe3"	"kʰɵ˧˥"		"kʰ"	"ɵ"	"˧˥"
"看"	"看"	"khoe5"	"kʰɵ˥˨"		"kʰ"	"ɵ"	"˥˨"
"岸"	"岸"	"ghoe6"	"ɦɵ˨˨"		"ɦ"	"ɵ"	"˨˨"
"鼾"	"鼾"	"hoe1"	"hɵ˦˦"		"h"	"ɵ"	"˦˦"
"罕"	"罕"	"hoe3"	"hɵ˧˥"		"h"	"ɵ"	"˧˥"
"漢"	"汉"	"hoe5"	"hɵ˥˨"		"h"	"ɵ"	"˥˨"
"寒"	"寒"	"ghoe2"	"ɦɵ˧˩"		"ɦ"	"ɵ"	"˧˩"
"韓"	"韩"	"ghoe2"	"ɦɵ˧˩"		"ɦ"	"ɵ"	"˧˩"
"旱"	"旱"	"ghoe4"	"ɦɵ˩˧"		"ɦ"	"ɵ"	"˩˧"
"汗"	"汗"	"ghoe6"	"ɦɵ˨˨"		"ɦ"	"ɵ"	"˨˨"
"翰"	"翰"	"ghoe6"	"ɦɵ˨˨"		"ɦ"	"ɵ"	"˨˨"
"安"	"安"	"oe1"	"ʔɵ˦˦"		"ʔ"	"ɵ"	"˦˦"
"鞍"	"鞍"	"oe1"	"ʔɵ˦˦"		"ʔ"	"ɵ"	"˦˦"
"按"	"按"	"oe5"	"ʔɵ˥˨"		"ʔ"	"ɵ"	"˥˨"
"案"	"案"	"oe5"	"ʔɵ˥˨"		"ʔ"	"ɵ"	"˥˨"
"扮"	"扮"	"pao5"	"pɔ˥˨"		"p"	"ɔ"	"˥˨"
"盼"	"盼"	"phao5"	"pʰɔ˥˨"		"pʰ"	"ɔ"	"˥˨"
"瓣"	"瓣"	"phao5"	"pʰɔ˥˨"		"pʰ"	"ɔ"	"˥˨"
"辦"	"办"	"bao6"	"bɔ˨˨"		"b"	"ɔ"	"˨˨"
"綻"	"绽"	"dzao6"	"dzɔ˨˨"		"dz"		"˨˨"
"盞"	"盏"	"tsao4"	"tsɔ˩˧"		"ts"	"ɔ"	"˩˧"
"鏟"	"铲"	"dzao2"	"dzɔ˧˩"		"dz"		"˧˩"
"鏟"	"铲"	"zao2"	"zɔ˧˩"		"z"	"ɔ"	"˧˩"
"潺"	"潺"	"tshao3"	"tsʰɔ˧˥"		"tsʰ"	"ɔ"	"˧˥"
"山"	"山"	"sao1"	"sɔ˦˦"		"s"	"ɔ"	"˦˦"
"產"	"产"	"sao3"	"sɔ˧˥"		"s"	"ɔ"	"˧˥"
"艱"	"艰"	"kao1"	"kɔ˦˦"		"k"	"ɔ"	"˦˦"
"間"	"间"	"kao1"	"kɔ˦˦"		"k"	"ɔ"	"˦˦"
"簡"	"简"	"kao3"	"kɔ˧˥"		"k"	"ɔ"	"˧˥"
"揀"	"拣"	"kao3"	"kɔ˧˥"		"k"	"ɔ"	"˧˥"
"柬"	"柬"	"kao3"	"kɔ˧˥"		"k"	"ɔ"	"˧˥"
"間"	"间"	"ci1"	"tɕi˦˦"	"一間"	"tɕ"	"i"	"˦˦"
"眼"	"眼"	"ngao4"	"ŋɔ˩˧"		"ŋ"	"ɔ"	"˩˧"
"閒"	"闲"	"ghao2"	"ɦɔ˧˩"		"ɦ"	"ɔ"	"˧˩"
"限"	"限"	"ghao4"	"ɦɔ˩˧"		"ɦ"	"ɔ"	"˩˧"
"莧"	"苋"	"shi5"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"班"	"班"	"pao1"	"pɔ˦˦"		"p"	"ɔ"	"˦˦"
"扳"	"扳"	"pao1"	"pɔ˦˦"		"p"	"ɔ"	"˦˦"
"頒"	"颁"	"pao1"	"pɔ˦˦"		"p"	"ɔ"	"˦˦"
"板"	"板"	"pao3"	"pɔ˧˥"		"p"	"ɔ"	"˧˥"
"版"	"版"	"pao3"	"pɔ˧˥"		"p"	"ɔ"	"˧˥"
"攀"	"攀"	"phao1"	"pʰɔ˦˦"		"pʰ"	"ɔ"	"˦˦"
"扳"	"扳"	"pao1"	"pɔ˦˦"		"p"	"ɔ"	"˦˦"
"襻"	"襻"	"phao5"	"pʰɔ˥˨"		"pʰ"	"ɔ"	"˥˨"
"蠻"	"蛮"	"mao1"	"ʔmɔ˦˦"		"ʔm"	"ɔ"	"˦˦"
"蠻"	"蛮"	"mao2"	"mɔ˧˩"		"m"	"ɔ"	"˧˩"
"慢"	"慢"	"mao6"	"mɔ˨˨"		"m"	"ɔ"	"˨˨"
"棧"	"栈"	"dzao6"	"dzɔ˨˨"		"dz"		"˨˨"
"刪"	"删"	"sao1"	"sɔ˦˦"		"s"	"ɔ"	"˦˦"
"訕"	"讪"	"sao3"	"sɔ˧˥"		"s"	"ɔ"	"˧˥"
"訕"	"讪"	"sao5"	"sɔ˥˨"		"s"	"ɔ"	"˥˨"
"疝"	"疝"	"sao5"	"sɔ˥˨"		"s"	"ɔ"	"˥˨"
"奸"	"奸"	"kao1"	"kɔ˦˦"		"k"	"ɔ"	"˦˦"
"姦"	"奸"	"kao1"	"kɔ˦˦"		"k"	"ɔ"	"˦˦"
"諫"	"谏"	"kao5"	"kɔ˥˨"		"k"	"ɔ"	"˥˨"
"顏"	"颜"	"ngao2"	"ŋɔ˧˩"		"ŋ"	"ɔ"	"˧˩"
"雁"	"雁"	"ngao6"	"ŋɔ˨˨"		"ŋ"	"ɔ"	"˨˨"
"晏"	"晏"	"ao5"	"ʔɔ˥˨"		"ʔ"	"ɔ"	"˥˨"
"編"	"编"	"pi1"	"pi˦˦"		"p"	"i"	"˦˦"
"鞭"	"鞭"	"pi1"	"pi˦˦"		"p"	"i"	"˦˦"
"變"	"变"	"pi5"	"pi˥˨"		"p"	"i"	"˥˨"
"篇"	"篇"	"phi1"	"pʰi˦˦"		"pʰ"	"i"	"˦˦"
"偏"	"偏"	"phi1"	"pʰi˦˦"		"pʰ"	"i"	"˦˦"
"騙"	"骗"	"phi5"	"pʰi˥˨"		"pʰ"	"i"	"˥˨"
"便"	"便"	"bi2"	"bi˧˩"		"b"	"i"	"˧˩"
"辨"	"辨"	"bi4"	"bi˩˧"		"b"	"i"	"˩˧"
"辯"	"辩"	"bi4"	"bi˩˧"		"b"	"i"	"˩˧"
"便"	"便"	"bi6"	"bi˨˨"		"b"	"i"	"˨˨"
"汴"	"汴"	"bi6"	"bi˨˨"		"b"	"i"	"˨˨"
"綿"	"绵"	"mi2"	"mi˧˩"		"m"	"i"	"˧˩"
"棉"	"棉"	"mi2"	"mi˧˩"		"m"	"i"	"˧˩"
"棉"	"棉"	"mei2"	"mei˧˩"	"棉毛衫"	"m"	"ei"	"˧˩"
"免"	"免"	"mi4"	"mi˩˧"		"m"	"i"	"˩˧"
"勉"	"勉"	"mi4"	"mi˩˧"		"m"	"i"	"˩˧"
"娩"	"娩"	"mi4"	"mi˩˧"		"m"	"i"	"˩˧"
"緬"	"缅"	"mi6"	"mi˨˨"		"m"	"i"	"˨˨"
"面"	"面"	"mai6"	"mai˨˨"	"上面，下麵"	"m"	"ai"	"˨˨"
"面"	"面"	"mi6"	"mi˨˨"		"m"	"i"	"˨˨"
"碾"	"碾"	"gni4"	"ȵi˩˧"		"ȵ"	"i"	"˩˧"
"碾"	"碾"	"gni6"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"連"	"连"	"li2"	"li˧˩"		"l"	"i"	"˧˩"
"聯"	"联"	"li2"	"li˧˩"		"l"	"i"	"˧˩"
"輦"	"辇"	"li4"	"li˩˧"		"l"	"i"	"˩˧"
"煎"	"煎"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"剪"	"剪"	"ci3"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"箭"	"箭"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"濺"	"溅"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"遷"	"迁"	"chi1"	"tɕʰi˦˦"		"tɕʰ"	"i"	"˦˦"
"淺"	"浅"	"chi3"	"tɕʰi˧˥"		"tɕʰ"	"i"	"˧˥"
"錢"	"钱"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"鈿"	"钿"	"di2"	"di˧˩"	"錢"	"d"	"i"	"˧˩"
"踐"	"践"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"賤"	"贱"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"仙"	"仙"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"鮮"	"鲜"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"鮮"	"鲜"	"shi3"	"ɕi˧˥"		"ɕ"	"i"	"˧˥"
"癬"	"癣"	"shi3"	"ɕi˧˥"		"ɕ"	"i"	"˧˥"
"線"	"线"	"shi5"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"涎"	"涎"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"羨"	"羡"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"展"	"展"	"ci3"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"纏"	"缠"	"jiu2"	"dʑy˧˩"		"dʑ"	"y"	"˧˩"
"纏"	"缠"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"纏"	"缠"	"ji6"	"dʑi˨˨"		"dʑ"		"˨˨"
"氈"	"毡"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"戰"	"战"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"顫"	"颤"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"膻"	"膻"	"sao1"	"sɔ˦˦"		"s"	"ɔ"	"˦˦"
"膻"	"膻"	"dao6"	"dɔ˨˨"		"d"	"ɔ"	"˨˨"
"扇"	"扇"	"shi5"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"蟬"	"蝉"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"禪"	"禅"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"善"	"善"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"膳"	"膳"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"擅"	"擅"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"禪"	"禅"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"然"	"然"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"燃"	"燃"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"遣"	"遣"	"chi3"	"tɕʰi˧˥"		"tɕʰ"	"i"	"˧˥"
"虔"	"虔"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"件"	"件"	"ji4"	"dʑi˩˧"		"dʑ"	"i"	"˩˧"
"諺"	"谚"	"gni6"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"焉"	"焉"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"延"	"延"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"筵"	"筵"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"演"	"演"	"i3"	"ʔi˧˥"		"ʔ"	"i"	"˧˥"
"建"	"建"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"鍵"	"键"	"ji6"	"dʑi˨˨"		"dʑ"		"˨˨"
"健"	"健"	"ji6"	"dʑi˨˨"		"dʑ"		"˨˨"
"腱"	"腱"	"ji6"	"dʑi˨˨"		"dʑ"		"˨˨"
"言"	"言"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"軒"	"轩"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"掀"	"掀"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"掀"	"掀"	"shian1"	"ɕiaŋ˦˦"		"ɕ"	"iaŋ"	"˦˦"
"憲"	"宪"	"shi5"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"獻"	"献"	"shi5"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"蔫"	"蔫"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"堰"	"堰"	"i5"	"ʔi˥˨"		"ʔ"	"i"	"˥˨"
"邊"	"边"	"pi1"	"pi˦˦"		"p"	"i"	"˦˦"
"蝙"	"蝙"	"pi3"	"pi˧˥"		"p"	"i"	"˧˥"
"扁"	"扁"	"pi3"	"pi˧˥"		"p"	"i"	"˧˥"
"匾"	"匾"	"pi3"	"pi˧˥"		"p"	"i"	"˧˥"
"遍"	"遍"	"pi5"	"pi˥˨"		"p"	"i"	"˥˨"
"片"	"片"	"phi5"	"pʰi˥˨"		"pʰ"	"i"	"˥˨"
"駢"	"骈"	"bi2"	"bi˧˩"		"b"	"i"	"˧˩"
"辮"	"辫"	"bi4"	"bi˩˧"		"b"	"i"	"˩˧"
"眠"	"眠"	"mei1"	"ʔmei˦˦"	"眠床頭：床頭"	"ʔm"	"ei"	"˦˦"
"眠"	"眠"	"mi2"	"mi˧˩"		"m"	"i"	"˧˩"
"麵"	"面"	"mi6"	"mi˨˨"		"m"	"i"	"˨˨"
"顛"	"颠"	"ti1"	"ti˦˦"		"t"	"i"	"˦˦"
"典"	"典"	"ti3"	"ti˧˥"		"t"	"i"	"˧˥"
"天"	"天"	"thi1"	"tʰi˦˦"		"tʰ"	"i"	"˦˦"
"田"	"田"	"di2"	"di˧˩"		"d"	"i"	"˧˩"
"填"	"填"	"di2"	"di˧˩"		"d"	"i"	"˧˩"
"電"	"电"	"di6"	"di˨˨"		"d"	"i"	"˨˨"
"殿"	"殿"	"di6"	"di˨˨"		"d"	"i"	"˨˨"
"奠"	"奠"	"di6"	"di˨˨"		"d"	"i"	"˨˨"
"佃"	"佃"	"di2"	"di˧˩"		"d"	"i"	"˧˩"
"佃"	"佃"	"di6"	"di˨˨"		"d"	"i"	"˨˨"
"年"	"年"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"攆"	"撵"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"撚"	"捻"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"憐"	"怜"	"li2"	"li˧˩"		"l"	"i"	"˧˩"
"蓮"	"莲"	"li2"	"li˧˩"		"l"	"i"	"˧˩"
"練"	"练"	"li6"	"li˨˨"		"l"	"i"	"˨˨"
"煉"	"炼"	"li6"	"li˨˨"		"l"	"i"	"˨˨"
"箋"	"笺"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"薦"	"荐"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"千"	"千"	"chi1"	"tɕʰi˦˦"		"tɕʰ"	"i"	"˦˦"
"前"	"前"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"先"	"先"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"肩"	"肩"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"堅"	"坚"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"繭"	"茧"	"ci3"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"見"	"见"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"牽"	"牵"	"chi1"	"tɕʰi˦˦"		"tɕʰ"	"i"	"˦˦"
"研"	"研"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"硯"	"砚"	"gni6"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"顯"	"显"	"shi3"	"ɕi˧˥"		"ɕ"	"i"	"˧˥"
"賢"	"贤"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"弦"	"弦"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"現"	"现"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"煙"	"烟"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"燕"	"燕"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"燕"	"燕"	"i3"	"ʔi˧˥"		"ʔ"	"i"	"˧˥"
"燕"	"燕"	"i5"	"ʔi˥˨"		"ʔ"	"i"	"˥˨"
"嚥"	"咽"	"i5"	"ʔi˥˨"		"ʔ"	"i"	"˥˨"
"宴"	"宴"	"i5"	"ʔi˥˨"		"ʔ"	"i"	"˥˨"
"獺"	"獭"	"thao7"	"tʰɔ˧˨˨"		"tʰ"	"ɔ"	"˧˨˨"
"達"	"达"	"da8"	"da˨˩˩"		"d"	"a"	"˨˩˩"
"捺"	"捺"	"nao8"	"nɔ˨˩˩"		"n"	"ɔ"	"˨˩˩"
