"繁體"	"简体"	"聲韻"	"聲調"	"注釋"		"1：˧˧"	"2：˧˩"
"鳥"	"鸟"	"tiɛ"	35				
"點"	"点"	"ti"	35				
"黨"	"党"	"tuɔ"	35				
"鼎"	"鼎"	"teŋ"	35				
"□"	"□"	"tʰe"	35	"<口臺>音不正"			
"倘"	"倘"	"tʰuɔ"	35				
"儻"	"傥"	"tʰuɔ"	35				
"吐"	"吐"	"tʰøy"	35				
"噸"	"吨"	"tʰø"	35	"氣味襲人"			
"土"	"土"	"tʰøy"	35				
"坦"	"坦"	"tʰa"	35				
"妥"	"妥"	"tʰɤu"	35				
"帑"	"帑"	"tʰuɔ"	35				
"忝"	"忝"	"tʰi"	35				
"惝"	"惝"	"tʰuɔ"	35				
"挑"	"挑"	"tʰiɛ"	35	"～選"			
"挺"	"挺"	"tʰeŋ"	35				
"捅"	"捅"	"tʰoŋ"	35				
"敨"	"敨"	"tʰau"	35	"舒氣；展開線團、紙團"			
"殄"	"殄"	"tʰi"	35				
"毯"	"毯"	"tʰa"	35				
"淌"	"淌"	"tʰuɔ"	35				
"疃"	"疃"	"tʰø"	35				
"統"	"统"	"tʰoŋ"	35				
"耥"	"耥"	"tʰuɔ"	35				
"腆"	"腆"	"tʰi"	35				
"腿"	"腿"	"tʰai"	35				
"舔"	"舔"	"tʰei"	35				
"舔"	"舔"	"tʰi"	35				
"艇"	"艇"	"tʰeŋ"	35				
"菼"	"菼"	"tʰa"	35				
"袒"	"袒"	"tʰa"	35				
"討"	"讨"	"tʰɜ"	35				
"躺"	"躺"	"tʰuɔ"	35				
"鉭"	"钽"	"tʰa"	35	"元素名"			
"钂"	"钂"	"tʰuɔ"	35				
"體"	"体"	"tʰei"	35				
"□"	"□"	"da"	35	"<竹/戾>竹器"			
"動"	"动"	"doŋ"	35				
"啖"	"啖"	"da"	35				
"啗"	"啗"	"da"	35				
"噉"	"噉"	"da"	35				
"囤"	"囤"	"dø"	35	"倉～"			
"堵"	"堵"	"dɤu"	35	"垢物積聚"			
"墊"	"垫"	"di"	35	"牙齒嚼到硬物"			
"墮"	"堕"	"dɤu"	35				
"娣"	"娣"	"dei"	35				
"宕"	"宕"	"duɔ"	35	"屋宕"			
"弟"	"弟"	"dei"	35				
"待"	"待"	"de"	35				
"怠"	"怠"	"de"	35				
"惰"	"惰"	"dɤu"	35				
"掉"	"掉"	"diɛ"	35	"～頭"			
"斷"	"断"	"daŋ"	35	"白"			
"斷"	"断"	"dø"	35	"～絕"			
"杜"	"杜"	"døy"	35				
"桶"	"桶"	"doŋ"	35				
"殆"	"殆"	"de"	35				
"氮"	"氮"	"da"	35				
"沌"	"沌"	"daŋ"	35				
"淡"	"淡"	"da"	35				
"澄"	"澄"	"deŋ"	35	"水澄一澄"			
"澹"	"澹"	"da"	35				
"稻"	"稻"	"dɜ"	35				
"窕"	"窕"	"diɛ"	35				
"簟"	"簟"	"di"	35				
"籪"	"簖"	"dø"	35				
"肚"	"肚"	"døy"	35	"腹"			
"舵"	"舵"	"dɤu"	35				
"萏"	"萏"	"da"	35				
"蕩"	"荡"	"duɔ"	35				
"蛹"	"蛹"	"doŋ"	35				
"袒"	"袒"	"da"	35	"出膊～裸"			
"道"	"道"	"dɜ"	35				
"錠"	"锭"	"deŋ"	35				
"假"	"假"	"ko"	35	"真～"			
"剮"	"剐"	"ko"	35				
"剮"	"剐"	"ku"	35				
"古"	"古"	"ku"	35				
"哽"	"哽"	"kiɛ"	35				
"垢"	"垢"	"kau"	35				
"埂"	"埂"	"kiɛ"	35				
"堿"	"碱"	"ka"	35				
"寡"	"寡"	"ko"	35				
"岣"	"岣"	"kau"	35				
"幾"	"几"	"ke"	35	"幾個"			
"幾"	"几"	"ki"	35	"～個"			
"廣"	"广"	"kuɔ"	35				
"感"	"感"	"ky"	35				
"戇"	"戆"	"koŋ"	35	"失去理性的猛烈行爲"			
"拐"	"拐"	"ka"	35				
"拱"	"拱"	"koŋ"	35				
"揀"	"拣"	"ka"	35				
"搞"	"搞"	"kɜ"	35				
"擀"	"擀"	"ky"	35				
"攪"	"搅"	"kuɔ"	35	"～調，玩耍"			
"攪"	"搅"	"ku"	35	"～糊兒："			
"改"	"改"	"ke"	35				
"敢"	"敢"	"ky"	35				
"斝"	"斝"	"ko"	35				
"杲"	"杲"	"kɜ"	35				
"果"	"果"	"ku"	35				
"枸"	"枸"	"kau"	35				
"柬"	"柬"	"ka"	35				
"梗"	"梗"	"kiɛ"	35				
"槁"	"槁"	"kɜ"	35				
"槚"	"槚"	"ko"	35				
"橄"	"橄"	"ky"	35				
"減"	"减"	"ka"	35				
"港"	"港"	"kuɔ"	35				
"滾"	"滚"	"kaŋ"	35				
"牯"	"牯"	"ku"	35				
"狗"	"狗"	"kau"	35				
"狡"	"狡"	"ka"	35	"～猾"			
"狡"	"狡"	"kuɔ"	35				
"琯"	"琯"	"ky"	35				
"瘕"	"瘕"	"ko"	35				
"皎"	"皎"	"kuɔ"	35				
"盬"	"盬"	"ku"	35				
"瞽"	"瞽"	"ku"	35				
"碬"	"碬"	"ko"	35				
"稈"	"秆"	"ky"	35				
"稿"	"稿"	"kɜ"	35				
"笱"	"笱"	"kau"	35				
"筊"	"筊"	"kuɔ"	35				
"筦"	"筦"	"ky"	35				
"管"	"管"	"kaŋ"	35				
"管"	"管"	"ky"	35				
"簡"	"简"	"ka"	35				
"絞"	"绞"	"kuɔ"	35				
"綆"	"绠"	"kiɛ"	35				
"緄"	"绲"	"kaŋ"	35				
"縞"	"缟"	"kɜ"	35				
"罟"	"罟"	"ku"	35				
"羖"	"羖"	"ku"	35				
"耇"	"耇"	"kau"	35				
"耩"	"耩"	"kuɔ"	35				
"耿"	"耿"	"kiɛ"	35				
"股"	"股"	"ku"	35				
"臌"	"臌"	"ku"	35				
"苟"	"苟"	"kau"	35				
"蠱"	"蛊"	"ku"	35				
"袞"	"衮"	"kaŋ"	35				
"裹"	"裹"	"ku"	35				
"襉"	"襉"	"ka"	35				
"解"	"解"	"ka"	35	"～放"			
"詁"	"诂"	"ku"	35				
"講"	"讲"	"kuɔ"	35				
"賈"	"贾"	"ko"	35	"姓"			
"賈"	"贾"	"ku"	35	"商～"			
"趕"	"赶"	"ky"	35				
"輨"	"輨"	"ky"	35				
"鉸"	"铰"	"ka"	35	"～剪"			
"鉸"	"铰"	"kuɔ"	35				
"鐧"	"锏"	"ka"	35				
"鞏"	"巩"	"koŋ"	35				
"餃"	"饺"	"kuɔ"	35	"～兒"			
"館"	"馆"	"ky"	35				
"鯁"	"鲠"	"kiɛ"	35				
"鼓"	"鼓"	"ku"	35				
"□"	"□"	"kaŋ"	35	"蓋"			
"佧"	"佧"	"kʰa"	35	"～佤族"			
"侃"	"侃"	"kʰø"	35				
"傀"	"傀"	"kʰai"	35				
"凱"	"凯"	"kʰe"	35				
"剴"	"剀"	"kʰe"	35				
"卡"	"卡"	"kʰa"	35				
"口"	"口"	"kʰau"	35				
"可"	"可"	"kʰuɔ"	35				
"坎"	"坎"	"kʰø"	35				
"墾"	"垦"	"kʰaŋ"	35				
"孔"	"孔"	"kʰoŋ"	35				
"巧"	"巧"	"kʰuɔ"	35				
"恐"	"恐"	"kʰoŋ"	35				
"愷"	"恺"	"kʰe"	35				
"懇"	"恳"	"kʰaŋ"	35				
"拷"	"拷"	"kʰɜ"	35				
"捆"	"捆"	"kʰaŋ"	35				
"栲"	"栲"	"kʰɜ"	35				
"楷"	"楷"	"kʰa"	35				
"檻"	"槛"	"kʰa"	35				
"款"	"款"	"kʰø"	35				
"欿"	"欿"	"kʰø"	35				
"砍"	"砍"	"kʰø"	35				
"窾"	"窾"	"kʰø"	35				
"考"	"考"	"kʰɜ"	35				
"肯"	"肯"	"kʰaŋ"	35				
"艦"	"舰"	"kʰa"	35				
"苦"	"苦"	"kʰu"	35				
"鍇"	"锴"	"kʰa"	35				
"鎧"	"铠"	"kʰe"	35				
"闓"	"闓"	"kʰe"	35				
"□"	"□"	"gaŋ"	35	"<氣頁>腫"			
"□"	"□"	"gu"	35	"鈍刀來回割"			
"厚"	"厚"	"gau"	35				
"徛"	"徛"	"ge"	35				
"獷"	"犷"	"guɔ"	35	"獷客"			
"荷"	"荷"	"ga"	35	"反手背人"			
"解"	"解"	"ga"	35	"解木板"			
"限"	"限"	"ga"	35				
"頷"	"颔"	"gø"	35				
"骾"	"骾"	"giɛ"	35	"義同見母以外，還有阻梗義"			
"也"	"也"	"ʔjiɛ"	35				
"俑"	"俑"	"ʔjyɔ"	35				
"倚"	"倚"	"ʔji"	35				
"允"	"允"	"ʔjioŋ"	35				
"勇"	"勇"	"ʔjyɔ"	35				
"夭"	"夭"	"ʔjiɛ"	35				
"委"	"委"	"ʔvu"	35				
"婉"	"婉"	"ʔjy"	35				
"宛"	"宛"	"ʔjy"	35				
"尹"	"尹"	"ʔjioŋ"	35				
"幻"	"幻"	"ʔva"	35				
"影"	"影"	"ʔjiaŋ"	35				
"掩"	"掩"	"ʔji"	35				
"揾"	"揾"	"ʔvaŋ"	35	"色彩不鮮"			
"擁"	"拥"	"ʔjioŋ"	35				
"旖"	"旖"	"ʔji"	35				
"杳"	"杳"	"ʔjiɛ"	35				
"枉"	"枉"	"ʔjyɔ"	35				
"椅"	"椅"	"ʔji"	35				
"永"	"永"	"ʔjioŋ"	35				
"泳"	"泳"	"ʔjioŋ"	35				
"湧"	"涌"	"ʔjyɔ"	35				
"燕"	"燕"	"ʔji"	35	"小稱"			
"狁"	"狁"	"ʔjioŋ"	35				
"甬"	"甬"	"ʔjyɔ"	35				
"皖"	"皖"	"ʔva"	35				
"碗"	"碗"	"ʔjy"	35				
"穩"	"稳"	"ʔjy"	35				
"窅"	"窅"	"ʔjiɛ"	35				
"窈"	"窈"	"ʔjiɛ"	35				
"綰"	"绾"	"ʔva"	35				
"腕"	"腕"	"ʔjy"	35				
"腕"	"腕"	"ʔva"	35				
"舀"	"舀"	"ʔjiɛ"	35				
"苑"	"苑"	"ʔjy"	35				
"莞"	"莞"	"ʔva"	35				
"萎"	"萎"	"ʔvu"	35				
"蛹"	"蛹"	"ʔjyɔ"	35				
"蜿"	"蜿"	"ʔjy"	35				
"詠"	"咏"	"ʔjioŋ"	35				
"諉"	"诿"	"ʔvu"	35				
"豌"	"豌"	"ʔjy"	35				
"踴"	"踊"	"ʔjyɔ"	35				
"野"	"野"	"ʔjia"	35	"假"			
"野"	"野"	"ʔji"	35				
"隱"	"隐"	"ʔjiaŋ"	35				
"飲"	"饮"	"ʔjiaŋ"	35				
"養"	"养"	"ʔji"	35				
"黝"	"黝"	"ʔjiau"	35				
"不"	"不"	"fu"	35				
"俯"	"俯"	"fu"	35				
"俯"	"俯"	"føy"	35				
"匪"	"匪"	"fei"	35				
"反"	"反"	"fa"	35				
"否"	"否"	"fɜ"	35				
"夥"	"伙"	"fu"	35				
"府"	"府"	"føy"	35				
"悔"	"悔"	"fai"	35				
"悱"	"悱"	"fei"	35				
"拊"	"拊"	"fu"	35				
"撫"	"抚"	"fu"	35				
"斧"	"斧"	"fu"	35				
"朏"	"朏"	"fei"	35				
"榧"	"榧"	"fei"	35				
"殕"	"殕"	"føy"	35	"白～：白色霉菌"			
"滸"	"浒"	"fu"	35				
"火"	"火"	"fu"	35				
"燴"	"烩"	"fai"	35				
"父"	"父"	"fu"	35	"漁～"			
"琥"	"琥"	"fu"	35				
"甫"	"甫"	"fu"	35				
"簠"	"簠"	"fu"	35				
"粉"	"粉"	"faŋ"	35				
"脯"	"脯"	"fu"	35				
"腑"	"腑"	"føy"	35				
"菲"	"菲"	"fei"	35	"～薄"			
"虎"	"虎"	"fu"	35				
"誹"	"诽"	"fei"	35				
"賄"	"贿"	"fai"	35				
"輔"	"辅"	"fu"	35				
"返"	"返"	"fa"	35				
"釜"	"釜"	"fu"	35				
"鈥"	"钬"	"fu"	35				
"□"	"□"	"viɛ"	35	"<天/明>～亮，天空明亮"			
"□"	"□"	"viɛ"	35	"<氵[/目]>～清，水清皃"			
"予"	"予"	"vu"	35				
"侮"	"侮"	"vu"	35				
"刎"	"刎"	"vaŋ"	35				
"匯"	"汇"	"vai"	35	"～集"			
"吠"	"吠"	"vei"	35	"文"			
"吻"	"吻"	"vaŋ"	35				
"唯"	"唯"	"vu"	35				
"婦"	"妇"	"vøy"	35				
"嫵"	"妩"	"vu"	35				
"宇"	"宇"	"vu"	35				
"尾"	"尾"	"vei"	35	"文"			
"庾"	"庾"	"vu"	35				
"廡"	"庑"	"vu"	35				
"忿"	"忿"	"vaŋ"	35				
"怙"	"怙"	"vu"	35				
"愈"	"愈"	"vu"	35				
"憤"	"愤"	"vaŋ"	35				
"戶"	"户"	"vu"	35				
"扈"	"扈"	"vu"	35				
"挽"	"挽"	"va"	35				
"撔"	"撔"	"viɛ"	35	"竿于空中劃動"			
"晚"	"晚"	"va"	35				
"樊"	"樊"	"va"	35	"姓"			
"武"	"武"	"vu"	35				
"氛"	"氛"	"vaŋ"	35				
"滬"	"沪"	"vu"	35				
"煒"	"炜"	"vu"	35				
"父"	"父"	"vøy"	35				
"犯"	"犯"	"va"	35				
"瑋"	"玮"	"vu"	35				
"瘐"	"瘐"	"vu"	35				
"皖"	"皖"	"va"	35				
"祜"	"祜"	"vu"	35				
"禍"	"祸"	"vu"	35				
"禹"	"禹"	"vu"	35				
"範"	"范"	"va"	35				
"缶"	"缶"	"vɜ"	35				
"羽"	"羽"	"vu"	35				
"與"	"与"	"vu"	35				
"舞"	"舞"	"vu"	35				
"負"	"负"	"vu"	35				
"負"	"负"	"vøy"	35				
"鄠"	"鄠"	"vu"	35				
"阜"	"阜"	"vɜ"	35				
"雨"	"雨"	"vu"	35				
"韙"	"韪"	"vu"	35				
"鵡"	"鹉"	"vu"	35				
"□"	"□"	"tsai"	35	"<氵再>驚而肉跳"			
"主"	"主"	"tsɿ"	35				
"井"	"井"	"tseŋ"	35				
"仔"	"仔"	"tsɿ"	35				
"傯"	"偬"	"tsoŋ"	35				
"咫"	"咫"	"tsɿ"	35				
"嘴"	"嘴"	"tsɿ"	35				
"址"	"址"	"tsɿ"	35				
"姊"	"姊"	"tsɿ"	35				
"姐"	"姐"	"tsei"	35				
"子"	"子"	"tsɿ"	35				
"宰"	"宰"	"tse"	35				
"崽"	"崽"	"tse"	35				
"左"	"左"	"tsɤu"	35				
"己"	"己"	"tsɿ"	35				
"幾"	"几"	"tsɿ"	35				
"怎"	"怎"	"tso"	35				
"找"	"找"	"tsuɔ"	35				
"拯"	"拯"	"tseŋ"	35				
"指"	"指"	"tsɿ"	35				
"撙"	"撙"	"tsø"	35				
"整"	"整"	"tseŋ"	35				
"斬"	"斩"	"tsa"	35				
"旨"	"旨"	"tsɿ"	35				
"早"	"早"	"tsɜ"	35				
"枕"	"枕"	"tsaŋ"	35				
"梓"	"梓"	"tsɿ"	35				
"棗"	"枣"	"tsɜ"	35				
"止"	"止"	"tsɿ"	35				
"沚"	"沚"	"tsɿ"	35				
"滓"	"滓"	"tsɿ"	35				
"澡"	"澡"	"tsɜ"	35				
"煮"	"煮"	"tsei"	35				
"爪"	"爪"	"tsuɔ"	35				
"璪"	"璪"	"tsɜ"	35				
"疹"	"疹"	"tsaŋ"	35				
"盞"	"盏"	"tsa"	35				
"祉"	"祉"	"tsɿ"	35				
"祖"	"祖"	"tsøy"	35				
"稹"	"稹"	"tsaŋ"	35				
"笫"	"笫"	"tsɿ"	35				
"籽"	"籽"	"tsɿ"	35				
"紀"	"纪"	"tsɿ"	35				
"紙"	"纸"	"tsei"	35				
"紫"	"紫"	"tsɿ"	35				
"組"	"组"	"tsɤu"	35				
"縝"	"缜"	"tsaŋ"	35				
"總"	"总"	"tsoŋ"	35				
"纂"	"纂"	"tsø"	35				
"纘"	"缵"	"tsø"	35				
"者"	"者"	"tse"	35				
"芷"	"芷"	"tsɿ"	35				
"藻"	"藻"	"tsɜ"	35				
"蚤"	"蚤"	"tsɜ"	35				
"蟣"	"虮"	"tsɿ"	35				
"診"	"诊"	"tsaŋ"	35				
"赭"	"赭"	"tse"	35				
"走"	"走"	"tsau"	35				
"趾"	"趾"	"tsɿ"	35				
"載"	"载"	"tse"	35	"年載"			
"阻"	"阻"	"tsɤu"	35				
"鮓"	"鮓"	"tso"	35				
"麂"	"麂"	"tsɿ"	35				
"且"	"且"	"tsʰei"	35				
"企"	"企"	"tsʰɿ"	35				
"侈"	"侈"	"tsʰɿ"	35				
"取"	"取"	"tsʰɿ"	35				
"吵"	"吵"	"tsʰuɔ"	35				
"啟"	"启"	"tsʰɿ"	35				
"圯"	"圯"	"tsʰɿ"	35				
"娶"	"娶"	"tsʰɿ"	35				
"寀"	"寀"	"tsʰe"	35				
"寢"	"寝"	"tsʰaŋ"	35				
"廠"	"厂"	"tsʰe"	35				
"彩"	"彩"	"tsʰe"	35				
"忖"	"忖"	"tsʰø"	35				
"恥"	"耻"	"tsʰɿ"	35				
"慘"	"惨"	"tsʰø"	35				
"扯"	"扯"	"tsʰei"	35				
"攛"	"撺"	"tsʰø"	35	"～掇"			
"杞"	"杞"	"tsʰɿ"	35				
"杵"	"杵"	"tsʰei"	35				
"楚"	"楚"	"tsʰɤu"	35				
"此"	"此"	"tsʰɿ"	35				
"湊"	"凑"	"tsʰau"	35	"伺機"			
"炒"	"炒"	"tsʰuɔ"	35				
"璀"	"璀"	"tsʰai"	35				
"產"	"产"	"tsʰa"	35				
"睬"	"睬"	"tsʰe"	35				
"礎"	"础"	"tsʰɤu"	35				
"礎"	"础"	"tsʰɿ"	35	"磉礎"			
"篡"	"篡"	"tsʰø"	35				
"綺"	"绮"	"tsʰɿ"	35				
"脆"	"脆"	"tsʰai"	35				
"草"	"草"	"tsʰɜ"	35	"～木；～雞，雌雞"			
"處"	"处"	"tsʰɿ"	35	"～理"			
"褫"	"褫"	"tsʰɿ"	35				
"請"	"请"	"tsʰeŋ"	35				
"豈"	"岂"	"tsʰɿ"	35				
"起"	"起"	"tsʰɿ"	35				
"踩"	"踩"	"tsʰe"	35				
"逞"	"逞"	"tsʰeŋ"	35				
"采"	"采"	"tsʰe"	35				
"鏟"	"铲"	"tsʰa"	35				
"鼠"	"鼠"	"tsʰei"	35				
"齒"	"齿"	"tsʰɿ"	35				
"□"	"□"	"soŋ"	35	"<扌送>順勢推去"			
"使"	"使"	"sɿ"	35				
"傘"	"伞"	"sa"	35				
"傻"	"傻"	"sa"	35				
"冼"	"冼"	"sei"	35				
"叟"	"叟"	"sau"	35				
"史"	"史"	"sɿ"	35				
"啥"	"啥"	"sa"	35				
"喜"	"喜"	"sɿ"	35				
"嗓"	"嗓"	"suɔ"	35				
"嗩"	"唢"	"so"	35				
"嗾"	"嗾"	"sau"	35				
"始"	"始"	"sɿ"	35				
"嫂"	"嫂"	"sɜ"	35				
"嬸"	"婶"	"saŋ"	35				
"審"	"审"	"saŋ"	35				
"寫"	"写"	"sei"	35				
"屎"	"屎"	"sɿ"	35				
"徙"	"徙"	"sɿ"	35				
"慫"	"怂"	"soŋ"	35				
"所"	"所"	"so"	35				
"損"	"损"	"sø"	35				
"搡"	"搡"	"suɔ"	35				
"擻"	"擞"	"sau"	35				
"散"	"散"	"sa"	35	"～裝"			
"數"	"数"	"sɤu"	35	"～一～"			
"數"	"数"	"sɿ"	35	"～一～"			
"死"	"死"	"sɿ"	35				
"水"	"水"	"sɿ"	35				
"沈"	"沈"	"saŋ"	35				
"洗"	"洗"	"sei"	35				
"潸"	"潸"	"sa"	35				
"瀋"	"渖"	"saŋ"	35				
"灑"	"洒"	"sa"	35				
"灑"	"洒"	"so"	35				
"爽"	"爽"	"suɔ"	35				
"瑣"	"琐"	"so"	35				
"璽"	"玺"	"sei"	35				
"瘦"	"瘦"	"sau"	35				
"省"	"省"	"seŋ"	35	"～親"			
"省"	"省"	"siɛ"	35				
"眚"	"眚"	"siɛ"	35				
"瞍"	"瞍"	"sau"	35				
"矢"	"矢"	"sɿ"	35				
"矧"	"矧"	"saŋ"	35				
"磉"	"磉"	"suɔ"	35				
"細"	"细"	"sai"	35	"小"			
"耍"	"耍"	"so"	35				
"聳"	"耸"	"soŋ"	35				
"舍"	"舍"	"sei"	35				
"葸"	"葸"	"sɿ"	35				
"藪"	"薮"	"sau"	35				
"豕"	"豕"	"sɿ"	35				
"跣"	"跣"	"sei"	35				
"迅"	"迅"	"saŋ"	35				
"醒"	"醒"	"seŋ"	35				
"銑"	"铣"	"sei"	35				
"鎖"	"锁"	"so"	35				
"顙"	"颡"	"suɔ"	35				
"駛"	"驶"	"sa"	35				
"駛"	"驶"	"sɿ"	35				
"髓"	"髓"	"sei"	35				
"黍"	"黍"	"sɿ"	35				
"□"	"□"	"dzɿ"	35	"刀劃開、刺進"			
"企"	"企"	"dzɿ"	35				
"妓"	"妓"	"dzɿ"	35				
"峙"	"峙"	"dzɿ"	35				
"技"	"技"	"dzɿ"	35				
"朕"	"朕"	"dzaŋ"	35				
"杼"	"杼"	"dzɿ"	35				
"柱"	"柱"	"dzɿ"	35				
"渚"	"渚"	"dzɿ"	35				
"湛"	"湛"	"dza"	35				
"痔"	"痔"	"dzɿ"	35				
"稚"	"稚"	"dzɿ"	35				
"署"	"署"	"dzɿ"	35				
"舐"	"舐"	"dzei"	35				
"芰"	"芰"	"dzɿ"	35				
"苧"	"苎"	"dzei"	35				
"褚"	"褚"	"dzɿ"	35				
"豸"	"豸"	"dzɿ"	35				
"賺"	"赚"	"dza"	35				
"雉"	"雉"	"dzɿ"	35				
"□"	"□"	"zau"	35	"猛刺"			
"□"	"□"	"za"	35	"水<魚戔>，龍頭魚"			
"乳"	"乳"	"zɿ"	35				
"似"	"似"	"zɿ"	35				
"俟"	"俟"	"zɿ"	35				
"兕"	"兕"	"zɿ"	35				
"冗"	"冗"	"zoŋ"	35				
"唕"	"唣"	"zɜ"	35				
"在"	"在"	"ze"	35				
"坐"	"坐"	"zo"	35				
"墅"	"墅"	"zɿ"	35				
"士"	"士"	"zɿ"	35				
"姒"	"姒"	"zɿ"	35				
"巳"	"巳"	"zɿ"	35				
"市"	"市"	"zɿ"	35				
"序"	"序"	"zɿ"	35				
"恃"	"恃"	"zɿ"	35				
"惹"	"惹"	"zei"	35				
"搑"	"搑"	"zoŋ"	35	"推"			
"撰"	"撰"	"zø"	35				
"擩"	"擩"	"zɿ"	35				
"敘"	"叙"	"zɿ"	35				
"是"	"是"	"zɿ"	35				
"柿"	"柿"	"zɿ"	35				
"樹"	"树"	"zɿ"	35	"～立"			
"氏"	"氏"	"zɿ"	35				
"汜"	"汜"	"zɿ"	35				
"汝"	"汝"	"zɿ"	35				
"洱"	"洱"	"zɿ"	35				
"漵"	"溆"	"zɿ"	35				
"爾"	"尔"	"zɿ"	35				
"甚"	"甚"	"zaŋ"	35				
"皂"	"皂"	"zɜ"	35				
"盡"	"尽"	"zaŋ"	35				
"社"	"社"	"zei"	35				
"祀"	"祀"	"zɿ"	35				
"緒"	"绪"	"zɿ"	35				
"罪"	"罪"	"zai"	35				
"罪"	"罪"	"ze"	35	"～過"			
"耜"	"耜"	"zɿ"	35				
"耳"	"耳"	"zɿ"	35				
"聚"	"聚"	"zɿ"	35				
"脞"	"脞"	"zo"	35	"矮～"			
"腎"	"肾"	"zaŋ"	35				
"著"	"着"	"zɿ"	35	"～搭：在這兒"			
"葚"	"葚"	"zaŋ"	35				
"蕈"	"蕈"	"zaŋ"	35				
"蕊"	"蕊"	"zɿ"	35				
"藉"	"藉"	"zei"	35				
"裋"	"裋"	"zɿ"	35				
"豎"	"竖"	"zɿ"	35				
"造"	"造"	"zɜ"	35				
"邇"	"迩"	"zɿ"	35				
"鈰"	"铈"	"zɿ"	35	"元素名"			
"鉺"	"铒"	"zɿ"	35	"元素名"			
"鏨"	"錾"	"zø"	35				
"隨"	"随"	"zei"	35	"～你"			
"靖"	"靖"	"zeŋ"	35				
"靜"	"静"	"zeŋ"	35				
"餌"	"饵"	"zɿ"	35				
"饌"	"馔"	"zø"	35				
"駬"	"駬"	"zɿ"	35				
"鱮"	"鱮"	"zɿ"	35				
"久"	"久"	"tɕau"	35				
"九"	"九"	"tɕau"	35				
"佹"	"佹"	"tɕy"	35				
"僥"	"侥"	"tɕiɛ"	35				
"准"	"准"	"tɕoŋ"	35				
"凖"	"凖"	"tɕoŋ"	35				
"剪"	"剪"	"tɕi"	35				
"剿"	"剿"	"tɕiɛ"	35				
"匭"	"匦"	"tɕy"	35				
"卷"	"卷"	"tɕoŋ"	35	"白"			
"卷"	"卷"	"tɕoŋ"	35	"一～"			
"卷"	"卷"	"tɕy"	35				
"垝"	"垝"	"tɕy"	35				
"塚"	"冢"	"tɕyɔ"	35				
"姽"	"姽"	"tɕy"	35				
"宄"	"宄"	"tɕy"	35				
"展"	"展"	"tɕi"	35				
"帚"	"帚"	"tɕɤu"	35				
"庋"	"庋"	"tɕy"	35				
"徼"	"徼"	"tɕiɛ"	35				
"愧"	"愧"	"tɕy"	35				
"戩"	"戬"	"tɕi"	35				
"拱"	"拱"	"tɕyɔ"	35				
"掌"	"掌"	"tɕi"	35				
"敫"	"敫"	"tɕiɛ"	35				
"景"	"景"	"tɕaŋ"	35				
"晷"	"晷"	"tɕy"	35				
"栱"	"栱"	"tɕyɔ"	35				
"槳"	"桨"	"tɕi"	35				
"檢"	"检"	"tɕi"	35				
"櫸"	"榉"	"tɕy"	35				
"沼"	"沼"	"tɕiɛ"	35				
"漲"	"涨"	"tɕi"	35				
"激"	"激"	"tɕiɛ"	35				
"獎"	"奖"	"tɕi"	35				
"玖"	"玖"	"tɕau"	35				
"珙"	"珙"	"tɕyɔ"	35				
"癸"	"癸"	"tɕy"	35				
"皎"	"皎"	"tɕiɛ"	35				
"矩"	"矩"	"tɕy"	35				
"矯"	"矫"	"tɕiɛ"	35				
"種"	"种"	"tɕyɔ"	35	"～子"			
"穭"	"稆"	"tɕy"	35				
"筥"	"筥"	"tɕy"	35				
"簋"	"簋"	"tɕy"	35				
"綣"	"绻"	"tɕy"	35				
"緊"	"紧"	"tɕaŋ"	35				
"繭"	"茧"	"tɕi"	35				
"繳"	"缴"	"tɕiɛ"	35				
"翦"	"翦"	"tɕi"	35				
"肘"	"肘"	"tɕɤu"	35				
"腫"	"肿"	"tɕyɔ"	35				
"舉"	"举"	"tɕy"	35				
"莒"	"莒"	"tɕy"	35				
"蔣"	"蒋"	"tɕi"	35				
"詭"	"诡"	"tɕy"	35				
"謹"	"谨"	"tɕaŋ"	35				
"踵"	"踵"	"tɕyɔ"	35				
"蹇"	"蹇"	"tɕi"	35				
"軌"	"轨"	"tɕy"	35				
"轉"	"转"	"tɕy"	35				
"迥"	"迥"	"tɕoŋ"	35				
"酒"	"酒"	"tɕɤu"	35				
"鉸"	"铰"	"tɕiɛ"	35	"～刀"			
"錦"	"锦"	"tɕaŋ"	35				
"長"	"长"	"tɕi"	35	"生～；縣～"			
"韭"	"韭"	"tɕau"	35				
"頸"	"颈"	"tɕaŋ"	35				
"餃"	"饺"	"tɕiɛ"	35	"～兒"			
"鬼"	"鬼"	"tɕy"	35				
"喘"	"喘"	"tɕʰy"	35				
"寵"	"宠"	"tɕʰoŋ"	35				
"廠"	"厂"	"tɕʰi"	35	"～兒：草棚"			
"恐"	"恐"	"tɕʰyɔ"	35				
"悄"	"悄"	"tɕʰiɛ"	35	"～然"			
"愀"	"愀"	"tɕʰiɛ"	35				
"慊"	"慊"	"tɕʰi"	35				
"揣"	"揣"	"tɕʰy"	35				
"搝"	"搝"	"tɕʰau"	35	"討取"			
"搶"	"抢"	"tɕʰi"	35				
"敞"	"敞"	"tɕʰi"	35				
"昶"	"昶"	"tɕʰi"	35				
"歉"	"歉"	"tɕʰi"	35				
"氅"	"氅"	"tɕʰi"	35				
"淺"	"浅"	"tɕʰi"	35				
