"流水序"	"常用字"	"简体"	"声母"	"韵母"	"声调"	"例词"	"备注"
"00363"	"剝"	"剥"	"p"	"aoh"			
"00364"	"剪"		"ts"	"ie"	2		
"00365"	"副"		"f"	"u"	3		
"00366"	"割"		"k"	"oeh"			
							
"00368"	"創"	"创"	"ch"	"iaon"	1	"創傷"	
	"創"	"创"	"ch"	"iaon"	3	"創造"	
"00369"	"剩"		"zh"	"ieon"	3		
"00370"	"剿"		"ts"	"iau"	2		
"00371"	"剷"	"铲"	"tsh"	"ae"	2		
"00372"	"剽"		"ph"	"iau"	3		
	"剽"		"b"	"iau"	1		"惯用音"
"00373"	"劃"	"划"	"gh"	"uah"		"計劃"	
"00374"	"劇"	"剧"	"g"	"ieoh"			
"00375"	"劈"		"ph"	"ieoh"			
"00376"	"劉"	"刘"	"l"	"ieu"	1		
"00377"	"劍"	"剑"	"k"	"ie"	3		
"00378"	"劑"	"剂"	"z"	"i"	3		
"00379"	"力"		"l"	"ieoh"			
"00380"	"加"		"k"	"o"	1		
"00381"	"功"		"k"	"on"	1		
"00382"	"劣"		"l"	"ioeh"			"可念作lieh或loeh"
"00383"	"劫"		"k"	"ieh"			
"00384"	"助"		"z"	"u"	3		
"00385"	"努"		"n"	"u"	2		
"00386"	"劬"		"g"	"iu"	1		
"00387"	"劾"		"gh"	"eoh"			
"00388"	"勇"		"gh"	"ion"	2		
"00389"	"勉"		"m"	"ie"	2		
"00390"	"勃"		"b"	"eh"			
"00391"	"勁"	"劲"	"k"	"ieon"	3		
"00392"	"勒"		"l"	"eoh"			
"00393"	"務"	"务"	"v"	"u"	3		
	"務"	"务"	"m"		3		"口语音"
"00394"	"勘"		"kh"	"ee"	3		
"00395"	"動"	"动"	"d"	"on"	2		
"00396"	"勞"	"劳"	"l"	"au"	1	"勞動"	
"00397"	"勝"	"胜"	"sh"	"ieon"	3		
"00398"	"勛"	"勋"	"h"	"iuin"	1		
"00399"	"募"		"m"	"u"	3		
"00400"	"勦"		"ts"	"iau"	2		
"00401"	"勤"		"g"	"in"	1		
"00402"	"勢"	"势"	"sh"	"i"	3		
"00403"	"勵"	"励"	"l"	"i"	3		
"00404"	"勸"	"劝"	"kh"	"ioe"	3		
"00405"	"勻"	"匀"	"gh"	"iuin"	1		
"00406"	"勾"		"k"	"eu"	1		
"00407"	"勿"		"v"	"eh"			
"00408"	"包"		"p"	"au"	1		
"00409"	"匆"		"tsh"	"on"	1		
"00410"	"匈"		"h"	"ion"	1		
"00411"	"匍"		"b"	"u"	1		
"00412"	"匐"		"b"	"eoh"			
"00413"	"匏"		"b"	"au"	1		
"00414"	"匕"		"p"	"i"	2		
"00415"	"化"		"h"	"uo"	3		
"00416"	"北"		"p"	"eoh"			
"00417"	"匙"		"z"	"y"	1		
"00418"	"匝"		"ts"	"eeh"			
"00419"	"匡"		"kh"	"iaon"	1		
"00420"	"匠"		"z"	"ian"	3		
"00421"	"匣"		"gh"	"aeh"			
"00422"	"匪"		"f"	"i"	2		
"00423"	"匯"	"汇"	"gh"	"uei"	2	"匯集，匯報"	
"00424"	"匱"	"匮"	"g"	"iu"	3		
"00425"	"匹"		"ph"	"ih"			
"00426"	"匿"		"n"	"ieoh"			
"00427"	"區"	"区"	"kh"	"iu"	1		
"00428"	"匾"		"p"	"iae"	2		
"00429"	"十"		"zh"	"ih"			
"00430"	"千"		"tsh"	"iae"	1		
"00431"	"午"		"ng"	"u"	2		
"00432"	"升"		"sh"	"ieon"	1		
"00433"	"卅"		"s"	"eeh"			
"00434"	"仟"		"tsh"	"iae"	1		
"00435"	"半"		"p"	"oe"	3		
"00436"	"卉"		"h"	"iu"	2		
"00437"	"卒"		"ts"	"eh"			
"00438"	"協"	"协"	"gh"	"iaeh"			
"00439"	"卓"		"ts"	"iaoh"			
"00440"	"卑"		"p"	"ei"	1		
"00441"	"南"		"n"	"ee"	1		
"00442"	"博"		"p"	"aoh"			
"00443"	"卜"		"p"	"oh"			
"00444"	"卞"		"b"	"ie"	3		
"00445"	"卡"		"k"	"a"	2		
"00446"	"占"		"c"	"ie"	1		
"00447"	"卦"		"k"	"uo"	3		
"00448"	"卯"		"m"	"au"	2		
"00449"	"卮"		"ts"	"y"	1		
"00450"	"印"			"in"	3		
"00451"	"危"		"ng"	"iu"	1		
"00452"	"即"		"ts"	"ieoh"			
"00453"	"卵"		"l"	"oe"	2		
"00454"	"卷"		"k"	"ioe"	3		
"00455"	"卸"		"s"	"ia"	3		
							
"00457"	"卻"	"却"	"kh"	"iah"			
"00458"	"卿"		"kh"	"ieon"	1		
"00459"	"厄"			"ah"			
"00460"	"厚"		"gh"	"eu"	2		
	"厚"		"g"	"eu"	2		"口语音"
"00461"	"原"		"ng"	"ioe"	1		
"00462"	"厝"		"tsh"	"u"	3		
"00463"	"厥"		"k"	"ioeh"			
"00464"	"厭"	"厌"		"ie"	3		
"00465"	"厲"	"厉"	"l"	"i"	3		
"00466"	"去"		"kh"	"ei"	3		
"00467"	"參"	"参"	"tsh"	"ee"	1	"參加"	
	"參"	"参"	"tsh"	"en"	1	"參差"	
	"參"	"参"	"s"	"ae"	1		"同“叁”"
	"蔘"	"参"	"s"	"en"	1	"人蔘"	
"00468"	"又"		"gh"	"ieu"	3		
"00469"	"叉"		"tsh"	"o"	1		
"00470"	"友"		"gh"	"ieu"	2		
"00471"	"及"		"g"	"ih"			
"00472"	"反"		"f"	"ae"	2		
"00473"	"取"		"tsh"	"iu"	2		
"00474"	"叔"		"sh"	"ioh"			
"00475"	"受"		"zh"	"ieu"	2		
"00476"	"叛"		"b"	"oe"	3		
"00477"	"叟"		"s"	"eu"	2		
"00478"	"曼"		"m"	"oe"	3		
"00479"	"叢"	"丛"	"z"	"on"	1		
"00480"	"口"		"kh"	"eu"	2		
"00481"	"可"		"kh"	"ou"	3		
"00482"	"古"		"k"	"u"	2		
"00483"	"右"		"gh"	"ieu"	3		
"00484"	"召"		"j"	"iau"	3		
"00485"	"叮"		"t"	"ieon"	1		
"00486"	"叩"		"kh"	"eu"	3		
"00487"	"叨"		"th"	"au"	1	"叨光"	
"00488"	"叼"		"t"	"iau"	1		
