"汉字"	"拼音"	"IPA"	"注释"
"而"	"jur2"	"dzɯ˥˥"	
"耳"	"jur3"	"dzɯ˥˨"	"文"
"耳"	"hinn4"	"hĩ˨˥"	"白"
"基"	"ki1"	"ki˧˦"	
"姬"	"ki1"	"ki˧˦"	
"己"	"ki3"	"ki˥˨"	
"紀"	"ki3"	"ki˥˨"	
"紀"	"ki5"	"ki˨˩˨"	
"記"	"ki5"	"ki˨˩˨"	
"欺"	"khi1"	"kʰi˧˦"	
"起"	"khi3"	"kʰi˥˨"	
"杞"	"khi3"	"kʰi˥˨"	
"棋"	"ki2"	"ki˥˥"	
"其"	"khi2"	"kʰi˥˥"	
"旗"	"ki2"	"ki˥˥"	
"期"	"khi2"	"kʰi˥˥"	
"忌"	"ki4"	"ki˨˥"	"文"
"忌"	"khi6"	"kʰi˨˨"	"白"
"疑"	"gi2"	"gi˥˥"	
"擬"	"ngi3"	"ŋi˥˨"	
"嘻"	"hi1"	"hi˧˦"	
"嬉"	"hi1"	"hi˧˦"	
"禧"	"hi1"	"hi˧˦"	
"熙"	"hi1"	"hi˧˦"	
"喜"	"hi3"	"hi˥˨"	
"醫"	"ui1"	"ui˧˦"	
"意"	"i5"	"i˨˩˨"	
"矣"	"i6"	"i˨˨"	
"怡"	"i2"	"i˥˥"	
"貽"	"i2"	"i˥˥"	
"已"	"inn3"	"ĩ˥˨"	
"以"	"inn3"	"ĩ˥˨"	
"異"	"i4"	"i˨˥"	
"機"	"ki1"	"ki˧˦"	"文"
"機"	"kui1"	"kui˧˦"	"白"
"譏"	"ki1"	"ki˧˦"	
"饑"	"ki1"	"ki˧˦"	
"幾"	"ki1"	"ki˧˦"	
"幾"	"ki3"	"ki˥˨"	"文"
"幾"	"kui3"	"kui˥˨"	"白"
"既"	"ki5"	"ki˨˩˨"	
"豈"	"kha3"	"kʰa˥˨"	
"氣"	"khi5"	"kʰi˨˩˨"	"文"
"氣"	"khui5"	"kʰui˨˩˨"	"白"
"汽"	"khi5"	"kʰi˨˩˨"	
"祈"	"khi2"	"kʰi˥˥"	
"沂"	"khi2"	"kʰi˥˥"	"俗"
"毅"	"ngi5"	"ŋi˨˩˨"	
"希"	"hi1"	"hi˧˦"	
"稀"	"hi1"	"hi˧˦"	
"依"	"i1"	"i˧˦"	
"衣"	"i1"	"i˧˦"	"文"
"衣"	"ui1"	"ui˧˦"	"白"
"累"	"lui6"	"lui˨˨"	
"嘴"	"tshui5"	"tsʰui˨˩˨"	"訓“喙”"
"髓"	"tshue3"	"tsʰuɛ˥˨"	
"隨"	"sui2"	"sui˥˥"	
"吹"	"tshue1"	"tsʰuɛ˧˦"	
"炊"	"tshue1"	"tsʰuɛ˧˦"	
"垂"	"sui2"	"sui˥˥"	"文"
"垂"	"sue2"	"suɛ˥˥"	"白"
"睡"	"sui4"	"sui˨˥"	
"瑞"	"sui4"	"sui˨˥"	
"蕊"	"lui3"	"lui˥˨"	
"規"	"kui1"	"kui˧˦"	
"詭"	"kui3"	"kui˥˨"	
"虧"	"khui1"	"kʰui˧˦"	
"窺"	"kui1"	"kui˧˦"	
"跪"	"kuinn4"	"kũi˨˥"	
"危"	"ngui2"	"ŋui˥˥"	
"偽"	"ngui4"	"ŋui˨˥"	
"麾"	"hui1"	"hui˧˦"	
"毁"	"huinn3"	"hũi˥˨"	
"委"	"ui3"	"ui˥˨"	
"喂"	"ui3"	"ui˥˨"	
"為"	"ui2"	"ui˥˥"	
"為"	"ui6"	"ui˨˨"	
"壘"	"lui3"	"lui˥˨"	
"類"	"lui6"	"lui˨˨"	
"淚"	"lui4"	"lui˨˥"	
"醉"	"tsui5"	"tsui˨˩˨"	
"翠"	"tshui5"	"tsʰui˨˩˨"	
"悴"	"tsui4"	"tsui˨˥"	
"綏"	"sui2"	"sui˥˥"	
"雖"	"sui1"	"sui˧˦"	
"荽"	"sui1"	"sui˧˦"	
"粹"	"tsui4"	"tsui˨˥"	
"遂"	"sui2"	"sui˥˥"	
"隧"	"sui6"	"sui˨˨"	
"穗"	"sui6"	"sui˨˨"	
"追"	"tui1"	"tui˧˦"	
"槌"	"thui1"	"tʰui˧˦"	
"錘"	"tui2"	"tui˥˥"	
"錘"	"thui2"	"tʰui˥˥"	
"捶"	"tui2"	"tui˥˥"	
"墜"	"tui6"	"tui˨˨"	
"墜"	"thui6"	"tʰui˨˨"	"白"
"衰"	"sue1"	"suɛ˧˦"	
"摔"	"tsut7"	"tsut˧˨"	
"摔"	"sut7"	"sut˧˨"	
"帥"	"sue5"	"suɛ˨˩˨"	
"錐"	"tsui1"	"tsui˧˦"	
"水"	"sui3"	"sui˥˨"	"文"
"水"	"tsui3"	"tsui˥˨"	"白"
"誰"	"sui2"	"sui˥˥"	
"龜"	"ku1"	"ku˧˦"	
"軌"	"khui3"	"kʰui˥˨"	
"癸"	"kui5"	"kui˨˩˨"	
"季"	"khui5"	"kʰui˨˩˨"	
"季"	"kui5"	"kui˨˩˨"	"又，姓氏"
"葵"	"khui2"	"kʰui˥˥"	"文"
"葵"	"kue2"	"kuɛ˥˥"	"~頭扇"
"逵"	"khui2"	"kʰui˥˥"	
"櫃"	"kuinn6"	"kũi˨˨"	
"帷"	"jui2"	"dzui˥˥"	
"位"	"ui6"	"ui˨˨"	
"維"	"jui2"	"dzui˥˥"	
"惟"	"jui2"	"dzui˥˥"	
"遺"	"jui2"	"dzui˥˥"	
"唯"	"jui2"	"dzui˥˥"	
"飛"	"hui1"	"hui˧˦"	"文"
"飛"	"pue1"	"puɛ˧˦"	"白"
"非"	"hui1"	"hui˧˦"	
"匪"	"huinn3"	"hũi˥˨"	
"沸"	"hut7"	"hut˧˨"	"俗"
"痱"	"pui5"	"pui˨˩˨"	
"妃"	"hui1"	"hui˧˦"	
"菲"	"hui1"	"hui˧˦"	
"費"	"hui5"	"hui˨˩˨"	"文"
"費"	"pi5"	"pi˨˩˨"	"白，姓氏"
"肥"	"pui2"	"pui˥˥"	
"薇"	"mui2"	"mui˥˥"	
"微"	"mui2"	"mui˥˥"	
"尾"	"bue3"	"buɛ˥˨"	
"未"	"bue6"	"buɛ˨˨"	
"味"	"bi6"	"bi˨˨"	
"歸"	"kui1"	"kui˧˦"	
"鬼"	"kui3"	"kui˥˨"	
"貴"	"kui5"	"kui˨˩˨"	
"巍"	"ngui2"	"ŋui˥˥"	
"魏"	"ngui6"	"ŋui˨˨"	
"揮"	"hui1"	"hui˧˦"	
"輝"	"hui1"	"hui˧˦"	
"徽"	"hui1"	"hui˧˦"	
"諱"	"hui5"	"hui˨˩˨"	
"威"	"ui1"	"ui˧˦"	
"畏"	"uinn5"	"ũi˨˩˨"	
"慰"	"ue5"	"uɛ˨˩˨"	
"違"	"ui2"	"ui˥˥"	
"圍"	"ui2"	"ui˥˥"	
"葦"	"ui3"	"ui˥˨"	
"偉"	"ui3"	"ui˥˨"	
"緯"	"ui3"	"ui˥˨"	
"胃"	"ui4"	"ui˨˥"	
"謂"	"ui4"	"ui˨˥"	
"謂"	"ui5"	"ui˨˩˨"	
"猬"	"ui3"	"ui˥˨"	
"匯"	"hue4"	"huɛ˨˥"	
"褒"	"phau1"	"pʰau˧˦"	
"保"	"pau3"	"pau˥˨"	"文"
"保"	"po3"	"po˥˨"	"白"
"堡"	"pau3"	"pau˥˨"	
"寶"	"po3"	"po˥˨"	
"報"	"po5"	"po˨˩˨"	
"袍"	"phau2"	"pʰau˥˥"	
"抱"	"pho4"	"pʰo˨˥"	
"暴"	"pau4"	"pau˨˥"	
"毛"	"mau2"	"mau˥˥"	"文"
"毛"	"mo2"	"mo˥˥"	"白"
"冒"	"mau4"	"mau˨˥"	
"帽"	"bo6"	"bo˨˨"	
"刀"	"to1"	"to˧˦"	
"叨"	"tau1"	"tau˧˦"	
"倒"	"tau3"	"tau˥˨"	"文"
"倒"	"to3"	"to˥˨"	"白"
"島"	"tau3"	"tau˥˨"	
"禱"	"tau3"	"tau˥˨"	
"到"	"tau5"	"tau˨˩˨"	
"到"	"kau5"	"kau˨˩˨"	"訓"
"倒"	"to5"	"to˨˩˨"	"白"
"掏"	"thau1"	"tʰau˧˦"	
"滔"	"thau1"	"tʰau˧˦"	
"討"	"tho3"	"tʰo˥˨"	
"套"	"thau5"	"tʰau˨˩˨"	
"桃"	"to2"	"to˥˥"	"楊~"
"桃"	"tho2"	"tʰo˥˥"	
"逃"	"to2"	"to˥˥"	
"陶"	"thau2"	"tʰau˥˥"	
"萄"	"tho2"	"tʰo˥˥"	
"濤"	"thiu2"	"tʰiu˥˥"	
"稻"	"tau4"	"tau˨˥"	
"稻"	"tiu4"	"tiu˨˥"	"訓"
"道"	"tau4"	"tau˨˥"	
"導"	"tau4"	"tau˨˥"	
"盗"	"tau4"	"tau˨˥"	
"腦"	"nao3"	"nao˥˨"	"文"
"腦"	"lo3"	"lo˥˨"	"白"
"惱"	"nau3"	"nau˥˨"	"文"
"惱"	"lo3"	"lo˥˨"	"白，煩~"
"勞"	"lau2"	"lau˥˥"	
"撈"	"lau1"	"lau˧˦"	"文"
"撈"	"lo1"	"lo˧˦"	"白"
"嘮"	"lau1"	"lau˧˦"	
"牢"	"lo2"	"lo˥˥"	
"老"	"lau3"	"lau˥˨"	"文"
"老"	"lau4"	"lau˨˥"	"白"
"遭"	"tsau1"	"tsau˧˦"	
"糟"	"tsau1"	"tsau˧˦"	"文"
"糟"	"tso1"	"tso˧˦"	"白，鏖~"
"早"	"tsau3"	"tsau˥˨"	"文"
"早"	"tsa3"	"tsa˥˨"	"白"
"棗"	"tso3"	"tso˥˨"	
"蚤"	"tsau3"	"tsau˥˨"	
"澡"	"tshau5"	"tsʰau˨˩˨"	
"躁"	"tshau5"	"tsʰau˨˩˨"	
"灶"	"tsau5"	"tsau˨˩˨"	
"操"	"tshau1"	"tsʰau˧˦"	
"操"	"tshau5"	"tsʰau˨˩˨"	
"造"	"tsau4"	"tsau˨˥"	
"草"	"tshau3"	"tsʰau˥˨"	"文"
"草"	"tsho3"	"tsʰo˥˨"	"白"
"草"	"tshau3"	"tsʰau˥˨"	"白"
"曹"	"tshau2"	"tsʰau˥˥"	
"槽"	"tso2"	"tso˥˥"	
"皂"	"tsau4"	"tsau˨˥"	
"造"	"tsau4"	"tsau˨˥"	
"騷"	"sau1"	"sau˧˦"	
"臊"	"tshau5"	"tsʰau˨˩˨"	
"臊"	"tsho1"	"tsʰo˧˦"	
"嫂"	"sau3"	"sau˥˨"	"文，又"
"嫂"	"so3"	"so˥˨"	"白"
"掃"	"sau5"	"sau˨˩˨"	
"高"	"kau1"	"kau˧˦"	"文"
"高"	"ko1"	"ko˧˦"	"白"
"膏"	"ko1"	"ko˧˦"	
"羔"	"ko1"	"ko˧˦"	
"糕"	"kau1"	"kau˧˦"	"文，糟~"
"糕"	"ko1"	"ko˧˦"	"白"
"稿"	"ko3"	"ko˥˨"	
"告"	"kau5"	"kau˨˩˨"	"文"
"告"	"ko5"	"ko˨˩˨"	"白"
"考"	"khau3"	"kʰau˥˨"	
"烤"	"khau3"	"kʰau˥˨"	
"靠"	"khau5"	"kʰau˨˩˨"	"文"
"靠"	"kho5"	"kʰo˨˩˨"	"白"
"靠"	"kou4"	"kou˨˥"	"訓“怙”"
"犒"	"khau5"	"kʰau˨˩˨"	
"熬"	"ngau2"	"ŋau˥˥"	
"傲"	"ngau4"	"ŋau˨˥"	
"蒿"	"hau1"	"hau˧˦"	"文"
"蒿"	"o1"	"o˧˦"	"白"
"薅"	"hau1"	"hau˧˦"	"文"
"薅"	"khau1"	"kʰau˧˦"	"白"
"好"	"hau3"	"hau˥˨"	"文"
"好"	"haunn5"	"hãu˨˩˨"	"文"
"好"	"ho3"	"ho˥˨"	"白"
"耗"	"ho5"	"ho˨˩˨"	
"豪"	"hau2"	"hau˥˥"	
"毫"	"hau2"	"hau˥˥"	
"蠔"	"hau2"	"hau˥˥"	"文"
"蠔"	"o2"	"o˥˥"	"白"
"浩"	"hau1"	"hau˧˦"	
"號"	"hau1"	"hau˧˦"	"文"
"號"	"ho6"	"ho˨˨"	"白"
"襖"	"o3"	"o˥˨"	
"懊"	"au5"	"au˨˩˨"	
"懊"	"o5"	"o˨˩˨"	"又"
"奥"	"o5"	"o˨˩˨"	
"包"	"pau1"	"pau˧˦"	
"胞"	"pau1"	"pau˧˦"	
"飽"	"pa3"	"pa˥˨"	
"豹"	"pa5"	"pa˨˩˨"	
"爆"	"pau4"	"pau˨˥"	
"泡"	"phau5"	"pʰau˨˩˨"	"文"
"泡"	"pha4"	"pʰa˨˥"	"白"
"抛"	"phau1"	"pʰau˧˦"	"文"
"抛"	"pha1"	"pʰa˧˦"	"白"
"炮"	"phau5"	"pʰau˨˩˨"	
"跑"	"phau3"	"pʰau˥˨"	
"鮑"	"pau4"	"pau˨˥"	
"刨"	"phau1"	"pʰau˧˦"	
"茅"	"mau2"	"mau˥˥"	
"卯"	"bau3"	"bau˥˨"	
"貌"	"mau4"	"mau˨˥"	
"撓"	"nau1"	"nau˧˦"	"文"
"撓"	"niau1"	"niau˧˦"	
"鬧"	"nau4"	"nau˨˥"	"文"
"鬧"	"nau6"	"nau˨˨"	"文"
"鬧"	"lau6"	"lau˨˨"	"白，~熱"
"嘲"	"tshiau3"	"tsʰiau˥˨"	
"罩"	"tsau4"	"tsau˨˥"	
"抓"	"tsuann1"	"tsuã˧˦"	
"爪"	"jiau3"	"dziau˥˨"	
"爪"	"jiau5"	"dziau˨˩˨"	
"找"	"tau3"	"tau˥˨"	
"抄"	"tshau1"	"tsʰau˧˦"	
"鈔"	"tshau1"	"tsʰau˧˦"	
"炒"	"tsha3"	"tsʰa˥˨"	
"吵"	"tshau1"	"tsʰau˧˦"	
"巢"	"tshau2"	"tsʰau˥˥"	
"梢"	"sau1"	"sau˧˦"	
"梢"	"siau1"	"siau˧˦"	
"稍"	"tshiau3"	"tsʰiau˥˨"	
"交"	"kau1"	"kau˧˦"	
"郊"	"kau1"	"kau˧˦"	
"膠"	"ka1"	"ka˧˦"	
"絞"	"ka3"	"ka˥˨"	
"狡"	"kau3"	"kau˥˨"	
"鉸"	"ka1"	"ka˧˦"	
"搞"	"kau3"	"kau˥˨"	
"攪"	"kiau3"	"kiau˥˨"	
"攪"	"ka3"	"ka˥˨"	"白"
"教"	"ka5"	"ka˨˩˨"	
"較"	"ka5"	"ka˨˩˨"	
"酵"	"kann5"	"kã˨˩˨"	
"窖"	"ka5"	"ka˨˩˨"	
"敲"	"khiau1"	"kʰiau˧˦"	
"敲"	"kha5"	"kʰa˨˩˨"	"白"
"巧"	"khiau3"	"kʰiau˥˨"	
"巧"	"kha3"	"kʰa˥˨"	"白"
"咬"	"ka4"	"ka˨˥"	
"孝"	"hau5"	"hau˨˩˨"	"文"
"孝"	"ha5"	"ha˨˩˨"	"白"
"肴"	"ngau2"	"ŋau˥˥"	
"淆"	"ngau2"	"ŋau˥˥"	
"效"	"hau6"	"hau˨˨"	
"校"	"hau4"	"hau˨˥"	
"校"	"ka5"	"ka˨˩˨"	
"拗"	"au3"	"au˥˨"	"文"
"拗"	"a3"	"a˥˨"	"白"
"飈"	"phiau1"	"pʰiau˧˦"	"文"
"飈"	"pio1"	"pio˧˦"	"白"
"標"	"phiau1"	"pʰiau˧˦"	"文"
"標"	"pio1"	"pio˧˦"	"白"
"表"	"piau3"	"piau˥˨"	"文"
"表"	"pio3"	"pio˥˨"	"白"
"錶"	"pio1"	"pio˧˦"	
"飄"	"phiau1"	"pʰiau˧˦"	
"票"	"phio5"	"pʰio˨˩˨"	
"漂"	"phiau1"	"pʰiau˧˦"	
"漂"	"phio5"	"pʰio˨˩˨"	
"嫖"	"phiau2"	"pʰiau˥˥"	
"瓢"	"phiau2"	"pʰiau˥˥"	
"鰾"	"phio4"	"pʰio˨˥"	
"描"	"miau2"	"miau˥˥"	"文"
"描"	"bio2"	"bio˥˥"	"白"
"苗"	"miau2"	"miau˥˥"	"文"
"苗"	"bio2"	"bio˥˥"	"白"
"瞄"	"miau2"	"miau˥˥"	"文"
"瞄"	"bio2"	"bio˥˥"	"白"
"貓"	"ngiau1"	"ŋiau˧˦"	
"藐"	"miau3"	"miau˥˨"	
"渺"	"miau3"	"miau˥˨"	
"秒"	"miau3"	"miau˥˨"	
"廟"	"bio6"	"bio˨˨"	
"妙"	"miau4"	"miau˨˥"	
"燎"	"liau2"	"liau˥˥"	
"焦"	"tsiau1"	"tsiau˧˦"	
"椒"	"tsio1"	"tsio˧˦"	
"剿"	"jiau3"	"dziau˥˨"	
"悄"	"tshiau3"	"tsʰiau˥˨"	
"俏"	"tshiau3"	"tsʰiau˥˨"	
"樵"	"tsiau1"	"tsiau˧˦"	
"瞧"	"tshiau2"	"tsʰiau˥˥"	
"消"	"siau1"	"siau˧˦"	
"宵"	"siau1"	"siau˧˦"	
"霄"	"siau1"	"siau˧˦"	"文"
"霄"	"sio1"	"sio˧˦"	"白，地名"
"硝"	"siau1"	"siau˧˦"	
"銷"	"siau1"	"siau˧˦"	
"小"	"siau3"	"siau˥˨"	"文"
"小"	"sio3"	"sio˥˨"	"白"
"笑"	"tshio5"	"tsʰio˨˩˨"	
"鞘"	"siau1"	"siau˧˦"	
"朝"	"tsiau1"	"tsiau˧˦"	
"超"	"thiau5"	"tʰiau˨˩˨"	
"朝"	"tshiau2"	"tsʰiau˥˥"	
"潮"	"tio2"	"tio˥˥"	
"趙"	"tio4"	"tio˨˥"	
"兆"	"tiau4"	"tiau˨˥"	
"肇"	"siau4"	"siau˨˥"	
"召"	"tiau4"	"tiau˨˥"	
"昭"	"tsiau1"	"tsiau˧˦"	
"招"	"tsiau1"	"tsiau˧˦"	"文"
"招"	"tsio1"	"tsio˧˦"	"白"
"沼"	"jiau5"	"dziau˨˩˨"	
"照"	"tsiau5"	"tsiau˨˩˨"	"文"
"照"	"tsio5"	"tsio˨˩˨"	"白"
"詔"	"jiau5"	"dziau˨˩˨"	
"燒"	"sio1"	"sio˧˦"	
"少"	"siau3"	"siau˥˨"	"文"
"少"	"siau5"	"siau˨˩˨"	"文"
"少"	"tsio3"	"tsio˥˨"	"白"
"韶"	"siau4"	"siau˨˥"	
"紹"	"siau4"	"siau˨˥"	
"邵"	"siau4"	"siau˨˥"	
"饒"	"jiau2"	"dziau˥˥"	"文"
"饒"	"jio2"	"dzio˥˥"	"白，地名"
"擾"	"jiau3"	"dziau˥˨"	
"繞"	"jiau5"	"dziau˨˩˨"	
"驕"	"kiao1"	"kiao˧˦"	
"嬌"	"kiao1"	"kiao˧˦"	
"矯"	"kiau3"	"kiau˥˨"	
"蹺"	"khiau1"	"kʰiau˧˦"	
"喬"	"khiau2"	"kʰiau˥˥"	
"橋"	"kio2"	"kio˥˥"	
"轎"	"kio6"	"kio˨˨"	
"囂"	"ngau1"	"ŋau˧˦"	
"枵"	"iau1"	"iau˧˦"	
"妖"	"iau1"	"iau˧˦"	
"邀"	"hiau1"	"hiau˧˦"	
"邀"	"khiau1"	"kʰiau˧˦"	"帶領"
"腰"	"io1"	"io˧˦"	
"要"	"iau1"	"iau˧˦"	
"夭"	"iau1"	"iau˧˦"	
"要"	"iau5"	"iau˨˩˨"	
"搖"	"iau2"	"iau˥˥"	"文"
"搖"	"io2"	"io˥˥"	"白"
"謠"	"iau2"	"iau˥˥"	
"窯"	"io2"	"io˥˥"	
"姚"	"io2"	"io˥˥"	
"舀"	"io3"	"io˥˨"	
"耀"	"iau4"	"iau˨˥"	
"刁"	"tiau1"	"tiau˧˦"	
"貂"	"tiau1"	"tiau˧˦"	
"雕"	"tiau1"	"tiau˧˦"	
"鳥"	"tsiau3"	"tsiau˥˨"	
"吊"	"tiau5"	"tiau˨˩˨"	
"釣"	"tionn5"	"tiõ˨˩˨"	
"挑"	"thiau1"	"tʰiau˧˦"	"文"
"挑"	"thio1"	"tʰio˧˦"	"白"
"跳"	"thiau5"	"tʰiau˨˩˨"	
"糶"	"thio5"	"tʰio˨˩˨"	
"跳"	"tio2"	"tio˥˥"	
"條"	"tiau2"	"tiau˥˥"	
"調"	"thiau2"	"tʰiau˥˥"	
"掉"	"tiau6"	"tiau˨˨"	
"調"	"tiau6"	"tiau˨˨"	
"尿"	"jio6"	"dzio˨˨"	
"聊"	"liau2"	"liau˥˥"	
"遼"	"liau2"	"liau˥˥"	
"撩"	"liau2"	"liau˥˥"	"文"
"撩"	"lio2"	"lio˥˥"	"白"
"寥"	"liau2"	"liau˥˥"	
"寮"	"liau2"	"liau˥˥"	
"廖"	"liau6"	"liau˨˨"	
"了"	"liau3"	"liau˥˨"	
"瞭"	"liau2"	"liau˥˥"	
"瞭"	"liau3"	"liau˥˨"	
"料"	"liau6"	"liau˨˨"	
"簫"	"siau1"	"siau˧˦"	
"蕭"	"siau1"	"siau˧˦"	
"嘯"	"sau5"	"sau˨˩˨"	
"澆"	"nau1"	"nau˧˦"	
"繳"	"kiau3"	"kiau˥˨"	
"叫"	"kio5"	"kio˨˩˨"	
"竅"	"khiau5"	"kʰiau˨˩˨"	
"堯"	"ngiau2"	"ŋiau˥˥"	
"曉"	"hiau3"	"hiau˥˨"	
"么"	"iau1"	"iau˧˦"	
"杳"	"miau3"	"miau˥˨"	
"剖"	"phou3"	"pʰou˥˨"	
"某"	"mong3"	"moŋ˥˨"	
"畝"	"bou3"	"bou˥˨"	
"牡"	"bou3"	"bou˥˨"	
"拇"	"bo3"	"bo˥˨"	
"母"	"bo3"	"bo˥˨"	
"母"	"bou3"	"bou˥˨"	"妻"
"姆"	"m3"	"m˥˨"	
"茂"	"mong4"	"moŋ˨˥"	
"戊"	"bou6"	"bou˨˨"	
"貿"	"mong5"	"moŋ˨˩˨"	
"兜"	"tau1"	"tau˧˦"	
"斗"	"tau3"	"tau˥˨"	
"抖"	"tou3"	"tou˥˨"	"文，~擻"
"抖"	"tau3"	"tau˥˨"	"白"
"陡"	"tau3"	"tau˥˨"	
"鬥"	"tou5"	"tou˨˩˨"	"文"
"鬥"	"tau5"	"tau˨˩˨"	"白"
"偷"	"thau1"	"tʰau˧˦"	
"敨"	"thau3"	"tʰau˥˨"	
"透"	"thau5"	"tʰau˨˩˨"	
"頭"	"thau2"	"tʰau˥˥"	
"投"	"tau2"	"tau˥˥"	
"豆"	"tau6"	"tau˨˨"	
"逗"	"tau6"	"tau˨˨"	
"樓"	"lau2"	"lau˥˥"	
"摟"	"lou3"	"lou˥˨"	
"漏"	"lau6"	"lau˨˨"	
"漏"	"lau5"	"lau˨˩˨"	
"陋"	"lou4"	"lou˨˥"	
"走"	"tsau3"	"tsau˥˨"	
"奏"	"tsau5"	"tsau˨˩˨"	
"凑"	"tshou5"	"tsʰou˨˩˨"	
"叟"	"sou3"	"sou˥˨"	
"嗽"	"sau5"	"sau˨˩˨"	
"勾"	"kau1"	"kau˧˦"	
"鉤"	"kau1"	"kau˧˦"	
"溝"	"kau1"	"kau˧˦"	
"狗"	"kau3"	"kau˥˨"	
"苟"	"kou3"	"kou˥˨"	
"垢"	"kou5"	"kou˨˩˨"	
"垢"	"kau1"	"kau˧˦"	
"彀"	"kau5"	"kau˨˩˨"	
"夠"	"kau5"	"kau˨˩˨"	
"構"	"kou5"	"kou˨˩˨"	
"購"	"kou5"	"kou˨˩˨"	
"摳"	"khau1"	"kʰau˧˦"	
"口"	"khau3"	"kʰau˥˨"	
"叩"	"khau5"	"kʰau˨˩˨"	
"扣"	"khau5"	"kʰau˨˩˨"	
"寇"	"khou5"	"kʰou˨˩˨"	
"藕"	"ngou3"	"ŋou˥˨"	"文"
"藕"	"nau4"	"nau˨˥"	"白"
"偶"	"ngou3"	"ŋou˥˨"	
"吼"	"hou5"	"hou˨˩˨"	"文"
"吼"	"hau3"	"hau˥˨"	"白"
"蔻"	"khou5"	"kʰou˨˩˨"	
"侯"	"hou2"	"hou˥˥"	
"喉"	"au2"	"au˥˥"	
"猴"	"kau2"	"kau˥˥"	
"後"	"hau4"	"hau˨˥"	"~生"
"後"	"au4"	"au˨˥"	
"厚"	"kau4"	"kau˨˥"	
"后"	"hou4"	"hou˨˥"	
"候"	"hau6"	"hau˨˨"	
"歐"	"au1"	"au˧˦"	
"區"	"au1"	"au˧˦"	
"嘔"	"au3"	"au˥˨"	
"毆"	"au1"	"au˧˦"	
"漚"	"au5"	"au˨˩˨"	
"否"	"hounn3"	"hõu˥˨"	
"否"	"phi3"	"pʰi˥˨"	
"富"	"pu5"	"pu˨˩˨"	
"副"	"hu5"	"hu˨˩˨"	
"浮"	"phu2"	"pʰu˥˥"	
"阜"	"hu4"	"hu˨˥"	
"負"	"hu4"	"hu˨˥"	
"婦"	"hu4"	"hu˨˥"	"文"
"婦"	"pu4"	"pu˨˥"	"白，新~"
"復"	"hiunn4"	"hiũ˨˥"	
"謀"	"mong2"	"moŋ˥˥"	
"矛"	"mau2"	"mau˥˥"	
"眸"	"mong2"	"moŋ˥˥"	
"紐"	"niu3"	"niu˥˨"	
"扭"	"niu3"	"niu˥˨"	
"留"	"liu2"	"liu˥˥"	"文"
"留"	"lau2"	"lau˥˥"	"白"
"榴"	"liu2"	"liu˥˥"	
"劉"	"lau2"	"lau˥˥"	
"流"	"liu2"	"liu˥˥"	"文"
"流"	"lau2"	"lau˥˥"	"白"
"硫"	"liu2"	"liu˥˥"	
"琉"	"liu2"	"liu˥˥"	
"柳"	"liu3"	"liu˥˨"	
"溜"	"liu5"	"liu˨˩˨"	
"酒"	"tsiu3"	"tsiu˥˨"	
"秋"	"tshiu1"	"tsʰiu˧˦"	
"就"	"tsiu4"	"tsiu˨˥"	
"修"	"siu1"	"siu˧˦"	
"羞"	"siu1"	"siu˧˦"	
"秀"	"siu5"	"siu˨˩˨"	
"囚"	"tshiu2"	"tsʰiu˥˥"	
"袖"	"siu5"	"siu˨˩˨"	
"肘"	"tiu3"	"tiu˥˨"	
"晝"	"tiu4"	"tiu˨˥"	"文"
"晝"	"tau5"	"tau˨˩˨"	"白，日~"
"抽"	"thiu1"	"tʰiu˧˦"	
"丑"	"thiu3"	"tʰiu˥˨"	
"綢"	"tiu2"	"tiu˥˥"	
"稠"	"tiu2"	"tiu˥˥"	
"籌"	"thiu2"	"tʰiu˥˥"	
"紂"	"tiu4"	"tiu˨˥"	
"宙"	"tiu4"	"tiu˨˥"	
"鄒"	"tsou1"	"tsou˧˦"	
"皺"	"niau5"	"niau˨˩˨"	
"縐"	"niau5"	"niau˨˩˨"	
"愁"	"tshou2"	"tsʰou˥˥"	
"驟"	"tsou4"	"tsou˨˥"	
"搜"	"siau1"	"siau˧˦"	
"瘦"	"sou5"	"sou˨˩˨"	
"瘦"	"sou3"	"sou˥˨"	"又"
"漱"	"suak7"	"suak˧˨"	"俗"
"周"	"tsiu1"	"tsiu˧˦"	
"舟"	"tsiu1"	"tsiu˧˦"	
"洲"	"tsiu1"	"tsiu˧˦"	
"州"	"tsiu1"	"tsiu˧˦"	
"帚"	"siu3"	"siu˥˨"	
"帚"	"tsiu3"	"tsiu˥˨"	"又"
"咒"	"tsiu5"	"tsiu˨˩˨"	
"醜"	"thiu3"	"tʰiu˥˨"	"俗"
"臭"	"tshau5"	"tsʰau˨˩˨"	
"收"	"siu1"	"siu˧˦"	
"手"	"tshiu3"	"tsʰiu˥˨"	
"首"	"siu3"	"siu˥˨"	
"守"	"siu3"	"siu˥˨"	
"獸"	"siu5"	"siu˨˩˨"	
"讎"	"tshiu2"	"tsʰiu˥˥"	
"酬"	"tshiu2"	"tsʰiu˥˥"	
"受"	"siu4"	"siu˨˥"	
"壽"	"siu6"	"siu˨˨"	
"授"	"siu4"	"siu˨˥"	
"售"	"tshiu2"	"tsʰiu˥˥"	
"柔"	"jiu2"	"dziu˥˥"	
"揉"	"jiu2"	"dziu˥˥"	
"鬮"	"khau1"	"kʰau˧˦"	
