"简体"	"繁體"	"拼音"	"音標"
"溉"	"溉"	"ke5"	"ke˥˨"
"蓋"	"蓋"	"ke5"	"ke˥˨"
"介"	"介"	"ke5"	"ke˥˨"
"界"	"界"	"ke5"	"ke˥˨"
"芥"	"芥"	"ke5"	"ke˥˨"
"疥"	"疥"	"ke5"	"ke˥˨"
"疥"	"疥"	"ke5"	"ke˥˨"
"合"	"合"	"ke7"	"ke˧˨˧"
"蛤"	"蛤"	"ke7"	"ke˧˨˧"
"鶴"	"鶴"	"ke7"	"ke˧˨˧"
"格"	"格"	"ke7"	"ke˧˨˧"
"革"	"革"	"ke7"	"ke˧˨˧"
"屆"	"屆"	"ke7"	"ke˧˨˧"
"隔"	"隔"	"ke7"	"ke˧˨˧"
"開"	"開"	"khe1"	"kʰe˦˦"
"揩"	"揩"	"khe1"	"kʰe˦˦"
"凱"	"凱"	"khe3"	"kʰe˦˥"
"慨"	"慨"	"khe3"	"kʰe˦˥"
"楷"	"楷"	"khe3"	"kʰe˦˥"
"坎"	"坎"	"khe3"	"kʰe˦˥"
"勘"	"勘"	"khe5"	"kʰe˥˨"
"客"	"客"	"khe7"	"kʰe˧˨˧"
"丐"	"丐"	"khe7"	"kʰe˧˨˧"
"徛"	"徛"	"ge4"	"ge˧˦"
"隑"	"隑"	"ge6"	"ge˨˨"
"呆"	"呆"	"nge2"	"ŋe˧˩"
"艾"	"艾"	"nge6"	"ŋe˨˨"
"礙"	"礙"	"nge6"	"ŋe˨˨"
"額"	"額"	"nge8"	"ŋe˨˩˨"
"怪"	"怪"	"kue5"	"kue˥˨"
"快"	"快"	"khue5"	"kʰue˥˨"
"歪"	"歪"	"ue1"	"ʔue˦˦"
"喂"	"喂"	"ue5"	"ʔue˥˨"
"蚶"	"蚶"	"he1"	"he˦˦"
"酣"	"酣"	"he1"	"he˦˦"
"龕"	"龕"	"he1"	"he˦˦"
"海"	"海"	"he3"	"he˦˥"
"蟹"	"蟹"	"he3"	"he˦˥"
"郝"	"郝"	"he7"	"he˧˨˧"
"孩"	"孩"	"ghe2"	"ɦe˧˩"
"鞋"	"鞋"	"ghe2"	"ɦe˧˩"
"諧"	"諧"	"ghe2"	"ɦe˧˩"
"函"	"函"	"ghe2"	"ɦe˧˩"
"亥"	"亥"	"ghe4"	"ɦe˧˦"
"駭"	"駭"	"ghe4"	"ɦe˧˦"
"解"	"解"	"ghe4"	"ɦe˧˦"
"撼"	"撼"	"ghe4"	"ɦe˧˦"
"害"	"害"	"ghe6"	"ɦe˨˨"
"械"	"械"	"ghe6"	"ɦe˨˨"
"撼"	"撼"	"ghe6"	"ɦe˨˨"
"憾"	"憾"	"ghe6"	"ɦe˨˨"
"合"	"合"	"ghe8"	"ɦe˨˩˨"
"盒"	"盒"	"ghe8"	"ɦe˨˩˨"
"核"	"核"	"ghe8"	"ɦe˨˩˨"
"哀"	"哀"	"e1"	"ʔe˦˦"
"埃"	"埃"	"e1"	"ʔe˦˦"
"挨"	"挨"	"e1"	"ʔe˦˦"
"恩"	"恩"	"e1"	"ʔe˦˦"
"庵"	"庵"	"e1"	"ʔe˦˦"
"矮"	"矮"	"e3"	"ʔe˦˥"
"愛"	"愛"	"e5"	"ʔe˥˨"
"揞"	"揞"	"e5"	"ʔe˥˨"
"暗"	"暗"	"e5"	"ʔe˥˨"
"軛"	"軛"	"e7"	"ʔe˧˨˧"
"奶"	"奶"	"ne1"	"ne˦˦"
"鞭"	"鞭"	"pie1"	"pie˦˦"
"邊"	"邊"	"pie1"	"pie˦˦"
"編"	"編"	"pie1"	"pie˦˦"
"扁"	"扁"	"pie3"	"pie˦˥"
"匾"	"匾"	"pie3"	"pie˦˥"
"蝙"	"蝙"	"pie3"	"pie˦˥"
"遍"	"遍"	"pie5"	"pie˥˨"
"變"	"變"	"pie5"	"pie˥˨"
"貶"	"貶"	"pie7"	"pie˧˨˧"
"鱉"	"鱉"	"pie7"	"pie˧˨˧"
"憋"	"憋"	"pie7"	"pie˧˨˧"
"別"	"別"	"pie7"	"pie˧˨˧"
"篇"	"篇"	"phie1"	"pʰie˦˦"
"編"	"編"	"phie1"	"pʰie˦˦"
"片"	"片"	"phie5"	"pʰie˥˨"
"騙"	"騙"	"phie5"	"pʰie˥˨"
"撇"	"撇"	"phie7"	"pʰie˧˨˧"
"辨"	"辨"	"bie2"	"bie˧˩"
"辯"	"辯"	"bie2"	"bie˧˩"
"辮"	"辮"	"bie2"	"bie˧˩"
"汴"	"汴"	"bie6"	"bie˨˨"
"便"	"便"	"bie6"	"bie˨˨"
"別"	"別"	"bie8"	"bie˨˩˨"
"眠"	"眠"	"mie1"	"mie˦˦"
"綿"	"綿"	"mie2"	"mie˧˩"
"棉"	"棉"	"mie2"	"mie˧˩"
"眠"	"眠"	"mie2"	"mie˧˩"
"免"	"免"	"mie4"	"mie˧˦"
"勉"	"勉"	"mie4"	"mie˧˦"
"娩"	"娩"	"mie4"	"mie˧˦"
"面"	"面"	"mie6"	"mie˨˨"
"澠"	"澠"	"mie6"	"mie˨˨"
"緬"	"緬"	"mie6"	"mie˨˨"
"滅"	"滅"	"mie8"	"mie˨˩˨"
"蔑"	"蔑"	"mie8"	"mie˨˩˨"
"顛"	"顛"	"tie1"	"tie˦˦"
"癲"	"癲"	"tie1"	"tie˦˦"
"典"	"典"	"tie3"	"tie˦˥"
"點"	"點"	"tie3"	"tie˦˥"
"掂"	"掂"	"tie3"	"tie˦˥"
"店"	"店"	"tie5"	"tie˥˨"
"跌"	"跌"	"tie7"	"tie˧˨˧"
"天"	"天"	"thie1"	"tʰie˦˦"
"添"	"添"	"thie1"	"tʰie˦˦"
"舔"	"舔"	"thie3"	"tʰie˦˥"
"掭"	"掭"	"thie5"	"tʰie˥˨"
"鐵"	"鐵"	"thie7"	"tʰie˧˨˧"
"甜"	"甜"	"die2"	"die˧˩"
"田"	"田"	"die2"	"die˧˩"
"填"	"填"	"die2"	"die˧˩"
"電"	"電"	"die6"	"die˨˨"
"殿"	"殿"	"die6"	"die˨˨"
"奠"	"奠"	"die6"	"die˨˨"
"佃"	"佃"	"die6"	"die˨˨"
"墊"	"墊"	"die6"	"die˨˨"
"臀"	"臀"	"die6"	"die˨˨"
"連"	"連"	"lie2"	"lie˧˩"
"聯"	"聯"	"lie2"	"lie˧˩"
"憐"	"憐"	"lie2"	"lie˧˩"
"蓮"	"蓮"	"lie2"	"lie˧˩"
"廉"	"廉"	"lie2"	"lie˧˩"
"鐮"	"鐮"	"lie2"	"lie˧˩"
"簾"	"簾"	"lie2"	"lie˧˩"
"殮"	"殮"	"lie4"	"lie˧˦"
"斂"	"斂"	"lie4"	"lie˧˦"
"臉"	"臉"	"lie4"	"lie˧˦"
"煉"	"煉"	"lie6"	"lie˨˨"
"楝"	"楝"	"lie6"	"lie˨˨"
"列"	"列"	"lie8"	"lie˨˩˨"
"烈"	"烈"	"lie8"	"lie˨˩˨"
"裂"	"裂"	"lie8"	"lie˨˩˨"
"例"	"例"	"lie8"	"lie˨˩˨"
"仙"	"仙"	"sie1"	"sie˦˦"
"先"	"先"	"sie1"	"sie˦˦"
"鮮"	"鮮"	"sie1"	"sie˦˦"
"陝"	"陝"	"sie3"	"sie˦˥"
"癬"	"癬"	"sie3"	"sie˦˥"
"線"	"線"	"sie5"	"sie˥˨"
"扇"	"扇"	"sie5"	"sie˥˨"
"煽"	"煽"	"sie5"	"sie˥˨"
"設"	"設"	"sie7"	"sie˧˨˧"
"薛"	"薛"	"sie7"	"sie˧˨˧"
"些"	"些"	"sie7"	"sie˧˨˧"
"蟾"	"蟾"	"zie2"	"zie˧˩"
"蟬"	"蟬"	"zie2"	"zie˧˩"
"禪"	"禪"	"zie2"	"zie˧˩"
"然"	"然"	"zie2"	"zie˧˩"
"燃"	"燃"	"zie2"	"zie˧˩"
"前"	"前"	"zie2"	"zie˧˩"
"善"	"善"	"zie4"	"zie˧˦"
"膳"	"膳"	"zie4"	"zie˧˦"
"漸"	"漸"	"zie6"	"zie˨˨"
"踐"	"踐"	"zie6"	"zie˨˨"
"賤"	"賤"	"zie6"	"zie˨˨"
"餞"	"餞"	"zie6"	"zie˨˨"
"羨"	"羨"	"zie6"	"zie˨˨"
"單"	"單"	"zie6"	"zie˨˨"
"捷"	"捷"	"zie8"	"zie˨˩˨"
"涉"	"涉"	"zie8"	"zie˨˩˨"
"舌"	"舌"	"zie8"	"zie˨˩˨"
"折"	"折"	"zie8"	"zie˨˩˨"
"尖"	"尖"	"cie1"	"tɕie˦˦"
"沾"	"沾"	"cie1"	"tɕie˦˦"
"瞻"	"瞻"	"cie1"	"tɕie˦˦"
"占"	"占"	"cie1"	"tɕie˦˦"
"兼"	"兼"	"cie1"	"tɕie˦˦"
"煎"	"煎"	"cie1"	"tɕie˦˦"
"氈"	"氈"	"cie1"	"tɕie˦˦"
"箋"	"箋"	"cie1"	"tɕie˦˦"
"肩"	"肩"	"cie1"	"tɕie˦˦"
"堅"	"堅"	"cie1"	"tɕie˦˦"
"檢"	"檢"	"cie3"	"tɕie˦˥"
"剪"	"剪"	"cie3"	"tɕie˦˥"
"展"	"展"	"cie3"	"tɕie˦˥"
"繭"	"繭"	"cie3"	"tɕie˦˥"
"筧"	"筧"	"cie3"	"tɕie˦˥"
"占"	"占"	"cie5"	"tɕie˥˨"
"劍"	"劍"	"cie5"	"tɕie˥˨"
"箭"	"箭"	"cie5"	"tɕie˥˨"
"戰"	"戰"	"cie5"	"tɕie˥˨"
"顫"	"顫"	"cie5"	"tɕie˥˨"
"犍"	"犍"	"cie5"	"tɕie˥˨"
"建"	"建"	"cie5"	"tɕie˥˨"
"牮"	"牮"	"cie5"	"tɕie˥˨"
"薦"	"薦"	"cie5"	"tɕie˥˨"
"節"	"節"	"cie7"	"tɕie˧˨˧"
"結"	"結"	"cie7"	"tɕie˧˨˧"
"沽"	"沽"	"cie7"	"tɕie˧˨˧"
"䥛"	"䥛"	"cie7"	"tɕie˧˨˧"
"接"	"接"	"cie7"	"tɕie˧˨˧"
"折"	"折"	"cie7"	"tɕie˧˨˧"
"褶"	"褶"	"cie7"	"tɕie˧˨˧"
"劫"	"劫"	"cie7"	"tɕie˧˨˧"
"浙"	"浙"	"cie7"	"tɕie˧˨˧"
"殲"	"殲"	"chie1"	"tɕʰie˦˦"
"簽"	"簽"	"chie1"	"tɕʰie˦˦"
"謙"	"謙"	"chie1"	"tɕʰie˦˦"
"遷"	"遷"	"chie1"	"tɕʰie˦˦"
"千"	"千"	"chie1"	"tɕʰie˦˦"
"牽"	"牽"	"chie1"	"tɕʰie˦˦"
"歉"	"歉"	"chie3"	"tɕʰie˦˥"
"淺"	"淺"	"chie3"	"tɕʰie˦˥"
"欠"	"欠"	"chie5"	"tɕʰie˥˨"
"歉"	"歉"	"chie5"	"tɕʰie˥˨"
"切"	"切"	"chie7"	"tɕʰie˧˨˧"
"挈"	"挈"	"chie7"	"tɕʰie˧˨˧"
"怯"	"怯"	"chie7"	"tɕʰie˧˨˧"
"揭"	"揭"	"chie7"	"tɕʰie˧˨˧"
"鉗"	"鉗"	"jie2"	"dʑie˧˩"
"錢"	"錢"	"jie2"	"dʑie˧˩"
"乾"	"乾"	"jie2"	"dʑie˧˩"
"虔"	"虔"	"jie2"	"dʑie˧˩"
"件"	"件"	"jie4"	"dʑie˧˦"
"儉"	"儉"	"jie4"	"dʑie˧˦"
"纏"	"纏"	"jie6"	"dʑie˨˨"
"鍵"	"鍵"	"jie6"	"dʑie˨˨"
"健"	"健"	"jie6"	"dʑie˨˨"
"腱"	"腱"	"jie6"	"dʑie˨˨"
"傑"	"傑"	"jie8"	"dʑie˨˩˨"
"擲"	"擲"	"jie8"	"dʑie˨˩˨"
"徹"	"徹"	"jie8"	"dʑie˨˩˨"
"轍"	"轍"	"jie8"	"dʑie˨˩˨"
"撤"	"撤"	"jie8"	"dʑie˨˩˨"
"盲"	"盲"	"gnie2"	"ȵie˧˩"
"嚴"	"嚴"	"gnie2"	"ȵie˧˩"
"年"	"年"	"gnie2"	"ȵie˧˩"
"撚"	"撚"	"gnie2"	"ȵie˧˩"
"儼"	"儼"	"gnie4"	"ȵie˧˦"
"驗"	"驗"	"gnie6"	"ȵie˨˨"
"念"	"念"	"gnie6"	"ȵie˨˨"
"諺"	"諺"	"gnie6"	"ȵie˨˨"
"釅"	"釅"	"gnie6"	"ȵie˨˨"
"熱"	"熱"	"gnie8"	"ȵie˨˩˨"
"聶"	"聶"	"gnie8"	"ȵie˨˩˨"
"鑷"	"鑷"	"gnie8"	"ȵie˨˩˨"
"軒"	"軒"	"shie1"	"ɕie˦˦"
"膻"	"膻"	"shie1"	"ɕie˦˦"
"險"	"險"	"shie3"	"ɕie˦˥"
"顯"	"顯"	"shie3"	"ɕie˦˥"
"獻"	"獻"	"shie5"	"ɕie˥˨"
"憲"	"憲"	"shie5"	"ɕie˥˨"
"顯"	"顯"	"shie5"	"ɕie˥˨"
"莧"	"莧"	"shie5"	"ɕie˥˨"
"歇"	"歇"	"shie7"	"ɕie˧˨˧"
"蠍"	"蠍"	"shie7"	"ɕie˧˨˧"
"脅"	"脅"	"shie7"	"ɕie˧˨˧"
"淹"	"淹"	"ie1"	"ie˦˦"
"閹"	"閹"	"ie1"	"ie˦˦"
"蒍"	"蒍"	"ie1"	"ie˦˦"
"煙"	"煙"	"ie1"	"ie˦˦"
"偃"	"偃"	"ie1"	"ie˦˦"
"掩"	"掩"	"ie3"	"ie˦˥"
"厴"	"厴"	"ie3"	"ie˦˥"
"堰"	"堰"	"ie3"	"ie˦˥"
"鼴"	"鼴"	"ie5"	"ie˥˨"
"宴"	"宴"	"ie5"	"ie˥˨"
"燕"	"燕"	"ie5"	"ie˥˨"
"咽"	"咽"	"ie5"	"ie˥˨"
"頁"	"頁"	"ie7"	"ie˧˨˧"
"噎"	"噎"	"ie7"	"ie˧˨˧"
"炎"	"炎"	"ye2"	"je˧˩"
"鹽"	"鹽"	"ye2"	"je˧˩"
"閻"	"閻"	"ye2"	"je˧˩"
"簷"	"簷"	"ye2"	"je˧˩"
"涎"	"涎"	"ye2"	"je˧˩"
"筵"	"筵"	"ye2"	"je˧˩"
"硯"	"硯"	"ye2"	"je˧˩"
"賢"	"賢"	"ye2"	"je˧˩"
"弦"	"弦"	"ye2"	"je˧˩"
"沿"	"沿"	"ye2"	"je˧˩"
"兗"	"兗"	"ye2"	"je˧˩"
"演"	"演"	"ye4"	"je˧˦"
"焰"	"焰"	"ye4"	"je˧˦"
"魘"	"魘"	"ye4"	"je˧˦"
"鹽"	"鹽"	"ye6"	"je˨˨"
"豔"	"豔"	"ye6"	"je˨˨"
"葉"	"葉"	"ye8"	"je˨˩˨"
"粘"	"粘"	"gnie1"	"ȵie˦˦"
"研"	"研"	"gnie1"	"ȵie˦˦"
"宣"	"宣"	"siue1"	"sye˦˦"
"喧"	"喧"	"siue1"	"sye˦˦"
"選"	"選"	"siue3"	"sye˦˥"
"雪"	"雪"	"siue7"	"sye˧˨˧"
"說"	"說"	"siue7"	"sye˧˨˧"
"全"	"全"	"ziue4"	"zye˧˦"
"泉"	"泉"	"ziue4"	"zye˧˦"
"船"	"船"	"ziue4"	"zye˧˦"
"旋"	"旋"	"ziue6"	"zye˨˨"
"鏇"	"鏇"	"ziue6"	"zye˨˨"
"絕"	"絕"	"ziue8"	"zye˨˩˨"
"專"	"專"	"ciue1"	"tɕye˦˦"
"磚"	"磚"	"ciue1"	"tɕye˦˦"
"捐"	"捐"	"ciue1"	"tɕye˦˦"
"轉"	"轉"	"ciue3"	"tɕye˦˥"
"卷"	"卷"	"ciue3"	"tɕye˦˥"
"捲"	"捲"	"ciue3"	"tɕye˦˥"
"轉"	"轉"	"ciue5"	"tɕye˥˨"
"眷"	"眷"	"ciue5"	"tɕye˥˨"
"絹"	"絹"	"ciue5"	"tɕye˥˨"
"厥"	"厥"	"ciue7"	"tɕye˧˨˧"
"懸"	"懸"	"ciue7"	"tɕye˧˨˧"
"訣"	"訣"	"ciue7"	"tɕye˧˨˧"
"川"	"川"	"chiue1"	"tɕʰye˦˦"
"穿"	"穿"	"chiue1"	"tɕʰye˦˦"
"圈"	"圈"	"chiue1"	"tɕʰye˦˦"
"犬"	"犬"	"chiue3"	"tɕʰye˦˥"
"勸"	"勸"	"chiue5"	"tɕʰye˥˨"
"券"	"券"	"chiue5"	"tɕʰye˥˨"
"出"	"出"	"chiue7"	"tɕʰye˧˨˧"
"缺"	"缺"	"chiue7"	"tɕʰye˧˨˧"
"傳"	"傳"	"jiue2"	"dʑye˧˩"
"椽"	"椽"	"jiue2"	"dʑye˧˩"
"拳"	"拳"	"jiue2"	"dʑye˧˩"
"權"	"權"	"jiue2"	"dʑye˧˩"
"顴"	"顴"	"jiue2"	"dʑye˧˩"
"傳"	"傳"	"jiue6"	"dʑye˨˨"
"倦"	"倦"	"jiue6"	"dʑye˨˨"
"篆"	"篆"	"jiue6"	"dʑye˨˨"
"元"	"元"	"gniue2"	"ȵye˧˩"
"原"	"原"	"gniue2"	"ȵye˧˩"
"源"	"源"	"gniue2"	"ȵye˧˩"
"軟"	"軟"	"gniue4"	"ȵye˧˦"
"阮"	"阮"	"gniue4"	"ȵye˧˦"
"願"	"願"	"gniue6"	"ȵye˨˨"
"月"	"月"	"gniue8"	"ȵye˨˩˨"
"楦"	"楦"	"shiue5"	"ɕye˥˨"
"血"	"血"	"shiue7"	"ɕye˧˨˧"
"冤"	"冤"	"iue1"	"ʔye˦˦"
"淵"	"淵"	"iue1"	"ʔye˦˦"
"宛"	"宛"	"iue3"	"ʔye˦˥"
"怨"	"怨"	"iue5"	"ʔye˥˨"
"桓"	"桓"	"yue2"	"jye˧˩"
"丸"	"丸"	"yue2"	"jye˧˩"
"完"	"完"	"yue2"	"jye˧˩"
"園"	"園"	"yue2"	"jye˧˩"
"圓"	"圓"	"yue2"	"jye˧˩"
"員"	"員"	"yue2"	"jye˧˩"
"緣"	"緣"	"yue2"	"jye˧˩"
"袁"	"袁"	"yue2"	"jye˧˩"
"猿"	"猿"	"yue2"	"jye˧˩"
"轅"	"轅"	"yue2"	"jye˧˩"
"援"	"援"	"yue2"	"jye˧˩"
"玄"	"玄"	"yue2"	"jye˧˩"
"眩"	"眩"	"yue2"	"jye˧˩"
"遠"	"遠"	"yue4"	"jye˧˦"
"緩"	"緩"	"yue4"	"jye˧˦"
"換"	"換"	"yue6"	"jye˨˨"
"媛"	"媛"	"yue6"	"jye˨˨"
"院"	"院"	"yue6"	"jye˨˨"
"懸"	"懸"	"yue6"	"jye˨˨"
"縣"	"縣"	"yue6"	"jye˨˨"
"越"	"越"	"yue8"	"jye˨˩˨"
"粵"	"粵"	"yue8"	"jye˨˩˨"
"穴"	"穴"	"yue8"	"jye˨˩˨"
"核"	"核"	"yue8"	"jye˨˩˨"
"悅"	"悅"	"yue8"	"jye˨˩˨"
"閱"	"閱"	"yue8"	"jye˨˩˨"
"端"	"端"	"tø1"	"tø˦˦"
"敦"	"敦"	"tø1"	"tø˦˦"
"墩"	"墩"	"tø1"	"tø˦˦"
"短"	"短"	"tø3"	"tø˦˥"
"斷"	"斷"	"tø5"	"tø˥˨"
"鍛"	"鍛"	"tø5"	"tø˥˨"
"掇"	"掇"	"tø7"	"tø˧˨˧"
"吞"	"吞"	"thø1"	"tʰø˦˦"
"探"	"探"	"thø5"	"tʰø˥˨"
"脫"	"脫"	"thø7"	"tʰø˧˨˧"
"讬"	"讬"	"thø7"	"tʰø˧˨˧"
"托"	"托"	"thø7"	"tʰø˧˨˧"
"團"	"團"	"dø2"	"dø˧˩"
"糊"	"糊"	"dø2"	"dø˧˩"
"屯"	"屯"	"dø2"	"dø˧˩"
"豚"	"豚"	"dø2"	"dø˧˩"
"斷"	"斷"	"dø4"	"dø˧˦"
"屯"	"屯"	"dø4"	"dø˧˦"
"囤"	"囤"	"dø4"	"dø˧˦"
"段"	"段"	"dø6"	"dø˨˨"
"繳"	"繳"	"dø6"	"dø˨˨"
"遁"	"遁"	"dø6"	"dø˨˨"
"奪"	"奪"	"dø8"	"dø˨˩˨"
"暖"	"暖"	"nø4"	"nø˧˦"
"嫩"	"嫩"	"nø6"	"nø˨˨"
"鸞"	"鸞"	"lø2"	"lø˧˩"
"欒"	"欒"	"lø2"	"lø˧˩"
"鑾"	"鑾"	"lø2"	"lø˧˩"
"旁"	"旁"	"lø2"	"lø˧˩"
"論"	"論"	"lø2"	"lø˧˩"
"卵"	"卵"	"lø4"	"lø˧˦"
"亂"	"亂"	"lø6"	"lø˨˨"
"論"	"論"	"lø6"	"lø˨˨"
"粒"	"粒"	"lø8"	"lø˨˩˨"
"酸"	"酸"	"sø1"	"sø˦˦"
"閂"	"閂"	"sø1"	"sø˦˦"
"拴"	"拴"	"sø1"	"sø˦˦"
"孫"	"孫"	"sø1"	"sø˦˦"
"損"	"損"	"sø3"	"sø˦˥"
"算"	"算"	"sø5"	"sø˥˨"
"蒜"	"蒜"	"sø5"	"sø˥˨"
"遜"	"遜"	"sø5"	"sø˥˨"
"刷"	"刷"	"sø7"	"sø˧˨˧"
"涮"	"涮"	"sø7"	"sø˧˨˧"
"蠶"	"蠶"	"zø2"	"zø˧˩"
"存"	"存"	"zø2"	"zø˧˩"
"鑿"	"鑿"	"zø4"	"zø˧˦"
"鑿"	"鑿"	"zø8"	"zø˨˩˨"
"磚"	"磚"	"ciø1"	"tɕyø˦˦"
"尊"	"尊"	"ciø1"	"tɕyø˦˦"
"蹲"	"蹲"	"ciø1"	"tɕyø˦˦"
"箸"	"箸"	"ciø1"	"tɕyø˦˦"
"鑽"	"鑽"	"ciø1"	"tɕyø˦˦"
"纂"	"纂"	"ciø3"	"tɕyø˦˥"
"攢"	"攢"	"ciø3"	"tɕyø˦˥"
"鑽"	"鑽"	"ciø5"	"tɕyø˥˨"
"參"	"參"	"chiø1"	"tɕʰyø˦˦"
"村"	"村"	"chiø1"	"tɕʰyø˦˦"
"慘"	"慘"	"chiø3"	"tɕʰyø˦˥"
"篡"	"篡"	"chiø3"	"tɕʰyø˦˥"
"喘"	"喘"	"chiø3"	"tɕʰyø˦˥"
"纂"	"纂"	"chiø3"	"tɕʰyø˦˥"
"寸"	"寸"	"chiø5"	"tɕʰyø˥˨"
"竄"	"竄"	"chiø5"	"tɕʰyø˥˨"
"撰"	"撰"	"jiø4"	"dʑyø˧˦"
"竿"	"竿"	"kø1"	"kø˦˦"
"千"	"千"	"kø5"	"kø˥˨"
"葛"	"葛"	"kø7"	"kø˧˨˧"
"刊"	"刊"	"khø1"	"kʰø˦˦"
"看"	"看"	"khø5"	"kʰø˥˨"
"鼾"	"鼾"	"hø1"	"hø˦˦"
"罕"	"罕"	"hø3"	"hø˦˥"
"漢"	"漢"	"hø5"	"hø˥˨"
"罕"	"罕"	"hø5"	"hø˥˨"
"寒"	"寒"	"ghø2"	"ɦø˧˩"
"韓"	"韓"	"ghø2"	"ɦø˧˩"
"寒"	"寒"	"ghø4"	"ɦø˧˦"
"旱"	"旱"	"ghø4"	"ɦø˧˦"
"汗"	"汗"	"ghø6"	"ɦø˨˨"
"岸"	"岸"	"ghø6"	"ɦø˨˨"
"錦"	"錦"	"ghø6"	"ɦø˨˨"
"翰"	"翰"	"ghø6"	"ɦø˨˨"
"安"	"安"	"ø1"	"ø˦˦"
"桉"	"桉"	"ø1"	"ø˦˦"
"鞍"	"鞍"	"ø1"	"ø˦˦"
"案"	"案"	"ø5"	"ø˥˨"
"按"	"按"	"ø5"	"ø˥˨"
"噦"	"噦"	"ø7"	"ø˧˨˧"
"標"	"標"	"pɤ1"	"pɤ˦˦"
"彪"	"彪"	"pɤ1"	"pɤ˦˦"
"鏢"	"鏢"	"pɤ1"	"pɤ˦˦"
"臁"	"臁"	"pɤ1"	"pɤ˦˦"
"保"	"保"	"pɤ3"	"pɤ˦˥"
"堡"	"堡"	"pɤ3"	"pɤ˦˥"
"寶"	"寶"	"pɤ3"	"pɤ˦˥"
"表"	"表"	"pɤ3"	"pɤ˦˥"
"報"	"報"	"pɤ5"	"pɤ˥˨"
"不"	"不"	"pɤ7"	"pɤ˧˨˧"
"北"	"北"	"pɤ7"	"pɤ˧˨˧"
"飄"	"飄"	"phɤ1"	"pʰɤ˦˦"
"剖"	"剖"	"phɤ3"	"pʰɤ˦˥"
"票"	"票"	"phɤ5"	"pʰɤ˥˨"
"漂"	"漂"	"phɤ5"	"pʰɤ˥˨"
"樸"	"樸"	"phɤ7"	"pʰɤ˧˨˧"
"撲"	"撲"	"phɤ7"	"pʰɤ˧˨˧"
"僕"	"僕"	"phɤ7"	"pʰɤ˧˨˧"
"醭"	"醭"	"phɤ7"	"pʰɤ˧˨˧"
"袍"	"袍"	"bɤ2"	"bɤ˧˩"
"暴"	"暴"	"bɤ2"	"bɤ˧˩"
"瓢"	"瓢"	"bɤ2"	"bɤ˧˩"
"嫖"	"嫖"	"bɤ2"	"bɤ˧˩"
"瓤"	"瓤"	"bɤ2"	"bɤ˧˩"
"鰾"	"鰾"	"bɤ2"	"bɤ˧˩"
"抱"	"抱"	"bɤ4"	"bɤ˧˦"
"暴"	"暴"	"bɤ6"	"bɤ˨˨"
"雹"	"雹"	"bɤ8"	"bɤ˨˩˨"
"僕"	"僕"	"bɤ8"	"bɤ˨˩˨"
"毛"	"毛"	"mɤ2"	"mɤ˧˩"
"苗"	"苗"	"mɤ2"	"mɤ˧˩"
"描"	"描"	"mɤ2"	"mɤ˧˩"
"謀"	"謀"	"mɤ2"	"mɤ˧˩"
"謬"	"謬"	"mɤ2"	"mɤ˧˩"
"秒"	"秒"	"mɤ4"	"mɤ˧˦"
"畝"	"畝"	"mɤ4"	"mɤ˧˦"
"牡"	"牡"	"mɤ4"	"mɤ˧˦"
"渺"	"渺"	"mɤ4"	"mɤ˧˦"
"藐"	"藐"	"mɤ4"	"mɤ˧˦"
"母"	"母"	"mɤ4"	"mɤ˧˦"
"拇"	"拇"	"mɤ4"	"mɤ˧˦"
"冒"	"冒"	"mɤ6"	"mɤ˨˨"
"帽"	"帽"	"mɤ6"	"mɤ˨˨"
"廟"	"廟"	"mɤ6"	"mɤ˨˨"
"妙"	"妙"	"mɤ6"	"mɤ˨˨"
"戊"	"戊"	"mɤ6"	"mɤ˨˨"
"茂"	"茂"	"mɤ6"	"mɤ˨˨"
"貿"	"貿"	"mɤ6"	"mɤ˨˨"
"沒"	"沒"	"mɤ8"	"mɤ˨˩˨"
"墨"	"墨"	"mɤ8"	"mɤ˨˩˨"
"默"	"默"	"mɤ8"	"mɤ˨˩˨"
"木"	"木"	"mɤ8"	"mɤ˨˩˨"
"目"	"目"	"mɤ8"	"mɤ˨˩˨"
"收"	"收"	"mɤ8"	"mɤ˨˩˨"
"穆"	"穆"	"mɤ8"	"mɤ˨˩˨"
"忽"	"忽"	"fɤ7"	"fɤ˧˨˧"
"勿"	"勿"	"fɤ7"	"fɤ˧˨˧"
"沸"	"沸"	"fɤ7"	"fɤ˧˨˧"
"拂"	"拂"	"fɤ7"	"fɤ˧˨˧"
"福"	"福"	"fɤ7"	"fɤ˧˨˧"
"幅"	"幅"	"fɤ7"	"fɤ˧˨˧"
"蝠"	"蝠"	"fɤ7"	"fɤ˧˨˧"
"複"	"複"	"fɤ7"	"fɤ˧˨˧"
"腹"	"腹"	"fɤ7"	"fɤ˧˨˧"
"覆"	"覆"	"fɤ7"	"fɤ˧˨˧"
"複"	"複"	"fɤ7"	"fɤ˧˨˧"
"佛"	"佛"	"vɤ8"	"vɤ˨˩˨"
"物"	"物"	"vɤ8"	"vɤ˨˩˨"
"縛"	"縛"	"vɤ8"	"vɤ˨˩˨"
"服"	"服"	"vɤ8"	"vɤ˨˩˨"
"伏"	"伏"	"vɤ8"	"vɤ˨˩˨"
