"繁體"	"简体"	"音標"	"注釋"	"声"	"韵"	"调"
"簿"	"簿"	"bu˩˧"		"b"	"u"	"˩˧"
"步"	"步"	"bu˨˨"		"b"	"u"	"˨˨"
"捕"	"捕"	"bu˩˧"		"b"	"u"	"˩˧"
"埠"	"埠"	"bʉ˨˨"		"b"	"ʉ"	"˨˨"
"模"	"模"	"mu˩˧"		"m"	"u"	"˩˧"
"暮"	"暮"	"mu˨˨"		"m"	"u"	"˨˨"
"墓"	"墓"	"mu˨˨"		"m"	"u"	"˨˨"
"募"	"募"	"mu˨˨"		"m"	"u"	"˨˨"
"慕"	"慕"	"mu˨˨"		"m"	"u"	"˨˨"
"都"	"都"	"tɵʉ˦˦"		"t"	"ɵʉ"	"˦˦"
"堵"	"堵"	"tɵʉ˧˥"		"t"	"ɵʉ"	"˧˥"
"賭"	"赌"	"tɵʉ˧˥"		"t"	"ɵʉ"	"˧˥"
"肚"	"肚"	"tɵʉ˧˥"		"t"	"ɵʉ"	"˧˥"
"妒"	"妒"	"tɵʉ˥˨"		"t"	"ɵʉ"	"˥˨"
"蠹"	"蠹"	"tɵʉ˥˨"		"t"	"ɵʉ"	"˥˨"
"土"	"土"	"tʰɵʉ˧˥"		"tʰ"	"ɵʉ"	"˧˥"
"吐"	"吐"	"tʰɵʉ˥˨"		"tʰ"	"ɵʉ"	"˥˨"
"兔"	"兔"	"tʰɵʉ˥˨"		"tʰ"	"ɵʉ"	"˥˨"
"途"	"途"	"dɵʉ˧˩"		"d"	"ɵʉ"	"˧˩"
"鈽"	"钸"	"pu˦˦"		"p"	"u"	"˦˦"
"屠"	"屠"	"dɵʉ˧˩"		"d"	"ɵʉ"	"˧˩"
"圖"	"图"	"dɵʉ˧˩"		"d"	"ɵʉ"	"˧˩"
"徒"	"徒"	"dɤu˩˧"		"d"	"ɤu"	"˩˧"
"徒"	"徒"	"dɵʉ˩˧"		"d"	"ɵʉ"	"˩˧"
"肚"	"肚"	"dɵʉ˩˧"		"d"	"ɵʉ"	"˩˧"
"杜"	"杜"	"dɵʉ˩˧"		"d"	"ɵʉ"	"˩˧"
"度"	"度"	"dɵʉ˨˨"		"d"	"ɵʉ"	"˨˨"
"渡"	"渡"	"dɵʉ˨˨"		"d"	"ɵʉ"	"˨˨"
"鍍"	"镀"	"dɵʉ˨˨"		"d"	"ɵʉ"	"˨˨"
"奴"	"奴"	"nɵʉ˧˩"		"n"	"ɵʉ"	"˧˩"
"努"	"努"	"nɤu˩˧"		"n"	"ɤu"	"˩˧"
"怒"	"怒"	"nɤu˨˨"		"n"	"ɤu"	"˨˨"
"盧"	"卢"	"lɵʉ˧˩"		"l"	"ɵʉ"	"˧˩"
"爐"	"炉"	"lɵʉ˧˩"		"l"	"ɵʉ"	"˧˩"
"鹵"	"卤"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"魯"	"鲁"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"櫓"	"橹"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"虜"	"虏"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"露"	"露"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"路"	"路"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"賂"	"赂"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"租"	"租"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"祖"	"祖"	"tsɵʉ˧˥"		"ts"	"ɵʉ"	"˧˥"
"組"	"组"	"tsɵʉ˧˥"		"ts"	"ɵʉ"	"˧˥"
"做"	"做"	"tsɤu˥˨"		"ts"	"ɤu"	"˥˨"
"粗"	"粗"	"tsʰɵʉ˦˦"		"tsʰ"	"ɵʉ"	"˦˦"
"醋"	"醋"	"tsʰɵʉ˥˨"		"tsʰ"	"ɵʉ"	"˥˨"
"錯"	"错"	"tsʰɤu˥˨"		"tsʰ"	"ɤu"	"˥˨"
"措"	"措"	"tsʰɤu˥˨"		"tsʰ"	"ɤu"	"˥˨"
"蘇"	"苏"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"酥"	"酥"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"素"	"素"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"塑"	"塑"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"訴"	"诉"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"嗉"	"嗉"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"辜"	"辜"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"孤"	"孤"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"箍"	"箍"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"姑"	"姑"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"估"	"估"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"古"	"古"	"kʋ˧˥"		"k"	"ʋ"	"˧˥"
"賈"	"贾"	"kʋ˧˥"		"k"	"ʋ"	"˧˥"
"股"	"股"	"kʋ˧˥"		"k"	"ʋ"	"˧˥"
"鼓"	"鼓"	"kʋ˧˥"		"k"	"ʋ"	"˧˥"
"蠱"	"蛊"	"kʋ˧˥"		"k"	"ʋ"	"˧˥"
"故"	"故"	"kʋ˥˨"		"k"	"ʋ"	"˥˨"
"顧"	"顾"	"kʋ˥˨"		"k"	"ʋ"	"˥˨"
"固"	"固"	"kʋ˥˨"		"k"	"ʋ"	"˥˨"
