"繁體"	"簡體"	"拼音"	"音標"
"醬"	"醬"	"ci5"	"tɕi˥˨"
"戰"	"戰"	"ci5"	"tɕi˥˨"
"帳"	"帳"	"ci5"	"tɕi˥˨"
"脹"	"脹"	"ci5"	"tɕi˥˨"
"障"	"障"	"ci5"	"tɕi˥˨"
"賬"	"賬"	"ci5"	"tɕi˥˨"
"瘴"	"瘴"	"ci5"	"tɕi˥˨"
"即"	"即"	"ci7"	"tɕi˨˩˧"
"接"	"接"	"ci7"	"tɕi˨˩˧"
"揭"	"揭"	"ci7"	"tɕi˨˩˧"
"癤"	"癤"	"ci7"	"tɕi˨˩˧"
"劫"	"劫"	"ci7"	"tɕi˨˩˧"
"結"	"結"	"ci7"	"tɕi˨˩˧"
"節"	"節"	"ci7"	"tɕi˨˩˧"
"潔"	"潔"	"ci7"	"tɕi˨˩˧"
"折"	"折"	"ci7"	"tɕi˨˩˧"
"哲"	"哲"	"ci7"	"tɕi˨˩˧"
"折"	"折"	"ci7"	"tɕi˨˩˧"
"櫛"	"櫛"	"ci7"	"tɕi˨˩˧"
"昌"	"昌"	"chi1"	"tɕʰi˧˧"
"菖"	"菖"	"chi1"	"tɕʰi˧˧"
"猖"	"猖"	"chi1"	"tɕʰi˧˧"
"鯧"	"鯧"	"chi1"	"tɕʰi˧˧"
"倡"	"倡"	"chi1"	"tɕʰi˧˧"
"倡"	"倡"	"chi1"	"tɕʰi˧˧"
"千"	"千"	"chi1"	"tɕʰi˧˧"
"阡"	"阡"	"chi1"	"tɕʰi˧˧"
"牽"	"牽"	"chi1"	"tɕʰi˧˧"
"遷"	"遷"	"chi1"	"tɕʰi˧˧"
"謙"	"謙"	"chi1"	"tɕʰi˧˧"
"簽"	"簽"	"chi1"	"tɕʰi˧˧"
"簽"	"簽"	"chi1"	"tɕʰi˧˧"
"羌"	"羌"	"chi1"	"tɕʰi˧˧"
"腔"	"腔"	"chi1"	"tɕʰi˧˧"
"槍"	"槍"	"chi1"	"tɕʰi˧˧"
"纖"	"纖"	"chi1"	"tɕʰi˧˧"
"闡"	"闡"	"chi3"	"tɕʰi˧˥"
"敞"	"敞"	"chi3"	"tɕʰi˧˥"
